"","category","GO.ID","Term","Annotated","Significant","Expected","Rank in Fisher.classic","Fisher.elim","Fisher.classic","gene_ratio","genes"
"1","MF","GO:0004620","phospholipase activity",84,1,0.02,1,0.018,0.018,0.0119047619047619,"Plce1"
"2","MF","GO:0000980","RNA polymerase II distal enhancer sequen...",86,1,0.02,2,0.019,0.019,0.0116279069767442,"Zbtb16"
"3","MF","GO:0008081","phosphoric diester hydrolase activity",86,1,0.02,3,0.019,0.019,0.0116279069767442,"Plce1"
"4","MF","GO:0001158","enhancer sequence-specific DNA binding",110,1,0.02,4,0.024,0.024,0.00909090909090909,"Zbtb16"
"5","MF","GO:0016298","lipase activity",114,1,0.02,5,0.025,0.025,0.0087719298245614,"Plce1"
"6","MF","GO:0035326","enhancer binding",121,1,0.03,6,0.026,0.026,0.00826446280991736,"Zbtb16"
"7","MF","GO:0005178","integrin binding",128,1,0.03,7,0.028,0.028,0.0078125,"Thy1"
"8","MF","GO:0098772","molecular function regulator",1565,2,0.34,8,0.039,0.039,0.0012779552715655,"Plce1, Thy1"
"9","MF","GO:0005085","guanyl-nucleotide exchange factor activi...",197,1,0.04,9,0.042,0.042,0.0050761421319797,"Plce1"
"10","MF","GO:0001227","DNA-binding transcription repressor acti...",215,1,0.05,10,0.046,0.046,0.00465116279069767,"Zbtb16"
"11","MF","GO:0008022","protein C-terminus binding",232,1,0.05,11,0.05,0.05,0.00431034482758621,"Zbtb16"
"12","MF","GO:0005096","GTPase activator activity",235,1,0.05,12,0.05,0.05,0.00425531914893617,"Thy1"
"13","MF","GO:0050839","cell adhesion molecule binding",237,1,0.05,13,0.051,0.051,0.00421940928270042,"Thy1"
"14","MF","GO:0035091","phosphatidylinositol binding",247,1,0.05,14,0.053,0.053,0.00404858299595142,"Thy1"
"15","MF","GO:0030695","GTPase regulator activity",253,1,0.06,15,0.054,0.054,0.00395256916996047,"Thy1"
"16","MF","GO:0060589","nucleoside-triphosphatase regulator acti...",291,1,0.06,16,0.062,0.062,0.00343642611683849,"Thy1"
"17","MF","GO:0042578","phosphoric ester hydrolase activity",343,1,0.07,17,0.073,0.073,0.00291545189504373,"Plce1"
"18","MF","GO:0019899","enzyme binding",2238,2,0.49,18,0.075,0.075,0.000893655049151028,"Plce1, Thy1"
"19","MF","GO:0017016","Ras GTPase binding",403,1,0.09,19,0.085,0.085,0.00248138957816377,"Plce1"
"20","MF","GO:0005543","phospholipid binding",407,1,0.09,20,0.086,0.086,0.00245700245700246,"Thy1"
"21","MF","GO:0031267","small GTPase binding",418,1,0.09,21,0.088,0.088,0.00239234449760766,"Plce1"
"22","MF","GO:0008047","enzyme activator activity",436,1,0.1,22,0.092,0.092,0.00229357798165138,"Thy1"
"23","MF","GO:0051020","GTPase binding",511,1,0.11,23,0.107,0.107,0.00195694716242661,"Plce1"
"24","MF","GO:0000981","DNA-binding transcription factor activit...",669,1,0.15,24,0.138,0.138,0.00149476831091181,"Zbtb16"
"25","MF","GO:0016788","hydrolase activity, acting on ester bond...",689,1,0.15,25,0.142,0.142,0.00145137880986938,"Plce1"
"26","MF","GO:0008289","lipid binding",696,1,0.15,26,0.143,0.143,0.0014367816091954,"Thy1"
"27","MF","GO:0019901","protein kinase binding",715,1,0.16,27,0.147,0.147,0.0013986013986014,"Thy1"
"28","MF","GO:0000977","RNA polymerase II regulatory region sequ...",744,1,0.16,28,0.153,0.153,0.00134408602150538,"Zbtb16"
"29","MF","GO:0001012","RNA polymerase II regulatory region DNA ...",752,1,0.16,29,0.154,0.154,0.00132978723404255,"Zbtb16"
"30","MF","GO:0019904","protein domain specific binding",762,1,0.17,30,0.156,0.156,0.00131233595800525,"Zbtb16"
"31","MF","GO:0000976","transcription regulatory region sequence...",786,1,0.17,31,0.161,0.161,0.00127226463104326,"Zbtb16"
"32","MF","GO:0019900","kinase binding",791,1,0.17,32,0.162,0.162,0.00126422250316056,"Thy1"
"33","MF","GO:1990837","sequence-specific double-stranded DNA bi...",828,1,0.18,33,0.169,0.169,0.00120772946859903,"Zbtb16"
