"","category","GO.ID","Term","Annotated","Significant","Expected","Rank in Fisher.classic","Fisher.elim","Fisher.classic","gene_ratio","genes"
"1","MF","GO:0000980","RNA polymerase II distal enhancer sequen...",86,1,0.02,1,0.023,0.023,0.0116279069767442,"Zbtb16"
"2","MF","GO:0001158","enhancer sequence-specific DNA binding",110,1,0.03,2,0.03,0.03,0.00909090909090909,"Zbtb16"
"3","MF","GO:0035326","enhancer binding",121,1,0.03,3,0.033,0.033,0.00826446280991736,"Zbtb16"
"4","MF","GO:0005178","integrin binding",128,1,0.03,4,0.034,0.034,0.0078125,"Thy1"
"5","MF","GO:0001227","DNA-binding transcription repressor acti...",215,1,0.06,5,0.057,0.057,0.00465116279069767,"Zbtb16"
"6","MF","GO:0008022","protein C-terminus binding",232,1,0.06,6,0.062,0.062,0.00431034482758621,"Zbtb16"
"7","MF","GO:0005096","GTPase activator activity",235,1,0.06,7,0.062,0.062,0.00425531914893617,"Thy1"
"8","MF","GO:0050839","cell adhesion molecule binding",237,1,0.06,8,0.063,0.063,0.00421940928270042,"Thy1"
"9","MF","GO:0035091","phosphatidylinositol binding",247,1,0.07,9,0.066,0.066,0.00404858299595142,"Thy1"
"10","MF","GO:0030695","GTPase regulator activity",253,1,0.07,10,0.067,0.067,0.00395256916996047,"Thy1"
"11","MF","GO:0060589","nucleoside-triphosphatase regulator acti...",291,1,0.08,11,0.077,0.077,0.00343642611683849,"Thy1"
"12","MF","GO:0005543","phospholipid binding",407,1,0.11,12,0.106,0.106,0.00245700245700246,"Thy1"
"13","MF","GO:0008047","enzyme activator activity",436,1,0.12,13,0.113,0.113,0.00229357798165138,"Thy1"
"14","MF","GO:0005509","calcium ion binding",574,1,0.16,14,0.147,0.147,0.00174216027874564,"Fstl5"
"15","MF","GO:0000981","DNA-binding transcription factor activit...",669,1,0.18,15,0.17,0.17,0.00149476831091181,"Zbtb16"
"16","MF","GO:0008289","lipid binding",696,1,0.19,16,0.176,0.176,0.0014367816091954,"Thy1"
"17","MF","GO:0019901","protein kinase binding",715,1,0.19,17,0.18,0.18,0.0013986013986014,"Thy1"
"18","MF","GO:0000977","RNA polymerase II regulatory region sequ...",744,1,0.2,18,0.187,0.187,0.00134408602150538,"Zbtb16"
"19","MF","GO:0001012","RNA polymerase II regulatory region DNA ...",752,1,0.21,19,0.189,0.189,0.00132978723404255,"Zbtb16"
"20","MF","GO:0019904","protein domain specific binding",762,1,0.21,20,0.191,0.191,0.00131233595800525,"Zbtb16"
"21","MF","GO:0000976","transcription regulatory region sequence...",786,1,0.21,21,0.197,0.197,0.00127226463104326,"Zbtb16"
"22","MF","GO:0019900","kinase binding",791,1,0.22,22,0.198,0.198,0.00126422250316056,"Thy1"
"23","MF","GO:1990837","sequence-specific double-stranded DNA bi...",828,1,0.23,23,0.206,0.206,0.00120772946859903,"Zbtb16"
"24","MF","GO:0003700","DNA-binding transcription factor activit...",882,1,0.24,24,0.218,0.218,0.00113378684807256,"Zbtb16"
"25","MF","GO:0044212","transcription regulatory region DNA bind...",892,1,0.24,25,0.221,0.221,0.00112107623318386,"Zbtb16"
"26","MF","GO:0042803","protein homodimerization activity",894,1,0.24,26,0.221,0.221,0.00111856823266219,"Zbtb16"
"27","MF","GO:0030234","enzyme regulator activity",894,1,0.24,27,0.221,0.221,0.00111856823266219,"Thy1"
"28","MF","GO:0001067","regulatory region nucleic acid binding",896,1,0.24,28,0.222,0.222,0.00111607142857143,"Zbtb16"
"29","MF","GO:0003690","double-stranded DNA binding",903,1,0.25,29,0.223,0.223,0.00110741971207087,"Zbtb16"
"30","MF","GO:0043565","sequence-specific DNA binding",1011,1,0.28,30,0.247,0.247,0.000989119683481701,"Zbtb16"
"31","MF","GO:0044877","protein-containing complex binding",1185,1,0.32,31,0.284,0.284,0.000843881856540084,"Thy1"
"32","MF","GO:0140110","transcription regulator activity",1230,1,0.34,32,0.293,0.293,0.000813008130081301,"Zbtb16"
"33","MF","GO:0046983","protein dimerization activity",1311,1,0.36,33,0.31,0.31,0.0007627765064836,"Zbtb16"
"34","MF","GO:0005102","signaling receptor binding",1472,1,0.4,34,0.342,0.342,0.000679347826086957,"Thy1"
"35","MF","GO:0098772","molecular function regulator",1565,1,0.43,35,0.36,0.36,0.000638977635782748,"Thy1"
"36","MF","GO:0042802","identical protein binding",1795,1,0.49,36,0.403,0.403,0.000557103064066852,"Zbtb16"
"37","MF","GO:0005515","protein binding",8273,3,2.26,37,0.409,0.409,0.000362625407953584,"Zbtb16, Tmem108, Thy1"
