"","category","GO.ID","Term","Annotated","Significant","Expected","Rank in Fisher.classic","Fisher.elim","Fisher.classic","gene_ratio","genes"
"1","MF","GO:0019904","protein domain specific binding",762,3,0.37,1,0.005,0.005,0.00393700787401575,"Dlgap2, Sorbs2, Shisa9"
"2","MF","GO:0008376","acetylgalactosaminyltransferase activity",41,1,0.02,2,0.02,0.02,0.024390243902439,"Galntl6"
"3","MF","GO:0005249","voltage-gated potassium channel activity",85,1,0.04,3,0.041,0.041,0.0117647058823529,"Kcnt2"
"4","MF","GO:0005179","hormone activity",101,1,0.05,4,0.049,0.049,0.0099009900990099,"Ttr"
"5","MF","GO:0042562","hormone binding",103,1,0.05,5,0.049,0.049,0.00970873786407767,"Ttr"
"6","MF","GO:0030165","PDZ domain binding",114,1,0.06,6,0.055,0.055,0.0087719298245614,"Shisa9"
"7","MF","GO:0005267","potassium channel activity",121,1,0.06,7,0.058,0.058,0.00826446280991736,"Kcnt2"
"8","MF","GO:0008194","UDP-glycosyltransferase activity",138,1,0.07,8,0.066,0.066,0.0072463768115942,"Galntl6"
"9","MF","GO:0022843","voltage-gated cation channel activity",143,1,0.07,9,0.068,0.068,0.00699300699300699,"Kcnt2"
"10","MF","GO:0015079","potassium ion transmembrane transporter ...",157,1,0.08,10,0.074,0.074,0.00636942675159236,"Kcnt2"
"11","MF","GO:0005244","voltage-gated ion channel activity",191,1,0.09,11,0.09,0.09,0.00523560209424084,"Kcnt2"
"12","MF","GO:0022832","voltage-gated channel activity",191,1,0.09,12,0.09,0.09,0.00523560209424084,"Kcnt2"
"13","MF","GO:0016758","transferase activity, transferring hexos...",194,1,0.1,13,0.091,0.091,0.00515463917525773,"Galntl6"
"14","MF","GO:0051015","actin filament binding",197,1,0.1,14,0.093,0.093,0.0050761421319797,"Tagln"
"15","MF","GO:0016757","transferase activity, transferring glyco...",261,1,0.13,15,0.121,0.121,0.00383141762452107,"Galntl6"
"16","MF","GO:0005261","cation channel activity",310,1,0.15,16,0.142,0.142,0.0032258064516129,"Kcnt2"
"17","MF","GO:0022839","ion gated channel activity",317,1,0.16,17,0.145,0.145,0.00315457413249211,"Kcnt2"
"18","MF","GO:0022836","gated channel activity",329,1,0.16,18,0.15,0.15,0.00303951367781155,"Kcnt2"
"19","MF","GO:0015077","monovalent inorganic cation transmembran...",347,1,0.17,19,0.158,0.158,0.00288184438040346,"Kcnt2"
"20","MF","GO:0048018","receptor ligand activity",391,1,0.19,21,0.176,0.176,0.00255754475703325,"Ttr"
"21","MF","GO:0005216","ion channel activity",398,1,0.2,22,0.179,0.179,0.00251256281407035,"Kcnt2"
"22","MF","GO:0022838","substrate-specific channel activity",406,1,0.2,23,0.183,0.183,0.00246305418719212,"Kcnt2"
"23","MF","GO:0003779","actin binding",416,1,0.2,24,0.187,0.187,0.00240384615384615,"Tagln"
"24","MF","GO:0046873","metal ion transmembrane transporter acti...",420,1,0.21,25,0.188,0.188,0.00238095238095238,"Kcnt2"
"25","MF","GO:0030545","receptor regulator activity",421,1,0.21,26,0.189,0.189,0.00237529691211401,"Ttr"
"26","MF","GO:0022803","passive transmembrane transporter activi...",429,1,0.21,27,0.192,0.192,0.00233100233100233,"Kcnt2"
"27","MF","GO:0015267","channel activity",429,1,0.21,28,0.192,0.192,0.00233100233100233,"Kcnt2"
"28","MF","GO:0046982","protein heterodimerization activity",520,1,0.26,29,0.228,0.228,0.00192307692307692,"Ttr"
"29","MF","GO:0022890","inorganic cation transmembrane transport...",552,1,0.27,30,0.241,0.241,0.00181159420289855,"Kcnt2"
"30","MF","GO:0008324","cation transmembrane transporter activit...",599,1,0.29,31,0.258,0.258,0.00166944908180301,"Kcnt2"
"31","MF","GO:0019901","protein kinase binding",715,1,0.35,32,0.301,0.301,0.0013986013986014,"Acta2"
"32","MF","GO:0015318","inorganic molecular entity transmembrane...",762,1,0.37,33,0.318,0.318,0.00131233595800525,"Kcnt2"
"33","MF","GO:0019900","kinase binding",791,1,0.39,34,0.328,0.328,0.00126422250316056,"Acta2"
"34","MF","GO:0015075","ion transmembrane transporter activity",821,1,0.4,35,0.338,0.338,0.00121802679658952,"Kcnt2"
