"","category","GO.ID","Term","Annotated","Significant","Expected","Rank in Fisher.classic","Fisher.elim","Fisher.classic","gene_ratio","genes"
"1","MF","GO:0015491","cation:cation antiporter activity",24,1,0,1,0.0039,0.0039,0.0416666666666667,"Slc8a3"
"2","MF","GO:0080025","phosphatidylinositol-3,5-bisphosphate bi...",27,1,0,2,0.0044,0.0044,0.037037037037037,"Clvs2"
"3","MF","GO:0015085","calcium ion transmembrane transporter ac...",135,1,0.02,7,0.0219,0.0219,0.00740740740740741,"Slc8a3"
"4","MF","GO:0015081","sodium ion transmembrane transporter act...",139,1,0.02,8,0.0226,0.0226,0.00719424460431655,"Slc8a3"
"5","MF","GO:0005516","calmodulin binding",183,1,0.03,11,0.0296,0.0296,0.00546448087431694,"Slc8a3"
"6","MF","GO:0015077","monovalent inorganic cation transmembran...",347,1,0.06,15,0.0557,0.0557,0.00288184438040346,"Slc8a3"
"7","MF","GO:0046873","metal ion transmembrane transporter acti...",420,1,0.07,17,0.0672,0.0672,0.00238095238095238,"Slc8a3"
"8","MF","GO:0043167","ion binding",5224,3,0.85,9,0.0806,0.0231,0.00057427258805513,"Slc8a3, Clvs2, Zmat4"
"9","MF","GO:0046872","metal ion binding",3326,2,0.54,18,0.0868,0.0868,0.000601322910402886,"Slc8a3, Zmat4"
"10","MF","GO:0022890","inorganic cation transmembrane transport...",552,1,0.09,19,0.0876,0.0876,0.00181159420289855,"Slc8a3"
"11","MF","GO:0043169","cation binding",3418,2,0.56,20,0.0913,0.0913,0.000585137507314219,"Slc8a3, Zmat4"
"12","MF","GO:0008270","zinc ion binding",651,1,0.11,22,0.1028,0.1028,0.00153609831029186,"Zmat4"
"13","MF","GO:0015318","inorganic molecular entity transmembrane...",762,1,0.12,24,0.1196,0.1196,0.00131233595800525,"Slc8a3"
"14","MF","GO:0046914","transition metal ion binding",893,1,0.15,26,0.1391,0.1391,0.00111982082866741,"Zmat4"
"15","MF","GO:0003677","DNA binding",1834,1,0.3,30,0.2711,0.2711,0.00054525627044711,"Zmat4"
"16","MF","GO:0003676","nucleic acid binding",2829,1,0.46,32,0.3951,0.3951,0.000353481795687522,"Zmat4"
"17","MF","GO:0005488","binding",11858,3,1.94,29,0.4175,0.2704,0.000252993759487266,"Slc8a3, Clvs2, Zmat4"
"18","MF","GO:1901363","heterocyclic compound binding",4665,1,0.76,33,0.5856,0.5856,0.000214362272240086,"Zmat4"
"19","MF","GO:0097159","organic cyclic compound binding",4747,1,0.78,34,0.593,0.593,0.000210659363808721,"Zmat4"
"20","MF","GO:0005515","protein binding",8273,1,1.35,35,0.8347,0.8347,0.000120875135984528,"Slc8a3"
"21","MF","GO:0022857","transmembrane transporter activity",974,1,0.16,27,1,0.1511,0.00102669404517454,"Slc8a3"
"22","MF","GO:0015291","secondary active transmembrane transport...",226,1,0.04,12,1,0.0365,0.00442477876106195,"Slc8a3"
"23","MF","GO:0015075","ion transmembrane transporter activity",821,1,0.13,25,1,0.1284,0.00121802679658952,"Slc8a3"
"24","MF","GO:0005215","transporter activity",1055,1,0.17,28,1,0.1629,0.000947867298578199,"Slc8a3"
"25","MF","GO:0099516","ion antiporter activity",52,1,0.01,4,1,0.0085,0.0192307692307692,"Slc8a3"
"26","MF","GO:0015297","antiporter activity",76,1,0.01,5,1,0.0124,0.0131578947368421,"Slc8a3"
