"","category","GO.ID","Term","Annotated","Significant","Expected","Rank in Fisher.classic","Fisher.elim","Fisher.classic","gene_ratio","genes"
"1","MF","GO:0004714","transmembrane receptor protein tyrosine ...",57,2,0.04,1,0.00072,0.00072,0.0350877192982456,"Alk, Ror1"
"2","MF","GO:0005267","potassium channel activity",121,2,0.09,3,0.00321,0.00321,0.0165289256198347,"Kcnip1, Kcnh8"
"3","MF","GO:0005244","voltage-gated ion channel activity",191,2,0.14,6,0.00781,0.00781,0.0104712041884817,"Kcnip1, Kcnh8"
"4","MF","GO:0030215","semaphorin receptor binding",21,1,0.01,8,0.01479,0.01479,0.0476190476190476,"Sema5b"
"5","MF","GO:0140103","catalytic activity, acting on a glycopro...",22,1,0.02,9,0.01549,0.01549,0.0454545454545455,"Mgat4c"
"6","MF","GO:0005112","Notch binding",25,1,0.02,10,0.01759,0.01759,0.04,"Cntn6"
"7","MF","GO:0120013","intermembrane lipid transfer activity",26,1,0.02,11,0.01828,0.01828,0.0384615384615385,"Stard5"
"8","MF","GO:0071814","protein-lipid complex binding",27,1,0.02,12,0.01898,0.01898,0.037037037037037,"Ldlr"
"9","MF","GO:0071813","lipoprotein particle binding",27,1,0.02,13,0.01898,0.01898,0.037037037037037,"Ldlr"
"10","MF","GO:0045499","chemorepellent activity",28,1,0.02,15,0.01968,0.01968,0.0357142857142857,"Sema5b"
"11","MF","GO:0015248","sterol transporter activity",29,1,0.02,16,0.02037,0.02037,0.0344827586206897,"Stard5"
"12","MF","GO:0098632","cell-cell adhesion mediator activity",30,1,0.02,18,0.02107,0.02107,0.0333333333333333,"Cntn6"
"13","MF","GO:0017147","Wnt-protein binding",36,1,0.03,21,0.02523,0.02523,0.0277777777777778,"Ror1"
"14","MF","GO:0042169","SH2 domain binding",39,1,0.03,22,0.02731,0.02731,0.0256410256410256,"Skap1"
"15","MF","GO:0098631","cell adhesion mediator activity",39,1,0.03,23,0.02731,0.02731,0.0256410256410256,"Cntn6"
