"","category","GO.ID","Term","Annotated","Significant","Expected","Rank in Fisher.classic","Fisher.elim","Fisher.classic","gene_ratio","genes"
"1","MF","GO:0008081","phosphoric diester hydrolase activity",86,3,0.14,2,0.00037,0.00037,0.0348837209302326,"Pde10a, Plce1, Plcb1"
"2","MF","GO:0004180","carboxypeptidase activity",40,2,0.07,5,0.00194,0.00194,0.05,"Folh1, Agbl4"
"3","MF","GO:0008237","metallopeptidase activity",165,3,0.27,6,0.00243,0.00243,0.0181818181818182,"Folh1, Agbl4, Adamts20"
"4","MF","GO:0048018","receptor ligand activity",391,4,0.64,7,0.0036,0.0036,0.010230179028133,"Ttr, Tafa1, Pdgfd, Fgf14"
"5","MF","GO:0008270","zinc ion binding",651,5,1.07,8,0.00379,0.00379,0.00768049155145929,"Prkca, Rora, Mt2, Agbl4, Adamts20"
"6","MF","GO:0004620","phospholipase activity",84,2,0.14,10,0.0083,0.0083,0.0238095238095238,"Plce1, Plcb1"
"7","MF","GO:0046872","metal ion binding",3326,14,5.44,1,0.00838,0.00032,0.0042092603728202,"Galnt18, Kcnd3, Pde10a, Cdh19, Prkca, Rora, Plce1, Folh1, Plcb1, Mgp, Gphn, Mt2, Agbl4, Adamts20"
"8","MF","GO:0005261","cation channel activity",310,3,0.51,13,0.01387,0.01387,0.00967741935483871,"Asic2, Kcnd3, Trpm3"
"9","MF","GO:0046983","protein dimerization activity",1311,6,2.14,16,0.01777,0.01777,0.0045766590389016,"Ttr, Hif3a, Cdh19, Hes5, Plcb1, Gphn"
"10","MF","GO:0008083","growth factor activity",133,2,0.22,18,0.01989,0.01989,0.0150375939849624,"Pdgfd, Fgf14"
"11","MF","GO:0005216","ion channel activity",398,3,0.65,19,0.02671,0.02671,0.00753768844221105,"Asic2, Kcnd3, Trpm3"
"12","MF","GO:0022838","substrate-specific channel activity",406,3,0.66,20,0.02812,0.02812,0.00738916256157635,"Asic2, Kcnd3, Trpm3"
"13","MF","GO:0015267","channel activity",429,3,0.7,22,0.03236,0.03236,0.00699300699300699,"Asic2, Kcnd3, Trpm3"
