"","category","GO.ID","Term","Annotated","Significant","Expected","Rank in Fisher.classic","Fisher.elim","Fisher.classic","gene_ratio","genes"
"1","MF","GO:1904315","transmitter-gated ion channel activity i...",52,3,0.22,14,0.0013,0.00131,0.0576923076923077,"Grik2, Gabra2, Gabrb1"
"2","MF","GO:0001540","amyloid-beta binding",57,3,0.24,16,0.0017,0.0017,0.0526315789473684,"Apoe, Cst3, Clu"
"3","MF","GO:0046873","metal ion transmembrane transporter acti...",420,7,1.74,17,0.0018,0.00177,0.0166666666666667,"Kcnn2, Cacna2d3, Kcnj3, Cachd1, Grik2, Slc39a14, Gpm6a"
"4","MF","GO:0005261","cation channel activity",310,6,1.28,20,0.0018,0.0018,0.0193548387096774,"Kcnn2, Cacna2d3, Kcnj3, Cachd1, Grik2, Gpm6a"
"5","MF","GO:0005178","integrin binding",128,4,0.53,21,0.002,0.00197,0.03125,"Gfap, Thy1, Cd9, Cd81"
"6","MF","GO:0019838","growth factor binding",138,4,0.57,25,0.0026,0.00259,0.0289855072463768,"Osmr, Igfbp5, Ntrk2, A2m"
"7","MF","GO:0048156","tau protein binding",21,2,0.09,27,0.0034,0.00338,0.0952380952380952,"Apoe, Clu"
"8","MF","GO:0099095","ligand-gated anion channel activity",21,2,0.09,28,0.0034,0.00338,0.0952380952380952,"Gabra2, Gabrb1"
"9","MF","GO:0016917","GABA receptor activity",22,2,0.09,29,0.0037,0.00371,0.0909090909090909,"Gabra2, Gabrb1"
"10","MF","GO:0035250","UDP-galactosyltransferase activity",24,2,0.1,30,0.0044,0.00441,0.0833333333333333,"B3galt1, Ggta1"
"11","MF","GO:0050750","low-density lipoprotein particle recepto...",24,2,0.1,31,0.0044,0.00441,0.0833333333333333,"Apoe, Clu"
"12","MF","GO:0008066","glutamate receptor activity",27,2,0.11,33,0.0056,0.00556,0.0740740740740741,"Grm5, Grik2"
"13","MF","GO:1990782","protein tyrosine kinase binding",100,3,0.41,37,0.0083,0.0083,0.03,"Angpt1, Ntrk2, Grm5"
"14","MF","GO:0031624","ubiquitin conjugating enzyme binding",34,2,0.14,38,0.0087,0.00873,0.0588235294117647,"Grik2, Siah3"
"15","MF","GO:0035255","ionotropic glutamate receptor binding",40,2,0.17,41,0.0119,0.01194,0.05,"Shisa6, Shank2"
"16","MF","GO:0005262","calcium channel activity",118,3,0.49,43,0.013,0.01299,0.0254237288135593,"Cacna2d3, Cachd1, Gpm6a"
"17","MF","GO:0015485","cholesterol binding",43,2,0.18,44,0.0137,0.01372,0.0465116279069767,"Apoe, Cd81"
"18","MF","GO:0005267","potassium channel activity",121,3,0.5,45,0.0139,0.01389,0.0247933884297521,"Kcnn2, Kcnj3, Grik2"
"19","MF","GO:0032934","sterol binding",49,2,0.2,46,0.0176,0.01758,0.0408163265306122,"Apoe, Cd81"
"20","MF","GO:0005245","voltage-gated calcium channel activity",50,2,0.21,47,0.0183,0.01827,0.04,"Cacna2d3, Cachd1"
"21","MF","GO:0015085","calcium ion transmembrane transporter ac...",135,3,0.56,48,0.0186,0.01857,0.0222222222222222,"Cacna2d3, Cachd1, Gpm6a"
"22","MF","GO:0098960","postsynaptic neurotransmitter receptor a...",57,4,0.24,4,0.0198,9.1e-05,0.0701754385964912,"Grm5, Grik2, Gabra2, Gabrb1"
"23","MF","GO:0022839","ion gated channel activity",317,7,1.31,6,0.0203,0.00034,0.0220820189274448,"Kcnn2, Cacna2d3, Kcnj3, Cachd1, Grik2, Gabra2, Gabrb1"
"24","MF","GO:0022843","voltage-gated cation channel activity",143,3,0.59,51,0.0216,0.02159,0.020979020979021,"Cacna2d3, Kcnj3, Cachd1"
"25","MF","GO:0022836","gated channel activity",329,7,1.36,7,0.0234,0.00043,0.0212765957446809,"Kcnn2, Cacna2d3, Kcnj3, Cachd1, Grik2, Gabra2, Gabrb1"
"26","MF","GO:0098772","molecular function regulator",1565,12,6.49,52,0.0269,0.02685,0.00766773162939297,"Thy1, Apoe, Plce1, Cst3, Ank2, Mgat5, Ppp2r2b, Azin1, Cxcl10, A2m, Sema6d, Dock7"
"27","MF","GO:0015079","potassium ion transmembrane transporter ...",157,3,0.65,53,0.0275,0.02748,0.0191082802547771,"Kcnn2, Kcnj3, Grik2"
"28","MF","GO:0035254","glutamate receptor binding",65,2,0.27,54,0.0298,0.02981,0.0307692307692308,"Shisa6, Shank2"
"29","MF","GO:0005254","chloride channel activity",67,2,0.28,55,0.0315,0.03152,0.0298507462686567,"Gabra2, Gabrb1"
"30","MF","GO:0019888","protein phosphatase regulator activity",67,2,0.28,56,0.0315,0.03152,0.0298507462686567,"Mgat5, Ppp2r2b"
"31","MF","GO:0042802","identical protein binding",1795,13,7.44,57,0.0322,0.03224,0.00724233983286908,"Gfap, Aqp4, Apoe, Cst3, Zbtb16, Fhit, Ntrk2, Ncam2, Cdh20, Grik2, Iigp1, A2m, Nr6a1"
"32","MF","GO:0030971","receptor tyrosine kinase binding",73,2,0.3,58,0.0369,0.03687,0.0273972602739726,"Angpt1, Ntrk2"
"33","MF","GO:0043178","alcohol binding",79,2,0.33,60,0.0426,0.04255,0.0253164556962025,"Apoe, Cd81"
"34","MF","GO:0019208","phosphatase regulator activity",80,2,0.33,61,0.0435,0.04353,0.025,"Mgat5, Ppp2r2b"
"35","MF","GO:0005244","voltage-gated ion channel activity",191,3,0.79,62,0.045,0.04498,0.0157068062827225,"Cacna2d3, Kcnj3, Cachd1"
"36","MF","GO:0022832","voltage-gated channel activity",191,3,0.79,63,0.045,0.04498,0.0157068062827225,"Cacna2d3, Kcnj3, Cachd1"
"37","MF","GO:0003725","double-stranded RNA binding",82,2,0.34,65,0.0455,0.04551,0.024390243902439,"Ddx60, Oasl2"
"38","MF","GO:0005515","protein binding",8273,48,34.29,11,0.0532,0.00115,0.00580200652725734,"Gfap, Usp53, Angpt1, Kcnn2, Thy1, Aqp4, C4b, Apoe, Plce1, Cst3, Osmr, Lrp1b, Ank2, Pdzrn3, Shroom3, Zbtb16, Igfbp5, Palld, Cd9, Fhit, Id3, Ntrk2, Grm5, Cadps, Gpr158, Shisa6, C1qa, Ddx60, Adam23, Ncam2, Cdh20, Lrrc4c, Clu, Grik2, Cxcl10, Iigp1, Gabra2, A2m, Eya1, Acsl3, Fmn2, Sema6d, Nr6a1, Cd81, Gabrb1, Shank2, Siah3, Dock7"
"39","MF","GO:0042578","phosphoric ester hydrolase activity",343,4,1.42,67,0.0541,0.0541,0.0116618075801749,"Plce1, Ppp2r2b, Inpp4b, Eya1"
"40","MF","GO:0036459","thiol-dependent ubiquitinyl hydrolase ac...",92,2,0.38,68,0.0559,0.05587,0.0217391304347826,"Usp53, Usp24"
"41","MF","GO:0005496","steroid binding",92,2,0.38,69,0.0559,0.05587,0.0217391304347826,"Apoe, Cd81"
"42","MF","GO:0101005","ubiquitinyl hydrolase activity",93,2,0.39,70,0.057,0.05695,0.021505376344086,"Usp53, Usp24"
"43","MF","GO:0015108","chloride transmembrane transporter activ...",94,2,0.39,71,0.058,0.05804,0.0212765957446809,"Gabra2, Gabrb1"
"44","MF","GO:0099094","ligand-gated cation channel activity",98,2,0.41,72,0.0625,0.06245,0.0204081632653061,"Kcnj3, Grik2"
"45","MF","GO:0005488","binding",11858,60,49.15,32,0.0648,0.00504,0.00505987518974532,"Gfap, Usp53, Angpt1, Kcnn2, Thy1, Zswim6, Aqp4, C4b, Enox1, Apoe, Plce1, Cst3, Osmr, Lrp1b, Ank2, Mgat5, Pdzrn3, Ppp2r2b, Shroom3, Zbtb16, Inpp4b, Cacna2d3, Igfbp5, Ddah1, Palld, Mt1, Cd9, Ggta1, Fhit, Id3, Ntrk2, Grm5, Cadps, Gpr158, Shisa6, C1qa, Ddx60, Adam23, Ncam2, Oasl2, Cdh20, Lrrc4c, Clu, Grik2, Cxcl10, Iigp1, Gabra2, A2m, Eya1, Acsl3, Fmn2, Sema6d, Nr6a1, Cd81, Gabrb1, Shank2, Setbp1, Siah3, Ube2e2, Dock7"
"46","MF","GO:0005102","signaling receptor binding",1472,15,6.1,9,0.0657,0.00092,0.0101902173913043,"Gfap, Angpt1, Thy1, Apoe, Cd9, Ntrk2, Grm5, Shisa6, Clu, Cxcl10, A2m, Sema6d, Cd81, Gabrb1, Shank2"
"47","MF","GO:0019783","ubiquitin-like protein-specific protease...",102,2,0.42,73,0.067,0.06698,0.0196078431372549,"Usp53, Usp24"
"48","MF","GO:0008289","lipid binding",696,6,2.88,74,0.0685,0.06853,0.00862068965517241,"Thy1, Apoe, Inpp4b, Id3, Cadps, Cd81"
"49","MF","GO:0050839","cell adhesion molecule binding",237,6,0.98,8,0.0693,0.00045,0.0253164556962025,"Gfap, Thy1, Cd9, Cdh20, Lrrc4c, Cd81"
"50","MF","GO:0046914","transition metal ion binding",893,7,3.7,76,0.0764,0.07644,0.00783874580067189,"Zswim6, Mgat5, Pdzrn3, Ddah1, Mt1, Fhit, Nr6a1"
"51","MF","GO:0030234","enzyme regulator activity",894,7,3.71,77,0.0768,0.07679,0.00782997762863535,"Thy1, Apoe, Cst3, Mgat5, Ppp2r2b, Azin1, A2m"
"52","MF","GO:0042803","protein homodimerization activity",894,7,3.71,78,0.0768,0.07679,0.00782997762863535,"Apoe, Zbtb16, Ntrk2, Cdh20, Grik2, A2m, Nr6a1"
"53","MF","GO:0005242","inward rectifier potassium channel activ...",20,1,0.08,79,0.0798,0.07975,0.05,"Kcnj3"
"54","MF","GO:0034593","phosphatidylinositol bisphosphate phosph...",20,1,0.08,80,0.0798,0.07975,0.05,"Inpp4b"
"55","MF","GO:0005385","zinc ion transmembrane transporter activ...",20,1,0.08,81,0.0798,0.07975,0.05,"Slc39a14"
"56","MF","GO:0030165","PDZ domain binding",114,2,0.47,82,0.0812,0.08117,0.0175438596491228,"Shisa6, Grik2"
"57","MF","GO:0022829","wide pore channel activity",21,1,0.09,83,0.0836,0.08357,0.0476190476190476,"Aqp4"
"58","MF","GO:0001848","complement binding",21,1,0.09,84,0.0836,0.08357,0.0476190476190476,"C4b"
"59","MF","GO:0030215","semaphorin receptor binding",21,1,0.09,85,0.0836,0.08357,0.0476190476190476,"Sema6d"
"60","MF","GO:0019955","cytokine binding",116,2,0.48,86,0.0836,0.08362,0.0172413793103448,"Osmr, A2m"
"61","MF","GO:0032947","protein-containing complex scaffold acti...",22,1,0.09,87,0.0874,0.08737,0.0454545454545455,"Shank2"
"62","MF","GO:0016405","CoA-ligase activity",22,1,0.09,88,0.0874,0.08737,0.0454545454545455,"Acsl3"
"63","MF","GO:0140103","catalytic activity, acting on a glycopro...",22,1,0.09,89,0.0874,0.08737,0.0454545454545455,"Mgat5"
"64","MF","GO:0016791","phosphatase activity",254,3,1.05,90,0.0886,0.08859,0.0118110236220472,"Ppp2r2b, Inpp4b, Eya1"
"65","MF","GO:0051787","misfolded protein binding",23,1,0.1,91,0.0912,0.09116,0.0434782608695652,"Clu"
"66","MF","GO:0052866","phosphatidylinositol phosphate phosphata...",24,1,0.1,93,0.0949,0.09493,0.0416666666666667,"Inpp4b"
"67","MF","GO:0019904","protein domain specific binding",762,6,3.16,94,0.0959,0.09591,0.0078740157480315,"Zbtb16, Id3, Shisa6, Grik2, Acsl3, Shank2"
"68","MF","GO:0016878","acid-thiol ligase activity",25,1,0.1,95,0.0987,0.09869,0.04,"Acsl3"
"69","MF","GO:0072509","divalent inorganic cation transmembrane ...",25,1,0.1,96,0.0987,0.09869,0.04,"Slc39a14"
"70","MF","GO:0120013","intermembrane lipid transfer activity",26,1,0.11,99,0.1024,0.10243,0.0384615384615385,"Apoe"
"71","MF","GO:0005520","insulin-like growth factor binding",27,1,0.11,100,0.1062,0.10616,0.037037037037037,"Igfbp5"
"72","MF","GO:0071813","lipoprotein particle binding",27,1,0.11,101,0.1062,0.10616,0.037037037037037,"Apoe"
"73","MF","GO:0071814","protein-lipid complex binding",27,1,0.11,102,0.1062,0.10616,0.037037037037037,"Apoe"
"74","MF","GO:0002020","protease binding",135,2,0.56,103,0.1079,0.10795,0.0148148148148148,"Cst3, A2m"
"75","MF","GO:0045499","chemorepellent activity",28,1,0.12,104,0.1099,0.10987,0.0357142857142857,"Sema6d"
"76","MF","GO:0019956","chemokine binding",28,1,0.12,105,0.1099,0.10987,0.0357142857142857,"A2m"
"77","MF","GO:0005227","calcium activated cation channel activit...",28,1,0.12,106,0.1099,0.10987,0.0357142857142857,"Kcnn2"
"78","MF","GO:0070566","adenylyltransferase activity",29,1,0.12,107,0.1136,0.11356,0.0344827586206897,"Oasl2"
"79","MF","GO:0042287","MHC protein binding",29,1,0.12,108,0.1136,0.11356,0.0344827586206897,"Cd81"
"80","MF","GO:0098918","structural constituent of synapse",29,1,0.12,109,0.1136,0.11356,0.0344827586206897,"Shank2"
"81","MF","GO:0015248","sterol transporter activity",29,1,0.12,110,0.1136,0.11356,0.0344827586206897,"Apoe"
"82","MF","GO:0001968","fibronectin binding",30,1,0.12,112,0.1172,0.11724,0.0333333333333333,"Igfbp5"
"83","MF","GO:0098632","cell-cell adhesion mediator activity",30,1,0.12,113,0.1172,0.11724,0.0333333333333333,"Lrrc4c"
