"","category","GO.ID","Term","Annotated","Significant","Expected","Rank in Fisher.classic","Fisher.elim","Fisher.classic","gene_ratio","genes"
"1","MF","GO:0005509","calcium ion binding",574,25,8.45,13,1.4e-06,1.4e-06,0.0435540069686411,"Spock1, Mgp, Caln1, Pcdh15, Cdh4, Mctp1, Syt9, Dchs2, Cdh13, Cdh9, Slit2, Scube1, Edil3, Smoc1, Syt17, Clstn2, Fstl5, Pkd1l3, Fbn2, Cacna1e, Pcdh19, Dgkg, Adgrl3, Lrp1b, Hpcal1"
"2","MF","GO:0044325","ion channel binding",136,10,2,21,3.4e-05,3.4e-05,0.0735294117647059,"Cacna1c, Rims1, Kcnh1, Fgf13, Dpp10, Kcnq1, Camk2d, Ank3, Snap25, Kcnd3"
"3","MF","GO:0050839","cell adhesion molecule binding",237,17,3.49,6,4e-05,8.8e-08,0.0717299578059072,"Tnr, Cadm1, Lrrc4c, Ptprz1, Cdh4, Ptprd, Ctnna3, Cdh13, Tenm4, Cdh9, Ank3, Ctnnd2, Tenm1, Edil3, Itgbl1, Igsf21, Utrn"
"4","MF","GO:0008066","glutamate receptor activity",27,5,0.4,22,4.1e-05,4.1e-05,0.185185185185185,"Grik4, Grid1, Gria4, Grin3a, Grm1"
"5","MF","GO:1904315","transmitter-gated ion channel activity i...",52,6,0.77,26,0.00011,0.00011,0.115384615384615,"Grik4, Grid1, Gria4, Grin3a, Gabra2, Gabra3"
"6","MF","GO:0005261","cation channel activity",310,20,4.56,2,0.00023,3.7e-08,0.0645161290322581,"Fam155a, Cacna1c, Trpm3, Kcnh1, Cacnb2, Grik4, Gria4, Kcnma1, Oprm1, Trpc7, Kcnq1, Grin3a, Kcnk13, Snap25, Kcnn3, Piezo2, Pkd1l3, Kcnd3, Cacna1e, Catsper3"
"7","MF","GO:0045296","cadherin binding",66,6,0.97,35,0.00042,0.00042,0.0909090909090909,"Cdh4, Ctnna3, Cdh13, Cdh9, Ank3, Ctnnd2"
"8","MF","GO:0045499","chemorepellent activity",28,4,0.41,39,0.00071,0.00071,0.142857142857143,"Nrg1, Apoa1, Slit2, Sema6a"
"9","MF","GO:0005245","voltage-gated calcium channel activity",50,5,0.74,40,0.00082,0.00082,0.1,"Cacna1c, Cacnb2, Oprm1, Cacna1e, Catsper3"
"10","MF","GO:0098632","cell-cell adhesion mediator activity",30,4,0.44,41,0.00093,0.00093,0.133333333333333,"Cntn5, Lrrc4c, Cdh9, Nexn"
"11","MF","GO:0043177","organic acid binding",206,10,3.03,42,0.00099,0.00099,0.0485436893203883,"Hbb-bt, Slc1a3, Hba-a1, Hba-a2, Ptgds, Grin3a, Nr2f2, Pparg, Stard5, Prodh"
"12","MF","GO:0015085","calcium ion transmembrane transporter ac...",135,11,1.99,15,0.00147,5.1e-06,0.0814814814814815,"Fam155a, Cacna1c, Atp2b4, Cacnb2, Oprm1, Trpc7, Grin3a, Atp2c2, Pkd1l3, Cacna1e, Catsper3"
"13","MF","GO:0004879","nuclear receptor activity",40,4,0.59,44,0.00277,0.00277,0.1,"Rorb, Esr1, Nr2f2, Pparg"
"14","MF","GO:0004601","peroxidase activity",44,4,0.65,48,0.00393,0.00393,0.0909090909090909,"Hbb-bs, Hbb-bt, Hba-a1, Hba-a2"
"15","MF","GO:0015079","potassium ion transmembrane transporter ...",157,10,2.31,27,0.00394,0.00011,0.0636942675159236,"Kcnh1, Grik4, Kcnma1, Kcnq1, Kcnk13, Snap25, Slc12a9, Kcnn3, Atp1a2, Kcnd3"
"16","MF","GO:0050998","nitric-oxide synthase binding",22,3,0.32,49,0.00395,0.00395,0.136363636363636,"Atp2b4, Dnm3, Camk2d"
"17","MF","GO:0042562","hormone binding",103,6,1.52,50,0.00419,0.00419,0.058252427184466,"Ttr, Cdh13, Crym, Esr1, Atp1a2, Glp2r"
"18","MF","GO:0042802","identical protein binding",1795,40,26.43,52,0.00525,0.00525,0.0222841225626741,"Ttr, Il12b, Apoe, Cadm1, Kcnh1, Cacnb2, Cst3, Cdh4, Dnm3, Col25a1, Syt9, Gria4, Kcnma1, Cdh13, Crym, C1ql3, Tenm4, Kcnq1, Grin3a, Epm2a, Camk2d, Apoa1, Cdh9, Esr1, Slit2, Nr2f2, Tenm1, Dpyd, Pparg, Map2k6, Igsf21, Rbm11, Gstm5, St6gal1, Sema6a, Grm1, Stk3, Gphn, Ptprg, Sncaip"
"19","MF","GO:0005516","calmodulin binding",183,8,2.69,54,0.00583,0.00583,0.0437158469945355,"Cacna1c, Kcnh1, Atp2b4, Kcnq1, Camk2d, Pde1a, Kcnn3, Gap43"
"20","MF","GO:0120013","intermembrane lipid transfer activity",26,3,0.38,55,0.00639,0.00639,0.115384615384615,"Apoe, Apoa1, Stard5"
"21","MF","GO:0071813","lipoprotein particle binding",27,3,0.4,56,0.00711,0.00711,0.111111111111111,"Apoe, Cdh13, Apoa1"
"22","MF","GO:0008289","lipid binding",696,19,10.25,58,0.00746,0.00746,0.0272988505747126,"Tnr, Apoe, Kcnh1, Pla2g7, Syt9, Ptgds, Dab1, Snx7, Kcnq1, Apoa1, Esr1, Nr2f2, Dennd1a, Pparg, Syt17, Atp1a2, Gap43, Stard5, Fntb"
