"","category","GO.ID","Term","Annotated","Significant","Expected","Rank in Fisher.classic","Fisher.elim","Fisher.classic","gene_ratio","genes"
"1","MF","GO:0042802","identical protein binding",1795,56,34.65,2,0.00021,0.00021,0.0311977715877437,"Il12b, Cst3, Ldlr, Apoe, Robo1, Dpyd, Tyrobp, Runx1, C1qb, Gls, Timm9, Hmgcr, Prkn, Ttr, Camk2d, Gadd45g, Gfap, Lnpk, Hmgcs1, C1ql3, Kcnh1, Caskin1, Bri3, Ywhaz, Chka, Ggps1, Slc16a1, Tef, Igsf21, Mthfd1l, Prkab2, Inhbb, Rad18, Fhit, Hnrnpu, Vegfd, Cst7, Dffb, Rilpl2, Lyz2, Flnb, Crym, Cebpg, Sh3gl2, Desi1, Mapk1, Lpl, Prdx1, App, Aqp4, Pdgfb, Grb10, Qtrt1, Pygb, Nrn1, Csf1r"
"2","MF","GO:0071813","lipoprotein particle binding",27,4,0.52,3,0.00169,0.00169,0.148148148148148,"Ldlr, Apoe, Trem2, Lpl"
"3","MF","GO:0046983","protein dimerization activity",1311,40,25.31,7,0.00273,0.00273,0.030511060259344,"Il12b, Apoe, Dpyd, Runx1, Kcnn3, C1qb, Ina, Timm9, Hmgcr, Ttr, Camk2d, Hmgcs1, H2-K1, Kcnh1, Atf4, Chka, Slc16a1, Tef, Igsf21, Mthfd1l, H2-D1, Inhbb, Srebf2, Vegfd, Cst7, Mef2a, Rilpl2, Neurod6, Tead1, Crym, Cebpg, Sh3gl2, Lpl, Prdx1, Pdgfb, Qtrt1, Rragb, Pygb, Nrn1, Csf1r"
"4","MF","GO:0005178","integrin binding",128,8,2.47,8,0.00343,0.00343,0.0625,"Thy1, Ptprz1, Tnr, Gfap, Cd9, Itgbl1, Itga6, Igf1"
"5","MF","GO:0043394","proteoglycan binding",35,4,0.68,9,0.00446,0.00446,0.114285714285714,"Apoe, Ctss, Lpl, Ptprc"
"6","MF","GO:0001540","amyloid-beta binding",57,5,1.1,10,0.0048,0.0048,0.087719298245614,"Cst3, Ldlr, Apoe, Trem2, Olfm1"
"7","MF","GO:0044325","ion channel binding",136,8,2.63,11,0.00495,0.00495,0.0588235294117647,"Snap25, Camk2d, Cacna1c, Kcnh1, Kcnc2, Ywhaz, Scn3b, Dpp10"
"8","MF","GO:0017069","snRNA binding",37,4,0.71,12,0.00546,0.00546,0.108108108108108,"Snrnp70, Lsm11, Hnrnpu, Ccnt2"
"9","MF","GO:0001223","transcription coactivator binding",22,3,0.42,13,0.00837,0.00837,0.136363636363636,"Ccnt2, Tead1, Foxo1"
"10","MF","GO:0022839","ion gated channel activity",317,13,6.12,14,0.00895,0.00895,0.0410094637223975,"Snap25, Kcnn3, Grik4, Cachd1, Cacna1c, Kcnh1, Kcnc2, Kcns3, Grik3, Cnr1, Scn3b, Clic1, Grid1"
"11","MF","GO:0005267","potassium channel activity",121,7,2.34,15,0.00911,0.00911,0.0578512396694215,"Snap25, Kcnn3, Grik4, Kcnh1, Kcnc2, Kcns3, Grik3"
"12","MF","GO:0001530","lipopolysaccharide binding",24,3,0.46,16,0.01069,0.01069,0.125,"Zranb2, Trem2, Psma1"
"13","MF","GO:0004857","enzyme inhibitor activity",326,13,6.29,17,0.01113,0.01113,0.0398773006134969,"Cst3, Gpc3, Atp2b4, Ppp1r1a, Usp14, Wnk1, Atpif1, Ppp1r14c, Spock1, Anxa3, Cst7, Timp4, App"
"14","MF","GO:0019899","enzyme binding",2238,58,43.21,18,0.01172,0.01172,0.0259159964253798,"Thy1, Luc7l2, Cst3, Ldlr, Srsf2, Arhgap6, St5, Hmgcr, Prkn, Nrg1, Camk2d, Gfap, Cacna1c, Rgl1, Psmd1, Trem2, Kcnh1, Atp2b4, Errfi1, Ywhaz, Atf4, Stk19, Ube2b, Prkab2, Wnk1, Cadps, Sytl2, Polr2a, Sergef, Atpif1, Ndufaf7, Rad18, Fhit, Hnrnpu, Rasgef1b, Pea15a, Dffb, Pcf11, Mef2a, Rilpl2, Rasgrf1, Timp4, Ccnt2, Dennd3, Sh3gl2, Gys1, Ambra1, Mapk1, Jtb, Foxo1, App, Ptprc, Ube2d3, Rragb, Nfatc2, Rab34, Pfkfb2, Csf1r"
"15","MF","GO:0098772","molecular function regulator",1565,43,30.21,19,0.01185,0.01185,0.0274760383386581,"Thy1, Il12b, Cst3, Apoe, Arhgap6, St5, Ttr, Nrg1, Camk2d, Rgl1, Gpc3, Socs2, C1qtnf4, Psmd1, Atp2b4, Tafa2, Ppp1r1a, Usp14, Wnk1, Sergef, Arhgap45, Gnas, Atpif1, Inhbb, Ppp1r14c, Spock1, Anxa3, Scn3b, Vegfd, Dpp10, Rasgef1b, Agfg2, Cst7, Rasgrf1, Timp4, Ccnt2, Ccl6, Dennd3, Rgs6, Sec14l2, App, Pdgfb, Igf1"
"16","MF","GO:0019901","protein kinase binding",715,23,13.8,21,0.01198,0.01198,0.0321678321678322,"Thy1, Srsf2, Prkn, Nrg1, Trem2, Kcnh1, Atp2b4, Errfi1, Ywhaz, Atf4, Prkab2, Wnk1, Cadps, Pea15a, Mef2a, Rasgrf1, Ccnt2, Sh3gl2, Gys1, Mapk1, Jtb, Ptprc, Pfkfb2"
"17","MF","GO:0022832","voltage-gated channel activity",191,9,3.69,22,0.0121,0.0121,0.0471204188481675,"Snap25, Cachd1, Cacna1c, Kcnh1, Kcnc2, Kcns3, Cnr1, Scn3b, Clic1"
"18","MF","GO:0005244","voltage-gated ion channel activity",191,9,3.69,23,0.0121,0.0121,0.0471204188481675,"Snap25, Cachd1, Cacna1c, Kcnh1, Kcnc2, Kcns3, Cnr1, Scn3b, Clic1"
"19","MF","GO:0005539","glycosaminoglycan binding",192,9,3.71,24,0.01249,0.01249,0.046875,"Apoe, Dcn, Trem2, Tgfbr3, Cemip, Mamdc2, Lpl, App, Ptprc"
"20","MF","GO:0046982","protein heterodimerization activity",520,18,10.04,25,0.01268,0.01268,0.0346153846153846,"Il12b, Runx1, Kcnn3, Ina, Ttr, H2-K1, Kcnh1, Atf4, Tef, H2-D1, Inhbb, Mef2a, Tead1, Cebpg, Pdgfb, Qtrt1, Rragb, Nrn1"
"21","MF","GO:0016209","antioxidant activity",74,5,1.43,27,0.01418,0.01418,0.0675675675675676,"Hbb-bs, Apoe, Selenow, Hbb-bt, Prdx1"
"22","MF","GO:0030234","enzyme regulator activity",894,27,17.26,28,0.01468,0.01468,0.0302013422818792,"Thy1, Cst3, Apoe, Arhgap6, Nrg1, Gpc3, Socs2, Psmd1, Atp2b4, Ppp1r1a, Usp14, Wnk1, Arhgap45, Gnas, Atpif1, Ppp1r14c, Spock1, Anxa3, Agfg2, Cst7, Timp4, Ccnt2, Rgs6, Sec14l2, App, Pdgfb, Igf1"
"23","MF","GO:0042803","protein homodimerization activity",894,27,17.26,29,0.01468,0.01468,0.0302013422818792,"Il12b, Apoe, Dpyd, Runx1, C1qb, Timm9, Hmgcr, Camk2d, Hmgcs1, Chka, Slc16a1, Tef, Igsf21, Mthfd1l, Inhbb, Vegfd, Cst7, Crym, Cebpg, Sh3gl2, Lpl, Prdx1, Pdgfb, Qtrt1, Pygb, Nrn1, Csf1r"
"24","MF","GO:0008066","glutamate receptor activity",27,3,0.52,30,0.01481,0.01481,0.111111111111111,"Grik4, Grik3, Grid1"
"25","MF","GO:0019900","kinase binding",791,24,15.27,32,0.01975,0.01975,0.0303413400758533,"Thy1, Srsf2, Prkn, Nrg1, Gfap, Trem2, Kcnh1, Atp2b4, Errfi1, Ywhaz, Atf4, Prkab2, Wnk1, Cadps, Pea15a, Mef2a, Rasgrf1, Ccnt2, Sh3gl2, Gys1, Mapk1, Jtb, Ptprc, Pfkfb2"
"26","MF","GO:0019902","phosphatase binding",210,9,4.05,35,0.02114,0.02114,0.0428571428571429,"Hmgcr, Cacna1c, Atp2b4, Wnk1, Sytl2, Mapk1, Foxo1, Nfatc2, Csf1r"
"27","MF","GO:0022843","voltage-gated cation channel activity",143,7,2.76,36,0.02116,0.02116,0.048951048951049,"Snap25, Cachd1, Cacna1c, Kcnh1, Kcnc2, Kcns3, Cnr1"
"28","MF","GO:0036002","pre-mRNA binding",31,3,0.6,37,0.02151,0.02151,0.0967741935483871,"Srsf2, Hnrnpu, Celf4"
"29","MF","GO:0050840","extracellular matrix binding",56,4,1.08,38,0.02284,0.02284,0.0714285714285714,"Ctss, Dcn, Spock1, Itga6"
"30","MF","GO:0017080","sodium channel regulator activity",32,3,0.62,40,0.0234,0.0234,0.09375,"Camk2d, Atp2b4, Scn3b"
"31","MF","GO:0008200","ion channel inhibitor activity",32,3,0.62,41,0.0234,0.0234,0.09375,"Camk2d, Wnk1, Scn3b"
"32","MF","GO:0016791","phosphatase activity",254,10,4.9,42,0.02622,0.02622,0.0393700787401575,"Ptprz1, Nt5c, Plppr1, Pgp, Inpp5d, Ppm1e, Minpp1, Ptprc, Ppp6c, Pfkfb2"
"33","MF","GO:0016248","channel inhibitor activity",34,3,0.66,43,0.02745,0.02745,0.0882352941176471,"Camk2d, Wnk1, Scn3b"
"34","MF","GO:0051721","protein phosphatase 2A binding",38,3,0.73,46,0.03659,0.03659,0.0789473684210526,"Hmgcr, Cacna1c, Foxo1"
"35","MF","GO:0005088","Ras guanyl-nucleotide exchange factor ac...",127,6,2.45,47,0.03676,0.03676,0.047244094488189,"St5, Rgl1, Sergef, Rasgef1b, Rasgrf1, Dennd3"
"36","MF","GO:0001228","DNA-binding transcription activator acti...",389,13,7.51,49,0.03971,0.03971,0.0334190231362468,"Runx1, Junb, Nfib, Atf4, Tef, Rreb1, Zfp292, Mef2a, Neurod6, Tead1, Cebpg, Esrra, Nfatc2"
"37","MF","GO:0030414","peptidase inhibitor activity",165,7,3.19,51,0.04136,0.04136,0.0424242424242424,"Cst3, Gpc3, Usp14, Spock1, Cst7, Timp4, App"
"38","MF","GO:0005272","sodium channel activity",40,3,0.77,52,0.04168,0.04168,0.075,"Grik4, Grik3, Scn3b"
"39","MF","GO:0005518","collagen binding",68,4,1.31,53,0.0424,0.0424,0.0588235294117647,"Ctss, Dcn, Spock1, Pdgfb"
"40","MF","GO:0008047","enzyme activator activity",436,14,8.42,54,0.04451,0.04451,0.0321100917431193,"Thy1, Apoe, Arhgap6, Nrg1, Wnk1, Arhgap45, Gnas, Agfg2, Ccnt2, Rgs6, Sec14l2, App, Pdgfb, Igf1"
"41","MF","GO:0050661","NADP binding",44,3,0.85,55,0.05284,0.05284,0.0681818181818182,"Dpyd, Hmgcr, Crym"
"42","MF","GO:0004601","peroxidase activity",44,3,0.85,56,0.05284,0.05284,0.0681818181818182,"Hbb-bs, Hbb-bt, Prdx1"
"43","MF","GO:0031625","ubiquitin protein ligase binding",288,10,5.56,57,0.05371,0.05371,0.0347222222222222,"Prkn, Psmd1, Ywhaz, Ube2b, Polr2a, Rad18, Fhit, Ambra1, Foxo1, Ube2d3"
