"","category","GO.ID","Term","Annotated","Significant","Expected","Rank in Fisher.classic","Fisher.elim","Fisher.classic","gene_ratio","genes"
"1","MF","GO:0001540","amyloid-beta binding",57,3,0.12,1,0.00024,0.00024,0.0526315789473684,"Apoe, Cst3, Ldlr"
"2","MF","GO:0071813","lipoprotein particle binding",27,2,0.06,3,0.0015,0.0015,0.0740740740740741,"Apoe, Ldlr"
"3","MF","GO:0070325","lipoprotein particle receptor binding",28,2,0.06,5,0.00161,0.00161,0.0714285714285714,"Apoe, Reln"
"4","MF","GO:0005267","potassium channel activity",121,3,0.26,6,0.00215,0.00215,0.0247933884297521,"Snap25, Kcnip4, Kcng2"
"5","MF","GO:0004601","peroxidase activity",44,2,0.09,7,0.00394,0.00394,0.0454545454545455,"Hbb-bs, Hba-a2"
"6","MF","GO:0005244","voltage-gated ion channel activity",191,3,0.41,12,0.00772,0.00772,0.0157068062827225,"Snap25, Kcnip4, Kcng2"
"7","MF","GO:0008135","translation factor activity, RNA binding",76,2,0.16,16,0.01138,0.01138,0.0263157894736842,"Cpeb1, Eif1b"
"8","MF","GO:0042802","identical protein binding",1795,9,3.82,17,0.01144,0.01144,0.00501392757660167,"Il12b, Robo2, Apoe, Prkab2, Cst3, Gfap, Ldlr, Arl6ip1, Sept1"
"9","MF","GO:0003730","mRNA 3'-UTR binding",83,2,0.18,22,0.01346,0.01346,0.0240963855421687,"Rnps1, Cpeb1"
"10","MF","GO:0005249","voltage-gated potassium channel activity",85,2,0.18,23,0.01408,0.01408,0.0235294117647059,"Snap25, Kcng2"
"11","MF","GO:0005488","binding",11858,33,25.22,11,0.01447,0.00509,0.00278293135435993,"Thy1, Il12b, Zfp46, Luc7l2, Snap25, Robo2, Apoe, Kcnip4, Prkab2, Cst3, Zswim7, Inpp5d, Hbb-bs, Tceal5, Hba-a2, Smoc2, Reln, Rnps1, Ly86, Gfap, Ldlr, Ube2b, Arl6ip1, Adam19, Srsf2, Rpusd3, Thap3, Sept1, Snta1, Malat1, St18, Cpeb1, Eif1b"
"12","MF","GO:0003729","mRNA binding",251,3,0.53,24,0.01612,0.01612,0.0119521912350598,"Luc7l2, Rnps1, Cpeb1"
"13","MF","GO:0003723","RNA binding",1018,6,2.17,26,0.01958,0.01958,0.00589390962671906,"Luc7l2, Rnps1, Srsf2, Rpusd3, Cpeb1, Eif1b"
"14","MF","GO:0019904","protein domain specific binding",762,5,1.62,27,0.02188,0.02188,0.00656167979002625,"Snap25, Inpp5d, Tceal5, Adam19, Snta1"
"15","MF","GO:0017124","SH3 domain binding",126,2,0.27,30,0.02942,0.02942,0.0158730158730159,"Inpp5d, Adam19"
"16","MF","GO:0005178","integrin binding",128,2,0.27,32,0.03028,0.03028,0.015625,"Thy1, Gfap"
"17","MF","GO:0002020","protease binding",135,2,0.29,34,0.03339,0.03339,0.0148148148148148,"Cst3, Ldlr"
"18","MF","GO:0016247","channel regulator activity",136,2,0.29,36,0.03384,0.03384,0.0147058823529412,"Kcnip4, Snta1"
"19","MF","GO:0044325","ion channel binding",136,2,0.29,37,0.03384,0.03384,0.0147058823529412,"Snap25, Snta1"
"20","MF","GO:0022843","voltage-gated cation channel activity",143,2,0.3,38,0.03708,0.03708,0.013986013986014,"Snap25, Kcng2"
"21","MF","GO:0008201","heparin binding",144,2,0.31,40,0.03756,0.03756,0.0138888888888889,"Apoe, Smoc2"
"22","MF","GO:0043021","ribonucleoprotein complex binding",145,2,0.31,42,0.03803,0.03803,0.0137931034482759,"Cpeb1, Eif1b"
"23","MF","GO:0052745","inositol phosphate phosphatase activity",20,1,0.04,43,0.04171,0.04171,0.05,"Inpp5d"
"24","MF","GO:0019899","enzyme binding",2238,9,4.76,44,0.04187,0.04187,0.00402144772117962,"Thy1, Luc7l2, Prkab2, Cst3, Gfap, Ldlr, Ube2b, Srsf2, Snta1"
"25","MF","GO:0048156","tau protein binding",21,1,0.04,45,0.04375,0.04375,0.0476190476190476,"Apoe"
"26","MF","GO:0004866","endopeptidase inhibitor activity",157,2,0.33,46,0.04391,0.04391,0.0127388535031847,"Cst3, Spink10"
"27","MF","GO:0098772","molecular function regulator",1565,7,3.33,47,0.04473,0.04473,0.00447284345047923,"Thy1, Il12b, Apoe, Kcnip4, Cst3, Snta1, Spink10"
"28","MF","GO:0050998","nitric-oxide synthase binding",22,1,0.05,48,0.04579,0.04579,0.0454545454545455,"Snta1"
"29","MF","GO:0090079","translation regulator activity, nucleic ...",22,1,0.05,49,0.04579,0.04579,0.0454545454545455,"Cpeb1"
"30","MF","GO:0030414","peptidase inhibitor activity",165,2,0.35,50,0.048,0.048,0.0121212121212121,"Cst3, Spink10"
"31","MF","GO:0061135","endopeptidase regulator activity",165,2,0.35,51,0.048,0.048,0.0121212121212121,"Cst3, Spink10"
"32","MF","GO:0050750","low-density lipoprotein particle recepto...",24,1,0.05,52,0.04985,0.04985,0.0416666666666667,"Apoe"
"33","MF","GO:0030371","translation repressor activity",24,1,0.05,53,0.04985,0.04985,0.0416666666666667,"Cpeb1"
"34","MF","GO:0052866","phosphatidylinositol phosphate phosphata...",24,1,0.05,54,0.04985,0.04985,0.0416666666666667,"Inpp5d"
"35","MF","GO:0017075","syntaxin-1 binding",26,1,0.06,55,0.05389,0.05389,0.0384615384615385,"Snap25"
"36","MF","GO:0016866","intramolecular transferase activity",26,1,0.06,56,0.05389,0.05389,0.0384615384615385,"Rpusd3"
"37","MF","GO:0035925","mRNA 3'-UTR AU-rich region binding",26,1,0.06,57,0.05389,0.05389,0.0384615384615385,"Cpeb1"
"38","MF","GO:0120013","intermembrane lipid transfer activity",26,1,0.06,58,0.05389,0.05389,0.0384615384615385,"Apoe"
"39","MF","GO:0005515","protein binding",8273,24,17.6,28,0.05513,0.0288,0.00290100326362867,"Thy1, Il12b, Luc7l2, Snap25, Robo2, Apoe, Prkab2, Cst3, Inpp5d, Hbb-bs, Tceal5, Hba-a2, Reln, Ly86, Gfap, Ldlr, Ube2b, Arl6ip1, Adam19, Srsf2, Sept1, Snta1, Malat1, Cpeb1"
"40","MF","GO:0017091","AU-rich element binding",28,1,0.06,59,0.05792,0.05792,0.0357142857142857,"Cpeb1"
"41","MF","GO:0016209","antioxidant activity",74,3,0.16,2,0.05898,0.00052,0.0405405405405405,"Apoe, Hbb-bs, Hba-a2"
"42","MF","GO:0015248","sterol transporter activity",29,1,0.06,60,0.05992,0.05992,0.0344827586206897,"Apoe"
