"","category","GO.ID","Term","Annotated","Significant","Expected","Rank in Fisher.classic","Fisher.elim","Fisher.classic","gene_ratio","genes"
"1","MF","GO:0005178","integrin binding",128,1,0.01,1,0.007,0.007,0.0078125,"Thy1"
"2","MF","GO:0005096","GTPase activator activity",235,1,0.01,2,0.013,0.013,0.00425531914893617,"Thy1"
"3","MF","GO:0035091","phosphatidylinositol binding",247,1,0.01,4,0.013,0.013,0.00404858299595142,"Thy1"
"4","MF","GO:0030695","GTPase regulator activity",253,1,0.01,5,0.014,0.014,0.00395256916996047,"Thy1"
"5","MF","GO:0060589","nucleoside-triphosphatase regulator acti...",291,1,0.02,6,0.016,0.016,0.00343642611683849,"Thy1"
"6","MF","GO:0005543","phospholipid binding",407,1,0.02,7,0.022,0.022,0.00245700245700246,"Thy1"
"7","MF","GO:0008047","enzyme activator activity",436,1,0.02,8,0.024,0.024,0.00229357798165138,"Thy1"
"8","MF","GO:0008289","lipid binding",696,1,0.04,9,0.038,0.038,0.0014367816091954,"Thy1"
"9","MF","GO:0019901","protein kinase binding",715,1,0.04,10,0.039,0.039,0.0013986013986014,"Thy1"
"10","MF","GO:0019900","kinase binding",791,1,0.04,11,0.043,0.043,0.00126422250316056,"Thy1"
"11","MF","GO:0030234","enzyme regulator activity",894,1,0.05,12,0.049,0.049,0.00111856823266219,"Thy1"
"12","MF","GO:0098772","molecular function regulator",1565,1,0.09,15,0.085,0.085,0.000638977635782748,"Thy1"
"13","MF","GO:0097367","carbohydrate derivative binding",2036,1,0.11,16,0.111,0.111,0.000491159135559921,"Thy1"
"14","MF","GO:0019899","enzyme binding",2238,1,0.12,17,0.122,0.122,0.000446827524575514,"Thy1"
"15","MF","GO:0043168","anion binding",2593,1,0.14,18,0.141,0.141,0.000385653682992673,"Thy1"
"16","MF","GO:0043167","ion binding",5224,1,0.28,19,0.285,0.285,0.000191424196018377,"Thy1"
"17","MF","GO:0003674","molecular_function",18336,1,1,22,1,1,5.45375218150087e-05,"Thy1"
"18","MF","GO:0005488","binding",11858,1,0.65,21,1,0.647,8.4331253162422e-05,"Thy1"
"19","MF","GO:0005102","signaling receptor binding",1472,1,0.08,14,1,0.08,0.000679347826086957,"Thy1"
"20","MF","GO:0044877","protein-containing complex binding",1185,1,0.06,13,1,0.065,0.000843881856540084,"Thy1"
"21","MF","GO:0050839","cell adhesion molecule binding",237,1,0.01,3,1,0.013,0.00421940928270042,"Thy1"
"22","MF","GO:0005515","protein binding",8273,1,0.45,20,1,0.451,0.000120875135984528,"Thy1"
"23","MF","GO:0000030","mannosyltransferase activity",26,0,0,23,1,1,0,""
"24","MF","GO:0000049","tRNA binding",57,0,0,24,1,1,0,""
"25","MF","GO:0000062","fatty-acyl-CoA binding",26,0,0,25,1,1,0,""
"26","MF","GO:0000149","SNARE binding",116,0,0.01,26,1,1,0,""
"27","MF","GO:0000166","nucleotide binding",1969,0,0.11,27,1,1,0,""
"28","MF","GO:0000175","3'-5'-exoribonuclease activity",28,0,0,28,1,1,0,""
"29","MF","GO:0000217","DNA secondary structure binding",24,0,0,29,1,1,0,""
"30","MF","GO:0000287","magnesium ion binding",187,0,0.01,30,1,1,0,""
"31","MF","GO:0000976","transcription regulatory region sequence...",786,0,0.04,31,1,1,0,""
"32","MF","GO:0000977","RNA polymerase II regulatory region sequ...",744,0,0.04,32,1,1,0,""
"33","MF","GO:0000978","RNA polymerase II proximal promoter sequ...",513,0,0.03,33,1,1,0,""
"34","MF","GO:0000979","RNA polymerase II core promoter sequence...",37,0,0,34,1,1,0,""
"35","MF","GO:0000980","RNA polymerase II distal enhancer sequen...",86,0,0,35,1,1,0,""
"36","MF","GO:0000981","DNA-binding transcription factor activit...",669,0,0.04,36,1,1,0,""
