"","category","GO.ID","Term","Annotated","Significant","Expected","Rank in Fisher.classic","Fisher.elim","Fisher.classic","gene_ratio","genes"
"1","MF","GO:0045296","cadherin binding",66,7,0.98,4,5.4e-05,5.4e-05,0.106060606060606,"Cdh9, Cdh8, Trpc4, Ctnna2, Ctnna3, Cdh11, Cdk5r1"
"2","MF","GO:0042802","identical protein binding",1795,52,26.63,3,8.7e-05,1.9e-06,0.0289693593314763,"Fth1, Grik2, Prkd1, Cdh9, Syndig1, Ncam2, Robo2, Gria2, C1ql2, C1qb, Epha4, Hnrnpu, Fhit, Skap1, Cdh8, Sh3glb2, Ighm, Stat3, Tyrobp, Pygb, Gabrb3, Atf6, Uxs1, App, Jun, Dgkh, Ctnna2, Bhlhe22, Cst3, Nampt, Tef, Cdh11, Hook1, Mtmr1, Zbtb16, Camk2d, Csf1r, Gfap, Mapk3, Htra2, Gls, Ndel1, Zc3hav1, Smad1, Kctd12, Ccl4, Il6ra, Cebpd, Aplp1, Spata13, Psap, Thra"
"3","MF","GO:0019899","enzyme binding",2238,53,33.2,7,0.00036,0.00036,0.0236818588025022,"Thy1, Luc7l2, Grik2, Stxbp6, Srsf2, Dock10, Gria2, Cblb, Rabgap1l, Eef1a1, Dgki, Diaph2, Epha4, Hnrnpu, Chl1, Fhit, Skap1, Trem2, Slc4a3, Ppp3ca, Stat3, Nrg1, Serinc1, Atf6, App, Jun, Zfp932, Cst3, Rap1a, Il1r1, Camk2n1, Cdc42se2, Itpka, Arfgef3, Hnrnpa0, St5, Pde4d, Camk2d, Csf1r, Gfap, Mapk3, Ptk2b, Calm1, Cdk5r1, Dennd1b, Zc3hav1, Smad1, Tiam2, Srsf1, Il6ra, Spata13, Psap, Kidins220"
"4","MF","GO:0005516","calmodulin binding",183,10,2.71,8,0.00042,0.00042,0.0546448087431694,"Adcy1, Eef1a1, Sntb2, Ppp3ca, Nrgn, Atp2b1, Esrrg, Itpka, Camk2d, Camkk1"
"5","MF","GO:0004683","calmodulin-dependent protein kinase acti...",27,4,0.4,10,0.00064,0.00064,0.148148148148148,"Itpka, Camk2d, Ptk2b, Camkk1"
"6","MF","GO:0045499","chemorepellent activity",28,4,0.42,11,0.00073,0.00073,0.142857142857143,"Sema6d, Sema5a, Epha7, Nrg1"
"7","MF","GO:0004714","transmembrane receptor protein tyrosine ...",57,5,0.85,15,0.00154,0.00154,0.087719298245614,"Epha5, Epha7, Epha4, Epha6, Csf1r"
"8","MF","GO:0005267","potassium channel activity",121,7,1.79,20,0.0022,0.0022,0.0578512396694215,"Kcnip4, Grik2, Kcnb2, Gria2, Kcnt2, Kcnd2, Tmem38b"
"9","MF","GO:0004879","nuclear receptor activity",40,4,0.59,23,0.00284,0.00284,0.1,"Stat3, Esrrg, Nr1d2, Thra"
"10","MF","GO:0042803","protein homodimerization activity",894,24,13.26,28,0.00376,0.00376,0.0268456375838926,"Grik2, Cdh9, Syndig1, C1qb, Skap1, Cdh8, Stat3, Pygb, Uxs1, Jun, Dgkh, Bhlhe22, Nampt, Tef, Cdh11, Mtmr1, Zbtb16, Camk2d, Csf1r, Smad1, Il6ra, Cebpd, Psap, Thra"
"11","MF","GO:0044325","ion channel binding",136,7,2.02,29,0.00421,0.00421,0.0514705882352941,"Kcnb2, Scn3b, Fgf12, Grina, Pde4d, Camk2d, Calm1"
"12","MF","GO:0000978","RNA polymerase II proximal promoter sequ...",513,16,7.61,30,0.00432,0.00432,0.0311890838206628,"St18, Rreb1, Hnrnpu, Stat3, Etv1, Ddn, Atf6, Jun, Ndn, Zfp932, Tef, Tead1, Nr1d2, Nfib, Smad1, Cebpd"
"13","MF","GO:0030371","translation repressor activity",24,3,0.36,33,0.00519,0.00519,0.125,"Purb, Cirbp, Cpeb1"
"14","MF","GO:0005509","calcium ion binding",574,17,8.51,35,0.00552,0.00552,0.029616724738676,"Kcnip4, Cdh9, Cblb, Egfem1, Cdh8, Sparcl1, Pls3, Fstl4, Cdh11, Capn11, Pcdh20, Dchs2, Heg1, Calb1, Calm1, Cdk5r1, Pcdh8"
"15","MF","GO:0001228","DNA-binding transcription activator acti...",389,13,5.77,36,0.00557,0.00557,0.0334190231362468,"St18, Rreb1, Stat3, Etv1, Esrrg, Jun, Ndn, Tef, Tead1, Irf2bpl, Nfib, Smad1, Cebpd"
"16","MF","GO:0043167","ion binding",5224,102,77.49,12,0.00633,0.00075,0.0195252679938744,"Thy1, Kcnip4, Lrrtm4, Fth1, St18, Epha5, Cyp7b1, Cpne4, Prkd1, Csgalnact1, Stxbp6, Cdh9, Adcy1, Srsf7, Clvs2, Fyco1, Adk, Sema5a, Cblb, Fgf12, Epha7, Rreb1, Eef1a1, Egfem1, Adarb2, Epha4, Chsy3, Hnrnpu, Fhit, Rasl10a, Pard3b, Cdh8, Clvs1, Trem2, Trpc4, Cacna2d1, Zfp445, Plod2, Zfp46, Ppp3ca, Nrgn, Sparcl1, Tyrobp, Pygb, Mmp16, Atp2b1, Hipk2, Esrrg, Uxs1, App, Ddx17, Phf24, Zfp932, Pls3, Ypel3, Fstl4, Trim35, Gsdme, Rap1a, Iyd, Cdh11, Capn11, Arsj, Ddx3y, Epha6, Itpka, Pcdh20, Nvl, Pde4d, Camk2d, Kcnd2, Wdfy2, Irf2bpl, Csf1r, Map1b, Dchs2, Heg1, Ppm1e, Nr1d2, Mapk3, Galns, Calb1, Ptk2b, Cpeb1, Phf20l1, Calm1, Pcgf6, Camkk1, Cdk5r1, Ubr3, Zfp260, Dennd1b, Slc1a3, Zc3hav1, Itga7, Asphd2, Smad1, Lonrf3, Aplp1, Pcdh8, Psap, Thra"
"17","MF","GO:0008066","glutamate receptor activity",27,3,0.4,39,0.00726,0.00726,0.111111111111111,"Grik2, Gria2, Ptk2b"
"18","MF","GO:0098632","cell-cell adhesion mediator activity",30,3,0.45,43,0.00975,0.00975,0.1,"Cntn5, Cdh9, Ntng1"
"19","MF","GO:0046875","ephrin receptor binding",31,3,0.46,45,0.01068,0.01068,0.0967741935483871,"Epha7, Epha4, Cdk5r1"
"20","MF","GO:0022824","transmitter-gated ion channel activity",58,4,0.86,46,0.01073,0.01073,0.0689655172413793,"Grik2, Gria2, Gabrb3, Ptk2b"
"21","MF","GO:0022835","transmitter-gated channel activity",58,4,0.86,47,0.01073,0.01073,0.0689655172413793,"Grik2, Gria2, Gabrb3, Ptk2b"
"22","MF","GO:0017048","Rho GTPase binding",164,7,2.43,48,0.01135,0.01135,0.0426829268292683,"Stxbp6, Dock10, Diaph2, Cdc42se2, Itpka, Tiam2, Spata13"
"23","MF","GO:0017080","sodium channel regulator activity",32,3,0.47,49,0.01166,0.01166,0.09375,"Scn3b, Fgf12, Camk2d"
"24","MF","GO:0005088","Ras guanyl-nucleotide exchange factor ac...",127,6,1.88,50,0.01173,0.01173,0.047244094488189,"Dock10, Rap1a, St5, Dennd1b, Tiam2, Spata13"
"25","MF","GO:0003729","mRNA binding",251,9,3.72,52,0.01289,0.01289,0.0358565737051793,"Luc7l2, Eef1a1, Hnrnpu, Purb, Snrnp70, Hnrnpa0, Cirbp, Cpeb1, Srsf1"
"26","MF","GO:0048020","CCR chemokine receptor binding",35,3,0.52,56,0.01489,0.01489,0.0857142857142857,"Stat3, Ccl6, Ccl4"
"27","MF","GO:0043394","proteoglycan binding",35,3,0.52,57,0.01489,0.01489,0.0857142857142857,"Lrrtm4, Sema5a, Ctss"
"28","MF","GO:0015085","calcium ion transmembrane transporter ac...",135,6,2,59,0.01547,0.01547,0.0444444444444444,"Trpc4, Cacna2d1, Orai2, Gpm6a, Atp2b1, Slc24a2"
"29","MF","GO:0035254","glutamate receptor binding",65,4,0.96,61,0.01581,0.01581,0.0615384615384615,"Syndig1, Il1r1, Calm1, Cdk5r1"
"30","MF","GO:0008289","lipid binding",696,18,10.32,62,0.0162,0.0162,0.0258620689655172,"Thy1, Inpp4b, Cpne4, Stxbp6, Stra6, Clvs2, Pard3b, Clvs1, Trem2, Nrgn, Osbp2, Esrrg, Psma1, Gsdme, Map1b, Calb1, Dennd1b, Psap"
"31","MF","GO:0044877","protein-containing complex binding",1185,27,17.58,64,0.01759,0.01759,0.0227848101265823,"Thy1, Malat1, Ppfia2, Gria2, Cd9, Hnrnpu, Skap1, Trem2, Dync1i2, Sparcl1, Ctss, Gabrb3, Pls3, Ctnna2, Rap1a, Ctnna3, Snrnp70, Nvl, Map1b, Gfap, Ptk2b, Cpeb1, Cdk5r1, Ndel1, Itga7, Thra, Dnajc1"
"32","MF","GO:0017016","Ras GTPase binding",403,12,5.98,65,0.0176,0.0176,0.0297766749379653,"Stxbp6, Dock10, Rabgap1l, Dgki, Diaph2, Rap1a, Cdc42se2, Itpka, St5, Dennd1b, Tiam2, Spata13"
"33","MF","GO:0015081","sodium ion transmembrane transporter act...",139,6,2.06,66,0.01762,0.01762,0.0431654676258993,"Grik2, Gria2, Scn3b, Slc4a7, Slc24a2, Slc1a3"
"34","MF","GO:0005543","phospholipid binding",407,12,6.04,67,0.01886,0.01886,0.0294840294840295,"Thy1, Cpne4, Stxbp6, Clvs2, Pard3b, Clvs1, Trem2, Nrgn, Gsdme, Map1b, Dennd1b, Psap"
"35","MF","GO:0022839","ion gated channel activity",317,10,4.7,70,0.02036,0.02036,0.0315457413249211,"Kcnip4, Grik2, Kcnb2, Gria2, Scn3b, Cacna2d1, Gabrb3, Kcnt2, Kcnd2, Ptk2b"
"36","MF","GO:0005261","cation channel activity",310,14,4.6,6,0.02088,0.00023,0.0451612903225806,"Kcnip4, Grik2, Kcnb2, Gria2, Scn3b, Trpc4, Cacna2d1, Orai2, Gpm6a, Kcnt2, Slc24a2, Kcnd2, Ptk2b, Tmem38b"
"37","MF","GO:0005230","extracellular ligand-gated ion channel a...",71,4,1.05,72,0.02119,0.02119,0.0563380281690141,"Grik2, Gria2, Gabrb3, Ptk2b"
"38","MF","GO:0005272","sodium channel activity",40,3,0.59,73,0.0213,0.0213,0.075,"Grik2, Gria2, Scn3b"
"39","MF","GO:0031267","small GTPase binding",418,12,6.2,74,0.02265,0.02265,0.0287081339712919,"Stxbp6, Dock10, Rabgap1l, Dgki, Diaph2, Rap1a, Cdc42se2, Itpka, St5, Dennd1b, Tiam2, Spata13"
"40","MF","GO:0005244","voltage-gated ion channel activity",191,7,2.83,75,0.02412,0.02412,0.0366492146596859,"Kcnip4, Kcnb2, Scn3b, Cacna2d1, Kcnt2, Kcnd2, Ptk2b"
"41","MF","GO:0022832","voltage-gated channel activity",191,7,2.83,76,0.02412,0.02412,0.0366492146596859,"Kcnip4, Kcnb2, Scn3b, Cacna2d1, Kcnt2, Kcnd2, Ptk2b"
