"","category","GO.ID","Term","Annotated","Significant","Expected","Rank in Fisher.classic","Fisher.elim","Fisher.classic","gene_ratio","genes"
"1","MF","GO:0035925","mRNA 3'-UTR AU-rich region binding",26,3,0.11,1,0.00016,0.00016,0.115384615384615,"Cpeb2, Tial1, Rbms3"
"2","MF","GO:0005506","iron ion binding",142,4,0.58,3,0.00274,0.00274,0.028169014084507,"Scd2, Fth1, Cyp51, Sc5d"
"3","MF","GO:0090079","translation regulator activity, nucleic ...",22,2,0.09,4,0.00362,0.00362,0.0909090909090909,"Cpeb2, Purb"
"4","MF","GO:0030371","translation repressor activity",24,2,0.1,6,0.0043,0.0043,0.0833333333333333,"Cpeb2, Purb"
"5","MF","GO:0008143","poly(A) binding",24,2,0.1,7,0.0043,0.0043,0.0833333333333333,"Rbms3, Hnrnpdl"
"6","MF","GO:0004197","cysteine-type endopeptidase activity",83,3,0.34,8,0.00478,0.00478,0.036144578313253,"Ctss, Usp29, Capn11"
"7","MF","GO:0016705","oxidoreductase activity, acting on paire...",180,4,0.74,11,0.00635,0.00635,0.0222222222222222,"Scd2, Akr1c18, Cyp51, Sc5d"
"8","MF","GO:0008187","poly-pyrimidine tract binding",30,2,0.12,12,0.00667,0.00667,0.0666666666666667,"Cpeb2, Rbms3"
"9","MF","GO:0043394","proteoglycan binding",35,2,0.14,14,0.009,0.009,0.0571428571428571,"Ctss, Lrrtm4"
"10","MF","GO:0070888","E-box binding",42,2,0.17,15,0.01279,0.01279,0.0476190476190476,"Srebf2, Per1"
"11","MF","GO:0016709","oxidoreductase activity, acting on paire...",43,2,0.18,16,0.01338,0.01338,0.0465116279069767,"Akr1c18, Cyp51"
"12","MF","GO:0019900","kinase binding",791,8,3.24,17,0.0153,0.0153,0.0101137800252845,"Thy1, Srsf2, Atp1b1, Camk2n2, Ttc28, Ntrk2, Per1, Ywhaz"
"13","MF","GO:0001221","transcription cofactor binding",49,2,0.2,18,0.01715,0.01715,0.0408163265306122,"Tead1, Per1"
"14","MF","GO:0001540","amyloid-beta binding",57,2,0.23,22,0.02279,0.02279,0.0350877192982456,"Ldlr, Col25a1"
"15","MF","GO:0004714","transmembrane receptor protein tyrosine ...",57,2,0.23,23,0.02279,0.02279,0.0350877192982456,"Ntrk2, Epha10"
"16","MF","GO:0004866","endopeptidase inhibitor activity",157,3,0.64,24,0.02655,0.02655,0.0191082802547771,"Pcsk1n, App, Cst7"
"17","MF","GO:0030234","enzyme regulator activity",894,8,3.66,26,0.0293,0.0293,0.00894854586129754,"Thy1, Pcsk1n, Atp1b1, Camk2n2, Rgs8, Eid1, App, Cst7"
"18","MF","GO:0061135","endopeptidase regulator activity",165,3,0.67,27,0.03015,0.03015,0.0181818181818182,"Pcsk1n, App, Cst7"
"19","MF","GO:0030414","peptidase inhibitor activity",165,3,0.67,28,0.03015,0.03015,0.0181818181818182,"Pcsk1n, App, Cst7"
"20","MF","GO:0005515","protein binding",8273,43,33.84,21,0.03619,0.02226,0.0051976308473347,"Thy1, Ldlr, Zfpm2, Cpeb2, Ndn, Sst, Ctss, Kif6, Kmt2a, Vstm2a, Tead1, Srsf2, Srebf2, C1qb, Atp1b1, Camk2n2, Eya1, Nlgn2, Col25a1, Ryr3, Tial1, Psma1, Syn2, Rgs8, Eid1, Fth1, Purb, Ttc28, Ntrk2, Cd9, Ubr5, Mapk10, Shisa6, App, Hmgcr, Lrrtm4, Per1, C4b, Cst7, Uchl3, Ywhaz, Ier3, Inpp5d"
"21","MF","GO:0019199","transmembrane receptor protein kinase ac...",74,2,0.3,29,0.0369,0.0369,0.027027027027027,"Ntrk2, Epha10"
"22","MF","GO:0043130","ubiquitin binding",75,2,0.31,30,0.03781,0.03781,0.0266666666666667,"Ubr5, Uchl3"
"23","MF","GO:0004857","enzyme inhibitor activity",326,4,1.33,32,0.0446,0.0446,0.0122699386503067,"Pcsk1n, Camk2n2, App, Cst7"
"24","MF","GO:0004843","thiol-dependent ubiquitin-specific prote...",84,2,0.34,33,0.0464,0.0464,0.0238095238095238,"Usp29, Uchl3"
"25","MF","GO:0061134","peptidase regulator activity",197,3,0.81,34,0.04697,0.04697,0.0152284263959391,"Pcsk1n, App, Cst7"
"26","MF","GO:1990837","sequence-specific double-stranded DNA bi...",828,7,3.39,35,0.05228,0.05228,0.00845410628019324,"Ndn, Kmt2a, Tead1, Srebf2, Hnrnpdl, Purb, Per1"
"27","MF","GO:0036459","thiol-dependent ubiquitinyl hydrolase ac...",92,2,0.38,36,0.05458,0.05458,0.0217391304347826,"Usp29, Uchl3"
"28","MF","GO:0004867","serine-type endopeptidase inhibitor acti...",92,2,0.38,37,0.05458,0.05458,0.0217391304347826,"Pcsk1n, App"
"29","MF","GO:0101005","ubiquitinyl hydrolase activity",93,2,0.38,38,0.05563,0.05563,0.021505376344086,"Usp29, Uchl3"
"30","MF","GO:0032182","ubiquitin-like protein binding",96,2,0.39,40,0.05884,0.05884,0.0208333333333333,"Ubr5, Uchl3"
"31","MF","GO:0042802","identical protein binding",1795,12,7.34,41,0.05986,0.05986,0.00668523676880223,"Ldlr, Kmt2a, Vstm2a, C1qb, Nlgn2, Col25a1, Fth1, Ntrk2, App, Hmgcr, Cst7, Ywhaz"
"32","MF","GO:0019783","ubiquitin-like protein-specific protease...",102,2,0.42,42,0.06545,0.06545,0.0196078431372549,"Usp29, Uchl3"
"33","MF","GO:0019901","protein kinase binding",715,6,2.92,45,0.07214,0.07214,0.00839160839160839,"Thy1, Srsf2, Atp1b1, Camk2n2, Ntrk2, Ywhaz"
"34","MF","GO:1901681","sulfur compound binding",236,3,0.97,47,0.07246,0.07246,0.0127118644067797,"Col25a1, App, Lrrtm4"
"35","MF","GO:0050839","cell adhesion molecule binding",237,3,0.97,48,0.07318,0.07318,0.0126582278481013,"Thy1, Nlgn2, Cd9"
"36","MF","GO:0003697","single-stranded DNA binding",109,2,0.45,49,0.07345,0.07345,0.018348623853211,"Hnrnpdl, Purb"
"37","MF","GO:0003690","double-stranded DNA binding",903,7,3.69,50,0.07571,0.07571,0.00775193798449612,"Ndn, Kmt2a, Tead1, Srebf2, Hnrnpdl, Purb, Per1"
"38","MF","GO:0052745","inositol phosphate phosphatase activity",20,1,0.08,51,0.07874,0.07874,0.05,"Inpp5d"
"39","MF","GO:0070003","threonine-type peptidase activity",21,1,0.09,53,0.08252,0.08252,0.0476190476190476,"Psma1"
"40","MF","GO:0004298","threonine-type endopeptidase activity",21,1,0.09,54,0.08252,0.08252,0.0476190476190476,"Psma1"
"41","MF","GO:0001848","complement binding",21,1,0.09,55,0.08252,0.08252,0.0476190476190476,"C4b"
"42","MF","GO:0000977","RNA polymerase II regulatory region sequ...",744,6,3.04,56,0.08369,0.08369,0.00806451612903226,"Ndn, Kmt2a, Tead1, Srebf2, Purb, Per1"
"43","MF","GO:0005262","calcium channel activity",118,2,0.48,57,0.08417,0.08417,0.0169491525423729,"Cnr1, Ryr3"
"44","MF","GO:0004497","monooxygenase activity",118,2,0.48,58,0.08417,0.08417,0.0169491525423729,"Akr1c18, Cyp51"
"45","MF","GO:0001223","transcription coactivator binding",22,1,0.09,59,0.08627,0.08627,0.0454545454545455,"Tead1"
"46","MF","GO:0031420","alkali metal ion binding",22,1,0.09,60,0.08627,0.08627,0.0454545454545455,"Atp1b1"
"47","MF","GO:0016799","hydrolase activity, hydrolyzing N-glycos...",22,1,0.09,61,0.08627,0.08627,0.0454545454545455,"Man2a1"
"48","MF","GO:0001012","RNA polymerase II regulatory region DNA ...",752,6,3.08,62,0.08706,0.08706,0.00797872340425532,"Ndn, Kmt2a, Tead1, Srebf2, Purb, Per1"
"49","MF","GO:0016616","oxidoreductase activity, acting on the C...",123,2,0.5,63,0.09032,0.09032,0.016260162601626,"Akr1c18, Hmgcr"
"50","MF","GO:0052866","phosphatidylinositol phosphate phosphata...",24,1,0.1,64,0.09374,0.09374,0.0416666666666667,"Inpp5d"
"51","MF","GO:0008106","alcohol dehydrogenase (NADP+) activity",24,1,0.1,65,0.09374,0.09374,0.0416666666666667,"Akr1c18"
"52","MF","GO:0016628","oxidoreductase activity, acting on the C...",24,1,0.1,66,0.09374,0.09374,0.0416666666666667,"Akr1c18"
"53","MF","GO:0001671","ATPase activator activity",24,1,0.1,67,0.09374,0.09374,0.0416666666666667,"Atp1b1"
"54","MF","GO:0001530","lipopolysaccharide binding",24,1,0.1,68,0.09374,0.09374,0.0416666666666667,"Psma1"
"55","MF","GO:0004713","protein tyrosine kinase activity",127,2,0.52,69,0.09534,0.09534,0.015748031496063,"Ntrk2, Epha10"
