"","category","GO.ID","Term","Annotated","Significant","Expected","Rank in Fisher.classic","Fisher.elim","Fisher.classic","gene_ratio","genes"
"1","MF","GO:0004601","peroxidase activity",44,4,0.05,2,1.7e-07,1.7e-07,0.0909090909090909,"Hbb-bs, Hba-a1, Hbb-bt, Hba-a2"
"2","MF","GO:0043177","organic acid binding",206,4,0.24,4,8e-05,8e-05,0.0194174757281553,"Ptgds, Hba-a1, Hbb-bt, Hba-a2"
"3","MF","GO:0020037","heme binding",128,3,0.15,5,4e-04,4e-04,0.0234375,"Hba-a1, Hbb-bt, Hba-a2"
"4","MF","GO:0140104","molecular carrier activity",44,2,0.05,7,0.0011,0.0011,0.0454545454545455,"Hba-a1, Hbb-bt"
"5","MF","GO:0004896","cytokine receptor activity",87,2,0.1,8,0.0044,0.0044,0.0229885057471264,"Il12b, Il1rapl2"
"6","MF","GO:0005496","steroid binding",92,2,0.11,9,0.0049,0.0049,0.0217391304347826,"Apoe, Calb1"
"7","MF","GO:1990782","protein tyrosine kinase binding",100,2,0.11,10,0.0058,0.0058,0.02,"Grm5, Nrg1"
"8","MF","GO:0048018","receptor ligand activity",391,3,0.45,12,0.0096,0.0096,0.00767263427109974,"Il12b, Ttr, Nrg1"
"9","MF","GO:0048156","tau protein binding",21,1,0.02,17,0.0238,0.0238,0.0476190476190476,"Apoe"
"10","MF","GO:0050750","low-density lipoprotein particle recepto...",24,1,0.03,18,0.0271,0.0271,0.0416666666666667,"Apoe"
"11","MF","GO:0016209","antioxidant activity",74,5,0.08,1,0.0275,1.8e-08,0.0675675675675676,"Hbb-bs, Hba-a1, Apoe, Hbb-bt, Hba-a2"
"12","MF","GO:0005501","retinoid binding",26,1,0.03,19,0.0294,0.0294,0.0384615384615385,"Ptgds"
"13","MF","GO:0120013","intermembrane lipid transfer activity",26,1,0.03,20,0.0294,0.0294,0.0384615384615385,"Apoe"
"14","MF","GO:0071813","lipoprotein particle binding",27,1,0.03,21,0.0305,0.0305,0.037037037037037,"Apoe"
"15","MF","GO:0071814","protein-lipid complex binding",27,1,0.03,22,0.0305,0.0305,0.037037037037037,"Apoe"
"16","MF","GO:0005520","insulin-like growth factor binding",27,1,0.03,23,0.0305,0.0305,0.037037037037037,"Igfbp2"
"17","MF","GO:0008066","glutamate receptor activity",27,1,0.03,24,0.0305,0.0305,0.037037037037037,"Grm5"
"18","MF","GO:0070325","lipoprotein particle receptor binding",28,1,0.03,25,0.0316,0.0316,0.0357142857142857,"Apoe"
"19","MF","GO:0045499","chemorepellent activity",28,1,0.03,26,0.0316,0.0316,0.0357142857142857,"Nrg1"
"20","MF","GO:0004114","3',5'-cyclic-nucleotide phosphodiesteras...",28,1,0.03,27,0.0316,0.0316,0.0357142857142857,"Pde1a"
"21","MF","GO:0015248","sterol transporter activity",29,1,0.03,28,0.0327,0.0327,0.0344827586206897,"Apoe"
"22","MF","GO:0004112","cyclic-nucleotide phosphodiesterase acti...",29,1,0.03,29,0.0327,0.0327,0.0344827586206897,"Pde1a"
"23","MF","GO:0019840","isoprenoid binding",31,1,0.04,30,0.0349,0.0349,0.032258064516129,"Ptgds"
"24","MF","GO:0043394","proteoglycan binding",35,1,0.04,31,0.0394,0.0394,0.0285714285714286,"Apoe"
"25","MF","GO:0005504","fatty acid binding",41,1,0.05,33,0.0459,0.0459,0.024390243902439,"Ptgds"
"26","MF","GO:0015485","cholesterol binding",43,1,0.05,34,0.0481,0.0481,0.0232558139534884,"Apoe"
"27","MF","GO:0016860","intramolecular oxidoreductase activity",47,1,0.05,35,0.0525,0.0525,0.0212765957446809,"Ptgds"
"28","MF","GO:0032934","sterol binding",49,1,0.06,36,0.0547,0.0547,0.0204081632653061,"Apoe"
"29","MF","GO:0098960","postsynaptic neurotransmitter receptor a...",57,1,0.07,37,0.0633,0.0633,0.0175438596491228,"Grm5"
