"","category","GO.ID","Term","Annotated","Significant","Expected","Rank in Fisher.classic","Fisher.elim","Fisher.classic","gene_ratio","genes"
"1","MF","GO:0001540","amyloid-beta binding",57,8,1.06,9,9.6e-06,9.6e-06,0.140350877192982,"Apbb2, Ldlrad3, Apoe, Ldlr, Gsap, Trem2, Scarb1, Fcgr2b"
"2","MF","GO:0005096","GTPase activator activity",235,15,4.36,15,3.5e-05,3.5e-05,0.0638297872340425,"Arhgap24, Nrp1, Thy1, Arap2, Asap1, Rasgrp3, Chn2, Sipa1l2, Rin2, Adap1, Tbc1d1, Arhgap5, Myo9b, Tbc1d4, Ralgapa2"
"3","MF","GO:0019904","protein domain specific binding",762,31,14.13,17,3.8e-05,3.8e-05,0.0406824146981627,"Cadm1, Hif1a, Bcl2, Myo5a, Gng12, Gnas, Plaur, Apobec1, Fmn1, Bcl2l1, Lat2, Lamp2, Sh3bp2, Gab2, Plekha1, Nfe2l2, Trps1, Arhgap5, Sirpa, Cacna1d, Wipf1, Fyn, Litaf, Rab27a, Capg, Tcap, Cebpa, Mef2c, Gusb, Mbd2, Card11"
"4","MF","GO:0043394","proteoglycan binding",35,6,0.65,18,4e-05,4e-05,0.171428571428571,"Lpl, Ptprc, Ctsb, Apoe, Hpse, Gpnmb"
"5","MF","GO:0005524","ATP binding",1357,46,25.16,21,5.1e-05,5.1e-05,0.0338983050847458,"Myo1e, Prkg1, Acaca, Flt1, Tgfbr2, Akt3, Axl, Myo5a, Abcd2, Dgkz, Myo1f, Actr3b, Fam20c, Dna2, Ddx31, Atp8a1, Lrguk, Oasl2, Mthfs, Tlk1, Cdk14, Abcb1b, Suclg2, Nlrc5, Fgr, Atp10a, Igf1r, Cdk19, Myo9b, Map3k20, Ercc6, Tec, Map3k1, Fyn, P2rx4, Pdk1, Eif2ak2, Mapkapk2, Cdk8, Cdk17, Prkch, Galk2, Cdk6, Atp6v1b2, Irak2, Atp9b"
"6","MF","GO:0046982","protein heterodimerization activity",520,23,9.64,28,0.00012,0.00012,0.0442307692307692,"Hif1a, Axl, Bcl2, Myo5a, Dgkd, Il12b, Tpd52, Sox5, Arnt2, Atf3, Bcl2l1, Suclg2, H2-D1, Ttr, Nfe2l2, H2-K1, Rragc, Ctnna1, Pdk1, Cebpa, Mef2c, Irak2, Ralgapa2"
"7","MF","GO:0071813","lipoprotein particle binding",27,5,0.5,29,0.00012,0.00012,0.185185185185185,"Lpl, Apoe, Ldlr, Trem2, Scarb1"
"8","MF","GO:0004693","cyclin-dependent protein serine/threonin...",30,5,0.56,38,0.00021,0.00021,0.166666666666667,"Cdk14, Cdk19, Cdk8, Cdk17, Cdk6"
"9","MF","GO:0042802","identical protein binding",1795,61,33.28,6,0.00034,2.3e-06,0.033983286908078,"Prkg1, Acaca, Cadm1, Ccl4, Flt1, Rassf3, Csf1, Ctse, Bcl2, Plek, Lpl, Myo5a, Abcd2, Baiap2l2, Plekhh2, Adarb1, Cst7, Pacsin1, Kynu, Cpq, Apoe, Dgkd, Ldlr, Clip1, Il12b, Alcam, Tpd52, Kcnj2, Kcnma1, Zc3hav1, Cd84, Atf3, Bcl2l1, Il6st, Eea1, Ttr, Daam1, Oxct1, Ifi204, Epm2a, Scarb1, Igf1r, Pdgfc, Slc2a1, Masp1, B2m, Nrp2, Anxa2, Ctnna1, Fyn, P2rx4, Sat1, Pdk1, Ifi207, Fasn, Ddi2, Eif2ak2, Aplp2, Optn, Cebpa, Irak2"
"10","MF","GO:0005515","protein binding",8273,216,153.4,2,0.00083,4.3e-12,0.026109029372658,"Myo1e, Ctnna3, Etl4, Fgf13, Cacna1a, Apbb2, Prkg1, Acaca, Cadm1, Hif1a, Ccl4, Serpine2, Tmem163, Cd9, Flt1, Igf1, Tgfbr2, Dkk2, Nrp1, Fnip2, Akt3, Rassf3, Csf1, Tnfsf8, Hdac9, Axl, Ctse, Cpeb2, Bcl2, Plek, Ccl3, Lpl, Myo5a, Abcd2, Baiap2l2, Cd300lf, Gng12, Cacnb4, Plekhh2, Adarb1, Thy1, Gnas, Ptprc, Cst7, Samsn1, Anxa3, Plaur, Prickle1, Socs6, Asph, Dgkz, Pacsin1, Myo1f, Ctsb, Cd274, Peli2, Cd244a, Rnf144b, Apobec1, Mitf, Asap1, Kynu, Gas2l3, Cpq, Gas7, Bcar3, Apoe, Actr3b, Dgkd, Efna5, Ldlr, Dna2, Cd180, Hbb-bs, Gab3, Hacd2, Satb2, Clip1, Esrrg, Eya4, Hpse, Il12b, Atp8a1, Plekhm2, Alcam, Lrguk, Tpd52, Rtp4, Phip, Lmo2, Ly86, Kcnj2, Fgf1, Clint1, Kcnma1, Zc3hav1, Sox5, Fmn1, Wwox, Cd84, Arnt2, Rasgrp3, Fbn2, Atf3, Cdk14, Dnajb14, Fnip1, Bcl2l1, Il6st, Suclg2, Lat2, Ccl6, Npnt, Eea1, Cd48, Lamp2, Eml4, Osbpl8, Sh3bp2, H2-D1, Gab2, D7Ertd443e, Plekha1, Plgrkt, Gpnmb, Rab37, Sp100, Ttr, Daam1, Trem2, Nfe2l2, Oxct1, Parp14, Fgr, Ifi204, Mllt3, Klf12, Tbc1d1, Trps1, H2-K1, Epm2a, Scarb1, Igf1r, Rragc, Smyd3, Pdgfc, Slc2a1, Neat1, Masp1, Arhgap5, B2m, Pdcd1, Apbb1ip, Sirpa, Nrp2, Cacna1d, Anxa2, Myo9b, Ctnna1, Ercc6, Rab11fip5, Wipf1, Tec, Itgax, Map3k1, Fyn, Litaf, Tafa2, Rab27a, Oas1a, Ctsl, P2rx4, Sat1, Trpc4, Pdk1, Ifi207, Fasn, Ddi2, Tbc1d4, Plekhm3, Eif2ak2, Aplp2, Rusc2, Capg, Themis, Slc3a2, Mapkapk2, Cdk8, Usp18, Isg15, Trerf1, Cd5, Plcl1, Lrmp, Tcim, Fcgr2b, Clic4, Ptpra, Coro1c, Optn, Prkch, Tcap, Il1r1, Cebpa, C3ar1, Cdk6, Hbb-bt, Mef2c, Stx3, Gusb, Mbd2, Fblim1, Csf2ra, Irak2, Card11, Ralgapa2"
"11","MF","GO:0001786","phosphatidylserine binding",61,6,1.13,47,0.00092,0.00092,0.0983606557377049,"Axl, Cd300lf, Asap1, Osbpl8, Scarb1, Anxa2"
"12","MF","GO:0042803","protein homodimerization activity",894,30,16.58,50,0.00129,0.00129,0.0335570469798658,"Prkg1, Cadm1, Csf1, Ctse, Bcl2, Plek, Lpl, Abcd2, Adarb1, Cst7, Kynu, Cpq, Apoe, Dgkd, Il12b, Tpd52, Kcnma1, Atf3, Bcl2l1, Eea1, Oxct1, Epm2a, Scarb1, Pdgfc, Masp1, B2m, Pdk1, Fasn, Cebpa, Irak2"
"13","MF","GO:0008201","heparin binding",144,9,2.67,51,0.00148,0.00148,0.0625,"Serpine2, Nrp1, Lpl, Ptprc, Apoe, Fgf1, Gpnmb, Nrp2, Aplp2"
"14","MF","GO:0005102","signaling receptor binding",1472,47,27.29,36,0.00159,0.00017,0.031929347826087,"Fgf13, Cadm1, Hif1a, Ccl4, Serpine2, Cd9, Igf1, Tgfbr2, Dkk2, Csf1, Tnfsf8, Ccl3, Lpl, Cd300lf, Thy1, Gnas, Ptprc, Plaur, Cd244a, Apoe, Efna5, Il12b, Rtp4, Phip, Fgf1, Arnt2, Il6st, Ccl6, Npnt, H2-D1, Gab2, Gpnmb, Ttr, Fgr, H2-K1, Igf1r, Pdgfc, Myo9b, Itgax, Fyn, Tafa2, P2rx4, Isg15, Plcl1, Tcim, Il1r1, Gusb"
"15","MF","GO:0008289","lipid binding",696,30,12.91,10,0.00309,1.7e-05,0.0431034482758621,"Myo1e, Igf1, Axl, Plek, Lpl, Baiap2l2, Cd300lf, Thy1, Anxa3, Pacsin1, Arap2, Asap1, Apoe, Esrrg, Kcnj2, Clint1, Osbpl3, Eea1, Osbpl8, Gab2, Plekha1, Adap1, Trem2, Tecpr1, Scarb1, Acox3, Anxa2, Tec, Map3k1, Stx3"
"16","MF","GO:0046872","metal ion binding",3326,82,61.67,55,0.00317,0.00317,0.0246542393265183,"Cacna1a, Acaca, Xylt1, Tmem163, Tgfbr2, Nrp1, Lpl, Myo5a, Adarb1, Egln3, Acer3, Usp12, Gnas, Anxa3, Prickle1, Asph, Dgkz, Arap2, March3, Rnf144b, Apobec1, Asap1, Cpq, Slc25a25, Apoe, Ch25h, Fam20c, Ldlr, Dna2, Clip1, Esrrg, Eya4, Atp8a1, Oasl2, Tpd52, Lmo2, Kcnma1, Zc3hav1, Mthfs, Znrf2, Fbn2, Chn2, Aopep, Suclg2, Npnt, Eea1, Trim30a, Gnptab, Zfp704, Zfp367, Frrs1, Atp10a, Klf12, Trps1, Smyd3, Masp1, Lonrf3, Nrp2, Sulf2, Trim25, Cacna1d, Anxa2, Myo9b, Map3k20, Pde8b, Tec, Itgax, Haao, Map3k1, Fyn, Litaf, P2rx4, Plekhm3, Aplp2, Trim34a, Trerf1, Cdkal1, Optn, Prkch, Fblim1, Atp9b, Zfp292"
"17","MF","GO:0051015","actin filament binding",197,10,3.65,57,0.00383,0.00383,0.050761421319797,"Myo1e, Ctnna3, Myo5a, Gas7, Actr3b, Myo9b, Ctnna1, Wipf1, Capg, Coro1c"
