"","category","GO.ID","Term","Annotated","Significant","Expected","Rank in Fisher.classic","Fisher.elim","Fisher.classic","gene_ratio","genes"
"1","MF","GO:0001540","amyloid-beta binding",57,9,1.13,7,1.7e-06,1.7e-06,0.157894736842105,"Apbb2, Ldlrad3, Gsap, Apoe, Ldlr, Trem2, Col25a1, Fcgr2b, Scarb1"
"2","MF","GO:0043394","proteoglycan binding",35,7,0.69,9,4.8e-06,4.8e-06,0.2,"Ctsb, Lpl, Ptprc, Hpse, Apoe, Gpnmb, Sdcbp"
"3","MF","GO:0005096","GTPase activator activity",235,17,4.67,10,4.9e-06,4.9e-06,0.0723404255319149,"Arhgap24, Nrp1, Thy1, Asap1, Sipa1l2, Arap2, Tbc1d8, Myo9b, Gnaq, Adap1, Arhgap25, Abr, Tbc1d1, Chn2, Rasgrp3, Gdi2, Ralgapa2"
"4","MF","GO:0046872","metal ion binding",3326,99,66.03,15,1.1e-05,1.1e-05,0.0297654840649429,"Cacna1a, Acaca, Xylt1, Tmem163, Nrp1, Acer3, Adarb1, Apobec1, Usp12, Myo5a, Tgfbr2, Asap1, Atp8a1, Slc25a25, Znrf2, Lpl, Dgkz, Egln3, Aopep, Trim30a, Tpd52, March3, Arap2, Prickle1, Man1c1, Asph, Gnas, Ppard, Fbn2, Cpq, Kcnma1, P2rx4, Clip1, Ch25h, Oasl2, Fam20c, Tec, Tgfbr1, Eea1, Esrrg, Apoe, Runx1, Havcr2, Ldlr, Aplp2, Large1, Dna2, Gnptab, Masp1, Pde8b, Myo9b, Gnaq, Rai1, Rnf144b, Zc3hav1, Padi2, Npnt, Suclg2, Rap2a, Klf12, Zfp367, Lmo2, Zfp704, Chn2, Agtpbp1, Npepps, Fcer1g, Pfkl, Eri3, Fyn, Naip2, Rtcb, Atp10a, Frrs1, Itga5, Mthfs, Trim25, Pde8a, Znrf3, Cacna1d, Nrp2, Trps1, Litaf, Lonrf3, Gna12, Gns, Eya4, Klf6, Zfp64, Phc2, Klf13, Tnks2, Parp12, Pgm1, Tyrobp, Sulf2, Mgmt, Rev3l, Acly"
"5","MF","GO:0003950","NAD+ ADP-ribosyltransferase activity",23,5,0.46,26,7.5e-05,7.5e-05,0.217391304347826,"Parp14, Zc3hav1, Parp9, Tnks2, Parp12"
"6","MF","GO:0005515","protein binding",8273,235,164.23,2,8.6e-05,3.8e-14,0.0284056569563641,"Fgf13, Myo1e, Apbb2, Etl4, Cacna1a, Cadm1, Acaca, Prkg1, Hif1a, Fnip2, Ctnna3, Rassf3, Akt3, Tmem163, Cd9, Serpine2, Igf1, Cpeb2, Nrp1, Ccl4, Flt1, Cd300lf, Ctse, Hdac9, Axl, Tnfsf8, Fkbp5, Ctsb, Gng12, Bcl2, Adarb1, Samsn1, Cacnb4, Apobec1, Thy1, Baiap2l2, Myo5a, Myo1f, Dkk2, Plekhh2, Abcd2, Peli2, Mitf, Cst7, Plekhm2, Ccl3, Csf1, Tgfbr2, Plaur, Asap1, Cd244a, Atp8a1, Lpl, Plek, Ptprc, Dgkz, Socs6, Gab2, Bcar3, Cd274, Gas2l3, Lrguk, Fnip1, Tpd52, Ly86, Oxct1, Prickle1, Phip, Hacd2, Dnajb14, Cdk14, Asph, Gnas, Ppard, Sp100, Fbn2, Gas7, Gab3, Cpq, Osbpl8, Rtp4, Kcnma1, Daam1, Kcnj2, P2rx4, Pacsin1, Clip1, Hpse, Rab37, Tec, Atf3, Gusb, Tgfbr1, Eea1, Sh3bp2, Efna5, Ctsh, Esrrg, Apoe, Runx1, Havcr2, Fmn1, H2-D1, Ldlr, Aplp2, Usp18, Lamp2, Large1, Actr3b, Kynu, Arnt2, Cd48, Picalm, B2m, Fmnl2, Plgrkt, H2-K1, Parp14, Cd84, Fgf1, Nfe2l2, Clint1, Pkp4, Serinc1, Dna2, Npc2, Tbc1d8, Trem2, Rab11fip5, Ifi204, Masp1, Cdk8, Eif2ak2, Myo9b, Gnaq, Blnk, Neat1, Rnf144b, Mfhas1, Zc3hav1, Plekha1, Padi2, Pik3cb, Bcl2l1, Npnt, Bhlhe40, Suclg2, Rap2a, Cd180, Cdk6, Rragc, Ctsa, Klf12, Abr, Atxn10, Tbc1d1, Sox5, Lmo2, Vps54, Tafa2, Rasgrp3, Col25a1, Agtpbp1, Slc3a2, Mx2, Fcgr2b, Ifi207, Dgkd, Fcer1g, Pfkl, Eri3, Fyn, Ercc6, Naip2, Eml4, Rtcb, Slc11a1, Wwox, Ddi2, Itga5, Pde8a, Sh3kbp1, Cdkn2a, Znrf3, Sat1, Mllt3, Mapkapk2, Pdcd1, Cacna1d, Nrp2, Ranbp9, Ccl6, Trps1, Satb2, Oas1a, Ank2, Litaf, Mdfic, Arhgef7, Gdi2, Gna12, Mef2d, Wipf1, Chd7, Tns1, Rab27a, Bri3, Ralgapa2, Plin2, Gpnmb, Tcim, Wls, Eya4, Lat2, Cables1, Scarb1, Alcam, Clic4, Apaf1, Sdcbp, Kcnq1ot1, Coro1c, Parp9, Phc2, Ddx3x, Dock6, Tnks2, Arid1b, Eed, H2-Q4, Tyrobp, Fcgr3, Ifi209, Acly, Rap2b"
"7","MF","GO:0005102","signaling receptor binding",1472,50,29.22,29,0.00013,0.00013,0.0339673913043478,"Fgf13, Cadm1, Hif1a, Cd9, Serpine2, Igf1, Ccl4, Cd300lf, Tnfsf8, Thy1, Dkk2, Ccl3, Csf1, Tgfbr2, Plaur, Cd244a, Lpl, Ptprc, Gab2, Phip, Gnas, Ppard, Rtp4, P2rx4, Gusb, Tgfbr1, Efna5, Apoe, H2-D1, Arnt2, Picalm, H2-K1, Fgf1, Myo9b, Gnaq, Padi2, Npnt, Tafa2, Fyn, Itga5, Znrf3, Ccl6, Gna12, Gpnmb, Tcim, Wls, Sdcbp, H2-Q4, Tyrobp, Fcgr3"
"8","MF","GO:0042802","identical protein binding",1795,64,35.63,8,0.00013,2.6e-06,0.0356545961002786,"Cadm1, Acaca, Prkg1, Rassf3, Ccl4, Flt1, Ctse, Bcl2, Adarb1, Baiap2l2, Myo5a, Plekhh2, Abcd2, Cst7, Csf1, Lpl, Plek, Tpd52, Oxct1, Cpq, Kcnma1, Daam1, Kcnj2, P2rx4, Pacsin1, Clip1, Atf3, Eea1, Apoe, Runx1, Ldlr, Aplp2, Kynu, Picalm, B2m, Cd84, Ifi204, Masp1, Eif2ak2, Zc3hav1, Padi2, Bcl2l1, Bhlhe40, Atxn10, Col25a1, Ifi207, Dgkd, Fcer1g, Pfkl, Fyn, Slc11a1, Ddi2, Sat1, Nrp2, Mef2d, Bri3, Scarb1, Alcam, Apaf1, Sdcbp, Phc2, Eed, Tyrobp, Ifi209"
"9","MF","GO:0071813","lipoprotein particle binding",27,5,0.54,30,0.00017,0.00017,0.185185185185185,"Lpl, Apoe, Ldlr, Trem2, Scarb1"
"10","MF","GO:0044877","protein-containing complex binding",1185,46,23.52,14,0.00018,1e-05,0.0388185654008439,"Myo1e, Hif1a, Ctnna3, Cd9, Igf1, Cpeb2, Ctsb, Apobec1, Thy1, Myo5a, Lpl, Mrc2, Phip, Gnas, Gas7, Kcnma1, Tgfbr1, Ctsh, Apoe, H2-D1, Ldlr, Actr3b, H2-K1, Fgf1, Trem2, Myo9b, Gnaq, Bcl2l1, Npnt, Fcgr2b, Hmgn3, Fcer1g, Fyn, Ercc6, Itga5, Gna12, Wipf1, Gpnmb, Scarb1, Clic4, Kcnq1ot1, Coro1c, Ddx3x, Eed, H2-Q4, Fcgr3"
"11","MF","GO:0005524","ATP binding",1357,46,26.94,32,0.00026,0.00026,0.0338983050847458,"Myo1e, Acaca, Prkg1, Akt3, Flt1, Axl, Myo5a, Myo1f, Abcd2, Tgfbr2, Atp8a1, Dgkz, Ddx31, Lrguk, Abcb1b, Cdk14, P2rx4, Oasl2, Fam20c, Tec, Tgfbr1, Runx1, Actr3b, Nlrc5, Dna2, Cdk8, Eif2ak2, Myo9b, Atp6v1b2, Pik3cb, Suclg2, Tlk1, Cdk6, Pfkl, Fyn, Ercc6, Naip2, Rtcb, Atp10a, Mthfs, Mapkapk2, Chd7, Apaf1, Ddx3x, Cdk19, Acly"
"12","MF","GO:0046982","protein heterodimerization activity",520,23,10.32,34,0.00031,0.00031,0.0442307692307692,"Hif1a, Axl, Bcl2, Myo5a, Tpd52, Ppard, Atf3, Tgfbr1, Runx1, H2-D1, Arnt2, H2-K1, Nfe2l2, Bcl2l1, Bhlhe40, Suclg2, Rragc, Sox5, Dgkd, Mef2d, Ralgapa2, Sdcbp, H2-Q4"
"13","MF","GO:0008201","heparin binding",144,10,2.86,44,0.00061,0.00061,0.0694444444444444,"Serpine2, Nrp1, Lpl, Ptprc, Apoe, Aplp2, Fgf1, Col25a1, Nrp2, Gpnmb"
