"","category","GO.ID","Term","Annotated","Significant","Expected","Rank in Fisher.classic","Fisher.elim","Fisher.classic","gene_ratio","genes"
"1","MF","GO:0030165","PDZ domain binding",114,20,6.48,14,6.1e-06,6.1e-06,0.175438596491228,"Kirrel3, Gria1, Shisa6, Shisa9, Prkn, Plekha2, Tgfbr3, Grid2, Gria2, Grik2, Snta1, Lin7b, Plekha1, Dock4, Rapgef2, Lnx2, Grasp, Cacna1d, Gria3, Kcnj4"
"2","MF","GO:0019838","growth factor binding",138,22,7.85,18,1.1e-05,1.1e-05,0.159420289855072,"Ptprz1, Flt1, Tgfbr3, Il1r1, Tgfbr2, Egfr, Ntf3, Fstl4, Fgfbp3, Pdgfb, Igfbp5, Tgfbr1, Ntrk3, Osmr, Erbb4, Ptn, Ccn3, Hap1, Csf3r, Igfbp2, Rps2, Eng"
"3","MF","GO:0008066","glutamate receptor activity",27,9,1.54,19,1.1e-05,1.1e-05,0.333333333333333,"Gria1, Grm1, Ptk2b, Grid2, Grin2a, Gria2, Grik2, Gria3, Grid1"
"4","MF","GO:0043394","proteoglycan binding",35,10,1.99,22,1.7e-05,1.7e-05,0.285714285714286,"Apoe, Ctss, Sema5a, Lrrtm4, Cfh, Slit2, Ptprc, Slit1, Lpl, Ptn"
"5","MF","GO:1904315","transmitter-gated ion channel activity i...",52,12,2.96,25,2.7e-05,2.7e-05,0.230769230769231,"Gria1, Grid2, Grin2a, Gria2, Glra2, Grik2, Gabra2, Gabrb1, Gabra4, Gria3, Grid1, Gabrd"
"6","MF","GO:0005509","calcium ion binding",574,56,32.65,29,5.7e-05,5.7e-05,0.0975609756097561,"Kcnip4, Smoc2, Cblb, Mctp1, Syt17, Mgp, Anxa3, Dgkg, Cdh9, Snca, Ldlr, Matn2, Ccbe1, Runx1, Slit3, Cdh13, Otof, Slit2, Calb1, Syt10, Npnt, Cacna1e, Fat4, Glce, Sdf4, Slc25a23, Fstl4, Actn2, Sparc, Cdh4, Sulf1, Anxa2, Masp1, Hpca, S100a10, Slit1, Itpr2, Cracr2a, Pcdh19, Lpl, Lrp1b, Matn4, Dlk1, Cdh19, Caln1, Pdp1, Anxa11, Fbn2, Scgn, Ccdc47, Adgrl4, Canx, Pcdh20, Slc25a13, Egfem1, Cd93"
"7","MF","GO:0001540","amyloid-beta binding",57,12,3.24,33,7.1e-05,7.1e-05,0.210526315789474,"Cst3, Apoe, Gria1, Trem2, Ldlr, Gria2, Itm2a, Tgfb2, Olfm1, Clu, Fcgr2b, Gria3"
"8","MF","GO:0005178","integrin binding",128,19,7.28,34,0.00011,0.00011,0.1484375,"Thy1, Tnr, Ptprz1, Gfap, Cd9, Spp1, Npnt, Icam5, Gfra1, Egfr, Plpp3, Cxcl12, Vwf, Icam2, Itga7, Igf1, Ptn, Ccn3, Lama5"
"9","MF","GO:0042803","protein homodimerization activity",894,76,50.85,43,0.00028,0.00028,0.0850111856823266,"Il12b, Dpyd, Apoe, C1qb, Dgkh, Cst7, Cebpd, Mecom, Cdh9, Csf1, Rbm11, Tef, Runx1, Fcer1g, Prdx1, Trpc6, B2m, Cdh13, Slit2, Thra, Rchy1, Bmp4, Tgfb2, Tenm1, Slc16a1, Syt10, Timm9, Nampt, Hmgcs1, Bhlhe22, Crym, Tarbp2, Grik2, Foxp2, Stat3, Csf1r, Vegfd, Chka, Mthfd1l, B4galt1, Hmgcr, Glce, Abcg2, Tbx15, Klhl7, Cpq, Inhbb, Actn2, Trhr, Pygb, Dgat2, Cdh4, Masp1, Vwf, S100a10, Pdgfb, Paxx, Fbxo4, Ceacam2, Prdm6, Hmox1, Erbb4, Qtrt1, Lpl, Npm1, Irak1, Syndig1, Prdx6, Cdh19, Id1, Sars, Cebpa, Ptpro, Add2, Cebpg, Eng"
"10","MF","GO:0048365","Rac GTPase binding",66,12,3.75,45,0.00031,0.00031,0.181818181818182,"Vav3, Iqgap2, Wasf1, Pak6, Srgap3, Pak3, Tiam1, Dock4, Arhgdib, Nckap1l, Spata13, Ocrl"
"11","MF","GO:0017075","syntaxin-1 binding",26,7,1.48,48,0.00048,0.00048,0.269230769230769,"Synpr, Dapk1, Cplx2, Snap25, Sybu, Syp, Stxbp3"
"12","MF","GO:0005515","protein binding",8273,587,470.59,1,0.00056,6.5e-14,0.0709537048229179,"Thy1, Il12b, Hbb-bs, C4b, Cst3, Luc7l2, Dpyd, Apoe, Srsf2, Tnr, Robo2, Ptprz1, Tyrobp, Kirrel3, Ctss, Hba-a1, Ttr, C1ql3, Hbb-bt, Hba-a2, Gfap, Gria1, Stxbp6, C1qb, Frmd4a, Kcnc2, Cblb, Trem2, Malat1, Synpr, C1qa, Dgkh, Syt17, Cd9, Shisa6, Large1, Mgp, Cst7, Scn3b, Sema5a, Pard3b, Fhit, Robo1, Rab34, Htr4, Lyz2, Sphkap, Ly86, Btg2, Il1rapl1, Vav3, Shisa9, Nebl, Myo16, Diaph2, Fkbp5, Anxa3, Cacnb2, Cald1, Ccnjl, Cacna1c, Flt1, Cebpd, Mecom, Lrrtm4, Iqgap2, Ccl6, Pura, St5, Adcy1, Cfh, Wipf3, Prox1, Lypd1, Fnip2, Ebf1, Slc1a3, Cdh9, Prkn, Rasgrf2, Arhgef9, Grm1, Junb, Ccl4, Csf1, Snca, Kcnh1, Ldlr, Plekha2, Pip5k1b, Rbm11, Ptk2b, Tgfbr3, Ppfia2, Ppp1r1a, Grid2, Ina, Ccbe1, Pdgfd, Tef, Wasf1, Ralgapa2, Htr2a, Rps6ka2, Kcnd2, Srsf7, Plppr4, Ccl3, Runx1, Penk, Grin2a, Frmd4b, Srsf10, Ywhaz, Fcer1g, Dapk1, Prdx1, Ppp3ca, Mertk, Fbxl7, Slc4a4, Slit3, Trpc6, Il1r1, Mkx, Nrg2, Cdc42se2, Mettl23, Vstm2a, Atf4, B2m, Cdh13, H2-K1, Clec2d, Epha7, Lrfn2, Eya4, Rarb, Gria2, Plxna4, Rad18, Otof, Piezo2, Eya1, Rnf165, C1qtnf4, Spp1, Pak6, Ptprb, Cplx2, Slit2, Rfx3, Plce1, Stk19, Gadd45g, Ppp4r4, Camk1d, Errfi1, Id3, Thra, Dock10, Rchy1, Bmp4, Zfp932, Kctd12, Flnb, Tgfb2, Rbbp7, Snap25, Rims1, Ror1, Ankrd6, Tenm1, Atp1a2, Arhgef28, Hnrnpa0, Wnt9a, Rgl1, Eda, Ptbp2, Rorb, Srgap3, Pkp2, Dcn, Inpp5d, Rap2b, Slc16a1, Rps21, Ptprc, Syt10, Rbm39, Vps50, Stra6, Polr2a, Lrfn5, Timm9, Pea15a, Cldn11, Nampt, Npnt, Dync1i2, Adcy2, Dsp, Olfm1, Mapk1, Hmgcs1, H2-D1, Tmem108, Phka2, Bhlhe22, Il1rap, Tgfbr2, Ttc19, Atpif1, Itga4, Crym, Tarbp2, Dlgap1, Gpc3, Atf6, Znrf3, C1qtnf12, Icam5, Bmyc, Cacna1e, Bri3, Ablim2, Grik2, Pak3, Foxp2, Stat3, Tiam1, H2afj, Ccdc141, Gabra2, Gnal, Lnpk, Gfra1, Csf1r, Ifi27, Cyba, Snta1, Tafa2, Lsm7, Fat4, Ssna1, Vegfd, Prkch, Lin7b, Synpo2, Smo, Ppia, Rragb, Chka, Dtnb, March7, Kcnd3, S100pbp, Wwc1, Fgd4, Mthfd1l, Nptn, Eef1a1, Ggps1, Lmo4, Kif26b, B4galt1, Trp53rkb, Tnip2, Prdm5, Smpdl3b, Sgip1, Arpc5, Hmgcr, Entpd1, Havcr2, Sept1, Dennd3, Tceal5, Tafa5, Ttc5, Ksr1, Glce, Plcl1, Abcg2, Bcl11b, Nptxr, Cdk6, Tnik, Plekha1, Ntng2, Srsf1, Mri1, Egfr, Cadps2, Plpp3, Tbx15, Sybu, Ets1, Eya2, Klhl7, Nbea, Mrtfb, Tardbp, Ddx17, Pfkfb2, Trmt112, Sdf4, Mapk3, Ntf3, Ndufaf7, Aldoc, Dock4, Map2k1, Stk39, Cpq, Syp, Inhbb, Ikzf1, Adamts1, Cap2, Cxcl12, Cdon, Phf24, Nfia, Tafa1, Rps18, Bcl3, Fstl4, Actn2, Plekhg5, Kcnn3, Trhr, Sparc, Psma1, Ctsh, Tead1, Mecr, Lancl1, Msrb2, Grk3, Pygb, Rgcc, Dgat2, Nrgn, Cdh4, Drap1, Ccnt2, Eif2ak2, Csnk1a1, Fgf20, Cldn14, Anxa2, Ocln, Nrg4, Thg1l, Masp1, Trim35, Naa35, Fgfbp3, Vwf, Slc3a2, Ptprg, Gabrb1, Hpca, Dffb, Cd48, Samd9l, Nostrin, S100a10, Slit1, Pdgfb, Ccdc85b, Apobec3, Fyb, Igfbp5, Gjc1, Myo1f, Rab26, Strn, Nrg1, Nmd3, Ciart, Bmp5, Paxx, Rn7sk, Ablim3, Agt, Rasl11a, Fbxo4, Apcdd1, Prkd1, Cops4, Dnah14, Tspan33, Rapgef2, Gng2, Ei24, Lsm11, Tgfbr1, Icam2, Ntrk3, Erg28, Tmem176b, Stc1, Samd14, Iigp1, Ceacam2, Osmr, Npc2, Prdm6, Zfp322a, Usp51, Hmox1, Tab2, Kif1bp, Eln, Ly6a, Itpr2, Cd84, Itga7, Tshz1, Ift20, Spag5, Cemip, Vezt, Erbb4, Vcp, Inpp5j, Ap3b1, Spag16, Bsg, Mylip, Il15, Qtrt1, Pde1b, Arhgdib, Jtb, Hsbp1, Zeb2, Cd63, Pfn2, Slc31a1, Lgi1, Sh2d6, Mrtfa, Lpl, Ndn, Clu, Prkab2, Lnx2, Nckap1l, Cipc, Lrch1, Ctsl, Tubb2b, Lrp1b, Angptl8, Stx3, Npm1, Ccs, Irak1, Hnrnpu, Rhoj, Syndig1, Celf1, Dnajc5, Rad23a, Prdx6, Atp1a1, Ddx3x, Chl1, Srgn, Caml, Ranbp17, Lsp1, Card14, Ddit4, Igf1, Txnip, Stxbp3, Zc3hav1, Sema5b, Dlk1, Cdh19, Nfkbiz, Rbbp6, Tal1, Purb, Kdm5c, Slc30a10, Lamc1, Spata13, Id1, Rgs14, Cnrip1, Sars, Sh3rf2, Socs3, Coil, Anxa11, Fbn2, Rae1, Tbata, F3, Ptn, Bclaf1, Psmd9, Dennd1a, Zfp57, Fbxw11, Tmem176a, Fes, Ccn3, Impact, Sorcs2, Ranbp3l, Lama5, Adgrl4, Iqsec2, Rilpl1, Gsg1, Aebp1, Sptb, Cpeb1, Hap1, Fcgr2b, Rhob, Tcim, Grasp, Akap11, Itga1, Marcks, Cacna1d, Eid1, Gcm1, Trappc1, Cebpa, Arid1b, Csf3r, Prkcg, Canx, Gria3, Plcg2, Dipk1a, Slc25a13, Abr, Ptpro, Fabp5, Unc93b1, Smarcd3, Igfbp2, Add2, Cdc42ep4, Nrg3, Rbfox1, Cebpg, Rps2, Miat, Gpx1, Disc1, Zfp366, Kcnj4, Ocrl, Grid1, Pdyn, Yy1, Eng, Ier3, Car8, Cacng8, Sorbs2, Nfx1, Zfp346, Prkce, Dlgap2, Rap1a, Scn3a, Lrrk1, Ifi207, Tmod1, Fcgrt, Med31, Nop56, Arpc1a, Cd93, Lrrc7"
"13","MF","GO:0005516","calmodulin binding",183,22,10.41,53,0.00074,0.00074,0.120218579234973,"Cacna1c, Iqgap2, Adcy1, Rasgrf2, Kcnh1, Dapk1, Ppp3ca, Camk1d, Phka2, Snta1, Eef1a1, Egfr, Kcnn3, Nrgn, Myo1f, Strn, Ceacam2, Pde1b, Aebp1, Marcks, Add2, Scn3a"
"14","MF","GO:0004714","transmembrane receptor protein tyrosine ...",57,10,3.24,56,0.00127,0.00127,0.175438596491228,"Flt1, Mertk, Nrg2, Epha7, Ror1, Csf1r, Egfr, Ntrk3, Erbb4, Epha6"
"15","MF","GO:0008083","growth factor activity",133,17,7.57,58,0.00145,0.00145,0.12781954887218,"Il12b, Csf1, Pdgfd, Bmp4, Tgfb2, Vegfd, Ntf3, Inhbb, Cxcl12, Fgf20, Nrg4, Pdgfb, Bmp5, Igf1, Ptn, Ccn3, Nrg3"
"16","MF","GO:0005518","collagen binding",68,11,3.87,59,0.00148,0.00148,0.161764705882353,"Ctss, Ccbe1, Dcn, Itga11, Sparc, Vwf, Pdgfb, Srgn, Mrc2, Aebp1, Itga1"
"17","MF","GO:0042802","identical protein binding",1795,147,102.1,11,0.0017,2.9e-06,0.0818941504178273,"Il12b, Cst3, Dpyd, Apoe, Robo2, Tyrobp, Ttr, C1ql3, Gfap, Gria1, C1qb, Dgkh, Cst7, Fhit, Robo1, Lyz2, Cacnb2, Flt1, Cebpd, Mecom, Cdh9, Prkn, Grm1, Ccl4, Csf1, Snca, Kcnh1, Ldlr, Rbm11, Grid2, Tef, Runx1, Ywhaz, Fcer1g, Dapk1, Prdx1, Slc4a4, Trpc6, Vstm2a, B2m, Cdh13, Gria2, Rad18, Slit2, Gadd45g, Thra, Rchy1, Bmp4, Kctd12, Flnb, Tgfb2, Tenm1, Slc16a1, Syt10, Timm9, Nampt, Mapk1, Hmgcs1, Bhlhe22, Crym, Tarbp2, Atf6, Bri3, Grik2, Foxp2, Stat3, Lnpk, Csf1r, Ssna1, Vegfd, Chka, Mthfd1l, Ggps1, B4galt1, Hmgcr, Entpd1, Sept1, Glce, Abcg2, Mri1, Egfr, Tbx15, Ets1, Klhl7, Tardbp, Sdf4, Mapk3, Cpq, Syp, Inhbb, Cap2, Actn2, Trhr, Pygb, Dgat2, Cdh4, Drap1, Eif2ak2, Anxa2, Thg1l, Masp1, Vwf, Ptprg, Hpca, Dffb, S100a10, Pdgfb, Paxx, Fbxo4, Apcdd1, Prkd1, Iigp1, Ceacam2, Prdm6, Hmox1, Cd84, Erbb4, Vcp, Qtrt1, Hsbp1, Slc31a1, Lpl, Prkab2, Npm1, Irak1, Hnrnpu, Syndig1, Prdx6, Zc3hav1, Cdh19, Kdm5c, Spata13, Id1, Sars, Coil, Hap1, Grasp, Marcks, Cebpa, Slc25a13, Ptpro, Fabp5, Add2, Cebpg, Eng, Lrrk1, Ifi207"
"18","MF","GO:0003779","actin binding",416,38,23.66,62,0.00276,0.00276,0.0913461538461538,"Nebl, Myo16, Diaph2, Cacnb2, Cald1, Iqgap2, Wipf3, Prkn, Snca, Wasf1, Trpc6, Flnb, Ablim2, Snta1, Synpo2, Fgd4, Arpc5, Egfr, Mrtfb, Cap2, Actn2, Msrb2, Hpca, Myo1f, Ablim3, Samd14, Ceacam2, Pfn2, Mrtfa, Hnrnpu, Lsp1, Impact, Sptb, Marcks, Add2, Prkce, Tmod1, Arpc1a"
