"","category","GO.ID","Term","Annotated","Significant","Expected","Rank in Fisher.classic","Fisher.elim","Fisher.classic","gene_ratio","genes"
"1","MF","GO:0004601","peroxidase activity",44,4,0.22,3,6.6e-05,6.6e-05,0.0909090909090909,"Hbb-bs, Hbb-bt, Hba-a1, Hba-a2"
"2","MF","GO:0005515","protein binding",8273,62,41.06,1,0.00038,7.6e-06,0.00749425843104073,"Ttr, Tenm2, Otud7a, Plcl1, Malat1, Slc8a1, Elmo1, Hbb-bs, Pcdh11x, Ptprk, Dtnb, Hif3a, Cdh19, Slc25a13, Il12b, Cdc42bpa, Pex5l, Gli2, Eya4, Hbb-bt, Cst3, Dscaml1, Tmod2, Kcnab1, Hba-a1, Rhoj, Ikzf2, Col23a1, Sox10, Unc5c, Apbb2, Apoe, Cacnb4, Dgki, Hba-a2, Ssh2, Fkbp5, Mgp, Aldh1l1, Tacc1, Enah, Trim36, Plpp3, Mta3, Nkx2-2, Cdc37l1, Sbf2, Itgad, Dnajc3, Tbc1d5, Cd180, Tef, Tra2a, Tnni1, Dennd2a, Gclm, Ntsr2, Acsl3, Ehbp1, Sat1, Fgfr2, Stx18"
"3","MF","GO:0001540","amyloid-beta binding",57,3,0.28,8,0.00285,0.0029,0.0526315789473684,"Cst3, Apbb2, Apoe"
"4","MF","GO:0098772","molecular function regulator",1565,16,7.77,9,0.00415,0.0041,0.010223642172524,"Ttr, Spock1, Elmo1, Il12b, Cst3, Kcnab1, Apoe, Dgki, Sgk3, Agap1, Sbf2, Dnajc3, Tbc1d5, Dennd2a, Gclm, Garnl3"
"5","MF","GO:0046982","protein heterodimerization activity",520,8,2.58,10,0.0043,0.0043,0.0153846153846154,"Ttr, Tenm2, Il12b, Ikzf2, Itgad, Tef, Gclm, Ntsr2"
"6","MF","GO:0008373","sialyltransferase activity",20,2,0.1,11,0.00437,0.0044,0.1,"St6galnac3, St3gal3"
"7","MF","GO:0042803","protein homodimerization activity",894,11,4.44,12,0.00467,0.0047,0.0123042505592841,"Tenm2, Cdh19, Il12b, Dscaml1, Ikzf2, Col23a1, Apoe, Sbf2, Tef, Ntsr2, Fgfr2"
"8","MF","GO:0015491","cation:cation antiporter activity",24,2,0.12,13,0.00626,0.0063,0.0833333333333333,"Slc8a1, Slc24a3"
"9","MF","GO:0042578","phosphoric ester hydrolase activity",343,6,1.7,14,0.00722,0.0072,0.0174927113702624,"Plcl1, Ptprk, Eya4, Ssh2, Plpp3, Pde3a"
"10","MF","GO:1904680","peptide transmembrane transporter activi...",28,2,0.14,15,0.00847,0.0085,0.0714285714285714,"Slco3a1, Slc15a2"
