"","category","GO.ID","Term","Annotated","Significant","Expected","Rank in Fisher.classic","Fisher.elim","Fisher.classic","gene_ratio","genes"
"1","MF","GO:0042803","protein homodimerization activity",894,22,7.85,5,1.2e-05,1.2e-05,0.0246085011185682,"Tenm2, Zbtb16, Csf1, Apoe, Cdh19, Il12b, Dscaml1, Stat3, Cst7, Kcnma1, Zfp365, Masp1, Cpq, C1qb, Fgfr2, Sbf2, Mtmr2, Ikzf2, B2m, Mapt, Tpd52l2, Cpox"
"2","MF","GO:0046872","metal ion binding",3326,47,29.2,6,0.00039,0.00039,0.0141310883944678,"Eya4, Apoe, Cdh19, Slc25a13, Zfand4, Spock1, Otud7a, Pcdh15, Mast4, Man1a, Cdc42bpa, Arap2, Tyrobp, Kcnma1, Slc8a1, Ablim2, Zfp365, Masp1, Sik3, Pros1, Aspa, Agap1, Prkn, Sulf2, Trf, Cpq, Slc6a1, Cela1, Ikzf2, Cadps, Lrp1b, Pde3a, Pter, Itpk1, Hmgcll1, Agmo, Atp8b5, Zfp536, Mta3, Reps2, Dido1, Scd2, Ggta1, Slc1a3, Acaca, Otud7b, Adam9"
"3","MF","GO:0004601","peroxidase activity",44,4,0.39,8,0.00059,0.00059,0.0909090909090909,"Hbb-bs, Hbb-bt, Hba-a2, Hba-a1"
"4","MF","GO:0005326","neurotransmitter transporter activity",48,4,0.42,11,0.00082,0.00082,0.0833333333333333,"Slc25a13, Slc6a1, Slc44a1, Slc1a3"
"5","MF","GO:0050839","cell adhesion molecule binding",237,8,2.08,13,0.00119,0.00119,0.0337552742616034,"Tenm2, Thy1, Ctnna3, Cdh19, Cd9, Ctnna2, Ptn, Adam9"
"6","MF","GO:0001540","amyloid-beta binding",57,4,0.5,14,0.00158,0.00158,0.0701754385964912,"Cst3, Apoe, Trem2, Clu"
"7","MF","GO:0071813","lipoprotein particle binding",27,3,0.24,15,0.00166,0.00166,0.111111111111111,"Apoe, Trem2, Mapt"
"8","MF","GO:0042802","identical protein binding",1795,38,15.76,2,0.00221,2.2e-07,0.0211699164345404,"Tenm2, Zbtb16, Ttr, Csf1, Cst3, Apoe, Cdh19, Slc25a13, Plp1, Il12b, Grid2, Cdc42bpa, Dscaml1, Stat3, Cst7, Tyrobp, Kcnma1, Zfp365, Ctnna2, Htra1, Masp1, Robo1, Aspa, Prkn, Cpq, C1qb, Fgfr2, Sbf2, Alk, Mtmr2, Ikzf2, B2m, Lyz2, Mapt, Acaca, Dcc, Tpd52l2, Cpox"
"9","MF","GO:0005125","cytokine activity",155,6,1.36,19,0.00249,0.00249,0.0387096774193548,"Csf1, Il12b, Il33, Tafa5, Ccl6, Ccl3"
"10","MF","GO:0043394","proteoglycan binding",35,3,0.31,20,0.00354,0.00354,0.0857142857142857,"Apoe, Ctss, Ptn"
"11","MF","GO:0048020","CCR chemokine receptor binding",35,3,0.31,21,0.00354,0.00354,0.0857142857142857,"Stat3, Ccl6, Ccl3"
"12","MF","GO:0005515","protein binding",8273,110,72.64,1,0.00373,2.1e-09,0.0132962649582981,"C4b, Tenm2, Zbtb16, Thy1, Unc5c, Ttr, Plekha1, Cldn11, Kirrel3, Eya4, Ctnna3, Plcl1, Csf1, Cst3, Dgki, Apoe, Cdh19, Slc25a13, Plp1, Ptprk, Il12b, Otud7a, Pcdh15, Grid2, Cd9, Cdc42bpa, Hbb-bs, Cldn14, Fkbp5, Ctss, Dscaml1, Stat3, Cst7, Rhoj, Tyrobp, Kcnma1, Nav3, Magi2, Stk39, Slc8a1, C1qa, Ablim2, Luc7l2, Il33, Zfp365, Ctnna2, Strn, Htra1, Mobp, Tafa5, Hbb-bt, Cdc37l1, Trem2, Masp1, Piezo2, Cacnb4, Tmod2, Sik3, Robo1, Slc24a2, Acsl3, Gclm, Aspa, Prkn, Trf, Cpq, C1qb, H2-D1, Bcl3, Fgfr2, Synpr, Sbf2, Alk, Auts2, Map7, Clock, Mtmr2, Neat1, Ikzf2, Ppp2r3a, Cadps, B2m, Hba-a2, Lrp1b, Hba-a1, Lyz2, Ralgps1, Lamc1, Fmnl2, Qk, Ccl6, Mta3, Iars, Mapt, Dennd5b, Slc1a3, Acaca, Dcc, Ccl3, Tpd52l2, Ptn, Pcdh11x, Fmn1, Otud7b, Clu, Adam9, Socs3, Cpox, Relch, Hif3a"
"13","MF","GO:0008092","cytoskeletal protein binding",945,17,8.3,22,0.00398,0.00398,0.017989417989418,"Unc5c, Ctnna3, Apoe, Cdh19, Kcnma1, Nav3, Magi2, Slc8a1, Ablim2, Ctnna2, Mobp, Tmod2, Prkn, Fmnl2, Mapt, Fmn1, Clu"
"14","MF","GO:0019901","protein kinase binding",715,14,6.28,24,0.00425,0.00425,0.0195804195804196,"Thy1, Unc5c, Ptprk, Stat3, Rhoj, Stk39, Trem2, Cacnb4, Acsl3, Prkn, Cadps, Mapt, Ptn, Adam9"
"15","MF","GO:0044877","protein-containing complex binding",1185,22,10.4,9,0.00525,7e-04,0.0185654008438819,"Thy1, Ctnna3, Apoe, Spock1, Pcdh15, Cd9, Ctss, Kcnma1, Magi2, Ablim2, Ctnna2, Strn, Trem2, Pros1, Prkn, H2-D1, Mta3, Gnb4, Mapt, Ptn, Clu, Adam9"
"16","MF","GO:0140104","molecular carrier activity",44,3,0.39,25,0.00676,0.00676,0.0681818181818182,"Hbb-bt, Trf, Hba-a1"
"17","MF","GO:0015081","sodium ion transmembrane transporter act...",139,5,1.22,26,0.00768,0.00768,0.0359712230215827,"Slc8a1, Slc24a2, Slc6a1, Slc1a3, Cpox"
"18","MF","GO:0004869","cysteine-type endopeptidase inhibitor ac...",53,3,0.47,29,0.01129,0.01129,0.0566037735849057,"Cst3, Spock1, Cst7"
"19","MF","GO:0003779","actin binding",416,9,3.65,30,0.01135,0.01135,0.0216346153846154,"Ctnna3, Kcnma1, Ablim2, Ctnna2, Mobp, Tmod2, Prkn, Fmnl2, Fmn1"
"20","MF","GO:0030234","enzyme regulator activity",894,15,7.85,32,0.01227,0.01227,0.0167785234899329,"Thy1, Cst3, Dgki, Apoe, Spock1, Arap2, Cst7, Serpina3n, Gclm, Agap1, Sbf2, Ppp2r3a, Ptn, Socs3, Fry"
"21","MF","GO:0005509","calcium ion binding",574,11,5.04,33,0.01261,0.01261,0.0191637630662021,"Cdh19, Slc25a13, Spock1, Pcdh15, Man1a, Masp1, Pros1, Sulf2, Cadps, Lrp1b, Reps2"
"22","MF","GO:0050840","extracellular matrix binding",56,3,0.49,34,0.01311,0.01311,0.0535714285714286,"Spock1, Ctss, Adam9"
"23","MF","GO:0048156","tau protein binding",21,2,0.18,35,0.01442,0.01442,0.0952380952380952,"Apoe, Clu"
"24","MF","GO:0070530","K63-linked polyubiquitin modification-de...",22,2,0.19,37,0.01577,0.01577,0.0909090909090909,"Otud7a, Otud7b"
"25","MF","GO:0030165","PDZ domain binding",114,4,1,38,0.01813,0.01813,0.0350877192982456,"Plekha1, Kirrel3, Grid2, Prkn"
"26","MF","GO:0015491","cation:cation antiporter activity",24,2,0.21,39,0.01863,0.01863,0.0833333333333333,"Slc8a1, Slc24a2"
"27","MF","GO:0005343","organic acid:sodium symporter activity",24,2,0.21,40,0.01863,0.01863,0.0833333333333333,"Slc6a1, Slc1a3"
"28","MF","GO:0050750","low-density lipoprotein particle recepto...",24,2,0.21,41,0.01863,0.01863,0.0833333333333333,"Apoe, Clu"
"29","MF","GO:0005328","neurotransmitter:sodium symporter activi...",25,2,0.22,43,0.02014,0.02014,0.08,"Slc6a1, Slc1a3"
"30","MF","GO:0045296","cadherin binding",66,3,0.58,44,0.02031,0.02031,0.0454545454545455,"Ctnna3, Cdh19, Ctnna2"
"31","MF","GO:0005518","collagen binding",68,3,0.6,45,0.02197,0.02197,0.0441176470588235,"Spock1, Ctss, Adam9"
"32","MF","GO:0000287","magnesium ion binding",187,5,1.64,46,0.02476,0.02476,0.0267379679144385,"Mast4, Cdc42bpa, Sik3, Itpk1, Atp8b5"
"33","MF","GO:0043236","laminin binding",28,2,0.25,47,0.02494,0.02494,0.0714285714285714,"Ctss, Adam9"
"34","MF","GO:0070325","lipoprotein particle receptor binding",28,2,0.25,48,0.02494,0.02494,0.0714285714285714,"Apoe, Clu"
