"","category","GO.ID","Term","Annotated","Significant","Expected","Rank in Fisher.classic","Fisher.elim","Fisher.classic","gene_ratio","genes"
"1","MF","GO:0050839","cell adhesion molecule binding",237,3,0.1,1,0.00011,0.00011,0.0126582278481013,"Tenm2, Thy1, Ctnna3"
"2","MF","GO:0046982","protein heterodimerization activity",520,3,0.23,2,0.00114,0.00114,0.00576923076923077,"Tenm2, Il12b, H2-D1"
"3","MF","GO:0005102","signaling receptor binding",1472,4,0.64,3,0.00223,0.00223,0.00271739130434783,"Tenm2, Il12b, Thy1, H2-D1"
"4","MF","GO:0001848","complement binding",21,1,0.01,4,0.00913,0.00913,0.0476190476190476,"C4b"
"5","MF","GO:0042605","peptide antigen binding",22,1,0.01,5,0.00956,0.00956,0.0454545454545455,"H2-D1"
"6","MF","GO:0044877","protein-containing complex binding",1185,3,0.52,6,0.01179,0.01179,0.00253164556962025,"Thy1, Ctnna3, H2-D1"
"7","MF","GO:0004601","peroxidase activity",44,1,0.02,9,0.01904,0.01904,0.0227272727272727,"Hbb-bs"
"8","MF","GO:0016684","oxidoreductase activity, acting on perox...",48,1,0.02,10,0.02076,0.02076,0.0208333333333333,"Hbb-bs"
"9","MF","GO:0045296","cadherin binding",66,1,0.03,12,0.02844,0.02844,0.0151515151515152,"Ctnna3"
"10","MF","GO:0016209","antioxidant activity",74,1,0.03,14,0.03184,0.03184,0.0135135135135135,"Hbb-bs"
"11","MF","GO:0008013","beta-catenin binding",84,1,0.04,15,0.03607,0.03607,0.0119047619047619,"Ctnna3"
"12","MF","GO:0004896","cytokine receptor activity",87,1,0.04,16,0.03734,0.03734,0.0114942528735632,"Il12b"
"13","MF","GO:0019955","cytokine binding",116,1,0.05,17,0.04951,0.04951,0.00862068965517241,"Il12b"
"14","MF","GO:0005178","integrin binding",128,1,0.06,18,0.05451,0.05451,0.0078125,"Thy1"
"15","MF","GO:0042803","protein homodimerization activity",894,2,0.39,19,0.05467,0.05467,0.00223713646532438,"Tenm2, Il12b"
"16","MF","GO:0008083","growth factor activity",133,1,0.06,20,0.05659,0.05659,0.0075187969924812,"Il12b"
"17","MF","GO:0005125","cytokine activity",155,1,0.07,21,0.06567,0.06567,0.00645161290322581,"Il12b"
"18","MF","GO:0051015","actin filament binding",197,1,0.09,22,0.0828,0.0828,0.0050761421319797,"Ctnna3"
"19","MF","GO:0005096","GTPase activator activity",235,1,0.1,23,0.09807,0.09807,0.00425531914893617,"Thy1"
"20","MF","GO:0035091","phosphatidylinositol binding",247,1,0.11,24,0.10284,0.10284,0.00404858299595142,"Thy1"
"21","MF","GO:0030246","carbohydrate binding",250,1,0.11,25,0.10403,0.10403,0.004,"C4b"
"22","MF","GO:0005126","cytokine receptor binding",253,1,0.11,26,0.10522,0.10522,0.00395256916996047,"Il12b"
"23","MF","GO:0030695","GTPase regulator activity",253,1,0.11,27,0.10522,0.10522,0.00395256916996047,"Thy1"
"24","MF","GO:0060589","nucleoside-triphosphatase regulator acti...",291,1,0.13,29,0.12015,0.12015,0.00343642611683849,"Thy1"
"25","MF","GO:0098772","molecular function regulator",1565,2,0.68,31,0.14449,0.14449,0.0012779552715655,"Il12b, Thy1"
"26","MF","GO:0048018","receptor ligand activity",391,1,0.17,32,0.15842,0.15842,0.00255754475703325,"Il12b"
"27","MF","GO:0005543","phospholipid binding",407,1,0.18,33,0.1644,0.1644,0.00245700245700246,"Thy1"
"28","MF","GO:0003779","actin binding",416,1,0.18,34,0.16775,0.16775,0.00240384615384615,"Ctnna3"
"29","MF","GO:0030545","receptor regulator activity",421,1,0.18,35,0.16961,0.16961,0.00237529691211401,"Il12b"
"30","MF","GO:0008047","enzyme activator activity",436,1,0.19,36,0.17516,0.17516,0.00229357798165138,"Thy1"
"31","MF","GO:0042802","identical protein binding",1795,2,0.78,37,0.18063,0.18063,0.0011142061281337,"Tenm2, Il12b"
"32","MF","GO:0008270","zinc ion binding",651,1,0.28,38,0.25118,0.25118,0.00153609831029186,"Zfand4"
"33","MF","GO:0008289","lipid binding",696,1,0.3,39,0.26629,0.26629,0.0014367816091954,"Thy1"
"34","MF","GO:0016491","oxidoreductase activity",714,1,0.31,40,0.27226,0.27226,0.00140056022408964,"Hbb-bs"
"35","MF","GO:0019901","protein kinase binding",715,1,0.31,41,0.27259,0.27259,0.0013986013986014,"Thy1"
