"","category","GO.ID","Term","Annotated","Significant","Expected","Rank in Fisher.classic","Fisher.elim","Fisher.classic","gene_ratio","genes"
"1","MF","GO:0004601","peroxidase activity",44,4,0.05,1,1.7e-07,1.7e-07,0.0909090909090909,"Hbb-bs, Hba-a1, Hba-a2, Hbb-bt"
"2","MF","GO:0043177","organic acid binding",206,4,0.24,4,8e-05,8e-05,0.0194174757281553,"Hba-a1, Hba-a2, Ptgds, Hbb-bt"
"3","MF","GO:0019955","cytokine binding",116,3,0.13,5,3e-04,3e-04,0.0258620689655172,"Il12b, Tgfbr2, Il6st"
"4","MF","GO:0020037","heme binding",128,3,0.15,6,4e-04,4e-04,0.0234375,"Hba-a1, Hba-a2, Hbb-bt"
"5","MF","GO:0140104","molecular carrier activity",44,2,0.05,9,0.0011,0.0011,0.0454545454545455,"Hba-a1, Hbb-bt"
"6","MF","GO:0005126","cytokine receptor binding",253,3,0.29,11,0.0029,0.0029,0.0118577075098814,"Il12b, Tgfbr2, Il6st"
"7","MF","GO:0048306","calcium-dependent protein binding",71,2,0.08,12,0.003,0.003,0.028169014084507,"Anxa3, Mgp"
"8","MF","GO:0004896","cytokine receptor activity",87,2,0.1,13,0.0044,0.0044,0.0229885057471264,"Il12b, Il6st"
"9","MF","GO:0005179","hormone activity",101,2,0.12,14,0.0059,0.0059,0.0198019801980198,"Ttr, Sst"
"10","MF","GO:0019838","growth factor binding",138,2,0.16,17,0.0108,0.0108,0.0144927536231884,"Tgfbr2, Il6st"
"11","MF","GO:0005539","glycosaminoglycan binding",192,2,0.22,20,0.0201,0.0201,0.0104166666666667,"Mamdc2, Tgfbr2"
"12","MF","GO:0046982","protein heterodimerization activity",520,3,0.6,21,0.0206,0.0206,0.00576923076923077,"Ttr, Il12b, Mef2c"
"13","MF","GO:0031489","myosin V binding",20,1,0.02,22,0.0227,0.0227,0.05,"Fus"
"14","MF","GO:0071837","HMG box domain binding",20,1,0.02,23,0.0227,0.0227,0.05,"Mef2c"
"15","MF","GO:0050431","transforming growth factor beta binding",20,1,0.02,24,0.0227,0.0227,0.05,"Tgfbr2"
"16","MF","GO:0030547","receptor inhibitor activity",21,1,0.02,25,0.0238,0.0238,0.0476190476190476,"Dkk2"
"17","MF","GO:0046965","retinoid X receptor binding",23,1,0.03,26,0.026,0.026,0.0434782608695652,"Fus"
"18","MF","GO:0035586","purinergic receptor activity",23,1,0.03,27,0.026,0.026,0.0434782608695652,"P2ry12"
"19","MF","GO:0046966","thyroid hormone receptor binding",26,1,0.03,29,0.0294,0.0294,0.0384615384615385,"Fus"
"20","MF","GO:0031435","mitogen-activated protein kinase kinase ...",26,1,0.03,30,0.0294,0.0294,0.0384615384615385,"Tgfbr2"
"21","MF","GO:0005501","retinoid binding",26,1,0.03,31,0.0294,0.0294,0.0384615384615385,"Ptgds"
"22","MF","GO:0008144","drug binding",1595,5,1.83,32,0.031,0.031,0.00313479623824451,"Hbb-bs, Hba-a1, Hba-a2, Tgfbr2, Hbb-bt"
"23","MF","GO:0019840","isoprenoid binding",31,1,0.04,33,0.0349,0.0349,0.032258064516129,"Ptgds"
"24","MF","GO:0042974","retinoic acid receptor binding",33,1,0.04,34,0.0371,0.0371,0.0303030303030303,"Fus"
"25","MF","GO:0030545","receptor regulator activity",421,4,0.48,10,0.0431,0.0012,0.00950118764845606,"Ttr, Il12b, Dkk2, Sst"
"26","MF","GO:0035255","ionotropic glutamate receptor binding",40,1,0.05,36,0.0448,0.0448,0.025,"Fus"
"27","MF","GO:0005504","fatty acid binding",41,1,0.05,37,0.0459,0.0459,0.024390243902439,"Ptgds"
"28","MF","GO:0030331","estrogen receptor binding",47,1,0.05,39,0.0525,0.0525,0.0212765957446809,"Fus"
"29","MF","GO:0016860","intramolecular oxidoreductase activity",47,1,0.05,40,0.0525,0.0525,0.0212765957446809,"Ptgds"
"30","MF","GO:0005160","transforming growth factor beta receptor...",49,1,0.06,41,0.0547,0.0547,0.0204081632653061,"Tgfbr2"
"31","MF","GO:0005544","calcium-dependent phospholipid binding",51,1,0.06,42,0.0568,0.0568,0.0196078431372549,"Anxa3"
"32","MF","GO:0033293","monocarboxylic acid binding",61,1,0.07,43,0.0676,0.0676,0.0163934426229508,"Ptgds"
"33","MF","GO:0035254","glutamate receptor binding",65,1,0.07,45,0.0719,0.0719,0.0153846153846154,"Fus"
"34","MF","GO:0045296","cadherin binding",66,1,0.08,46,0.073,0.073,0.0151515151515152,"Ctnna3"
"35","MF","GO:0017022","myosin binding",74,1,0.08,48,0.0815,0.0815,0.0135135135135135,"Fus"
"36","MF","GO:0019199","transmembrane receptor protein kinase ac...",74,1,0.08,49,0.0815,0.0815,0.0135135135135135,"Tgfbr2"
"37","MF","GO:0046332","SMAD binding",82,1,0.09,51,0.0899,0.0899,0.0121951219512195,"Tgfbr2"
"38","MF","GO:0033613","activating transcription factor binding",83,1,0.1,52,0.0909,0.0909,0.0120481927710843,"Mef2c"
"39","MF","GO:0008013","beta-catenin binding",84,1,0.1,53,0.092,0.092,0.0119047619047619,"Ctnna3"
"40","MF","GO:0035258","steroid hormone receptor binding",85,1,0.1,54,0.093,0.093,0.0117647058823529,"Fus"
"41","MF","GO:0000980","RNA polymerase II distal enhancer sequen...",86,1,0.1,55,0.0941,0.0941,0.0116279069767442,"Mef2c"
"42","MF","GO:0042562","hormone binding",103,1,0.12,56,0.1116,0.1116,0.00970873786407767,"Ttr"
"43","MF","GO:0001158","enhancer sequence-specific DNA binding",110,1,0.13,57,0.1188,0.1188,0.00909090909090909,"Mef2c"
"44","MF","GO:0042826","histone deacetylase binding",119,1,0.14,58,0.1279,0.1279,0.00840336134453781,"Mef2c"
"45","MF","GO:0035326","enhancer binding",121,1,0.14,59,0.1299,0.1299,0.00826446280991736,"Mef2c"
"46","MF","GO:0015103","inorganic anion transmembrane transporte...",129,1,0.15,60,0.1379,0.1379,0.00775193798449612,"Ank"
"47","MF","GO:0005509","calcium ion binding",574,2,0.66,61,0.1392,0.1392,0.00348432055749129,"Anxa3, Mgp"
"48","MF","GO:0008083","growth factor activity",133,1,0.15,62,0.1418,0.1418,0.0075187969924812,"Il12b"
