"","category","GO.ID","Term","Annotated","Significant","Expected","Rank in Fisher.classic","Fisher.elim","Fisher.classic","gene_ratio","genes"
"1","MF","GO:0047485","protein N-terminus binding",128,3,0.17,3,0.00068,0.00068,0.0234375,"Kcnip1, Clu, Cacna1e"
"2","MF","GO:0042803","protein homodimerization activity",894,6,1.22,5,0.00105,0.00105,0.00671140939597315,"Il12b, Plcb1, Kcnma1, Erbb4, Rbm11, Olig2"
"3","MF","GO:0004601","peroxidase activity",44,2,0.06,6,0.00163,0.00163,0.0454545454545455,"Hbb-bt, Hbb-bs"
"4","MF","GO:0048018","receptor ligand activity",391,4,0.53,7,0.00181,0.00181,0.010230179028133,"Ttr, Il12b, Tafa1, Sema5a"
"5","MF","GO:0015459","potassium channel regulator activity",47,2,0.06,8,0.00186,0.00186,0.0425531914893617,"Kcnip1, Dpp6"
"6","MF","GO:0005244","voltage-gated ion channel activity",191,3,0.26,10,0.00216,0.00216,0.0157068062827225,"Kcnip1, Kcnma1, Cacna1e"
"7","MF","GO:0046982","protein heterodimerization activity",520,4,0.71,15,0.00504,0.00504,0.00769230769230769,"Ttr, Il12b, Kcnip1, Sycp2"
"8","MF","GO:0004620","phospholipase activity",84,2,0.11,16,0.00581,0.00581,0.0238095238095238,"Plcb1, Plce1"
"9","MF","GO:0008081","phosphoric diester hydrolase activity",86,2,0.12,17,0.00608,0.00608,0.0232558139534884,"Plcb1, Plce1"
"10","MF","GO:0005509","calcium ion binding",574,4,0.78,18,0.00713,0.00713,0.00696864111498258,"Plcb1, Kcnip1, Cacna1e, Dner"
"11","MF","GO:0005261","cation channel activity",310,3,0.42,19,0.00836,0.00836,0.00967741935483871,"Kcnip1, Kcnma1, Cacna1e"
"12","MF","GO:0005267","potassium channel activity",121,2,0.16,27,0.01173,0.01173,0.0165289256198347,"Kcnip1, Kcnma1"
"13","MF","GO:0022843","voltage-gated cation channel activity",143,2,0.19,29,0.01611,0.01611,0.013986013986014,"Kcnma1, Cacna1e"
"14","MF","GO:0046873","metal ion transmembrane transporter acti...",420,3,0.57,32,0.01889,0.01889,0.00714285714285714,"Kcnip1, Kcnma1, Cacna1e"
"15","MF","GO:0015079","potassium ion transmembrane transporter ...",157,2,0.21,33,0.01921,0.01921,0.0127388535031847,"Kcnip1, Kcnma1"
"16","MF","GO:0071837","HMG box domain binding",20,1,0.03,36,0.02693,0.02693,0.05,"Olig2"
"17","MF","GO:0034593","phosphatidylinositol bisphosphate phosph...",20,1,0.03,37,0.02693,0.02693,0.05,"Inpp4b"
"18","MF","GO:0030215","semaphorin receptor binding",21,1,0.03,38,0.02826,0.02826,0.0476190476190476,"Sema5a"
"19","MF","GO:0048156","tau protein binding",21,1,0.03,39,0.02826,0.02826,0.0476190476190476,"Clu"
"20","MF","GO:0051787","misfolded protein binding",23,1,0.03,40,0.03091,0.03091,0.0434782608695652,"Clu"
"21","MF","GO:0052866","phosphatidylinositol phosphate phosphata...",24,1,0.03,41,0.03223,0.03223,0.0416666666666667,"Inpp4b"
"22","MF","GO:0050750","low-density lipoprotein particle recepto...",24,1,0.03,42,0.03223,0.03223,0.0416666666666667,"Clu"
"23","MF","GO:0019239","deaminase activity",25,1,0.03,43,0.03356,0.03356,0.04,"Adarb2"
"24","MF","GO:0005112","Notch binding",25,1,0.03,44,0.03356,0.03356,0.04,"Dner"
"25","MF","GO:0008266","poly(U) RNA binding",26,1,0.04,45,0.03488,0.03488,0.0384615384615385,"Rbm11"
"26","MF","GO:0016814","hydrolase activity, acting on carbon-nit...",27,1,0.04,46,0.03619,0.03619,0.037037037037037,"Adarb2"
"27","MF","GO:0045499","chemorepellent activity",28,1,0.04,47,0.03751,0.03751,0.0357142857142857,"Sema5a"
"28","MF","GO:0070325","lipoprotein particle receptor binding",28,1,0.04,48,0.03751,0.03751,0.0357142857142857,"Clu"
"29","MF","GO:0005227","calcium activated cation channel activit...",28,1,0.04,49,0.03751,0.03751,0.0357142857142857,"Kcnma1"
"30","MF","GO:0008187","poly-pyrimidine tract binding",30,1,0.04,51,0.04014,0.04014,0.0333333333333333,"Rbm11"
"31","MF","GO:0005154","epidermal growth factor receptor binding",35,1,0.05,52,0.04667,0.04667,0.0285714285714286,"Erbb4"
"32","MF","GO:0043394","proteoglycan binding",35,1,0.05,53,0.04667,0.04667,0.0285714285714286,"Sema5a"
"33","MF","GO:0140104","molecular carrier activity",44,1,0.06,55,0.05833,0.05833,0.0227272727272727,"Hbb-bt"
"34","MF","GO:0005245","voltage-gated calcium channel activity",50,1,0.07,57,0.06603,0.06603,0.02,"Cacna1e"
"35","MF","GO:0001540","amyloid-beta binding",57,1,0.08,58,0.07493,0.07493,0.0175438596491228,"Clu"
"36","MF","GO:0004714","transmembrane receptor protein tyrosine ...",57,1,0.08,59,0.07493,0.07493,0.0175438596491228,"Erbb4"
"37","MF","GO:0015077","monovalent inorganic cation transmembran...",347,2,0.47,60,0.08055,0.08055,0.00576368876080692,"Kcnip1, Kcnma1"
"38","MF","GO:0019199","transmembrane receptor protein kinase ac...",74,1,0.1,62,0.09622,0.09622,0.0135135135135135,"Erbb4"
"39","MF","GO:0005546","phosphatidylinositol-4,5-bisphosphate bi...",78,1,0.11,64,0.10116,0.10116,0.0128205128205128,"Plcb1"
"40","MF","GO:0003725","double-stranded RNA binding",82,1,0.11,65,0.10607,0.10607,0.0121951219512195,"Adarb2"
"41","MF","GO:0005249","voltage-gated potassium channel activity",85,1,0.12,66,0.10974,0.10974,0.0117647058823529,"Kcnma1"
"42","MF","GO:0004896","cytokine receptor activity",87,1,0.12,67,0.11217,0.11217,0.0114942528735632,"Il12b"
"43","MF","GO:0003727","single-stranded RNA binding",91,1,0.12,68,0.11703,0.11703,0.010989010989011,"Rbm11"
"44","MF","GO:0051082","unfolded protein binding",96,1,0.13,69,0.12306,0.12306,0.0104166666666667,"Clu"
"45","MF","GO:0005179","hormone activity",101,1,0.14,70,0.12906,0.12906,0.0099009900990099,"Ttr"
"46","MF","GO:0005102","signaling receptor binding",1472,7,2.01,13,0.12947,0.0028,0.0047554347826087,"Ttr, Il12b, Tafa1, Sema5a, Clu, Erbb4, Dner"
"47","MF","GO:0042562","hormone binding",103,1,0.14,71,0.13144,0.13144,0.00970873786407767,"Ttr"
"48","MF","GO:1902936","phosphatidylinositol bisphosphate bindin...",109,1,0.15,72,0.13857,0.13857,0.00917431192660551,"Plcb1"
"49","MF","GO:0019955","cytokine binding",116,1,0.16,74,0.1468,0.1468,0.00862068965517241,"Il12b"
"50","MF","GO:0016810","hydrolase activity, acting on carbon-nit...",118,1,0.16,75,0.14914,0.14914,0.00847457627118644,"Adarb2"
"51","MF","GO:0005262","calcium channel activity",118,1,0.16,76,0.14914,0.14914,0.00847457627118644,"Cacna1e"
"52","MF","GO:0005515","protein binding",8273,20,11.28,2,0.15356,0.00039,0.00241750271969056,"Ttr, Il12b, Plcb1, Tafa1, Kcnip1, Malat1, Plce1, Hbb-bt, Kcnma1, Sema5a, Hbb-bs, Dpp6, Sgcd, Clu, Cacna1e, Erbb4, Sycp2, Dner, Rbm11, Olig2"
"53","MF","GO:0004713","protein tyrosine kinase activity",127,1,0.17,78,0.1596,0.1596,0.0078740157480315,"Erbb4"
"54","MF","GO:0020037","heme binding",128,1,0.17,79,0.16075,0.16075,0.0078125,"Hbb-bt"
