"","category","GO.ID","Term","Annotated","Significant","Expected","Rank in Fisher.classic","Fisher.elim","Fisher.classic","gene_ratio","genes"
"1","MF","GO:0004197","cysteine-type endopeptidase activity",83,2,0.06,1,0.0018,0.0018,0.0240963855421687,"Usp24, Ctss"
"2","MF","GO:0005178","integrin binding",128,2,0.1,2,0.0042,0.0042,0.015625,"Thy1, Cd9"
"3","MF","GO:0030215","semaphorin receptor binding",21,1,0.02,7,0.0159,0.0159,0.0476190476190476,"Sema3d"
"4","MF","GO:0001848","complement binding",21,1,0.02,8,0.0159,0.0159,0.0476190476190476,"C4b"
"5","MF","GO:0008066","glutamate receptor activity",27,1,0.02,9,0.0204,0.0204,0.037037037037037,"Grm5"
"6","MF","GO:0045499","chemorepellent activity",28,1,0.02,10,0.0212,0.0212,0.0357142857142857,"Sema3d"
"7","MF","GO:0043236","laminin binding",28,1,0.02,11,0.0212,0.0212,0.0357142857142857,"Ctss"
"8","MF","GO:0001968","fibronectin binding",30,1,0.02,13,0.0227,0.0227,0.0333333333333333,"Ctss"
"9","MF","GO:0043394","proteoglycan binding",35,1,0.03,14,0.0264,0.0264,0.0285714285714286,"Ctss"
"10","MF","GO:0005515","protein binding",8273,11,6.32,5,0.0341,0.0117,0.00132962649582981,"Zbtb16, Tmem108, C4b, Thy1, Sema3d, Malat1, Grm5, Olfm2, Cd9, Bmpr1b, Ctss"
"11","MF","GO:0050840","extracellular matrix binding",56,1,0.04,16,0.0419,0.0419,0.0178571428571429,"Ctss"
"12","MF","GO:0098960","postsynaptic neurotransmitter receptor a...",57,1,0.04,17,0.0427,0.0427,0.0175438596491228,"Grm5"
"13","MF","GO:0005518","collagen binding",68,1,0.05,18,0.0507,0.0507,0.0147058823529412,"Ctss"
"14","MF","GO:0019199","transmembrane receptor protein kinase ac...",74,1,0.06,19,0.0551,0.0551,0.0135135135135135,"Bmpr1b"
"15","MF","GO:0046332","SMAD binding",82,1,0.06,20,0.0608,0.0608,0.0121951219512195,"Bmpr1b"
"16","MF","GO:0004843","thiol-dependent ubiquitin-specific prote...",84,1,0.06,22,0.0623,0.0623,0.0119047619047619,"Usp24"
"17","MF","GO:0000980","RNA polymerase II distal enhancer sequen...",86,1,0.07,23,0.0637,0.0637,0.0116279069767442,"Zbtb16"
"18","MF","GO:0036459","thiol-dependent ubiquitinyl hydrolase ac...",92,1,0.07,25,0.068,0.068,0.0108695652173913,"Usp24"
"19","MF","GO:0101005","ubiquitinyl hydrolase activity",93,1,0.07,26,0.0687,0.0687,0.010752688172043,"Usp24"
"20","MF","GO:1990782","protein tyrosine kinase binding",100,1,0.08,27,0.0737,0.0737,0.01,"Grm5"
"21","MF","GO:0019783","ubiquitin-like protein-specific protease...",102,1,0.08,28,0.0752,0.0752,0.00980392156862745,"Usp24"
"22","MF","GO:0030594","neurotransmitter receptor activity",106,1,0.08,29,0.078,0.078,0.00943396226415094,"Grm5"
"23","MF","GO:0001158","enhancer sequence-specific DNA binding",110,1,0.08,31,0.0808,0.0808,0.00909090909090909,"Zbtb16"
"24","MF","GO:0035326","enhancer binding",121,1,0.09,32,0.0886,0.0886,0.00826446280991736,"Zbtb16"
"25","MF","GO:0019838","growth factor binding",138,1,0.11,33,0.1004,0.1004,0.0072463768115942,"Bmpr1b"
"26","MF","GO:0019901","protein kinase binding",715,2,0.55,34,0.1014,0.1014,0.0027972027972028,"Thy1, Grm5"
"27","MF","GO:0019900","kinase binding",791,2,0.6,35,0.1201,0.1201,0.00252844500632111,"Thy1, Grm5"
"28","MF","GO:0005488","binding",11858,12,9.05,30,0.1418,0.0801,0.00101197503794906,"Zbtb16, Tmem108, C4b, Thy1, Fstl5, Sema3d, Malat1, Grm5, Olfm2, Cd9, Bmpr1b, Ctss"
"29","MF","GO:0044877","protein-containing complex binding",1185,4,0.9,4,0.1512,0.0103,0.00337552742616034,"Thy1, Malat1, Cd9, Ctss"
"30","MF","GO:0001227","DNA-binding transcription repressor acti...",215,1,0.16,36,0.1523,0.1523,0.00465116279069767,"Zbtb16"
"31","MF","GO:0008022","protein C-terminus binding",232,1,0.18,37,0.1633,0.1633,0.00431034482758621,"Zbtb16"
"32","MF","GO:0005096","GTPase activator activity",235,1,0.18,38,0.1653,0.1653,0.00425531914893617,"Thy1"
"33","MF","GO:0035091","phosphatidylinositol binding",247,1,0.19,39,0.173,0.173,0.00404858299595142,"Thy1"
"34","MF","GO:0030246","carbohydrate binding",250,1,0.19,40,0.1749,0.1749,0.004,"C4b"
"35","MF","GO:0030695","GTPase regulator activity",253,1,0.19,41,0.1768,0.1768,0.00395256916996047,"Thy1"
"36","MF","GO:0001664","G protein-coupled receptor binding",266,1,0.2,42,0.1851,0.1851,0.0037593984962406,"Grm5"
"37","MF","GO:0097367","carbohydrate derivative binding",2036,3,1.55,43,0.1976,0.1976,0.00147347740667976,"Thy1, Bmpr1b, Ctss"
"38","MF","GO:0060589","nucleoside-triphosphatase regulator acti...",291,1,0.22,45,0.2007,0.2007,0.00343642611683849,"Thy1"
"39","MF","GO:0005102","signaling receptor binding",1472,4,1.12,12,0.2205,0.0216,0.00271739130434783,"Thy1, Sema3d, Grm5, Cd9"
"40","MF","GO:0004888","transmembrane signaling receptor activit...",1212,2,0.93,46,0.2357,0.2357,0.00165016501650165,"Grm5, Bmpr1b"
"41","MF","GO:0048018","receptor ligand activity",391,1,0.3,47,0.2606,0.2606,0.00255754475703325,"Sema3d"
"42","MF","GO:0005543","phospholipid binding",407,1,0.31,48,0.2697,0.2697,0.00245700245700246,"Thy1"
"43","MF","GO:0030545","receptor regulator activity",421,1,0.32,49,0.2777,0.2777,0.00237529691211401,"Sema3d"
"44","MF","GO:0038023","signaling receptor activity",1383,2,1.06,50,0.2855,0.2855,0.00144613159797542,"Grm5, Bmpr1b"
"45","MF","GO:0004674","protein serine/threonine kinase activity",435,1,0.33,51,0.2856,0.2856,0.00229885057471264,"Bmpr1b"
"46","MF","GO:0008047","enzyme activator activity",436,1,0.33,52,0.2861,0.2861,0.00229357798165138,"Thy1"
"47","MF","GO:0060089","molecular transducer activity",1432,2,1.09,53,0.2998,0.2998,0.00139664804469274,"Grm5, Bmpr1b"
"48","MF","GO:0004930","G protein-coupled receptor activity",530,1,0.4,54,0.3369,0.3369,0.00188679245283019,"Grm5"
"49","MF","GO:0098772","molecular function regulator",1565,2,1.19,55,0.3386,0.3386,0.0012779552715655,"Thy1, Sema3d"
"50","MF","GO:0005509","calcium ion binding",574,1,0.44,56,0.3595,0.3595,0.00174216027874564,"Fstl5"
"51","MF","GO:0004672","protein kinase activity",584,1,0.45,57,0.3645,0.3645,0.00171232876712329,"Bmpr1b"
"52","MF","GO:0000981","DNA-binding transcription factor activit...",669,1,0.51,58,0.4058,0.4058,0.00149476831091181,"Zbtb16"
"53","MF","GO:0016773","phosphotransferase activity, alcohol gro...",682,1,0.52,59,0.4119,0.4119,0.00146627565982405,"Bmpr1b"
"54","MF","GO:0008289","lipid binding",696,1,0.53,60,0.4184,0.4184,0.0014367816091954,"Thy1"
"55","MF","GO:0016301","kinase activity",740,1,0.57,61,0.4384,0.4384,0.00135135135135135,"Bmpr1b"
"56","MF","GO:0000977","RNA polymerase II regulatory region sequ...",744,1,0.57,62,0.4402,0.4402,0.00134408602150538,"Zbtb16"
"57","MF","GO:0001012","RNA polymerase II regulatory region DNA ...",752,1,0.57,63,0.4437,0.4437,0.00132978723404255,"Zbtb16"
"58","MF","GO:0019904","protein domain specific binding",762,1,0.58,64,0.4481,0.4481,0.00131233595800525,"Zbtb16"
"59","MF","GO:0000976","transcription regulatory region sequence...",786,1,0.6,65,0.4586,0.4586,0.00127226463104326,"Zbtb16"
"60","MF","GO:1990837","sequence-specific double-stranded DNA bi...",828,1,0.63,66,0.4765,0.4765,0.00120772946859903,"Zbtb16"
"61","MF","GO:0016772","transferase activity, transferring phosp...",880,1,0.67,67,0.4978,0.4978,0.00113636363636364,"Bmpr1b"
"62","MF","GO:0003700","DNA-binding transcription factor activit...",882,1,0.67,68,0.4986,0.4986,0.00113378684807256,"Zbtb16"
"63","MF","GO:0044212","transcription regulatory region DNA bind...",892,1,0.68,69,0.5026,0.5026,0.00112107623318386,"Zbtb16"
"64","MF","GO:0030234","enzyme regulator activity",894,1,0.68,70,0.5034,0.5034,0.00111856823266219,"Thy1"
"65","MF","GO:0042803","protein homodimerization activity",894,1,0.68,71,0.5034,0.5034,0.00111856823266219,"Zbtb16"
"66","MF","GO:0001067","regulatory region nucleic acid binding",896,1,0.68,72,0.5042,0.5042,0.00111607142857143,"Zbtb16"
"67","MF","GO:0003690","double-stranded DNA binding",903,1,0.69,73,0.507,0.507,0.00110741971207087,"Zbtb16"
"68","MF","GO:0019899","enzyme binding",2238,2,1.71,74,0.5238,0.5238,0.000893655049151028,"Thy1, Grm5"
"69","MF","GO:0043565","sequence-specific DNA binding",1011,1,0.77,75,0.5481,0.5481,0.000989119683481701,"Zbtb16"
"70","MF","GO:0043168","anion binding",2593,2,1.98,77,0.609,0.609,0.000771307365985345,"Thy1, Bmpr1b"
"71","MF","GO:0140110","transcription regulator activity",1230,1,0.94,78,0.6219,0.6219,0.000813008130081301,"Zbtb16"
"72","MF","GO:0046983","protein dimerization activity",1311,1,1,79,0.6462,0.6462,0.0007627765064836,"Zbtb16"
"73","MF","GO:0005524","ATP binding",1357,1,1.04,80,0.6593,0.6593,0.000736919675755343,"Bmpr1b"
"74","MF","GO:0032559","adenyl ribonucleotide binding",1418,1,1.08,81,0.6761,0.6761,0.000705218617771509,"Bmpr1b"
"75","MF","GO:0030554","adenyl nucleotide binding",1428,1,1.09,82,0.6787,0.6787,0.000700280112044818,"Bmpr1b"
"76","MF","GO:0008144","drug binding",1595,1,1.22,83,0.7204,0.7204,0.000626959247648903,"Bmpr1b"
"77","MF","GO:0035639","purine ribonucleoside triphosphate bindi...",1665,1,1.27,84,0.7364,0.7364,0.000600600600600601,"Bmpr1b"
"78","MF","GO:0140096","catalytic activity, acting on a protein",2044,3,1.56,44,0.7444,0.1992,0.00146771037181996,"Usp24, Bmpr1b, Ctss"
"79","MF","GO:0046872","metal ion binding",3326,2,2.54,85,0.7512,0.7512,0.000601322910402886,"Fstl5, Bmpr1b"
"80","MF","GO:0032555","purine ribonucleotide binding",1736,1,1.33,86,0.7517,0.7517,0.000576036866359447,"Bmpr1b"
"81","MF","GO:0017076","purine nucleotide binding",1747,1,1.33,87,0.754,0.754,0.000572409845449342,"Bmpr1b"
"82","MF","GO:0032553","ribonucleotide binding",1752,1,1.34,88,0.755,0.755,0.000570776255707763,"Bmpr1b"
"83","MF","GO:0042802","identical protein binding",1795,1,1.37,89,0.7638,0.7638,0.000557103064066852,"Zbtb16"
"84","MF","GO:0043169","cation binding",3418,2,2.61,90,0.7658,0.7658,0.000585137507314219,"Fstl5, Bmpr1b"
"85","MF","GO:0003677","DNA binding",1834,1,1.4,91,0.7714,0.7714,0.00054525627044711,"Zbtb16"
"86","MF","GO:1901265","nucleoside phosphate binding",1969,1,1.5,92,0.7963,0.7963,0.000507872016251904,"Bmpr1b"
"87","MF","GO:0000166","nucleotide binding",1969,1,1.5,93,0.7963,0.7963,0.000507872016251904,"Bmpr1b"
"88","MF","GO:0043167","ion binding",5224,3,3.99,94,0.8079,0.8079,0.00057427258805513,"Thy1, Fstl5, Bmpr1b"
"89","MF","GO:0016740","transferase activity",2164,1,1.65,95,0.8278,0.8278,0.000462107208872458,"Bmpr1b"
"90","MF","GO:0036094","small molecule binding",2316,1,1.77,97,0.8491,0.8491,0.000431778929188256,"Bmpr1b"
"91","MF","GO:0003676","nucleic acid binding",2829,1,2.16,98,0.9043,0.9043,0.000353481795687522,"Zbtb16"
"92","MF","GO:1901363","heterocyclic compound binding",4665,2,3.56,99,0.9053,0.9053,0.000428724544480171,"Zbtb16, Bmpr1b"
"93","MF","GO:0097159","organic cyclic compound binding",4747,2,3.62,100,0.9113,0.9113,0.000421318727617443,"Zbtb16, Bmpr1b"
"94","MF","GO:0003824","catalytic activity",5396,3,4.12,96,0.9839,0.8279,0.000555967383246849,"Usp24, Bmpr1b, Ctss"
"95","MF","GO:0003674","molecular_function",18336,14,14,101,1,1,0.000763525305410122,"Zbtb16, Zfp804b, Tmem108, C4b, Thy1, Fstl5, Sema3d, Malat1, Grm5, Olfm2, Cd9, Usp24, Bmpr1b, Ctss"
"96","MF","GO:0004175","endopeptidase activity",374,2,0.29,15,1,0.0321,0.0053475935828877,"Usp24, Ctss"
