"","category","GO.ID","Term","Annotated","Significant","Expected","Rank in Fisher.classic","Fisher.elim","Fisher.classic","gene_ratio","genes"
"1","MF","GO:0019904","protein domain specific binding",762,3,0.46,1,0.0092,0.0092,0.00393700787401575,"Dlgap2, Sorbs2, Shisa9"
"2","MF","GO:0008376","acetylgalactosaminyltransferase activity",41,1,0.02,2,0.0243,0.0243,0.024390243902439,"Galntl6"
"3","MF","GO:0005544","calcium-dependent phospholipid binding",51,1,0.03,3,0.0302,0.0302,0.0196078431372549,"Syt10"
"4","MF","GO:0030276","clathrin binding",52,1,0.03,4,0.0308,0.0308,0.0192307692307692,"Syt10"
"5","MF","GO:0001786","phosphatidylserine binding",61,1,0.04,5,0.036,0.036,0.0163934426229508,"Syt10"
"6","MF","GO:0046982","protein heterodimerization activity",520,2,0.31,6,0.0373,0.0373,0.00384615384615385,"Ttr, Syt10"
"7","MF","GO:0019905","syntaxin binding",76,1,0.05,7,0.0447,0.0447,0.0131578947368421,"Syt10"
"8","MF","GO:0005546","phosphatidylinositol-4,5-bisphosphate bi...",78,1,0.05,8,0.0458,0.0458,0.0128205128205128,"Syt10"
"9","MF","GO:0005249","voltage-gated potassium channel activity",85,1,0.05,9,0.0498,0.0498,0.0117647058823529,"Kcnt2"
"10","MF","GO:0072341","modified amino acid binding",98,1,0.06,10,0.0573,0.0573,0.0102040816326531,"Syt10"
"11","MF","GO:0005179","hormone activity",101,1,0.06,11,0.059,0.059,0.0099009900990099,"Ttr"
"12","MF","GO:0042562","hormone binding",103,1,0.06,12,0.0601,0.0601,0.00970873786407767,"Ttr"
"13","MF","GO:1902936","phosphatidylinositol bisphosphate bindin...",109,1,0.07,13,0.0635,0.0635,0.00917431192660551,"Syt10"
"14","MF","GO:0030165","PDZ domain binding",114,1,0.07,14,0.0663,0.0663,0.0087719298245614,"Shisa9"
"15","MF","GO:0000149","SNARE binding",116,1,0.07,15,0.0674,0.0674,0.00862068965517241,"Syt10"
"16","MF","GO:0005267","potassium channel activity",121,1,0.07,16,0.0703,0.0703,0.00826446280991736,"Kcnt2"
"17","MF","GO:0008194","UDP-glycosyltransferase activity",138,1,0.08,17,0.0798,0.0798,0.0072463768115942,"Galntl6"
"18","MF","GO:0022843","voltage-gated cation channel activity",143,1,0.09,18,0.0825,0.0825,0.00699300699300699,"Kcnt2"
"19","MF","GO:0015079","potassium ion transmembrane transporter ...",157,1,0.09,19,0.0903,0.0903,0.00636942675159236,"Kcnt2"
"20","MF","GO:1901981","phosphatidylinositol phosphate binding",163,1,0.1,20,0.0936,0.0936,0.00613496932515337,"Syt10"
"21","MF","GO:0005244","voltage-gated ion channel activity",191,1,0.11,21,0.1088,0.1088,0.00523560209424084,"Kcnt2"
"22","MF","GO:0022832","voltage-gated channel activity",191,1,0.11,22,0.1088,0.1088,0.00523560209424084,"Kcnt2"
"23","MF","GO:0016758","transferase activity, transferring hexos...",194,1,0.12,23,0.1104,0.1104,0.00515463917525773,"Galntl6"
"24","MF","GO:0051015","actin filament binding",197,1,0.12,24,0.1121,0.1121,0.0050761421319797,"Tagln"
"25","MF","GO:0035091","phosphatidylinositol binding",247,1,0.15,25,0.1386,0.1386,0.00404858299595142,"Syt10"
"26","MF","GO:0016757","transferase activity, transferring glyco...",261,1,0.16,26,0.1459,0.1459,0.00383141762452107,"Galntl6"
"27","MF","GO:0005261","cation channel activity",310,1,0.19,27,0.1711,0.1711,0.0032258064516129,"Kcnt2"
"28","MF","GO:0022839","ion gated channel activity",317,1,0.19,28,0.1746,0.1746,0.00315457413249211,"Kcnt2"
"29","MF","GO:0022836","gated channel activity",329,1,0.2,30,0.1806,0.1806,0.00303951367781155,"Kcnt2"
"30","MF","GO:0046983","protein dimerization activity",1311,2,0.79,31,0.1832,0.1832,0.0015255530129672,"Ttr, Syt10"
"31","MF","GO:0015077","monovalent inorganic cation transmembran...",347,1,0.21,32,0.1896,0.1896,0.00288184438040346,"Kcnt2"
"32","MF","GO:0048018","receptor ligand activity",391,1,0.23,33,0.2111,0.2111,0.00255754475703325,"Ttr"
"33","MF","GO:0005216","ion channel activity",398,1,0.24,34,0.2145,0.2145,0.00251256281407035,"Kcnt2"
"34","MF","GO:0022838","substrate-specific channel activity",406,1,0.24,35,0.2184,0.2184,0.00246305418719212,"Kcnt2"
"35","MF","GO:0005543","phospholipid binding",407,1,0.24,36,0.2188,0.2188,0.00245700245700246,"Syt10"
"36","MF","GO:0003779","actin binding",416,1,0.25,37,0.2231,0.2231,0.00240384615384615,"Tagln"
"37","MF","GO:0046873","metal ion transmembrane transporter acti...",420,1,0.25,38,0.2251,0.2251,0.00238095238095238,"Kcnt2"
"38","MF","GO:0030545","receptor regulator activity",421,1,0.25,39,0.2255,0.2255,0.00237529691211401,"Ttr"
"39","MF","GO:0022803","passive transmembrane transporter activi...",429,1,0.26,40,0.2293,0.2293,0.00233100233100233,"Kcnt2"
"40","MF","GO:0015267","channel activity",429,1,0.26,41,0.2293,0.2293,0.00233100233100233,"Kcnt2"
"41","MF","GO:0022890","inorganic cation transmembrane transport...",552,1,0.33,42,0.2856,0.2856,0.00181159420289855,"Kcnt2"
"42","MF","GO:0042802","identical protein binding",1795,2,1.08,43,0.2937,0.2937,0.0011142061281337,"Ttr, Syt10"
"43","MF","GO:0005509","calcium ion binding",574,1,0.34,44,0.2953,0.2953,0.00174216027874564,"Syt10"
"44","MF","GO:0008324","cation transmembrane transporter activit...",599,1,0.36,45,0.3061,0.3061,0.00166944908180301,"Kcnt2"
"45","MF","GO:0008289","lipid binding",696,1,0.42,46,0.3467,0.3467,0.0014367816091954,"Syt10"
"46","MF","GO:0019901","protein kinase binding",715,1,0.43,47,0.3544,0.3544,0.0013986013986014,"Acta2"
"47","MF","GO:0015318","inorganic molecular entity transmembrane...",762,1,0.46,48,0.3731,0.3731,0.00131233595800525,"Kcnt2"
"48","MF","GO:0019900","kinase binding",791,1,0.47,49,0.3844,0.3844,0.00126422250316056,"Acta2"
"49","MF","GO:0015075","ion transmembrane transporter activity",821,1,0.49,50,0.3959,0.3959,0.00121802679658952,"Kcnt2"
"50","MF","GO:0042803","protein homodimerization activity",894,1,0.54,51,0.423,0.423,0.00111856823266219,"Syt10"
"51","MF","GO:0008092","cytoskeletal protein binding",945,1,0.57,52,0.4413,0.4413,0.00105820105820106,"Tagln"
"52","MF","GO:0022857","transmembrane transporter activity",974,1,0.58,53,0.4515,0.4515,0.00102669404517454,"Kcnt2"
"53","MF","GO:0005515","protein binding",8273,7,4.96,29,0.47,0.1758,0.000846125951891696,"Acta2, Dlgap2, Tagln, Sorbs2, Ttr, Syt10, Shisa9"
"54","MF","GO:0043168","anion binding",2593,2,1.56,54,0.4745,0.4745,0.000771307365985345,"Acta2, Syt10"
"55","MF","GO:0005215","transporter activity",1055,1,0.63,55,0.479,0.479,0.000947867298578199,"Kcnt2"
"56","MF","GO:0044877","protein-containing complex binding",1185,1,0.71,56,0.5206,0.5206,0.000843881856540084,"Tagln"
"57","MF","GO:0005524","ATP binding",1357,1,0.81,57,0.5709,0.5709,0.000736919675755343,"Acta2"
"58","MF","GO:0032559","adenyl ribonucleotide binding",1418,1,0.85,58,0.5875,0.5875,0.000705218617771509,"Acta2"
"59","MF","GO:0030554","adenyl nucleotide binding",1428,1,0.86,59,0.5902,0.5902,0.000700280112044818,"Acta2"
"60","MF","GO:0005102","signaling receptor binding",1472,1,0.88,60,0.6018,0.6018,0.000679347826086957,"Ttr"
"61","MF","GO:0098772","molecular function regulator",1565,1,0.94,61,0.6253,0.6253,0.000638977635782748,"Ttr"
"62","MF","GO:0008144","drug binding",1595,1,0.96,62,0.6326,0.6326,0.000626959247648903,"Acta2"
"63","MF","GO:0035639","purine ribonucleoside triphosphate bindi...",1665,1,1,63,0.6492,0.6492,0.000600600600600601,"Acta2"
"64","MF","GO:0032555","purine ribonucleotide binding",1736,1,1.04,65,0.6653,0.6653,0.000576036866359447,"Acta2"
"65","MF","GO:0017076","purine nucleotide binding",1747,1,1.05,66,0.6677,0.6677,0.000572409845449342,"Acta2"
