"","category","GO.ID","Term","Annotated","Significant","Expected","Rank in Fisher.classic","Fisher.elim","Fisher.classic","gene_ratio","genes"
"1","MF","GO:0004601","peroxidase activity",44,4,0.06,2,3.5e-07,3.5e-07,0.0909090909090909,"Hbb-bs, Hba-a1, Hbb-bt, Hba-a2"
"2","MF","GO:0001540","amyloid-beta binding",57,3,0.08,4,6.2e-05,6.2e-05,0.0526315789473684,"Cst3, Apoe, Olfm1"
"3","MF","GO:0043177","organic acid binding",206,4,0.28,5,0.00016,0.00016,0.0194174757281553,"Ptgds, Hba-a1, Hbb-bt, Hba-a2"
"4","MF","GO:0050839","cell adhesion molecule binding",237,4,0.32,6,0.00028,0.00028,0.0168776371308017,"Thy1, Cdh13, Ptprz1, Tenm1"
"5","MF","GO:0071813","lipoprotein particle binding",27,2,0.04,7,0.00061,0.00061,0.0740740740740741,"Apoe, Cdh13"
"6","MF","GO:0070325","lipoprotein particle receptor binding",28,2,0.04,9,0.00066,0.00066,0.0714285714285714,"Apoe, Reln"
"7","MF","GO:0020037","heme binding",128,3,0.17,10,0.00068,0.00068,0.0234375,"Hba-a1, Hbb-bt, Hba-a2"
"8","MF","GO:0043394","proteoglycan binding",35,2,0.05,12,0.00103,0.00103,0.0571428571428571,"Apoe, Ptprc"
"9","MF","GO:0042803","protein homodimerization activity",894,6,1.22,13,0.00105,0.00105,0.00671140939597315,"Apoe, Il12b, Dpyd, Cdh13, C1qb, Tenm1"
"10","MF","GO:0140104","molecular carrier activity",44,2,0.06,14,0.00163,0.00163,0.0454545454545455,"Hba-a1, Hbb-bt"
"11","MF","GO:0004725","protein tyrosine phosphatase activity",95,2,0.13,20,0.00737,0.00737,0.0210526315789474,"Ptprz1, Ptprc"
"12","MF","GO:0005178","integrin binding",128,2,0.17,26,0.01306,0.01306,0.015625,"Thy1, Ptprz1"
"13","MF","GO:0008201","heparin binding",144,2,0.2,27,0.01633,0.01633,0.0138888888888889,"Apoe, Ptprc"
"14","MF","GO:0008144","drug binding",1595,6,2.17,28,0.01798,0.01798,0.00376175548589342,"Hbb-bs, Hba-a1, Hbb-bt, Dpyd, Hba-a2, Atp1b1"
"15","MF","GO:0008047","enzyme activator activity",436,3,0.59,30,0.02083,0.02083,0.00688073394495413,"Thy1, Apoe, Atp1b1"
"16","MF","GO:0005539","glycosaminoglycan binding",192,2,0.26,32,0.02794,0.02794,0.0104166666666667,"Apoe, Ptprc"
"17","MF","GO:0048156","tau protein binding",21,1,0.03,33,0.02826,0.02826,0.0476190476190476,"Apoe"
"18","MF","GO:0031420","alkali metal ion binding",22,1,0.03,34,0.02959,0.02959,0.0454545454545455,"Atp1b1"
"19","MF","GO:0030506","ankyrin binding",22,1,0.03,35,0.02959,0.02959,0.0454545454545455,"Ptprc"
"20","MF","GO:0030234","enzyme regulator activity",894,4,1.22,36,0.03137,0.03137,0.00447427293064877,"Cst3, Thy1, Apoe, Atp1b1"
"21","MF","GO:0016628","oxidoreductase activity, acting on the C...",24,1,0.03,37,0.03223,0.03223,0.0416666666666667,"Dpyd"
"22","MF","GO:0050750","low-density lipoprotein particle recepto...",24,1,0.03,38,0.03223,0.03223,0.0416666666666667,"Apoe"
"23","MF","GO:0001671","ATPase activator activity",24,1,0.03,39,0.03223,0.03223,0.0416666666666667,"Atp1b1"
"24","MF","GO:0003785","actin monomer binding",25,1,0.03,40,0.03356,0.03356,0.04,"Tmsb4x"
