"","category","GO.ID","Term","Annotated","Significant","Expected","Rank in Fisher.classic","Fisher.elim","Fisher.classic","gene_ratio","genes"
"1","MF","GO:0015276","ligand-gated ion channel activity",132,2,0.1,1,0.0044,0.0044,0.0151515151515152,"Gabrg3, Asic2"
"2","MF","GO:0050839","cell adhesion molecule binding",237,2,0.18,3,0.0137,0.0137,0.00843881856540084,"Fbn1, Fxyd5"
"3","MF","GO:0030215","semaphorin receptor binding",21,1,0.02,4,0.0159,0.0159,0.0476190476190476,"Rit2"
"4","MF","GO:0005248","voltage-gated sodium channel activity",21,1,0.02,5,0.0159,0.0159,0.0476190476190476,"Asic2"
"5","MF","GO:0099095","ligand-gated anion channel activity",21,1,0.02,6,0.0159,0.0159,0.0476190476190476,"Gabrg3"
"6","MF","GO:0016917","GABA receptor activity",22,1,0.02,7,0.0167,0.0167,0.0454545454545455,"Gabrg3"
"7","MF","GO:0045499","chemorepellent activity",28,1,0.02,8,0.0212,0.0212,0.0357142857142857,"Nrg1"
"8","MF","GO:0098918","structural constituent of synapse",29,1,0.02,9,0.0219,0.0219,0.0344827586206897,"Rims1"
"9","MF","GO:0098632","cell-cell adhesion mediator activity",30,1,0.02,10,0.0227,0.0227,0.0333333333333333,"Dscaml1"
"10","MF","GO:0017080","sodium channel regulator activity",32,1,0.02,12,0.0242,0.0242,0.03125,"Fxyd5"
"11","MF","GO:0098631","cell adhesion mediator activity",39,1,0.03,14,0.0294,0.0294,0.0256410256410256,"Dscaml1"
"12","MF","GO:0005272","sodium channel activity",40,1,0.03,15,0.0301,0.0301,0.025,"Asic2"
"13","MF","GO:0050661","NADP binding",44,1,0.03,16,0.0331,0.0331,0.0227272727272727,"Por"
"14","MF","GO:0048018","receptor ligand activity",391,2,0.3,17,0.0348,0.0348,0.0051150895140665,"Nrg1, Fbn1"
"15","MF","GO:1904315","transmitter-gated ion channel activity i...",52,1,0.04,20,0.039,0.039,0.0192307692307692,"Gabrg3"
"16","MF","GO:0003779","actin binding",416,2,0.32,21,0.039,0.039,0.00480769230769231,"Klhl1, Fxyd5"
"17","MF","GO:0030545","receptor regulator activity",421,2,0.32,22,0.0399,0.0399,0.00475059382422803,"Nrg1, Fbn1"
"18","MF","GO:0099529","neurotransmitter receptor activity invol...",55,1,0.04,23,0.0412,0.0412,0.0181818181818182,"Gabrg3"
"19","MF","GO:0098960","postsynaptic neurotransmitter receptor a...",57,1,0.04,26,0.0427,0.0427,0.0175438596491228,"Gabrg3"
"20","MF","GO:0005515","protein binding",8273,10,6.32,27,0.0434,0.0434,0.00120875135984528,"Rit2, Rims1, Nrg1, Asic2, Dscaml1, Dlgap2, Klhl1, Fbn1, Fxyd5, Por"
"21","MF","GO:0022835","transmitter-gated channel activity",58,1,0.04,28,0.0434,0.0434,0.0172413793103448,"Gabrg3"
"22","MF","GO:0022824","transmitter-gated ion channel activity",58,1,0.04,29,0.0434,0.0434,0.0172413793103448,"Gabrg3"
"23","MF","GO:0009055","electron transfer activity",63,1,0.05,30,0.0471,0.0471,0.0158730158730159,"Por"
"24","MF","GO:0045296","cadherin binding",66,1,0.05,31,0.0492,0.0492,0.0151515151515152,"Fxyd5"
"25","MF","GO:0005254","chloride channel activity",67,1,0.05,32,0.05,0.05,0.0149253731343284,"Gabrg3"
"26","MF","GO:0016651","oxidoreductase activity, acting on NAD(P...",71,1,0.05,33,0.0529,0.0529,0.0140845070422535,"Por"
