"","category","GO.ID","Term","Annotated","Significant","Expected","Rank in Fisher.classic","Fisher.elim","Fisher.classic","gene_ratio","genes"
"1","MF","GO:0015491","cation:cation antiporter activity",24,2,0.02,1,0.00019,0.00019,0.0833333333333333,"Slc9a7, Slc8a3"
"2","MF","GO:1902936","phosphatidylinositol bisphosphate bindin...",109,2,0.1,5,0.00398,0.00398,0.018348623853211,"Clvs2, Rph3a"
"3","MF","GO:0005201","extracellular matrix structural constitu...",137,2,0.12,6,0.00621,0.00621,0.0145985401459854,"Fras1, Matn2"
"4","MF","GO:0015081","sodium ion transmembrane transporter act...",139,2,0.12,7,0.00639,0.00639,0.0143884892086331,"Slc9a7, Slc8a3"
"5","MF","GO:0031489","myosin V binding",20,1,0.02,10,0.01732,0.01732,0.05,"Rab27a"
"6","MF","GO:0030506","ankyrin binding",22,1,0.02,11,0.01903,0.01903,0.0454545454545455,"Sptbn4"
"7","MF","GO:0070412","R-SMAD binding",23,1,0.02,13,0.01989,0.01989,0.0434782608695652,"Rgcc"
"8","MF","GO:0043027","cysteine-type endopeptidase inhibitor ac...",26,1,0.02,14,0.02246,0.02246,0.0384615384615385,"Rps6ka3"
"9","MF","GO:0080025","phosphatidylinositol-3,5-bisphosphate bi...",27,1,0.02,15,0.02331,0.02331,0.037037037037037,"Clvs2"
"10","MF","GO:0043236","laminin binding",28,1,0.02,16,0.02416,0.02416,0.0357142857142857,"Adgrg6"
"11","MF","GO:0004693","cyclin-dependent protein serine/threonin...",30,1,0.03,17,0.02587,0.02587,0.0333333333333333,"Cdkl2"
"12","MF","GO:0019904","protein domain specific binding",762,3,0.66,18,0.02671,0.02671,0.00393700787401575,"Zbtb16, Fmn1, Rab27a"
"13","MF","GO:0097472","cyclin-dependent protein kinase activity",31,1,0.03,19,0.02672,0.02672,0.032258064516129,"Cdkl2"
"14","MF","GO:0030507","spectrin binding",32,1,0.03,20,0.02757,0.02757,0.03125,"Sptbn4"
"15","MF","GO:0043028","cysteine-type endopeptidase regulator ac...",37,1,0.03,21,0.03181,0.03181,0.027027027027027,"Rps6ka3"
"16","MF","GO:0005544","calcium-dependent phospholipid binding",51,1,0.04,25,0.0436,0.0436,0.0196078431372549,"Rph3a"
"17","MF","GO:0004869","cysteine-type endopeptidase inhibitor ac...",53,1,0.05,26,0.04528,0.04528,0.0188679245283019,"Rps6ka3"
"18","MF","GO:0008092","cytoskeletal protein binding",945,3,0.82,27,0.04625,0.04625,0.00317460317460317,"Fmn1, Rab27a, Sptbn4"
