"","category","GO.ID","Term","Annotated","Significant","Expected","Rank in Fisher.classic","Fisher.elim","Fisher.classic","gene_ratio","genes"
"1","MF","GO:0015491","cation:cation antiporter activity",24,2,0.02,1,0.00013,0.00013,0.0833333333333333,"Slc8a3, Slc9a7"
"2","MF","GO:0015081","sodium ion transmembrane transporter act...",139,2,0.1,7,0.00421,0.00421,0.0143884892086331,"Slc8a3, Slc9a7"
"3","MF","GO:0015079","potassium ion transmembrane transporter ...",157,2,0.11,8,0.00534,0.00534,0.0127388535031847,"Kcnmb2, Slc9a7"
"4","MF","GO:0015464","acetylcholine receptor activity",22,1,0.02,13,0.01549,0.01549,0.0454545454545455,"Chrm2"
"5","MF","GO:0080025","phosphatidylinositol-3,5-bisphosphate bi...",27,1,0.02,15,0.01898,0.01898,0.037037037037037,"Clvs2"
"6","MF","GO:0005227","calcium activated cation channel activit...",28,1,0.02,16,0.01968,0.01968,0.0357142857142857,"Kcnmb2"
"7","MF","GO:0098918","structural constituent of synapse",29,1,0.02,17,0.02037,0.02037,0.0344827586206897,"Erc2"
"8","MF","GO:0098632","cell-cell adhesion mediator activity",30,1,0.02,18,0.02107,0.02107,0.0333333333333333,"Prtg"
"9","MF","GO:0099589","serotonin receptor activity",31,1,0.02,19,0.02176,0.02176,0.032258064516129,"Chrm2"
"10","MF","GO:0004993","G protein-coupled serotonin receptor act...",31,1,0.02,20,0.02176,0.02176,0.032258064516129,"Chrm2"
"11","MF","GO:0099528","G protein-coupled neurotransmitter recep...",37,1,0.03,22,0.02593,0.02593,0.027027027027027,"Chrm2"
"12","MF","GO:0098631","cell adhesion mediator activity",39,1,0.03,23,0.02731,0.02731,0.0256410256410256,"Prtg"
"13","MF","GO:0015459","potassium channel regulator activity",47,1,0.03,25,0.03283,0.03283,0.0212765957446809,"Kcnmb2"
"14","MF","GO:0008227","G protein-coupled amine receptor activit...",47,1,0.03,26,0.03283,0.03283,0.0212765957446809,"Chrm2"
"15","MF","GO:0016830","carbon-carbon lyase activity",49,1,0.03,27,0.0342,0.0342,0.0204081632653061,"Hmgcll1"
"16","MF","GO:0005198","structural molecule activity",568,2,0.4,29,0.05962,0.05962,0.00352112676056338,"Fras1, Erc2"
"17","MF","GO:0030594","neurotransmitter receptor activity",106,1,0.08,30,0.07262,0.07262,0.00943396226415094,"Chrm2"
"18","MF","GO:0099106","ion channel regulator activity",107,1,0.08,31,0.07328,0.07328,0.00934579439252336,"Kcnmb2"
"19","MF","GO:1902936","phosphatidylinositol bisphosphate bindin...",109,1,0.08,32,0.07461,0.07461,0.00917431192660551,"Clvs2"
"20","MF","GO:0015078","proton transmembrane transporter activit...",111,1,0.08,33,0.07593,0.07593,0.00900900900900901,"Slc9a7"
"21","MF","GO:0030165","PDZ domain binding",114,1,0.08,34,0.0779,0.0779,0.0087719298245614,"Erc2"
"22","MF","GO:0005267","potassium channel activity",121,1,0.09,35,0.0825,0.0825,0.00826446280991736,"Kcnmb2"
"23","MF","GO:0017124","SH3 domain binding",126,1,0.09,36,0.08577,0.08577,0.00793650793650794,"Fmn1"
"24","MF","GO:0015085","calcium ion transmembrane transporter ac...",135,1,0.1,37,0.09163,0.09163,0.00740740740740741,"Slc8a3"
"25","MF","GO:0016247","channel regulator activity",136,1,0.1,38,0.09227,0.09227,0.00735294117647059,"Kcnmb2"
"26","MF","GO:0005201","extracellular matrix structural constitu...",137,1,0.1,39,0.09292,0.09292,0.0072992700729927,"Fras1"
"27","MF","GO:0019904","protein domain specific binding",762,2,0.54,40,0.0994,0.0994,0.0026246719160105,"Erc2, Fmn1"
"28","MF","GO:1901981","phosphatidylinositol phosphate binding",163,1,0.12,41,0.10963,0.10963,0.00613496932515337,"Clvs2"
"29","MF","GO:0016829","lyase activity",180,1,0.13,42,0.1204,0.1204,0.00555555555555556,"Hmgcll1"
"30","MF","GO:0005516","calmodulin binding",183,1,0.13,43,0.12229,0.12229,0.00546448087431694,"Slc8a3"
"31","MF","GO:0008017","microtubule binding",232,1,0.16,44,0.15261,0.15261,0.00431034482758621,"Fmn1"
