"","category","GO.ID","Term","Annotated","Significant","Expected","Rank in Fisher.classic","Fisher.elim","Fisher.classic","gene_ratio"
"31","BP","GO:0045638","negative regulation of myeloid cell diff...",76,2,0.03,1,0.00047,0.00047,0.0263157894736842
"32","BP","GO:0001654","eye development",304,2,0.13,8,0.00717,0.00717,0.00657894736842105
"33","BP","GO:0045117","azole transport",21,1,0.01,14,0.00921,0.00921,0.0476190476190476
"34","BP","GO:0061036","positive regulation of cartilage develop...",23,1,0.01,16,0.01008,0.01008,0.0434782608695652
"35","BP","GO:0035116","embryonic hindlimb morphogenesis",28,1,0.01,18,0.01226,0.01226,0.0357142857142857
"36","BP","GO:0051180","vitamin transport",29,1,0.01,19,0.01269,0.01269,0.0344827586206897
"37","BP","GO:0035136","forelimb morphogenesis",29,1,0.01,20,0.01269,0.01269,0.0344827586206897
"41","BP","GO:0042220","response to cocaine",32,1,0.01,24,0.014,0.014,0.03125
"42","BP","GO:0035137","hindlimb morphogenesis",34,1,0.01,25,0.01487,0.01487,0.0294117647058824
"43","BP","GO:0072348","sulfur compound transport",35,1,0.02,26,0.0153,0.0153,0.0285714285714286
"45","BP","GO:1901998","toxin transport",38,1,0.02,29,0.0166,0.0166,0.0263157894736842
"46","BP","GO:0032330","regulation of chondrocyte differentiatio...",39,1,0.02,30,0.01704,0.01704,0.0256410256410256
"47","BP","GO:0046638","positive regulation of alpha-beta T cell...",40,1,0.02,31,0.01747,0.01747,0.025
"48","BP","GO:0017145","stem cell division",44,1,0.02,33,0.0192,0.0192,0.0227272727272727
"49","BP","GO:0072347","response to anesthetic",45,1,0.02,34,0.01964,0.01964,0.0222222222222222
"50","BP","GO:0009880","embryonic pattern specification",45,1,0.02,35,0.01964,0.01964,0.0222222222222222
"52","BP","GO:0060042","retina morphogenesis in camera-type eye",49,1,0.02,37,0.02137,0.02137,0.0204081632653061
"53","BP","GO:0003407","neural retina development",49,1,0.02,38,0.02137,0.02137,0.0204081632653061
"56","BP","GO:0061035","regulation of cartilage development",54,1,0.02,41,0.02352,0.02352,0.0185185185185185
"58","BP","GO:0010633","negative regulation of epithelial cell m...",56,1,0.02,43,0.02439,0.02439,0.0178571428571429
"59","BP","GO:0046635","positive regulation of alpha-beta T cell...",56,1,0.02,44,0.02439,0.02439,0.0178571428571429
"60","BP","GO:0046637","regulation of alpha-beta T cell differen...",56,1,0.02,45,0.02439,0.02439,0.0178571428571429
