"","category","GO.ID","Term","Annotated","Significant","Expected","Rank in Fisher.classic","Fisher.elim","Fisher.classic","gene_ratio"
"1","MF","GO:0000977","RNA polymerase II regulatory region sequ...",607,3,0.24,2,0.0012,0.0012,0.00494233937397035
"2","MF","GO:0001227","DNA-binding transcription repressor acti...",177,2,0.07,6,0.002,0.002,0.0112994350282486
"3","MF","GO:0008022","protein C-terminus binding",220,2,0.09,11,0.003,0.003,0.00909090909090909
"4","MF","GO:0046983","protein dimerization activity",1156,3,0.46,14,0.0075,0.0075,0.00259515570934256
"5","MF","GO:0098772","molecular function regulator",1294,3,0.51,15,0.0103,0.0103,0.00231839258114374
"6","MF","GO:0000978","RNA polymerase II proximal promoter sequ...",423,2,0.17,16,0.0109,0.0109,0.00472813238770686
"7","MF","GO:0000987","proximal promoter sequence-specific DNA ...",433,2,0.17,17,0.0114,0.0114,0.0046189376443418
"8","MF","GO:0015459","potassium channel regulator activity",39,1,0.02,18,0.0154,0.0154,0.0256410256410256
"9","MF","GO:0001046","core promoter sequence-specific DNA bind...",47,1,0.02,19,0.0185,0.0185,0.0212765957446809
"10","MF","GO:0001047","core promoter binding",56,1,0.02,21,0.022,0.022,0.0178571428571429
"11","MF","GO:0048306","calcium-dependent protein binding",61,1,0.02,22,0.024,0.024,0.0163934426229508
"12","MF","GO:0000980","RNA polymerase II distal enhancer sequen...",65,1,0.03,23,0.0255,0.0255,0.0153846153846154
"13","MF","GO:0004620","phospholipase activity",72,1,0.03,24,0.0282,0.0282,0.0138888888888889
"14","MF","GO:0019904","protein domain specific binding",712,2,0.28,25,0.0292,0.0292,0.00280898876404494
"15","MF","GO:0008081","phosphoric diester hydrolase activity",79,1,0.03,26,0.0309,0.0309,0.0126582278481013
"16","MF","GO:0001158","enhancer sequence-specific DNA binding",81,1,0.03,27,0.0317,0.0317,0.0123456790123457
"17","MF","GO:0016298","lipase activity",88,1,0.03,28,0.0344,0.0344,0.0113636363636364
"18","MF","GO:0042803","protein homodimerization activity",790,2,0.31,29,0.0355,0.0355,0.00253164556962025
"19","MF","GO:0035326","enhancer binding",91,1,0.04,30,0.0356,0.0356,0.010989010989011
"20","MF","GO:0099106","ion channel regulator activity",92,1,0.04,31,0.0359,0.0359,0.0108695652173913
"21","MF","GO:0005267","potassium channel activity",102,1,0.04,32,0.0398,0.0398,0.00980392156862745
"22","MF","GO:0005178","integrin binding",107,1,0.04,33,0.0417,0.0417,0.00934579439252336
"23","MF","GO:0016247","channel regulator activity",116,1,0.05,34,0.0451,0.0451,0.00862068965517241
"24","MF","GO:0044325","ion channel binding",122,1,0.05,35,0.0474,0.0474,0.00819672131147541
"25","MF","GO:0015079","potassium ion transmembrane transporter ...",134,1,0.05,36,0.052,0.052,0.00746268656716418
"26","MF","GO:0022832","voltage-gated channel activity",163,1,0.06,37,0.0629,0.0629,0.00613496932515337
"27","MF","GO:0005244","voltage-gated ion channel activity",163,1,0.06,38,0.0629,0.0629,0.00613496932515337
"28","MF","GO:0000287","magnesium ion binding",176,1,0.07,40,0.0678,0.0678,0.00568181818181818
"29","MF","GO:0005085","guanyl-nucleotide exchange factor activi...",193,1,0.08,41,0.0742,0.0742,0.00518134715025907
"30","MF","GO:0050839","cell adhesion molecule binding",198,1,0.08,42,0.076,0.076,0.00505050505050505
"31","BP","GO:0051209","release of sequestered calcium ion into ...",97,2,0.04,1,0.00059,0.00059,0.0206185567010309
"32","BP","GO:0050870","positive regulation of T cell activation",133,2,0.05,10,0.00111,0.00111,0.0150375939849624
"33","BP","GO:0001822","kidney development",226,2,0.09,19,0.00317,0.00317,0.00884955752212389
"34","BP","GO:1904062","regulation of cation transmembrane trans...",295,2,0.12,30,0.00535,0.00535,0.00677966101694915
"35","BP","GO:0010959","regulation of metal ion transport",348,2,0.14,37,0.00738,0.00738,0.00574712643678161
"36","BP","GO:0050858","negative regulation of antigen receptor-...",20,1,0.01,41,0.00787,0.00787,0.05
"37","BP","GO:0002693","positive regulation of cellular extravas...",20,1,0.01,42,0.00787,0.00787,0.05
"38","BP","GO:0048266","behavioral response to pain",21,1,0.01,44,0.00826,0.00826,0.0476190476190476
"39","BP","GO:0032959","inositol trisphosphate biosynthetic proc...",21,1,0.01,45,0.00826,0.00826,0.0476190476190476
"40","BP","GO:0071900","regulation of protein serine/threonine k...",372,2,0.15,47,0.0084,0.0084,0.00537634408602151
"41","BP","GO:0061099","negative regulation of protein tyrosine ...",24,1,0.01,53,0.00944,0.00944,0.0416666666666667
"42","BP","GO:0061036","positive regulation of cartilage develop...",24,1,0.01,54,0.00944,0.00944,0.0416666666666667
"43","BP","GO:0051894","positive regulation of focal adhesion as...",25,1,0.01,59,0.00983,0.00983,0.04
"44","BP","GO:0042462","eye photoreceptor cell development",26,1,0.01,62,0.01022,0.01022,0.0384615384615385
"45","BP","GO:0035116","embryonic hindlimb morphogenesis",28,1,0.01,65,0.011,0.011,0.0357142857142857
"46","BP","GO:0035136","forelimb morphogenesis",29,1,0.01,66,0.0114,0.0114,0.0344827586206897
"47","BP","GO:0051281","positive regulation of release of seques...",32,1,0.01,71,0.01257,0.01257,0.03125
"48","BP","GO:0070570","regulation of neuron projection regenera...",34,1,0.01,72,0.01335,0.01335,0.0294117647058824
"49","BP","GO:0050856","regulation of T cell receptor signaling ...",34,1,0.01,73,0.01335,0.01335,0.0294117647058824
"50","BP","GO:0035137","hindlimb morphogenesis",34,1,0.01,74,0.01335,0.01335,0.0294117647058824
"51","BP","GO:0046638","positive regulation of alpha-beta T cell...",34,1,0.01,75,0.01335,0.01335,0.0294117647058824
"52","BP","GO:0034113","heterotypic cell-cell adhesion",36,1,0.01,78,0.01413,0.01413,0.0277777777777778
"53","BP","GO:0072657","protein localization to membrane",495,2,0.2,80,0.01455,0.01455,0.00404040404040404
"54","BP","GO:0001754","eye photoreceptor cell differentiation",39,1,0.02,82,0.0153,0.0153,0.0256410256410256
"55","BP","GO:0042461","photoreceptor cell development",40,1,0.02,86,0.01569,0.01569,0.025
"56","BP","GO:0032330","regulation of chondrocyte differentiatio...",40,1,0.02,87,0.01569,0.01569,0.025
"57","BP","GO:0034613","cellular protein localization",1528,3,0.6,88,0.01606,0.01606,0.00196335078534031
"58","BP","GO:0070727","cellular macromolecule localization",1538,3,0.61,89,0.01635,0.01635,0.00195058517555267
"59","BP","GO:0009880","embryonic pattern specification",44,1,0.02,90,0.01725,0.01725,0.0227272727272727
"60","BP","GO:0006357","regulation of transcription by RNA polym...",1577,3,0.62,91,0.01752,0.01752,0.00190234622701332
"61","CC","GO:0150034","distal axon",336,2,0.11,1,0.0045,0.0045,0.00595238095238095
"62","CC","GO:0005829","cytosol",2877,4,0.93,2,0.0051,0.0051,0.00139033715676051
"63","CC","GO:0030673","axolemma",20,1,0.01,3,0.0065,0.0065,0.05
"64","CC","GO:0032809","neuronal cell body membrane",28,1,0.01,5,0.009,0.009,0.0357142857142857
"65","CC","GO:0032590","dendrite membrane",42,1,0.01,8,0.0135,0.0135,0.0238095238095238
"66","CC","GO:0030425","dendrite",645,2,0.21,11,0.0161,0.0161,0.00310077519379845
"67","CC","GO:0097447","dendritic tree",648,2,0.21,12,0.0162,0.0162,0.00308641975308642
"68","CC","GO:0046658","anchored component of plasma membrane",55,1,0.02,13,0.0177,0.0177,0.0181818181818182
"69","CC","GO:0016605","PML body",67,1,0.02,15,0.0215,0.0215,0.0149253731343284
"70","CC","GO:0008076","voltage-gated potassium channel complex",69,1,0.02,16,0.0222,0.0222,0.0144927536231884
"71","CC","GO:0017053","transcriptional repressor complex",74,1,0.02,17,0.0238,0.0238,0.0135135135135135
"72","CC","GO:0034705","potassium channel complex",79,1,0.03,18,0.0254,0.0254,0.0126582278481013
"73","CC","GO:0032993","protein-DNA complex",130,1,0.04,21,0.0414,0.0414,0.00769230769230769
"74","CC","GO:0031226","intrinsic component of plasma membrane",1072,2,0.35,22,0.0419,0.0419,0.00186567164179104
"75","CC","GO:0031225","anchored component of membrane",132,1,0.04,23,0.0421,0.0421,0.00757575757575758
"76","CC","GO:0005886","plasma membrane",3658,4,1.19,7,0.0427,0.0128,0.00109349371241115
"77","CC","GO:0071944","cell periphery",3773,4,1.22,9,0.0466,0.0144,0.00106016432547045
"78","CC","GO:0043679","axon terminus",159,1,0.05,25,0.0505,0.0505,0.00628930817610063
"79","CC","GO:0005794","Golgi apparatus",1236,2,0.4,26,0.0545,0.0545,0.00161812297734628
"80","CC","GO:0044306","neuron projection terminus",179,1,0.06,27,0.0567,0.0567,0.00558659217877095
"81","CC","GO:0043231","intracellular membrane-bounded organelle",8719,5,2.83,28,0.0577,0.0577,0.000573460259204037
"82","CC","GO:0030426","growth cone",194,1,0.06,29,0.0613,0.0613,0.00515463917525773
"83","CC","GO:0030427","site of polarized growth",195,1,0.06,30,0.0616,0.0616,0.00512820512820513
"84","CC","GO:0034703","cation channel complex",196,1,0.06,32,0.062,0.062,0.00510204081632653
"85","CC","GO:0012505","endomembrane system",3218,3,1.04,35,0.0647,0.0647,0.000932256059664388
"86","CC","GO:0043209","myelin sheath",206,1,0.07,36,0.065,0.065,0.00485436893203883
"87","CC","GO:0005783","endoplasmic reticulum",1425,2,0.46,37,0.0706,0.0706,0.00140350877192982
"88","CC","GO:0016324","apical plasma membrane",240,1,0.08,38,0.0754,0.0754,0.00416666666666667
"89","CC","GO:0043227","membrane-bounded organelle",9261,5,3,39,0.078,0.078,0.000539898499082173
"90","CC","GO:0034702","ion channel complex",250,1,0.08,40,0.0785,0.0785,0.004
