"","category","GO.ID","Term","Annotated","Significant","Expected","Rank in Fisher.classic","Fisher.elim","Fisher.classic","gene_ratio"
"31","BP","GO:0071900","regulation of protein serine/threonine k...",372,2,0.07,35,0.0017,0.0017,0.00537634408602151
"32","BP","GO:1902932","positive regulation of alcohol biosynthe...",20,1,0,67,0.0039,0.0039,0.05
"33","BP","GO:0014808","release of sequestered calcium ion into ...",20,1,0,68,0.0039,0.0039,0.05
"34","BP","GO:0002693","positive regulation of cellular extravas...",20,1,0,69,0.0039,0.0039,0.05
"35","BP","GO:0071870","cellular response to catecholamine stimu...",21,1,0,70,0.0041,0.0041,0.0476190476190476
"36","BP","GO:0050858","negative regulation of antigen receptor-...",21,1,0,71,0.0041,0.0041,0.0476190476190476
"37","BP","GO:0009154","purine ribonucleotide catabolic process",21,1,0,72,0.0041,0.0041,0.0476190476190476
"38","BP","GO:0051279","regulation of release of sequestered cal...",66,2,0.01,1,0.0042,5.5e-05,0.0303030303030303
"39","BP","GO:0061099","negative regulation of protein tyrosine ...",23,1,0,84,0.0045,0.0045,0.0434782608695652
"40","BP","GO:0045822","negative regulation of heart contraction",24,1,0,87,0.0047,0.0047,0.0416666666666667
"41","BP","GO:0045940","positive regulation of steroid metabolic...",24,1,0,88,0.0047,0.0047,0.0416666666666667
"42","BP","GO:0051894","positive regulation of focal adhesion as...",25,1,0,92,0.0049,0.0049,0.04
"43","BP","GO:0035767","endothelial cell chemotaxis",25,1,0,93,0.0049,0.0049,0.04
"44","BP","GO:0010092","specification of animal organ identity",25,1,0,94,0.0049,0.0049,0.04
"45","BP","GO:0043951","negative regulation of cAMP-mediated sig...",25,1,0,95,0.0049,0.0049,0.04
"46","BP","GO:0090181","regulation of cholesterol metabolic proc...",26,1,0.01,99,0.0051,0.0051,0.0384615384615385
"47","BP","GO:0009187","cyclic nucleotide metabolic process",27,1,0.01,103,0.0053,0.0053,0.037037037037037
"48","BP","GO:0090075","relaxation of muscle",28,1,0.01,108,0.0055,0.0055,0.0357142857142857
"49","BP","GO:0033137","negative regulation of peptidyl-serine p...",28,1,0.01,109,0.0055,0.0055,0.0357142857142857
"50","BP","GO:0060977","coronary vasculature morphogenesis",29,1,0.01,110,0.0057,0.0057,0.0344827586206897
"51","BP","GO:0031128","developmental induction",29,1,0.01,111,0.0057,0.0057,0.0344827586206897
"52","BP","GO:0003156","regulation of animal organ formation",29,1,0.01,112,0.0057,0.0057,0.0344827586206897
"53","BP","GO:0003401","axis elongation",30,1,0.01,113,0.0059,0.0059,0.0333333333333333
"54","BP","GO:0042462","eye photoreceptor cell development",32,1,0.01,115,0.0063,0.0063,0.03125
"55","BP","GO:0086065","cell communication involved in cardiac c...",33,1,0.01,118,0.0065,0.0065,0.0303030303030303
"56","BP","GO:0051281","positive regulation of release of seques...",34,1,0.01,119,0.0067,0.0067,0.0294117647058824
"57","BP","GO:0070570","regulation of neuron projection regenera...",35,1,0.01,123,0.0069,0.0069,0.0285714285714286
"58","BP","GO:0050856","regulation of T cell receptor signaling ...",35,1,0.01,124,0.0069,0.0069,0.0285714285714286
"59","BP","GO:1903672","positive regulation of sprouting angioge...",36,1,0.01,127,0.007,0.007,0.0277777777777778
"60","BP","GO:0086004","regulation of cardiac muscle cell contra...",37,1,0.01,132,0.0072,0.0072,0.027027027027027
