"","category","GO.ID","Term","Annotated","Significant","Expected","Rank in Fisher.classic","Fisher.elim","Fisher.classic","gene_ratio"
"1","MF","GO:0031072","heat shock protein binding",128,2,0.05,1,0.0011,0.0011,0.015625
"2","MF","GO:0004857","enzyme inhibitor activity",249,2,0.1,2,0.004,0.004,0.00803212851405622
"3","MF","GO:0003755","peptidyl-prolyl cis-trans isomerase acti...",31,1,0.01,4,0.0124,0.0124,0.032258064516129
"4","MF","GO:0016859","cis-trans isomerase activity",33,1,0.01,5,0.0132,0.0132,0.0303030303030303
"5","MF","GO:0004601","peroxidase activity",34,1,0.01,6,0.0136,0.0136,0.0294117647058824
"6","MF","GO:0016684","oxidoreductase activity, acting on perox...",38,1,0.02,7,0.0152,0.0152,0.0263157894736842
"7","MF","GO:0004869","cysteine-type endopeptidase inhibitor ac...",38,1,0.02,8,0.0152,0.0152,0.0263157894736842
"8","MF","GO:0005544","calcium-dependent phospholipid binding",45,1,0.02,9,0.018,0.018,0.0222222222222222
"9","MF","GO:0005179","hormone activity",51,1,0.02,10,0.0203,0.0203,0.0196078431372549
"10","MF","GO:0043022","ribosome binding",58,1,0.02,11,0.0231,0.0231,0.0172413793103448
"11","MF","GO:0016209","antioxidant activity",61,1,0.02,12,0.0243,0.0243,0.0163934426229508
"12","MF","GO:0048306","calcium-dependent protein binding",62,1,0.02,13,0.0247,0.0247,0.0161290322580645
"13","MF","GO:0042562","hormone binding",78,1,0.03,14,0.0309,0.0309,0.0128205128205128
"14","MF","GO:0004866","endopeptidase inhibitor activity",97,1,0.04,16,0.0384,0.0384,0.0103092783505155
"15","MF","GO:0030414","peptidase inhibitor activity",103,1,0.04,17,0.0407,0.0407,0.00970873786407767
"16","MF","GO:0061135","endopeptidase regulator activity",105,1,0.04,18,0.0415,0.0415,0.00952380952380952
"17","MF","GO:0017124","SH3 domain binding",122,1,0.05,19,0.048,0.048,0.00819672131147541
"18","MF","GO:0016853","isomerase activity",132,1,0.05,20,0.0519,0.0519,0.00757575757575758
"19","MF","GO:0061134","peptidase regulator activity",133,1,0.05,21,0.0523,0.0523,0.0075187969924812
"20","MF","GO:0043021","ribonucleoprotein complex binding",139,1,0.06,22,0.0546,0.0546,0.00719424460431655
"21","MF","GO:0048018","receptor ligand activity",254,1,0.1,23,0.0979,0.0979,0.00393700787401575
"22","MF","GO:0030545","receptor regulator activity",277,1,0.11,25,0.1063,0.1063,0.0036101083032491
"23","MF","GO:0008144","drug binding",1439,2,0.58,26,0.1072,0.1072,0.00138985406532314
"24","MF","GO:0004930","G protein-coupled receptor activity",285,1,0.11,27,0.1092,0.1092,0.00350877192982456
"25","MF","GO:0005543","phospholipid binding",359,1,0.14,28,0.1359,0.1359,0.00278551532033426
"26","MF","GO:0005509","calcium ion binding",462,1,0.19,29,0.1719,0.1719,0.00216450216450216
"27","MF","GO:0046982","protein heterodimerization activity",472,1,0.19,30,0.1753,0.1753,0.00211864406779661
"28","MF","GO:0000981","DNA-binding transcription factor activit...",527,1,0.21,31,0.194,0.194,0.00189753320683112
"29","MF","GO:0008289","lipid binding",572,1,0.23,32,0.209,0.209,0.00174825174825175
"30","MF","GO:0016491","oxidoreductase activity",577,1,0.23,33,0.2106,0.2106,0.00173310225303293
"31","BP","GO:0001667","ameboidal-type cell migration",344,2,0.11,1,0.005,0.005,0.00581395348837209
"32","BP","GO:0033622","integrin activation",20,1,0.01,2,0.0066,0.0066,0.05
"33","BP","GO:0000413","protein peptidyl-prolyl isomerization",20,1,0.01,3,0.0066,0.0066,0.05
"34","BP","GO:0002446","neutrophil mediated immunity",20,1,0.01,4,0.0066,0.0066,0.05
"35","BP","GO:0009617","response to bacterium",410,2,0.14,5,0.007,0.007,0.0048780487804878
"36","BP","GO:0042119","neutrophil activation",22,1,0.01,6,0.0073,0.0073,0.0454545454545455
"37","BP","GO:2000310","regulation of NMDA receptor activity",22,1,0.01,7,0.0073,0.0073,0.0454545454545455
"38","BP","GO:1905523","positive regulation of macrophage migrat...",22,1,0.01,8,0.0073,0.0073,0.0454545454545455
"39","BP","GO:0033198","response to ATP",23,1,0.01,9,0.0076,0.0076,0.0434782608695652
"40","BP","GO:0007064","mitotic sister chromatid cohesion",23,1,0.01,10,0.0076,0.0076,0.0434782608695652
"41","BP","GO:0021801","cerebral cortex radial glia guided migra...",24,1,0.01,11,0.008,0.008,0.0416666666666667
"42","BP","GO:0001523","retinoid metabolic process",26,1,0.01,14,0.0086,0.0086,0.0384615384615385
"43","BP","GO:0006929","substrate-dependent cell migration",26,1,0.01,15,0.0086,0.0086,0.0384615384615385
"44","BP","GO:1900027","regulation of ruffle assembly",27,1,0.01,17,0.009,0.009,0.037037037037037
"45","BP","GO:0051953","negative regulation of amine transport",28,1,0.01,18,0.0093,0.0093,0.0357142857142857
"46","BP","GO:0009112","nucleobase metabolic process",30,1,0.01,22,0.01,0.01,0.0333333333333333
"47","BP","GO:2000816","negative regulation of mitotic sister ch...",35,1,0.01,29,0.0116,0.0116,0.0285714285714286
"48","BP","GO:1905819","negative regulation of chromosome separa...",36,1,0.01,31,0.0119,0.0119,0.0277777777777778
"49","BP","GO:0033628","regulation of cell adhesion mediated by ...",36,1,0.01,32,0.0119,0.0119,0.0277777777777778
"50","BP","GO:0033048","negative regulation of mitotic sister ch...",37,1,0.01,33,0.0123,0.0123,0.027027027027027
"51","BP","GO:0031670","cellular response to nutrient",37,1,0.01,34,0.0123,0.0123,0.027027027027027
"52","BP","GO:0070527","platelet aggregation",38,1,0.01,35,0.0126,0.0126,0.0263157894736842
"53","BP","GO:0033046","negative regulation of sister chromatid ...",39,1,0.01,36,0.0129,0.0129,0.0256410256410256
"54","BP","GO:0034308","primary alcohol metabolic process",40,1,0.01,38,0.0133,0.0133,0.025
"55","BP","GO:0051985","negative regulation of chromosome segreg...",41,1,0.01,40,0.0136,0.0136,0.024390243902439
"56","BP","GO:0098609","cell-cell adhesion",586,2,0.2,41,0.0141,0.0141,0.00341296928327645
"57","BP","GO:0045839","negative regulation of mitotic nuclear d...",46,1,0.02,43,0.0152,0.0152,0.0217391304347826
"58","BP","GO:0007193","adenylate cyclase-inhibiting G protein-c...",51,1,0.02,50,0.0169,0.0169,0.0196078431372549
"59","BP","GO:0010965","regulation of mitotic sister chromatid s...",51,1,0.02,51,0.0169,0.0169,0.0196078431372549
"60","BP","GO:0061077","chaperone-mediated protein folding",51,1,0.02,52,0.0169,0.0169,0.0196078431372549
"61","CC","GO:0044421","extracellular region part",1094,3,0.43,1,0.0062,0.0062,0.00274223034734918
"62","CC","GO:0030666","endocytic vesicle membrane",24,1,0.01,2,0.0094,0.0094,0.0416666666666667
"63","CC","GO:0009925","basal plasma membrane",34,1,0.01,4,0.0133,0.0133,0.0294117647058824
"64","CC","GO:0044298","cell body membrane",34,1,0.01,5,0.0133,0.0133,0.0294117647058824
"65","CC","GO:0045178","basal part of cell",53,1,0.02,6,0.0207,0.0207,0.0188679245283019
"66","CC","GO:0044297","cell body",722,2,0.28,7,0.0296,0.0296,0.00277008310249307
"67","CC","GO:0045335","phagocytic vesicle",82,1,0.03,8,0.0318,0.0318,0.0121951219512195
"68","CC","GO:0005901","caveola",84,1,0.03,9,0.0326,0.0326,0.0119047619047619
"69","CC","GO:0044853","plasma membrane raft",106,1,0.04,10,0.041,0.041,0.00943396226415094
"70","CC","GO:0005615","extracellular space",902,2,0.35,11,0.0447,0.0447,0.00221729490022173
"71","CC","GO:0016323","basolateral plasma membrane",187,1,0.07,14,0.0714,0.0714,0.0053475935828877
"72","CC","GO:0005829","cytosol",2904,3,1.14,15,0.0874,0.0874,0.00103305785123967
"73","CC","GO:0120038","plasma membrane bounded cell projection ...",1366,2,0.54,16,0.0943,0.0943,0.00146412884333821
