"","category","GO.ID","Term","Annotated","Significant","Expected","Rank in Fisher.classic","Fisher.elim","Fisher.classic","gene_ratio"
"36","BP","GO:0018209","peptidyl-serine modification",269,4,0.9,11,0.0122,0.0122,0.0148698884758364
"37","BP","GO:0051346","negative regulation of hydrolase activit...",273,4,0.91,12,0.0128,0.0128,0.0146520146520147
"38","BP","GO:0007264","small GTPase mediated signal transductio...",426,5,1.42,13,0.0134,0.0134,0.0117370892018779
"40","BP","GO:0007266","Rho protein signal transduction",161,3,0.54,15,0.0165,0.0165,0.0186335403726708
"41","BP","GO:0006814","sodium ion transport",161,3,0.54,16,0.0165,0.0165,0.0186335403726708
"45","BP","GO:0016311","dephosphorylation",324,4,1.08,22,0.0226,0.0226,0.0123456790123457
"46","BP","GO:0010923","negative regulation of phosphatase activ...",72,2,0.24,23,0.024,0.024,0.0277777777777778
"48","BP","GO:0007163","establishment or maintenance of cell pol...",196,3,0.65,27,0.0275,0.0275,0.0153061224489796
"49","BP","GO:0007411","axon guidance",197,3,0.66,28,0.0279,0.0279,0.0152284263959391
"50","BP","GO:0007156","homophilic cell adhesion via plasma memb...",78,2,0.26,29,0.0279,0.0279,0.0256410256410256
"52","BP","GO:0097485","neuron projection guidance",198,3,0.66,31,0.0282,0.0282,0.0151515151515152
"54","BP","GO:0002028","regulation of sodium ion transport",83,2,0.28,33,0.0313,0.0313,0.0240963855421687
"55","BP","GO:0007265","Ras protein signal transduction",360,4,1.2,34,0.0316,0.0316,0.0111111111111111
"57","BP","GO:0035305","negative regulation of dephosphorylation",85,2,0.28,36,0.0327,0.0327,0.0235294117647059
"58","BP","GO:0035725","sodium ion transmembrane transport",86,2,0.29,37,0.0334,0.0334,0.0232558139534884
