"","category","GO.ID","Term","Annotated","Significant","Expected","Rank in Fisher.classic","Fisher.elim","Fisher.classic","gene_ratio"
"32","BP","GO:0002693","positive regulation of cellular extravas...",20,1,0.01,40,0.006,0.00602,0.05
"33","BP","GO:0060219","camera-type eye photoreceptor cell diffe...",21,1,0.01,42,0.0063,0.00632,0.0476190476190476
"34","BP","GO:2001026","regulation of endothelial cell chemotaxi...",21,1,0.01,43,0.0063,0.00632,0.0476190476190476
"35","BP","GO:0001525","angiogenesis",434,2,0.13,44,0.0065,0.00649,0.00460829493087558
"36","BP","GO:0006144","purine nucleobase metabolic process",22,1,0.01,45,0.0066,0.00662,0.0454545454545455
"37","BP","GO:2000352","negative regulation of endothelial cell ...",22,1,0.01,46,0.0066,0.00662,0.0454545454545455
"38","BP","GO:1903055","positive regulation of extracellular mat...",22,1,0.01,47,0.0066,0.00662,0.0454545454545455
"39","BP","GO:0009584","detection of visible light",23,1,0.01,48,0.0069,0.00692,0.0434782608695652
"40","BP","GO:0050858","negative regulation of antigen receptor-...",24,1,0.01,49,0.0072,0.00722,0.0416666666666667
"41","BP","GO:0022617","extracellular matrix disassembly",25,1,0.01,51,0.0075,0.00752,0.04
"42","BP","GO:0007413","axonal fasciculation",25,1,0.01,52,0.0075,0.00752,0.04
"43","BP","GO:0051894","positive regulation of focal adhesion as...",25,1,0.01,53,0.0075,0.00752,0.04
"44","BP","GO:0061099","negative regulation of protein tyrosine ...",25,1,0.01,54,0.0075,0.00752,0.04
"45","BP","GO:0048843","negative regulation of axon extension in...",27,1,0.01,57,0.0081,0.00812,0.037037037037037
"46","BP","GO:0042462","eye photoreceptor cell development",31,1,0.01,65,0.0093,0.00932,0.032258064516129
"47","BP","GO:0043243","positive regulation of protein complex d...",31,1,0.01,66,0.0093,0.00932,0.032258064516129
"48","BP","GO:0099560","synaptic membrane adhesion",31,1,0.01,67,0.0093,0.00932,0.032258064516129
"49","BP","GO:0050771","negative regulation of axonogenesis",67,2,0.02,4,0.0096,0.00016,0.0298507462686567
"50","BP","GO:0001523","retinoid metabolic process",34,1,0.01,72,0.0102,0.01022,0.0294117647058824
"51","BP","GO:0070570","regulation of neuron projection regenera...",35,1,0.01,73,0.0105,0.01051,0.0285714285714286
"52","BP","GO:0001569","branching involved in blood vessel morph...",35,1,0.01,74,0.0105,0.01051,0.0285714285714286
"53","BP","GO:0016101","diterpenoid metabolic process",36,1,0.01,76,0.0108,0.01081,0.0277777777777778
"54","BP","GO:0051281","positive regulation of release of seques...",36,1,0.01,77,0.0108,0.01081,0.0277777777777778
"55","BP","GO:0050856","regulation of T cell receptor signaling ...",38,1,0.01,81,0.0114,0.01141,0.0263157894736842
"56","BP","GO:0071526","semaphorin-plexin signaling pathway",39,1,0.01,82,0.0117,0.01171,0.0256410256410256
"57","BP","GO:0006721","terpenoid metabolic process",40,1,0.01,84,0.012,0.01201,0.025
"58","BP","GO:0050918","positive chemotaxis",41,1,0.01,87,0.0123,0.01231,0.024390243902439
"59","BP","GO:0034113","heterotypic cell-cell adhesion",42,1,0.01,90,0.0126,0.01261,0.0238095238095238
"60","BP","GO:0030834","regulation of actin filament depolymeriz...",45,1,0.01,95,0.0135,0.0135,0.0222222222222222
