"","MGI Gene/Marker ID","Symbol","Name","Chr","Qualifier","Annotated Term","Context","Proteoform","Evidence","Inferred From","Reference(s)"
"1","MGI:87914","Aspa","aspartoacylase","11",NA,"positive regulation of oligodendrocyte differentiation",NA,NA,"ISO","RGD:621693","J:155856"
"2","MGI:109563","Cxcr4","chemokine (C-X-C motif) receptor 4","1",NA,"positive regulation of oligodendrocyte differentiation",NA,NA,"IMP",NA,"J:161391"
"3","MGI:101864","Dag1","dystroglycan 1","9",NA,"positive regulation of oligodendrocyte differentiation",NA,NA,"ISO","RGD:621890","J:155856"
"4","MGI:1321390","Enpp2","ectonucleotide pyrophosphatase/phosphodiesterase 2","15",NA,"positive regulation of oligodendrocyte differentiation",NA,NA,"ISO","RGD:69298","J:155856"
"5","MGI:95843","Gsx2","GS homeobox 2","5",NA,"positive regulation of oligodendrocyte differentiation","happens in corpus striatum",NA,"IMP",NA,"J:196218"
"6","MGI:108086","Hdac1","histone deacetylase 1","4",NA,"positive regulation of oligodendrocyte differentiation","happens in cerebral cortex,regulates the differentiation of oligodendrocyte|happens in spinal cord,regulates the differentiation of oligodendrocyte",NA,"IGI","MGI:1097691","J:152576"
"7","MGI:108086","Hdac1","histone deacetylase 1","4",NA,"positive regulation of oligodendrocyte differentiation",NA,NA,"ISO","RGD:1309799","J:155856"
"8","MGI:1097691","Hdac2","histone deacetylase 2","10",NA,"positive regulation of oligodendrocyte differentiation","happens in cerebral cortex,regulates the differentiation of oligodendrocyte|happens in spinal cord,regulates the differentiation of oligodendrocyte",NA,"IGI","MGI:108086","J:152576"
"9","MGI:1097691","Hdac2","histone deacetylase 2","10",NA,"positive regulation of oligodendrocyte differentiation",NA,NA,"ISO","RGD:619976","J:155856"
"10","MGI:1923777","Il34","interleukin 34","8",NA,"positive regulation of oligodendrocyte differentiation",NA,NA,"IDA",NA,"J:236151"
"11","MGI:96949","Mdk","midkine","2",NA,"positive regulation of oligodendrocyte differentiation",NA,NA,"ISO","P21741","J:164563"
"12","MGI:2676897","Mir23a","microRNA 23a","8",NA,"positive regulation of oligodendrocyte differentiation",NA,NA,"IDA",NA,"J:201967"
"13","MGI:3618753","Mir219a-1","microRNA 219a-1","17",NA,"positive regulation of oligodendrocyte differentiation",NA,NA,"IDA",NA,"J:158669"
"14","MGI:3618754","Mir219a-2","microRNA 219a-2","2",NA,"positive regulation of oligodendrocyte differentiation",NA,NA,"IDA",NA,"J:158669"
"15","MGI:1928394","Mtor","mechanistic target of rapamycin kinase","4",NA,"positive regulation of oligodendrocyte differentiation","regulates a function/process that happens in brain,happens in oligodendrocyte precursor cell",NA,"IMP","MGI:2179311 MGI:3850506","J:217386"
"16","MGI:1928394","Mtor","mechanistic target of rapamycin kinase","4",NA,"positive regulation of oligodendrocyte differentiation",NA,NA,"ISO","RGD:68371","J:155856"
"17","MGI:97347","Nkx2-2","NK2 homeobox 2","2",NA,"positive regulation of oligodendrocyte differentiation","regulates the differentiation of oligodendrocyte",NA,"IGI","MGI:1355331","J:71636"
"18","MGI:3652259","Nkx2-2os","NK2 homeobox 2, opposite strand","2",NA,"positive regulation of oligodendrocyte differentiation","happens in corpus striatum,regulates the differentiation of oligodendrocyte",NA,"IDA",NA,"J:137762"
"19","MGI:1355331","Olig2","oligodendrocyte transcription factor 2","16",NA,"positive regulation of oligodendrocyte differentiation","regulates the differentiation of oligodendrocyte",NA,"IGI","MGI:97347","J:71636"
"20","MGI:97747","Pparg","peroxisome proliferator activated receptor gamma","6",NA,"positive regulation of oligodendrocyte differentiation",NA,NA,"ISO","RGD:3371","J:155856"
"21","MGI:1351645","Prmt5","protein arginine N-methyltransferase 5","14",NA,"positive regulation of oligodendrocyte differentiation",NA,NA,"ISO","RGD:1309053","J:155856"
"22","MGI:97804","Ptn","pleiotrophin","6",NA,"positive regulation of oligodendrocyte differentiation",NA,NA,"ISO","P21246","J:164563"
"23","MGI:97808","Ptpra","protein tyrosine phosphatase, receptor type, A","2",NA,"positive regulation of oligodendrocyte differentiation",NA,NA,"ISO","RGD:3450","J:155856"
