MGI Gene/Marker ID	Symbol	Name	Chr	Qualifier	Annotated Term	Context	Proteoform	Evidence	Inferred From	Reference(s)
MGI:87859	Abl1	c-abl oncogene 1, non-receptor tyrosine kinase	2		negative regulation of ERK1 and ERK2 cascade	regulates a function/process that happens in duct epithelial cell		IMP	MGI:104738 	J:190763 	
MGI:1917258	Ace2	angiotensin I converting enzyme (peptidyl-dipeptidase A) 2	X		negative regulation of ERK1 and ERK2 cascade			ISO	RGD:728890 	J:155856 	
MGI:106675	Adipoq	adiponectin, C1Q and collagen domain containing	16		negative regulation of ERK1 and ERK2 cascade			ISO	Q15848 	J:164563 	
MGI:1917887	Ankrd26	ankyrin repeat domain 26	6		negative regulation of ERK1 and ERK2 cascade	regulates a function/process that happens in fat cell		IMP	MGI:3774418 	J:175461 	
MGI:99473	Arrb1	arrestin, beta 1	7		negative regulation of ERK1 and ERK2 cascade			ISO	RGD:2156 	J:155856 	
MGI:109384	Atf3	activating transcription factor 3	1		negative regulation of ERK1 and ERK2 cascade			IMP		J:178067 	
MGI:3606486	Btn2a2	butyrophilin, subfamily 2, member A2	13		negative regulation of ERK1 and ERK2 cascade	regulates a function/process that happens in T cell		IDA		J:202549 	
MGI:3579909	C1ql4	complement component 1, q subcomponent-like 4	15		negative regulation of ERK1 and ERK2 cascade	regulates a function/process that happens in preadipocyte		IDA		J:203503 	
MGI:1913509	Camk2n1	calcium/calmodulin-dependent protein kinase II inhibitor 1	4		negative regulation of ERK1 and ERK2 cascade			ISO	Q7Z7J9 	J:164563 	
MGI:102709	Cav1	caveolin 1, caveolae protein	6		negative regulation of ERK1 and ERK2 cascade			ISO	RGD:2280 	J:155856 	
MGI:99779	Chrna7	cholinergic receptor, nicotinic, alpha polypeptide 7	7		negative regulation of ERK1 and ERK2 cascade			ISO	RGD:2348 	J:155856 	
MGI:1202403	Chrna9	cholinergic receptor, nicotinic, alpha polypeptide 9	5		negative regulation of ERK1 and ERK2 cascade			ISO	RGD:621534 	J:155856 	
MGI:3609260	Chrna10	cholinergic receptor, nicotinic, alpha polypeptide 10	7		negative regulation of ERK1 and ERK2 cascade			ISO	RGD:620142 	J:155856 	
MGI:2674130	Cnksr3	Cnksr family member 3	10		negative regulation of ERK1 and ERK2 cascade			IMP		J:161096 	
MGI:88518	Cryba1	crystallin, beta A1	11		negative regulation of ERK1 and ERK2 cascade			ISO	RGD:2415 	J:155856 	
MGI:88537	Csk	c-src tyrosine kinase	9		negative regulation of ERK1 and ERK2 cascade			ISO	RGD:1308800 	J:155856 	
MGI:109175	Dab2	disabled 2, mitogen-responsive phosphoprotein	15		negative regulation of ERK1 and ERK2 cascade			ISO	RGD:621007 	J:155856 	
MGI:1916851	Dab2ip	disabled 2 interacting protein	2		negative regulation of ERK1 and ERK2 cascade			ISO	Q5VWQ8 	J:164563 	
MGI:107231	Dlg1	discs large MAGUK scaffold protein 1	16		negative regulation of ERK1 and ERK2 cascade			ISO	Q12959 	J:164563 	
MGI:94909	Dmd	dystrophin, muscular dystrophy	X		negative regulation of ERK1 and ERK2 cascade	happens in diaphragm		IMP	MGI:1856328 	J:87819 	
MGI:3647127	Dupd1	dual specificity phosphatase and pro isomerase domain containing 1	14		negative regulation of ERK1 and ERK2 cascade			IMP		J:292527 	
MGI:105120	Dusp1	dual specificity phosphatase 1	17		negative regulation of ERK1 and ERK2 cascade			ISO	RGD:620897 	J:155856 	
MGI:1919599	Dusp3	dual specificity phosphatase 3 (vaccinia virus phosphatase VH1-related)	11		negative regulation of ERK1 and ERK2 cascade			IBA	PTN000806783 	J:265628 	
MGI:1919599	Dusp3	dual specificity phosphatase 3 (vaccinia virus phosphatase VH1-related)	11		negative regulation of ERK1 and ERK2 cascade			ISO	P51452 	J:164563 	
MGI:2442191	Dusp4	dual specificity phosphatase 4	8		negative regulation of ERK1 and ERK2 cascade			ISO	Q13115 	J:164563 	
MGI:1914853	Dusp6	dual specificity phosphatase 6	10		negative regulation of ERK1 and ERK2 cascade			IBA	PTN002562926 	J:265628 	
