MGI Gene/Marker ID	Symbol	Name	Chr	Qualifier	Annotated Term	Context	Proteoform	Evidence	Inferred From	Reference(s)
MGI:1919595	Amer1	APC membrane recruitment 1	X		negative regulation of canonical Wnt signaling pathway			ISO	Q5JTC6 	J:164563 	
MGI:1919375	Amer2	APC membrane recruitment 2	14		negative regulation of canonical Wnt signaling pathway			ISO	Q8N7J2 	J:164563 	
MGI:1345634	Amfr	autocrine motility factor receptor	8		negative regulation of canonical Wnt signaling pathway			IMP		J:274568 	
MGI:1345634	Amfr	autocrine motility factor receptor	8		negative regulation of canonical Wnt signaling pathway			ISO	Q9UKV5 	J:164563 	
MGI:2154278	Ankrd6	ankyrin repeat domain 6	4		negative regulation of canonical Wnt signaling pathway			IBA	PTN001197580 	J:265628 	
MGI:2154278	Ankrd6	ankyrin repeat domain 6	4		negative regulation of canonical Wnt signaling pathway			IDA		J:151614 	
MGI:2154278	Ankrd6	ankyrin repeat domain 6	4		negative regulation of canonical Wnt signaling pathway			IGI	P42568 	J:151614 	
MGI:88039	Apc	APC, WNT signaling pathway regulator	18		negative regulation of canonical Wnt signaling pathway			IBA	PTN000288612 	J:265628 	
MGI:88039	Apc	APC, WNT signaling pathway regulator	18		negative regulation of canonical Wnt signaling pathway	regulates a function/process that happens in head mesenchyme derived from neural crest,regulates a function/process that happens in migratory cranial neural crest cell|regulates a function/process that happens in trunk mesenchyme derived from neural crest,regulates a function/process that happens in migratory trunk neural crest cell		IMP	MGI:1857966 	J:73707 	
MGI:88039	Apc	APC, WNT signaling pathway regulator	18		negative regulation of canonical Wnt signaling pathway	regulates a function/process that happens in intestine epithelium		IMP	MGI:1857966 	J:90759 	
MGI:88039	Apc	APC, WNT signaling pathway regulator	18		negative regulation of canonical Wnt signaling pathway	regulates a function/process that happens in liver,regulates a function/process that happens in hepatocyte		IMP	MGI:3521822 	J:94721 	
MGI:88039	Apc	APC, WNT signaling pathway regulator	18		negative regulation of canonical Wnt signaling pathway			ISO	P25054 	J:73065 	
MGI:1346052	Apc2	APC regulator of WNT signaling pathway 2	10		negative regulation of canonical Wnt signaling pathway			IBA	PTN000288612 	J:265628 	
MGI:1346052	Apc2	APC regulator of WNT signaling pathway 2	10		negative regulation of canonical Wnt signaling pathway			ISO	O95996 	J:164563 	
MGI:88057	Apoe	apolipoprotein E	7		negative regulation of canonical Wnt signaling pathway			ISO	P02649 	J:164563 	
MGI:88059	App	amyloid beta (A4) precursor protein	16		negative regulation of canonical Wnt signaling pathway			ISO	P05067 	J:164563 	
MGI:1096327	Axin1	axin 1	17		negative regulation of canonical Wnt signaling pathway			IDA		J:96879 J:147293 	
MGI:1096327	Axin1	axin 1	17		negative regulation of canonical Wnt signaling pathway			ISO	O15169 	J:164563 	
MGI:1270862	Axin2	axin 2	11		negative regulation of canonical Wnt signaling pathway			ISO	Q9Y2T1 	J:164563 	
MGI:1933388	Bicc1	BicC family RNA binding protein 1	10		negative regulation of canonical Wnt signaling pathway			ISO	Q9H694 	J:164563 	
MGI:102709	Cav1	caveolin 1, caveolae protein	6		negative regulation of canonical Wnt signaling pathway			IDA		J:163148 	
MGI:1920989	Cby1	chibby family member 1, beta catenin antagonist	15		negative regulation of canonical Wnt signaling pathway	regulates a function/process that happens in nasopharynx epithelium		IMP	MGI:3714454 	J:147413 	
MGI:1915589	Ccdc88c	coiled-coil domain containing 88C	12		negative regulation of canonical Wnt signaling pathway			ISO	Q9P219 	J:164563 	
MGI:88354	Cdh1	cadherin 1	8		negative regulation of canonical Wnt signaling pathway	regulates a function/process that happens in intestine epithelium,regulates a function/process that happens in intestinal epithelial cell		IMP		J:190582 	
MGI:88355	Cdh2	cadherin 2	18		negative regulation of canonical Wnt signaling pathway			IGI	MGI:1278315 MGI:98956 	J:145745 	
MGI:1915022	Chd8	chromodomain helicase DNA binding protein 8	14		negative regulation of canonical Wnt signaling pathway			IBA	PTN002898830 	J:265628 	
MGI:1915022	Chd8	chromodomain helicase DNA binding protein 8	14		negative regulation of canonical Wnt signaling pathway			ISO	RGD:620696 	J:155856 	
MGI:1915022	Chd8	chromodomain helicase DNA binding protein 8	14		negative regulation of canonical Wnt signaling pathway			ISO	Q9HCK8 	J:164563 J:183665 	
MGI:1934950	Csnk1a1	casein kinase 1, alpha 1	18		negative regulation of canonical Wnt signaling pathway			IBA	PTN000936058 	J:265628 	
MGI:1915838	Cthrc1	collagen triple helix repeat containing 1	15		negative regulation of canonical Wnt signaling pathway			IDA		J:140886 	
MGI:88276	Ctnnb1	catenin (cadherin associated protein), beta 1	9		negative regulation of canonical Wnt signaling pathway			IDA		J:74520 	
MGI:1915756	Ctnnbip1	catenin beta interacting protein 1	4		negative regulation of canonical Wnt signaling pathway			IDA		J:74520 	
MGI:105100	Ctnnd1	catenin (cadherin associated protein), delta 1	2		negative regulation of canonical Wnt signaling pathway			ISO	O60716 	J:164563 	
MGI:1921506	Cyld	CYLD lysine 63 deubiquitinase	8		negative regulation of canonical Wnt signaling pathway			ISO	Q9NQC7 	J:164563 	
MGI:109175	Dab2	disabled 2, mitogen-responsive phosphoprotein	15		negative regulation of canonical Wnt signaling pathway			IBA	PTN002599544 	J:265628 	
MGI:109175	Dab2	disabled 2, mitogen-responsive phosphoprotein	15		negative regulation of canonical Wnt signaling pathway			ISO	RGD:621007 	J:155856 	
MGI:109175	Dab2	disabled 2, mitogen-responsive phosphoprotein	15		negative regulation of canonical Wnt signaling pathway			ISO	P98082 	J:164563 	
MGI:1916851	Dab2ip	disabled 2 interacting protein	2		negative regulation of canonical Wnt signaling pathway			IMP		J:157597 	
MGI:1916851	Dab2ip	disabled 2 interacting protein	2		negative regulation of canonical Wnt signaling pathway			ISO	Q5VWQ8 	J:164563 	
MGI:1891740	Dact1	dishevelled-binding antagonist of beta-catenin 1	12		negative regulation of canonical Wnt signaling pathway			IBA	PTN000408463 	J:265628 	
MGI:1891740	Dact1	dishevelled-binding antagonist of beta-catenin 1	12		negative regulation of canonical Wnt signaling pathway			IMP		J:146933 	
MGI:1891740	Dact1	dishevelled-binding antagonist of beta-catenin 1	12		negative regulation of canonical Wnt signaling pathway			ISO	Q9NYF0 	J:164563 	
MGI:3654828	Dact3	dishevelled-binding antagonist of beta-catenin 3	7		negative regulation of canonical Wnt signaling pathway			IBA	PTN000408463 	J:265628 	
MGI:3654828	Dact3	dishevelled-binding antagonist of beta-catenin 3	7		negative regulation of canonical Wnt signaling pathway	regulates a function/process that happens in small intestine,happens in small intestine		IMP	MGI:5515616 	J:199623 	
MGI:3654828	Dact3	dishevelled-binding antagonist of beta-catenin 3	7		negative regulation of canonical Wnt signaling pathway			ISO	Q96B18 	J:164563 	
MGI:109247	Ddit3	DNA-damage inducible transcript 3	10		negative regulation of canonical Wnt signaling pathway			IDA		J:163135 	
MGI:1329040	Dkk1	dickkopf WNT signaling pathway inhibitor 1	19		negative regulation of canonical Wnt signaling pathway			IBA	PTN001383489 	J:265628 	
MGI:1329040	Dkk1	dickkopf WNT signaling pathway inhibitor 1	19		negative regulation of canonical Wnt signaling pathway	is a part of regulation of synapse organization		IDA		J:225337 	
MGI:1329040	Dkk1	dickkopf WNT signaling pathway inhibitor 1	19		negative regulation of canonical Wnt signaling pathway			IDA		J:117476 J:120067 J:124891 J:160170 J:228115 	
MGI:1329040	Dkk1	dickkopf WNT signaling pathway inhibitor 1	19		negative regulation of canonical Wnt signaling pathway			IGI	MGI:2442252 	J:160170 	
MGI:1329040	Dkk1	dickkopf WNT signaling pathway inhibitor 1	19		negative regulation of canonical Wnt signaling pathway	regulates a function/process that happens in head paraxial mesenchyme		IGI	MGI:108078 MGI:892014 	J:135313 	
