MGI Gene/Marker ID	Symbol	Name
MGI:1919595	Amer1	APC membrane recruitment 1
MGI:1919375	Amer2	APC membrane recruitment 2
MGI:1345634	Amfr	autocrine motility factor receptor
MGI:1345634	Amfr	autocrine motility factor receptor
MGI:2154278	Ankrd6	ankyrin repeat domain 6
MGI:2154278	Ankrd6	ankyrin repeat domain 6
MGI:2154278	Ankrd6	ankyrin repeat domain 6
MGI:88039	Apc	APC, WNT signaling pathway regulator
MGI:88039	Apc	APC, WNT signaling pathway regulator
MGI:88039	Apc	APC, WNT signaling pathway regulator
MGI:88039	Apc	APC, WNT signaling pathway regulator
MGI:88039	Apc	APC, WNT signaling pathway regulator
MGI:1346052	Apc2	APC regulator of WNT signaling pathway 2
MGI:1346052	Apc2	APC regulator of WNT signaling pathway 2
MGI:88057	Apoe	apolipoprotein E
MGI:88059	App	amyloid beta (A4) precursor protein
MGI:1096327	Axin1	axin 1
MGI:1096327	Axin1	axin 1
MGI:1270862	Axin2	axin 2
MGI:1933388	Bicc1	BicC family RNA binding protein 1
MGI:102709	Cav1	caveolin 1, caveolae protein
MGI:1920989	Cby1	chibby family member 1, beta catenin antagonist
MGI:1915589	Ccdc88c	coiled-coil domain containing 88C
MGI:88354	Cdh1	cadherin 1
MGI:88355	Cdh2	cadherin 2
MGI:1915022	Chd8	chromodomain helicase DNA binding protein 8
MGI:1915022	Chd8	chromodomain helicase DNA binding protein 8
MGI:1915022	Chd8	chromodomain helicase DNA binding protein 8
MGI:1934950	Csnk1a1	casein kinase 1, alpha 1
MGI:1915838	Cthrc1	collagen triple helix repeat containing 1
MGI:88276	Ctnnb1	catenin (cadherin associated protein), beta 1
MGI:1915756	Ctnnbip1	catenin beta interacting protein 1
MGI:105100	Ctnnd1	catenin (cadherin associated protein), delta 1
MGI:1921506	Cyld	CYLD lysine 63 deubiquitinase
MGI:109175	Dab2	disabled 2, mitogen-responsive phosphoprotein
MGI:109175	Dab2	disabled 2, mitogen-responsive phosphoprotein
MGI:109175	Dab2	disabled 2, mitogen-responsive phosphoprotein
MGI:1916851	Dab2ip	disabled 2 interacting protein
MGI:1916851	Dab2ip	disabled 2 interacting protein
MGI:1891740	Dact1	dishevelled-binding antagonist of beta-catenin 1
MGI:1891740	Dact1	dishevelled-binding antagonist of beta-catenin 1
MGI:1891740	Dact1	dishevelled-binding antagonist of beta-catenin 1
MGI:3654828	Dact3	dishevelled-binding antagonist of beta-catenin 3
MGI:3654828	Dact3	dishevelled-binding antagonist of beta-catenin 3
MGI:3654828	Dact3	dishevelled-binding antagonist of beta-catenin 3
MGI:109247	Ddit3	DNA-damage inducible transcript 3
MGI:1329040	Dkk1	dickkopf WNT signaling pathway inhibitor 1
MGI:1329040	Dkk1	dickkopf WNT signaling pathway inhibitor 1
MGI:1329040	Dkk1	dickkopf WNT signaling pathway inhibitor 1
MGI:1329040	Dkk1	dickkopf WNT signaling pathway inhibitor 1
MGI:1329040	Dkk1	dickkopf WNT signaling pathway inhibitor 1
MGI:1329040	Dkk1	dickkopf WNT signaling pathway inhibitor 1
MGI:1329040	Dkk1	dickkopf WNT signaling pathway inhibitor 1
