MGI Gene/Marker ID	Symbol	Name
MGI:2685419	Ajap1	adherens junction associated protein 1
MGI:2685419	Ajap1	adherens junction associated protein 1
MGI:1919595	Amer1	APC membrane recruitment 1
MGI:1919595	Amer1	APC membrane recruitment 1
MGI:1919375	Amer2	APC membrane recruitment 2
MGI:3026939	Amer3	APC membrane recruitment 3
MGI:88039	Apc	APC, WNT signaling pathway regulator
MGI:88039	Apc	APC, WNT signaling pathway regulator
MGI:88039	Apc	APC, WNT signaling pathway regulator
MGI:88039	Apc	APC, WNT signaling pathway regulator
MGI:1346052	Apc2	APC regulator of WNT signaling pathway 2
MGI:1346052	Apc2	APC regulator of WNT signaling pathway 2
MGI:88064	Ar	androgen receptor
MGI:1344416	Ash2l	ASH2 like histone lysine methyltransferase complex subunit
MGI:1096327	Axin1	axin 1
MGI:1096327	Axin1	axin 1
MGI:1096327	Axin1	axin 1
MGI:1096327	Axin1	axin 1
MGI:1270862	Axin2	axin 2
MGI:1924828	Bcl9	B cell CLL/lymphoma 9
MGI:1924828	Bcl9	B cell CLL/lymphoma 9
MGI:1933114	Bcl9l	B cell CLL/lymphoma 9-like
MGI:1933114	Bcl9l	B cell CLL/lymphoma 9-like
MGI:1933114	Bcl9l	B cell CLL/lymphoma 9-like
MGI:1338871	Btrc	beta-transducin repeat containing protein
MGI:1338871	Btrc	beta-transducin repeat containing protein
MGI:1914738	Calcoco1	calcium binding and coiled coil domain 1
MGI:1920989	Cby1	chibby family member 1, beta catenin antagonist
MGI:1330281	Cd2ap	CD2-associated protein
MGI:88354	Cdh1	cadherin 1
MGI:88354	Cdh1	cadherin 1
MGI:88354	Cdh1	cadherin 1
MGI:88354	Cdh1	cadherin 1
MGI:88354	Cdh1	cadherin 1
MGI:88355	Cdh2	cadherin 2
MGI:88355	Cdh2	cadherin 2
MGI:105057	Cdh5	cadherin 5
MGI:1928330	Cdh24	cadherin-like 24
MGI:2685856	Cdh26	cadherin-like 26
MGI:1919290	Cdhr5	cadherin-related family member 5
