"","pathway","pval","padj","ES","NES","nMoreExtreme","size","leadingEdge"
"1","HALLMARK_TNFA_SIGNALING_VIA_NFKB",0.339127956682816,0.890642615558061,0.99067693554925,1.14475590569679,2379,179,"IL12B, CSF1, ABCA1, ACKR3"
"2","HALLMARK_HYPOXIA",0.952367410777762,0.960413080895009,0.523494986295999,0.604539760024726,6697,183,"PRKCA, ALDOC, GPI, CHST2, ACKR3"
"3","HALLMARK_CHOLESTEROL_HOMEOSTASIS",0.514006342494715,0.890642615558061,-0.662456057227015,-1.15772915755783,1944,70,"CBS, GLDC, PCYT2"
"4","HALLMARK_MITOTIC_SPINDLE",0.690637720488467,0.890642615558061,-0.666324944841393,-0.882839836667693,2035,192,"ABR, PREX1, CCDC88A, ARHGEF12"
"5","HALLMARK_WNT_BETA_CATENIN_SIGNALING",0.646354350123283,0.890642615558061,0.16642470544224,0.276410615473207,3669,39,"ADAM17, AXIN1, AXIN2, CCND2, CSNK1E, CTNNB1, CUL1, DLL1, DVL2, FRAT1, FZD1, FZD8, GNAI1, HDAC11, HDAC2, HDAC5, HEY1, HEY2, JAG1, JAG2, KAT2A, LEF1, MAML1, MYC, NCOR2, NCSTN, NKD1, NOTCH1, NUMB"
"6","HALLMARK_TGF_BETA_SIGNALING",0.595708446866485,0.890642615558061,0.905093987825184,1.3305887498647,3497,52,"HIPK2, ACVR1"
"7","HALLMARK_IL6_JAK_STAT3_SIGNALING",0.30017819536692,0.890642615558061,0.993696774626165,1.32486481747999,1852,68,"OSMR, CSF1, A2M"
"8","HALLMARK_DNA_REPAIR",0.286919831223629,0.890642615558061,0.99224858452413,1.15675349324158,1971,145,"AK3, AAAS"
"9","HALLMARK_G2M_CHECKPOINT",0.597573306370071,0.890642615558061,-0.738628700841847,-0.983050173825203,1772,186,"PTTG1, CUL5, FOXN3, MEIS2"
"10","HALLMARK_APOPTOSIS",0.548939283101682,0.890642615558061,0.989018392508253,1.16009693867224,3751,138,"CLU, APP, ADD1"
"11","HALLMARK_NOTCH_SIGNALING",0.0425607377194538,0.890642615558061,0.998795906080674,1.80095631188654,239,32,"PRKCA, APH1A"
"12","HALLMARK_ADIPOGENESIS",0.734137686302342,0.890642615558061,0.807218085987952,0.930901495774379,5171,189,"ANGPT1, APOE, LIFR, ABCA1"
"13","HALLMARK_ESTROGEN_RESPONSE_EARLY",0.91370703180716,0.951778158132459,0.581187251678861,0.67150282385788,6405,178,"GAB2, SLC24A3, SNX24, ADCY9, ABAT"
