"","pathway","pval","padj","ES","NES","nMoreExtreme","size","leadingEdge"
"1","HALLMARK_TNFA_SIGNALING_VIA_NFKB",0.991791744840525,0.995529327610873,0.156547340969114,0.696604725796256,4228,139,"NFKB1, SGK1, BTG3, DDX58, PNRC1, IL12B, LITAF, NR4A2, ETS2, SQSTM1, FOSL2, SOD2, TIPARP, GEM, SOCS3, VEGFA, DUSP5, TNFAIP8, TNIP1, SAT1, RELB, FJX1, PANX1, STAT5A, JAG1, MAP2K3, REL, MCL1, HES1, NINJ1, CFLAR, SLC2A6, PDLIM5, CEBPD, PLEK, KLF6, ACKR3, IER2, MYC, PHLDA1, G0S2"
"2","HALLMARK_HYPOXIA",0.360561914672216,0.986315374571971,-0.238434850649059,-1.04330803141374,2078,152,"ALDOA, ALDOC, MYH9, BNIP3L, P4HA2, PIM1, MAP3K1, PFKL, TPD52, HS3ST1, PGK1, CDKN1B, HDLBP, DUSP1, ATP7A, CHST2, B3GALT6, BCAN, TPBG, BHLHE40, INHA"
"3","HALLMARK_CHOLESTEROL_HOMEOSTASIS",0.495530012771392,0.986315374571971,-0.261443171289303,-0.974953980785193,2715,58,"ALDOC, ALCAM, CPEB2, SQLE, ATXN2, CYP51A1, SC5D, CD9, CHKA, ACAT2, SCD, PDK3, MAL2, DHCR7, SREBF2, PPARG"
"4","HALLMARK_MITOTIC_SPINDLE",0.552336609760304,0.986315374571971,-0.215916036064586,-0.962894311879215,3202,180,"KIF5B, RAPGEF6, MYH9, ARHGEF7, CLIP1, CEP250, OPHN1, CCDC88A, KATNA1, ARFGEF1, CEP57, DOCK4, ARHGAP5, RICTOR, WASF2, PCGF5, NF1, NCK2, KIF3B, LMNB1, RASAL2, KIF3C, RASA2, RHOF, ANLN, CDC42BPA, PXN, CENPF, ARHGEF11, ARHGEF2, KIFAP3, CDC42, KIF22, CDC42EP2, RASA1, ABI1, MAP3K11, KPTN, NET1, PAFAH1B1, TRIO, SASS6, RABGAP1, TBCD, RANBP9, SPTAN1, TUBGCP5, PCM1, PALLD, MID1, SMC1A, FBXO5, DLGAP5, NIN, DLG1, SAC3D1, CAPZB, ARHGAP10"
"5","HALLMARK_WNT_BETA_CATENIN_SIGNALING",0.443070917371503,0.986315374571971,0.293661871090985,1.00319112883624,2042,33,"AXIN1, LEF1, GNAI1, NCSTN, CSNK1E, PSEN2, PPARD"
"6","HALLMARK_TGF_BETA_SIGNALING",0.962753332116122,0.995529327610873,-0.186207824155988,-0.668341948981491,5272,48,"PMEPA1, JUNB, SKI, SMURF1, PPP1CA, PPM1A, HIPK2, ID2"
"7","HALLMARK_IL6_JAK_STAT3_SIGNALING",0.724963450292398,0.995529327610873,-0.236220539223567,-0.850992477202044,3966,49,"STAT3, PIM1, CSF2RA, CD9, STAM2, IFNGR1"
"8","HALLMARK_DNA_REPAIR",0.0569884977344022,0.618517874732024,-0.29690913328268,-1.28208744717016,326,139,"GTF2H5, POLA1, DDB1, SRSF6, TAF6, REV3L, AK3, CLP1, MPG, POLR1D, HPRT1, SUPT5H, VPS37B, POM121, GSDME, CSTF3, RALA, LIG1, TAF10, PCNA, GTF2H3, NT5C, VPS37D, RAD52, ZWINT, EIF1B, POLR2F, ALYREF, TARBP2, GTF2A2, POLR2J, RAE1, STX3, SEC61A1, SSRP1, DAD1, GUK1, TYMS, TP53, PDE4B, GTF2F1, NPR2, NME3, NELFE, SMAD5, SNAPC5, SAC3D1, ERCC5, APRT, DUT, ERCC2, EDF1, GTF3C5"
"9","HALLMARK_G2M_CHECKPOINT",0.927838636758824,0.995529327610873,-0.180841446572496,-0.792669348574532,5335,155,"KIF5B, SQLE, SMARCC1, SLC12A2, CASP8AP2, KATNA1, G3BP1, UBE2S, SLC7A5, CDKN1B, MNAT1, DDX39A, RPS6KA5, CDC25A, FOXN3, CDC7, CBX1, LMNB1, RASAL2, CHAF1A, TOP1, ATRX, CENPF, HIF1A, HNRNPU, STMN1, KIF22"
"10","HALLMARK_APOPTOSIS",0.509395050412466,0.986315374571971,0.226191646348118,0.972610076604637,2222,110,"PPT1, DCN, CASP2, BTG3, MADD, ADD1, LEF1, PPP3R1, PSEN2, AIFM3, PTK2, SQSTM1, DIABLO, CD14, SOD2, DAP3, DNM1L, SLC20A1, CREBBP, GPX4, SAT1, CASP7"
"11","HALLMARK_NOTCH_SIGNALING",0.463445917058572,0.986315374571971,0.302583526362117,0.993663661580785,2167,28,"PSEN2, PPARD, TCF7L2, PSENEN, CUL1, JAG1, NOTCH2, DTX2, NOTCH1, HES1, FZD7"
"12","HALLMARK_ADIPOGENESIS",0.687988875369372,0.995529327610873,-0.20563876772262,-0.912991154413844,3957,175,"UQCRC1, ALDOA, UBC, TST, BCKDHA, YWHAG, AK2, TALDO1, GPAT4, HIBCH, PFKL, MAP4K3, ATP1B3, MARC2, TOB1, PPM1B, ABCB8, COQ5, VEGFB, IFNGR1, ECHS1, SUCLG1, PHLDB1, CHCHD10, IDH1, IMMT, DHCR7, BCL6, NMT1, NDUFA5, PHYH, EPHX2, PPARG, AGPAT3, ABCA1, NDUFAB1, CAT"
"13","HALLMARK_ESTROGEN_RESPONSE_EARLY",0.535645807913544,0.986315374571971,-0.221481759597613,-0.9659883654294,3072,150,"MAST4, ARL3, SLC7A5, BAG1, JAK2, SLC39A6, ABHD2, ADD3, ABLIM1, AMFR, TOB1, ADCY9, DHRS3, BCL11B, NAV2, AR, TPBG, BHLHE40, TUBB2B, RASGRP1, ENDOD1, PLAAT3, CBFA2T3, OLFML3, WFS1, INPP5F, MINDY1, DHCR7, SLC19A2, MPPED2, NADSYN1, LRIG1, FHL2, IGFBP4, OPN3, UNC119, MAPT, CELSR1, ISG20L2, SYT12"
"14","HALLMARK_ESTROGEN_RESPONSE_LATE",0.926068675543097,0.995529327610873,-0.183775235930561,-0.787754199675284,5285,134,"TST, DLG5, ARL3, SLC7A5, BAG1, JAK2, HPRT1, ABHD2, ADD3, AMFR, TOB1, JAK1, CD9, PKP3, TPBG, HSPA4L, PLAAT3, MOCS2, LSR, WFS1, ID2, COX6C, DHCR7, ASS1"
