"","pathway","pval","padj","ES","NES","nMoreExtreme","size","leadingEdge"
"1","A tetrasaccharide linker sequence is required for GAG synthesis",0.905640595512686,0.989647981069293,-0.220236242411563,-0.682602162101302,4318,23,"SDC2, XYLT1"
"2","ABC transporter disorders",0.54625182710378,0.900531485957883,-0.246099531155707,-0.951620902346218,2615,61,"PSMB6, PSMD3, SEL1L, PSMC6, PSMD12, PSMD9, PSMC1, PSMB4, PSMC2, PSMD7, PSMC3"
"3","ABC-family proteins mediated transport",0.27296686746988,0.834328324886696,0.27398079617858,1.10470546012218,1449,84,"UBC, ABCC1, ERLEC1, ERLIN1, PSMD13, EIF2S3, PSMA5, ABCD3, ABCB10, DERL2, OS9, PSMD11, PSMD4, DERL1, ABCA9, VCP"
"4","ADP signalling through P2Y purinoceptor 1",0.851922344880091,0.975067517955176,0.253950252346704,0.719848059103692,4475,17,"GNA11, SRC, MAPK14, GNG13, GNB5, GNG2, GNG8, GNG7"
"5","ADP signalling through P2Y purinoceptor 12",0.99187145557656,1,0.172144846796657,0.471787302829937,5246,15,"GNAI2, GNG13, GNB5, GNG2, GNG8, GNG7"
"6","APC-Cdc20 mediated degradation of Nek2A",0.0414269275028769,0.68479807217722,0.514893200367649,1.52435924376342,215,20,"UBC, ANAPC5, ANAPC2, ANAPC16, CDC16, ANAPC4"
"7","APC/C-mediated degradation of cell cycle proteins",0.494031413612565,0.875082092306153,-0.249110525307374,-0.981323925869674,2358,67,"PSMB6, PSMD3, ANAPC1, PSMC6, BUB3, PSMD12, PSMD9, PSMC1, PSMB4, PSMC2, CDC23, PSMD7, PSMC3"
"8","APC/C:Cdc20 mediated degradation of Cyclin B",0.0170107033639144,0.68479807217722,0.56860286438734,1.63502242518358,88,18,"UBC, ANAPC5, ANAPC2, ANAPC16, CDC16, ANAPC4"
"9","APC/C:Cdc20 mediated degradation of Securin",0.51063829787234,0.882356036412355,-0.253945926387984,-0.97086315606338,2447,58,"PSMB6, PSMD3, ANAPC1, PSMC6, PSMD12, PSMD9, PSMC1, PSMB4, PSMC2, CDC23, PSMD7, PSMC3"
"10","APC/C:Cdc20 mediated degradation of mitotic proteins",0.366297302947941,0.851429872007712,-0.272417670945036,-1.04897515367297,1751,60,"PSMB6, PSMD3, ANAPC1, PSMC6, BUB3, PSMD12, PSMD9, PSMC1, PSMB4, PSMC2, CDC23, PSMD7, PSMC3"
"11","APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1",0.526579111944966,0.889032752500807,-0.250836231114753,-0.961792547787124,2525,59,"PSMB6, PSMD3, ANAPC1, PSMC6, PSMD12, PSMD9, PSMC1, PSMB4, PSMC2, CDC23, PSMD7, PSMC3"
"12","APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint",0.333958724202627,0.839967837861984,-0.278629067136766,-1.06835985845451,1601,59,"PSMB6, PSMD3, ANAPC1, PSMC6, BUB3, PSMD12, PSMD9, PSMC1, PSMB4, PSMC2, CDC23, PSMD7, PSMC3"
