"","pathway","pval","padj","ES","NES","nMoreExtreme","size","leadingEdge"
"1","HALLMARK_TNFA_SIGNALING_VIA_NFKB",0.336661120354964,0.765138909897645,0.246252922856271,1.05025295534535,1820,146,"BTG2, KLF9, PNRC1, ABCA1, IL6ST, IFNGR2, TIPARP, NR4A1, RELB, JUNB, DENND5A, EFNA1, INHBA, IER2, BTG3, RELA, NR4A3, MARCKS, SDC4, LITAF, PLK2, EHD1, KLF6, SOD2, MXD1, NR4A2, TRIP10, FJX1, PDLIM5, MCL1, NFIL3, DRAM1, CD44, IL7R, LDLR, SMAD3, SERPINB8, TGIF1"
"2","HALLMARK_HYPOXIA",0.794743660929113,0.936089428349272,0.202130852620267,0.874323704556014,4293,164,"DTNA, PNRC1, WSB1, BNIP3L, PGM1, HSPA5, LXN, CAVIN3, ANXA2, TIPARP, PRDX5, PDK1, EFNA1, HDLBP, GCNT2, PGK1, MAP3K1, EXT1, SDC4, MXI1, DDIT3, DCN, KLF6, GBE1, BGN"
"3","HALLMARK_CHOLESTEROL_HOMEOSTASIS",0.0068886337543054,0.142423679484798,0.434574266756699,1.61766181650862,35,65,"ABCA2, GNAI1, PPARG, PNRC1, NSDHL, DHCR7, CLU, CD9, ECH1, ALCAM, ACTG1, SC5D, MAL2, CTNNB1, FASN, ACAT2, ACSS2, NFIL3, IDI1, LDLR, GLDC, EBP, S100A11, ANXA5, TNFRSF12A, STX5, ATF5, GPX8, FADS2, ALDOC"
"4","HALLMARK_MITOTIC_SPINDLE",0.528183330253188,0.910660914229634,0.222425864987002,0.974957788035172,2857,180,"FARP1, CCDC88A, CDK5RAP2, KIFAP3, SPTBN1, SPTAN1, CLASP1, KATNA1, NUMA1, ITSN1, MAP1S, HOOK3, KLC1, CNTRL, RAPGEF5, MAPRE1, EPB41, SAC3D1, KIF3C, RAB3GAP1, DLG1, BRCA2, KIF1B, ARHGDIA, STK38L, ARHGAP10, MARCKS, CAPZB, MYO9B, CDC42, DYNC1H1, TPX2, TLK1, TUBGCP6, ARHGEF7, FSCN1, APC, HDAC6, ARFIP2, RFC1"
"5","HALLMARK_WNT_BETA_CATENIN_SIGNALING",0.144930541156956,0.604964983203325,-0.376374872651835,-1.2547176428508,698,33,"NCOR2, LEF1, AXIN2, CUL1, MAML1, SKP2, NCSTN, CCND2"
"6","HALLMARK_TGF_BETA_SIGNALING",0.225236593059937,0.658175456562553,-0.316350460408101,-1.15037183598832,1070,50,"PPM1A, CDKN1C, NCOR2, MAP3K7, FNTA, RHOA, XIAP, SMAD7, TGFBR1, TRIM33, ARID4B, SMAD6, SLC20A1, PPP1CA, SMURF1, BCAR3, ACVR1, HIPK2, FKBP1A, BMPR2"
"7","HALLMARK_IL6_JAK_STAT3_SIGNALING",0.454412379757424,0.858750955632299,-0.270861211668271,-0.994220720824084,2172,52,"PTPN11, CBL, IL15RA, IFNAR1, IL13RA1, GRB2, JUN, PTPN1, PDGFC, STAT3, HAX1, STAM2, IFNGR1"
"8","HALLMARK_DNA_REPAIR",0.480900535154087,0.858750955632299,0.232866911075362,0.987409802182868,2605,140,"EDF1, TAF13, ARL6IP1, GUK1, TMED2, NFX1, USP11, RALA, EIF1B, GTF2F1, ELL, DAD1, DGUOK, SAC3D1, ERCC5, ELOA, ITPA, POLB, GSDME, POLR2D, ADCY6, RRM2B, GTF2H5, POLR2E, POLR1C, CANT1, GTF3C5, RPA3, NELFB, NUDT21, SSRP1, SMAD5, CMPK2, TSG101, RFC4"
"9","HALLMARK_G2M_CHECKPOINT",0.632426550598477,0.930813523029312,-0.211754062366505,-0.934577169383761,2905,159,"GSPT1, MEIS2, ABL1, FOXN3, TENT4A, XPO1, KIF5B, EGF, SMARCC1, CUL5, E2F4, NUP98, PRIM2, CUL1, LMNB1, FANCC, DMD, ATRX, ARID4A, CDC27, BUB3, SLC7A5, RAD21, RASAL2, KIF22, SYNCRIP, NOTCH2, EWSR1, ORC6, KPNA2, UBE2S, TFDP1"
"10","HALLMARK_APOPTOSIS",0.156470152020764,0.604964983203325,0.280814090802936,1.16547518206785,843,122,"BTG2, TXNIP, SPTAN1, BNIP3L, CASP2, CLU, LMNA, TIMP2, NEFH, PPT1, BCL2L1, APP, BTG3, FEZ1, RELA, TGFB2, DNAJC3, GNA15, SC5D, CTNNB1, PAK1, HSPB1, DDIT3, MMP2, DCN, BGN, SOD2"
