"","pathway","pval","padj","ES","NES","nMoreExtreme","size","leadingEdge"
"1","HALLMARK_TNFA_SIGNALING_VIA_NFKB",0.0402298850574713,0.15473032714412,0.359574998453535,1.25692273567017,111,177,"IL12B, BTG2, NAMPT, JUNB, CEBPD, EIF1, RHOB, PLPP3, INHBA, LDLR, TIPARP, SAT1, PDLIM5, TNIP2, TUBB2A, KLF9, MCL1, SQSTM1, PLK2, B4GALT1, EGR1, HES1, MARCKS, PNRC1, BHLHE40, CSF1, FJX1, IRS2, NR4A3, EGR3, JUN, SLC16A6, SOD2, CCNL1, PTGS2, ATP2B1, GADD45B, PFKFB3, IL15RA, SPSB1"
"2","HALLMARK_HYPOXIA",0.927846265409717,0.997972972972973,0.238925089559385,0.843568071165442,2558,187,"LARGE1, GPC4, ERRFI1, DCN, WSB1, GPC3, GPI, ZNF292, GCNT2, TIPARP, ALDOC, CHST2, RRAGD, VLDLR, TPI1, ENO1, PDGFB, PNRC1, BHLHE40, DTNA, IRS2, SLC6A6, CITED2, JUN, PGK1, GLRX, NDRG1, TPST2, LDHA, IDS, NDST2, TPBG, PFKFB3, KDM3A, MIF, ALDOA, UGP2, CCNG2, DDIT4"
"3","HALLMARK_CHOLESTEROL_HOMEOSTASIS",0.0171428571428571,0.0952380952380952,0.480722480816066,1.4715032451921,59,70,"CHKA, CD9, ERRFI1, SC5D, MAL2, HMGCR, CLU, LDLR, SCD, ALDOC, SQLE, ACAT2, FADS2, HMGCS1, LPL, PNRC1, NSDHL"
"4","HALLMARK_MITOTIC_SPINDLE",0.00357093805795907,0.0368949232585596,-0.457564687732289,-1.46385059645198,25,194,"FARP1, EPB41, PCGF5, RANBP9, SMC3, DLG1, ALMS1, ACTN4, KIFAP3, DYNC1H1, SOS1, ARHGEF7, ARHGEF11, STK38L, ATG4B, LLGL1, CEP250, ARHGAP5, PCM1, CNTROB, RASA2, MYH10, CDC42BPA, RAPGEF5, DST, HOOK3, NUSAP1, PXN, RALBP1, PCNT, CNTRL, MYO9B, ABL1, RHOF, TUBGCP5, MYH9, MID1, ARHGEF12, TLK1, TAOK2, TRIO, MAP1S, NEDD9, NUMA1, NOTCH2, KPTN, ARHGAP29, TSC1, NF1, MARK4, RAB3GAP1"
"5","HALLMARK_WNT_BETA_CATENIN_SIGNALING",0.014018691588785,0.0876168224299065,-0.619391766205064,-1.58246126390375,86,39,"NCOR2, DVL2, PPARD, CUL1, JAG2, CSNK1E, RBPJ, HDAC5, GNAI1, NCSTN, WNT5B"
"6","HALLMARK_TGF_BETA_SIGNALING",0.336385161799526,0.76451173136256,-0.398557316996173,-1.07394272029011,2130,54,"NCOR2, BMPR1A, SMAD7, SKIL, PMEPA1, TRIM33, CDK9, RAB31, FURIN, BMPR2, SMURF2, SMURF1"
"7","HALLMARK_IL6_JAK_STAT3_SIGNALING",0.685374149659864,0.997972972972973,0.293437774570241,0.889734787158756,2417,67,"CD9, ITGA4, IL1R1, IFNAR1, STAT3, CSF1, JUN, CBL, GRB2, PDGFC, TNFRSF21, IL15RA"
"8","HALLMARK_DNA_REPAIR",0.997972972972973,0.997972972972973,0.211423419672636,0.723565703635678,2953,145,"POLR2A, UPF3B, SDCBP, NFX1, STX3, EIF1B, NCBP2, SRSF6, TARBP2, NT5C, POLR2H, VPS37D, GTF2A2, RAE1, RNMT, NUDT21, POLR2K, AK1, DCTN4, POLA1, POM121, DGCR8, SMAD5, MPC2, TMED2, ITPA, GMPR2, EDF1, ELL, RAD52, DDB1, TAF9, POLR2G, ARL6IP1, TAF13, POLR3C, SNAPC4, GTF2F1, GTF2H1, ERCC8, POLD4, IMPDH2, POLR2E, POLR2D, GUK1, BCAP31, TP53, RBX1, CCNO"
"9","HALLMARK_G2M_CHECKPOINT",0.3,0.748550933487046,-0.33689791690478,-1.0739252812171,2177,189,"PRPF4B, MEIS2, PTTG1, FOXN3, HSPA8, SLC12A2, FANCC, NSD2, TRAIP, CUL1, NUSAP1, ABL1, EZH2, PRIM2, NASP, SLC38A1, CDC25B, CDC7, SNRPD1, UCK2, RAD21, CASP8AP2, TENT4A, NUMA1, NOTCH2, SLC7A5, ARID4A, EFNA5, STMN1, GINS2, ORC5, EWSR1, CUL5, BUB3, NUP98, SMAD3, ATRX, DDX39A, TOP1, DKC1, MKI67, E2F4, DMD"
"10","HALLMARK_APOPTOSIS",0.0372983870967742,0.15473032714412,0.37883136549444,1.29461616305518,110,143,"DPYD, PLPPR4, TGFBR3, DCN, BTG2, TGFB2, SC5D, PEA15, APP, RHOB, CLU, SLC20A1, SAT1, TIMP2, FEZ1, MCL1, SQSTM1, GPX1, EGR3, JUN, PLAT, SOD2, ANKH, ETF1, CCND2, GADD45B, PPP3R1, CASP9, CASP3, HGF, CCND1, PSEN1"
"11","HALLMARK_NOTCH_SIGNALING",0.283038234539389,0.748550933487046,0.426521934776253,1.12383509899719,1102,31,"MAML2, FBXW11, HES1, TCF7L2"
"12","HALLMARK_ADIPOGENESIS",0.861046272140601,0.997972972972973,-0.26211682148721,-0.837881392642697,6270,192,"PREB, ATP5PO, APLP2, MGLL, YWHAG, ELOVL6, ANGPT1, MIGA2, SUCLG1, ADIPOR2, LIPE, SAMM50, MTCH2, LAMA4, IDH3G, PPARG, CMPK1, COX8A, NKIRAS1, DNAJC15, SDHB, MYLK, SORBS1, COX6A1, CRAT, SLC27A1, DHRS7B, UQCRC1, AIFM1, UBQLN1, ABCB8, VEGFB, NDUFB7, ARAF, POR"
"13","HALLMARK_ESTROGEN_RESPONSE_EARLY",0.373590396507821,0.773109243697479,0.291620116994996,1.02278384525815,1026,181,"ADCY1, SLC24A3, MAST4, FLNB, GFRA1, OLFM1, RPS6KA2, SYBU, FKBP5, BCL11B, SLC16A1, ADCY9, TUBB2B, NPY1R, TIPARP, SLC39A6, WWC1, SH3BP5, TPD52L1, AFF1, SEC14L2, B4GALT1, HES1, TIAM1, BHLHE40, MAPT, ADD3, EGR3"
"14","HALLMARK_ESTROGEN_RESPONSE_LATE",0.910295335357439,0.997972972972973,-0.254924241589996,-0.810712333858749,6595,183,"FARP1, HOMER2, UNC13B, NCOR2, HSPA4L, FKBP4, CACNA2D2, JAK2, RABEP1, ABCA3, CKB, CHST8, PRKAR2B, PAPSS2, ABHD2, RAB31, LAMC2, FAM102A, OVOL2, FDFT1, HPRT1, SLC7A5, ARL3, GINS2"
"15","HALLMARK_ANDROGEN_RESPONSE",0.162769784172662,0.508655575539568,0.365873132932829,1.16432451797425,542,89,"INPP4B, IQGAP2, PTK2B, FKBP5, HMGCR, B2M, STK39, DBI, SCD, SAT1, BMPR1B, PDLIM5, MERTK, UBE2I, HMGCS1, ABCC4, B4GALT1, CDK6, XRCC5, CCND3, ELK4, NDRG1, ADAMTS1, ANKH, GNAI3, CCND1, AKAP12, VAPA, INSIG1, SLC26A2, HPGD, ACSL3, IDI1, FADS1"
"16","HALLMARK_MYOGENESIS",0.225570145127851,0.663441603317208,-0.350621111325625,-1.11290707032272,1631,180,"CRYAB, SGCD, NAV2, MEF2C, SPEG, COL4A2, GNAO1, RB1, APOD, MRAS, KLF5, CKB, AGRN, GABARAPL2, AKT2, MYH9, IGFBP7, HDAC5, MEF2D, SIRT2, CACNA1H, MYLK, ITGB1, SORBS1, CRAT, PDLIM7, FLII, PC, LAMA2, RYR1, TSC2, DMPK, REEP1, SVIL, DMD, MAPRE3, KIFC3, OCEL1"
"17","HALLMARK_PROTEIN_SECRETION",0.77205553067622,0.997972972972973,-0.287839858234531,-0.845400898342902,5171,94,"PAM, RPS6KA3, RAB2A, DST, GOLGA4, MON2, ADAM10, VPS45, NAPA, ATP7A, PPT1, DOP1A, TOM1L1, GALC, SNX2, RAB5A, AP3S1, GOSR2, ZW10, TSG101, ARFGEF2, ICA1, GBF1, ARF1, SCAMP1"
"18","HALLMARK_INTERFERON_ALPHA_RESPONSE",0.997398622800306,0.997972972972973,-0.212316350736668,-0.603783976710183,6517,76,"GMPR, TRAFD1, IRF2, ADAR, STAT2, PNPT1, IRF9, TRIM5, RIPK2, MOV10, RNF31"
"19","HALLMARK_INTERFERON_GAMMA_RESPONSE",0.480590717299578,0.889982809814034,-0.315141612099802,-0.987635595025402,3416,160,"PDE4B, ARID5B, P2RY14, NFKB1, JAK2, PFKP, TRAFD1, ST3GAL5, IRF2, CIITA, ADAR, STAT2, PNPT1, MTHFD2, RBCK1, NCOA3, SAMHD1, GPR18, ZNFX1, IRF9, PTPN2, ST8SIA4, RIPK2"
"20","HALLMARK_APICAL_JUNCTION",0.810922631361192,0.997972972972973,-0.270144064134967,-0.859655278063629,5879,185,"MAPK11, ATP1A3, DLG1, SPEG, ACTN4, PTEN, NFASC, PKD1, AKT3, MAP4K2, PLCG1, MYH10, AKT2, JAM3, CDH6, NLGN2, RHOF, BAIAP2, MYH9, THBS3, CADM2, ADAM15, IRS1, TAOK2, LAMC2, ITGB1, CRAT, GNAI1, LAMA3, CDH11, DHX16, TSC1, NF1, PPP2R2C, ADAM9, TRO, DSC3, IKBKG, CD34, RASA1"
"21","HALLMARK_APICAL_SURFACE",0.0923117154811715,0.329684698147041,0.491277723171278,1.34958141701572,352,38,"THY1, MDGA1, APP, LYN, B4GALT1, SCUBE1, SHROOM2"
"22","HALLMARK_HEDGEHOG_SIGNALING",0.00412903225806452,0.0368949232585596,0.656890956047353,1.75238949327158,15,33,"THY1, RTN1, SCG2, CDK5R1, NRP1, VLDLR, SLIT1, UNC5C, CDK6, TLE1"
"23","HALLMARK_COMPLEMENT",0.00276625172890733,0.0368949232585596,0.430589082389009,1.48898336642253,7,160,"CBLB, DGKH, DOCK10, CDH13, DGKG, C1QA, DOCK4, CTSS, C1QC, MT3, CALM1, GNG2, DOCK9, CLU, PDP1, CALM3, FCER1G, CTSO, USP14, HPCAL4, KCNIP2, LYN, TIMP2, CDK5R1, ACTN2"
"24","HALLMARK_UNFOLDED_PROTEIN_RESPONSE",0.513154005320721,0.916346438072717,-0.326035135041344,-0.970751672698997,3471,103,"PREB, KHSRP, PDIA6, CALR, CNOT4, SRPRA, HSPA5, FUS, EXOSC10, HSPA9, ERN1, NOP14, HSP90B1, MTHFD2, SLC7A5, EIF4E, HERPUD1, SEC11A, CXXC1, DCTN1, GOSR2, ZBTB17, DKC1, DNAJA4"
"25","HALLMARK_PI3K_AKT_MTOR_SIGNALING",0.728514175449013,0.997972972972973,-0.294073440944306,-0.867471613568867,4907,96,"CAMK4, PTEN, CALR, RPS6KA3, PRKAA2, PLCG1, CAB39L, MKNK2, PTPN11, GRK2, MAPK8, STAT2, PRKCB, HSP90B1, PRKAG1, EIF4E, IL4, TSC2, RPTOR, ARF1, GSK3B, RPS6KA1, MAP2K6, PFN1, MAPKAP1"
"26","HALLMARK_MTORC1_SIGNALING",0.0113803230543319,0.0812880218166562,0.385619384780801,1.36292443566965,30,190,"MLLT11, CD9, PRDX1, PPIA, BTG2, NAMPT, NMT1, SC5D, CANX, HMGCR, GPI, PSMD13, PSMD14, LDLR, SCD, SQLE, PSMA4, FADS2, HMGCS1, ACTR2, VLDLR, ARPC5L, SQSTM1, TPI1, IGFBP5, ENO1, BHLHE40, MTHFD2L, ATP6V1D, CYB5B, ADD3, TCEA1, SLC6A6, ACTR3, EEF1E1, UBE2D3, PNO1, PGK1, PSME3, GLRX, LDHA, ME1, EIF2S2, SERP1, IFRD1, DHCR7, CCNG1, ETF1, TM7SF2, RAB1A, COPS5, ALDOA, DDIT4, GCLC, UFM1, INSIG1, NUP205, PSMC4, ACSL3, PGM1, HMBS, EBP, IDI1, FADS1, CTSC, TXNRD1, YKT6, SORD, GMPS, USO1, STC1, SKAP2, SLA, PFKL, IDH1, RIT1, PSMC6, GTF2H1, PITPNB"
"27","HALLMARK_E2F_TARGETS",0.925481643038895,0.997972972972973,0.239561783063995,0.843888257928696,2545,185,"SRSF2, PNN, ORC6, SPAG5, SRSF1, RBBP7, LUC7L3, SYNCRIP, AK2, TRA2B, PDS5B"
"28","HALLMARK_MYC_TARGETS_V1",0.000361271676300578,0.0180635838150289,0.463201627722285,1.62031569626226,0,178,"SRSF2, SRSF7, TARDBP, HNRNPU, LSM7, PPIA, RNPS1, SRSF1, PSMA1, PSMB2, CANX, SNRPA, HNRNPC, RAD23B, SYNCRIP, PSMD14, PSMB3, TRA2B, VDAC1, NCBP2, ERH, NCBP1, PSMA4, HNRNPA3, KPNB1, TOMM70, HNRNPA1, YWHAQ, SMARCC1, CSTF2, STARD7, VDAC3, DHX15, PHB2, U2AF1, VBP1, MRPL23, SSBP1, RPS5, SERBP1, NOP56, RPL18, CLNS1A, CTPS1, MCM6, PGK1, PSMA7, C1QBP, HDDC2, LDHA, EIF2S2, EEF1B2, EIF1AX, IFRD1, HNRNPD, APEX1, ETF1, PSMA6, CNBP, NHP2"
"29","HALLMARK_MYC_TARGETS_V2",0.896606156274665,0.997972972972973,-0.276422164838785,-0.744840350423917,5679,54,"PRMT3, NOC4L, TCOF1, GNL3, HSPD1, NDUFAF4, EXOSC5, PHB, SRM, MYBBP1A, LAS1L, RRP9, GRWD1, RABEPK, PA2G4, MAP3K6, UNG, CBX3, PPAN, PLK4, WDR43, DDX18, BYSL, TMEM97"
"30","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",0.0236277717193748,0.118138858596874,0.371029472660001,1.3070006881674,64,185,"THY1, SLIT2, CALD1, MATN2, TGFBR3, DCN, COLGALT1, SLIT3, FBN2, PFN2, RHOB, SCG2, INHBA, APLP1, SPOCK1, SAT1, CAP2, PPIB"
"31","HALLMARK_INFLAMMATORY_RESPONSE",0.946002805049088,0.997972972972973,-0.246554837417012,-0.774538743504508,6744,163,"PDE4B, ATP2C1, SLC1A2, RNF144B, PTPRE, PCDH7, NFKB1, SCN1B"
