"","pathway","pval","padj","ES","NES","nMoreExtreme","size","leadingEdge"
"1","HALLMARK_TNFA_SIGNALING_VIA_NFKB",0.00366866190384244,0.0458582737980305,0.769960283466507,1.57965047702282,18,177,"IL12B, LDLR, CEBPD, BTG2, NAMPT, CCL4, KLF9, TIPARP, B4GALT1"
"2","HALLMARK_HYPOXIA",0.578896604938272,0.769583562649055,0.45229706478804,0.931925197531221,3000,187,"LARGE1, GCNT2, ERRFI1, SCARB1, PFKL, LDHA, DCN, ENO1, TIPARP, ALDOC, PDGFB, CA12, WSB1, GPC4, ACKR3, VLDLR"
"3","HALLMARK_CHOLESTEROL_HOMEOSTASIS",0.123535062439962,0.31888246628131,0.677666537093818,1.25787001245388,642,70,"LDLR, SC5D, CD9, ERRFI1, HMGCS1, HMGCR, ACAT2, CHKA, MAL2, SCD, SQLE, FADS2, STX5, ALDOC, ECH1, IDI1"
"4","HALLMARK_MITOTIC_SPINDLE",0.0915127619838141,0.285977381199419,-0.581216318783805,-1.22803854049603,440,194,"EPB41, PCGF5, FARP1, SOS1, RANBP9, ARHGEF11, CDC27, DYNC1H1, SMC3, KIFAP3, ARHGEF12, ARHGEF7, ATG4B, STK38L, ALMS1, MYH10, NCK2, PCM1, CLIP2, MARK4, CNTROB, ALS2, RHOF, LLGL1, DLG1, MAP1S, TSC1, ACTN4, ARHGAP5, RASA2, SYNPO, KIF3B, CEP250, NUMA1, NOTCH2, CKAP5, LATS1, NUSAP1, STAU1"
"5","HALLMARK_WNT_BETA_CATENIN_SIGNALING",0.0483101803856521,0.185808386098662,-0.819449509670769,-1.41202626027871,232,39,"NCOR2, CUL1, JAG2, CTNNB1, NCSTN, HDAC11, DVL2, HDAC5, PPARD"
"6","HALLMARK_TGF_BETA_SIGNALING",0.43986543313709,0.709460376027564,-0.559014293089122,-1.00243272698127,2091,54,"SKIL, NCOR2, CTNNB1, SMAD7, SMURF1, BMPR1A, SMURF2, FNTA, SKI, SMAD3, PMEPA1, BMPR2, MAP3K7, IFNGR2, TRIM33"
"7","HALLMARK_IL6_JAK_STAT3_SIGNALING",0.692719281482897,0.769583562649055,0.466954355749261,0.862342765453256,3624,67,"ITGA4, CD9, IL1R1, CBL, GRB2, TNFRSF21, CD14, IL15RA"
"8","HALLMARK_DNA_REPAIR",0.100424055512722,0.295364869155064,0.618456107080916,1.24845868543207,520,145,"UPF3B, POLR2A, STX3, TARBP2, NT5C, EIF1B, NCBP2, ARL6IP1, RAE1, NFX1, VPS37D, SRSF6, VPS37B, APRT, MPC2, TAF13, GTF2H1, RAD52, USP11, SDCBP, EDF1, DCTN4, GTF2A2, RBX1, DDB1"
"9","HALLMARK_G2M_CHECKPOINT",0.0586400499064255,0.195466833021418,-0.610517572811996,-1.28665590579377,281,189,"PTTG1, PRPF4B, MEIS2, UCK2, CTCF, CUL1, CDC27, NSD2, FOXN3, DR1, HSPA8, CCNT1, CUL4A, SLC7A5, LBR, SMAD3, FANCC, ARID4A"
"10","HALLMARK_APOPTOSIS",0.167825415218231,0.364837859170067,0.579224560164315,1.16754507891566,868,143,"DPYD, SC5D, PEA15, SLC20A1, TGFB2, BTG2, TGFBR3, ETF1, PLPPR4, DCN, PSEN1, PDCD4, BCL2L1, CYLD, GADD45B, RHOB, DNAJC3, ANKH, SOD2, GSR, BAX"
"11","HALLMARK_NOTCH_SIGNALING",0.466486382074561,0.728884971991501,0.606328682164928,0.998178308324849,2414,31,"MAML2, FBXW11, RBX1"
"12","HALLMARK_ADIPOGENESIS",0.555213543670643,0.769583562649055,0.455907302001419,0.942709715614499,2885,192,"APOE, NMT1, RAB34, SCARB1, PFKL, RREB1, MRPL15, CS, ME1, PDCD4, AK2, COQ3, ECH1, NDUFS3, TKT, DLD, ACOX1, NABP1, ESRRA, DHRS7, GPD2, DHCR7, BCKDHA, G3BP2, MDH2, ITGA7"
"13","HALLMARK_ESTROGEN_RESPONSE_EARLY",0.254485819023731,0.52833078101072,0.528185059543079,1.08622126629198,1318,181,"SLC24A3, BCL11B, RPS6KA2, GFRA1, FKBP5, FLNB, SLC16A1, SCARB1, WWC1, MAST4, UGCG, TIPARP, B4GALT1, CA12, ADCY1, AR, SEC14L2"
"14","HALLMARK_ESTROGEN_RESPONSE_LATE",0.127552986512524,0.31888246628131,0.583124819055773,1.2001145710992,661,183,"LARGE1, SLC24A3, CD9, RPS6KA2, FKBP5, FLNB, SLC16A1, SCARB1, DLG5, PDCD4, SLC2A8, CA12, TSPAN13"
"15","HALLMARK_ANDROGEN_RESPONSE",0.148627754155392,0.337790350353164,0.632760079688656,1.21017620960253,768,89,"IQGAP2, PTK2B, FKBP5, HMGCS1, INPP4B, HMGCR, SEC24D, ACTN1, SCD, ABCC4, B4GALT1, MERTK, FADS1, XRCC6, LMAN1, IDI1, B2M, CDK6, UBE2I, DHCR24, ELK4, INSIG1, GNAI3, VAPA, ANKH, GSR"
"16","HALLMARK_MYOGENESIS",0.276776465713694,0.532225138524351,-0.512222899090558,-1.07408243753136,1335,180,"CRYAB, SPEG, COL4A2, CACNA1H, MRAS, MEF2D, NAV2, SGCD, RB1, MEF2C, KLF5, MAPRE3, HDAC5, APOD, GNAO1, AGRN, CKB, TSC2"
"17","HALLMARK_PROTEIN_SECRETION",0.658262137945405,0.769583562649055,-0.46116700034802,-0.894127944813942,3158,94,"PAM, SNAP23, ARFGEF2, DNM1L, ARF1, ARCN1, STX12, GOSR2, NAPA, MON2, TPD52, GBF1, SCRN1, VPS45, COG2, SNX2, AP1G1, DOP1A, GOLGA4, STAM, GALC, AP3S1, RAB2A, COPB1, TOM1L1, ADAM10"
"18","HALLMARK_INTERFERON_ALPHA_RESPONSE",0.708016877637131,0.769583562649055,-0.458612648310863,-0.865277754906712,3355,76,"TRAFD1, NUB1, GMPR, MOV10, RIPK2, PNPT1"
"19","HALLMARK_INTERFERON_GAMMA_RESPONSE",0.687175223446269,0.769583562649055,-0.433599737745491,-0.896357665669818,3305,160,"ARID5B, PDE4B, TRAFD1, NFKB1, PTPN1, P2RY14, JAK2, RIPK2, MTHFD2, PNPT1, NCOA3, ST3GAL5, PFKP"
