"","pathway","pval","padj","ES","NES","nMoreExtreme","size","leadingEdge"
"1","A tetrasaccharide linker sequence is required for GAG synthesis",0.557134280568341,0.898779823722753,-0.586870710497418,-0.928125955430307,2783,24,"GPC6, CSPG5, AGRN, NCAN"
"2","ABC transporter disorders",0.367366974278421,0.866881265106519,0.554909521927195,1.03874587309558,1870,74,"PSMB2, PSMA1, PSMD13, PSMD1, PSMD14, PSMD9, VCP, PSMB3, PSMD7, PSMC2, PSMD12, PSMC6, PSMD4, PSMD5, PSMA3"
"3","ABC transporters in lipid homeostasis",0.576133360439114,0.908477314229526,-0.652096427071101,-0.941104133035193,2833,16,"ABCA3, ABCA7, ABCA2"
"4","ABC-family proteins mediated transport",0.729618768328446,0.959299672063695,0.444605669967356,0.860092577187187,3731,98,"PSMB2, PSMA1, PSMD13, PSMD1, PSMD14, ABCC4, EIF2S3, PSMD9, VCP, PSMB3, ABCG4, ABCB1, PSMD7, PSMC2, PSMD12, PSMC6, PSMD4, PSMD5, PSMA3"
"5","ADP signalling through P2Y purinoceptor 1",0.379509667131752,0.866881265106519,0.69260410761167,1.07268739970376,1903,22,"GNG12, SRC, GNG2, MAPK14"
"6","ADP signalling through P2Y purinoceptor 12",0.568267140881249,0.903984484526867,0.621026107026918,0.9361845220307,2875,19,"GNG12, GNG2, GNAI3"
"7","APC-Cdc20 mediated degradation of Nek2A",0.231031714171016,0.856604269293925,-0.771328030585013,-1.20747282312904,1150,23,"CDC27, ANAPC5, UBB, ANAPC4, CDC16, UBE2D1, ANAPC16, BUB3"
"8","APC/C-mediated degradation of cell cycle proteins",0.0861788617886179,0.815754252598112,-0.681038292303758,-1.2973408078276,423,80,"PTTG1, CUL1, CDC27, PSMC1, ANAPC5, UBB, ANAPC4, PSMC3, PSMC5"
"9","APC/C:Cdc20 mediated degradation of Cyclin B",0.22508038585209,0.856604269293925,-0.792864102265484,-1.21910447995088,1119,21,"CDC27, ANAPC5, UBB, ANAPC4, CDC16, UBE2D1, ANAPC16"
"10","APC/C:Cdc20 mediated degradation of Securin",0.127446982055465,0.851505148858075,-0.677735779518547,-1.25168796059635,624,64,"PTTG1, CDC27, PSMC1, ANAPC5, UBB, ANAPC4, PSMC3, PSMC5"
"11","APC/C:Cdc20 mediated degradation of mitotic proteins",0.113913751017087,0.815754252598112,-0.674483663699432,-1.2616891573795,559,70,"PTTG1, CDC27, PSMC1, ANAPC5, UBB, ANAPC4, PSMC3, PSMC5"
"12","APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1",0.111336442912188,0.815754252598112,-0.677717827178704,-1.26587169042533,548,69,"PTTG1, CDC27, PSMC1, ANAPC5, UBB, ANAPC4, PSMC3, PSMC5"
"13","APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint",0.65099743235236,0.942975955534788,0.477657253195117,0.883822705260619,3295,68,"PSMB2, PSMA1, PSMD13, PSMD1, PSMD14, PSMD9, PSMB3, UBE2E1, PSMD7, PSMC2, PSMD12, PSMC6, PSMD4, PSMD5, PSMA3"
"14","ATF4 activates genes in response to endoplasmic reticulum  stress",0.629083665338645,0.927354268628363,0.568084018479466,0.887503195543076,3157,23,"ATF4, CEBPG, EXOSC7, ATF6"
"15","AUF1 (hnRNP D0) binds and destabilizes mRNA",0.338067061143984,0.864548008820746,0.601872593575009,1.07062892883459,1713,52,"PSMB2, PSMA1, PSMD13, PSMD1, PSMD14, PSMD9, PSMB3, PSMD7, PSMC2, PSMD12, PSMC6, PSMD4, PSMD5, PSMA3"
"16","AURKA Activation by TPX2",0.52736520854527,0.896957015232776,-0.511814394277813,-0.952016404467396,2591,67,"DYNC1H1, CEP78, ALMS1, PCM1, DCTN2, YWHAG, CEP290, CEP70, SDCCAG8, CEP63, AKAP9, CEP250, CEP135, ACTR1A, CKAP5"
"17","Abortive elongation of HIV-1 transcript in the absence of Tat",0.0569721115537849,0.737391867446558,0.884299782186484,1.38151903059903,285,23,"POLR2A, NCBP2, NCBP1, POLR2H"
"18","Acetylcholine Neurotransmitter Release Cycle",0.907731654534724,0.983781687478571,0.45905039773079,0.674057572153448,4613,16,"SNAP25, PPFIA2, RIMS1, VAMP2"
"19","Activated NOTCH1 Transmits Signal to the Nucleus",0.241574167507568,0.856604269293925,-0.707782964120328,-1.17334531147209,1196,31,"NEURL1, DTX4, JAG2, UBB, NCSTN, ARRB2, DTX2, ADAM10, MIB2"
"20","Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins",0.110252237591538,0.815754252598112,-0.674480071370545,-1.26503142846348,541,71,"PTTG1, CDC27, PSMC1, ANAPC5, UBB, ANAPC4, PSMC3, PSMC5"
"21","Activation of ATR in response to replication stress",0.299604743083004,0.856604269293925,0.661296996505196,1.11333197743862,1515,36,"ORC6, ORC1, ORC2, ORC4"
"22","Activation of BAD and translocation to mitochondria",0.307616610903366,0.862662763978553,0.799728263691716,1.16089734430306,1562,15,"YWHAZ, YWHAQ, YWHAB, PPP3R1"
"23","Activation of BH3-only proteins",0.178443826915443,0.856604269293925,0.757102013860822,1.23465931477964,898,29,"YWHAZ, YWHAQ, TFDP1, YWHAB, DYNLL2, PPP3R1"
"24","Activation of G protein gated Potassium channels",0.625274068168228,0.923555246431587,0.576118119054479,0.892276901420386,3136,22,"GNG12, GNG2, KCNJ4"
"25","Activation of GABAB receptors",0.662767244856797,0.943523536947016,-0.513165894268317,-0.863963087563974,3285,34,"ADCY8, KCNJ3, GNB1"
"26","Activation of HOX genes during differentiation",0.945126782884311,0.983781687478571,0.406404937152956,0.715356035450711,4770,48,"POLR2A, RBBP7, YY1, KDM6A, NCOA6, RBBP5, PAXIP1"
