"","pathway","pval","padj","ES","NES","nMoreExtreme","size","leadingEdge"
"1","HALLMARK_TNFA_SIGNALING_VIA_NFKB",0.0165955429113324,0.118539592223803,0.412290555514096,1.35712879691406,69,177,"ATP2B1, LDLR, JUNB, NAMPT, BCL6, JUN, NR4A3, CCNL1, BTG2, CEBPD, TIPARP, B4GALT1, BHLHE40, EGR1, TANK, PLK2, RHOB, SLC16A6, KLF9, PDLIM5, SPSB1, IRS2, TNIP2, CEBPB, DNAJB4, SGK1, SNN, CSF1, SOD2, EGR3, DUSP5, NFE2L2, MARCKS, JAG1, FJX1, NFKB1, NFAT5, PLEK, YRDC, SAT1, EHD1, DENND5A, PFKFB3, IER2, FOS, KLF2, ABCA1, RELB"
"2","HALLMARK_HYPOXIA",0.89819944598338,0.974855757663796,-0.259934328213865,-0.824510848981849,5187,187,"RORA, PAM, PFKP, EXT1, NR3C1, HSPA5, SDC2, KLF7, ALDOA, FOXO3, KIF5A, PDK1, ALDOC, XPNPEP1, TPI1, BCL2, HAS1, GAPDHS, AKAP12, MIF, TPD52, DPYSL4, COL5A1, PHKG1, CA12, GYS1"
"3","HALLMARK_CHOLESTEROL_HOMEOSTASIS",0.00622222222222222,0.0622222222222222,0.544679988818868,1.57821700799574,27,71,"HMGCR, LDLR, CD9, SC5D, HMGCS1, ERRFI1, SREBF2, SQLE, SCD, CYP51A1, ACAT2, NSDHL, CHKA, IDI1, FADS2, LPL, MVD, LSS, HSD17B7, PMVK, FDFT1, CTNNB1, STX5, DHCR7, TM7SF2, JAG1, PCYT2"
"4","HALLMARK_MITOTIC_SPINDLE",0.442541042112777,0.805008944543828,0.29957604353833,0.997142604850193,1859,194,"WASF1, FLNB, ABI1, ARHGEF3, DOCK4, VCL, CTTN, TIAM1, BCR, PKD2, MYH9, CLIP1, SSH2, FLNA, NIN, AKAP13, CCDC88A, PDLIM5, SPTBN1, CSNK1D, WASL, KIF5B, KIF3C, CDC42, ITSN1, ALS2, ARHGEF2, CDK5RAP2, BIN1, CEP192, RASAL2, LRPPRC, NCK2, CAPZB, RICTOR, FGD4, ARFIP2, KLC1, FSCN1, RAPGEF6, DYNC1H1, RABGAP1, ABR, ARHGDIA, MARK4, MARCKS, ARL8A, YWHAE, NET1, CLASP1, ARHGEF12, ANLN"
"5","HALLMARK_WNT_BETA_CATENIN_SIGNALING",0.797446968274826,0.974855757663796,-0.309151911329851,-0.790798848520214,4247,39,"GNAI1, PTCH1, LEF1, WNT5B, DVL2, HEY2, JAG2, NCSTN, PPARD, SKP2, HDAC5, CSNK1E"
"6","HALLMARK_TGF_BETA_SIGNALING",0.247868712702472,0.53884502761407,0.409593347742626,1.1379768215371,1162,54,"JUNB, FKBP1A, TGFBR1, ACVR1, UBE2D3, SMAD1, SLC20A1, HIPK2, CDK9, SPTBN1, NCOR2, RHOA, CTNNB1, ARID4B"
"7","HALLMARK_IL6_JAK_STAT3_SIGNALING",0.185825027685493,0.53884502761407,0.406697242679587,1.17200463246461,838,68,"CD9, IL1R1, JUN, STAT3, ITGA4, PTPN1, STAT2, CSF1, TNFRSF21, CBL, IFNAR1, CRLF2, CSF3R"
"8","HALLMARK_DNA_REPAIR",0.985630193905817,0.985630193905817,-0.23554318640954,-0.727706973459372,5692,145,"PDE4B, ZWINT, MRPL40, TK2, MPC2, HPRT1, TAF6, AK3, VPS28, DDB2, SUPT5H, GSDME, ARL6IP1, SNAPC5, VPS37B, SEC61A1, PRIM1, NT5C3A, REV3L, DGUOK, RFC2, NELFCD, MPG, CSTF3, GTF2H3, BRF2, BCAP31, TMED2"
"9","HALLMARK_G2M_CHECKPOINT",0.23164918970448,0.53884502761407,0.330612271821322,1.09577355069514,971,188,"SRSF2, HNRNPU, PURA, SRSF10, TRA2B, SRSF1, E2F3, SQLE, PDS5B, SMC2, XPO1, ORC6, RAD23B, ILF3, CTCF, STAG1, TFDP1, HIF1A, CHMP1A, KIF5B, HNRNPD, ATRX, SMARCC1, RASAL2, SYNCRIP, SLC7A1"
"10","HALLMARK_APOPTOSIS",0.511865211200759,0.853108685334599,0.302527001231365,0.972943435597252,2156,146,"DPYD, TGFBR3, SC5D, JUN, BTG2, PLPPR4, CYLD, APP, SLC20A1, RHOB, TGFB2, ADD1, GSR, PEA15, ETF1, SOD2, EGR3, CTNNB1, PSEN1, DNAJC3, BAX, RARA, CCND2"
