"","pathway","pval","padj","ES","NES","nMoreExtreme","size","leadingEdge"
"1","HALLMARK_TNFA_SIGNALING_VIA_NFKB",0.147186147186147,0.566100566100566,-0.265965527429046,-1.15783261538982,781,172,"NFKBIA, NR4A2, ABCA1, EIF1, ATP2B1, SMAD3, CSF1, BCL6, NFAT5, CCL2, GFPT2, SPSB1, PLPP3, EGR1, KLF9, TRIB1, DENND5A, VEGFA, SOD2, FJX1, TNIP2, SDC4, FOS, B4GALT5, BCL3, SIK1, PFKFB3, BIRC3, SQSTM1, NFKB1, IFIT2, ICAM1, TSC22D1, ACKR3, SAT1, PDLIM5, SGK1, GADD45A, HES1, EHD1, DUSP5, MAP2K3, PNRC1, JUNB, MAP3K8, IFIH1, DDX58"
"2","HALLMARK_HYPOXIA",0.318598988574639,0.705493115360288,-0.240735251251673,-1.05228715360748,1700,178,"TPST2, HSPA5, AMPD3, CITED2, JMJD6, MIF, KLHL24, PFKP, NCAN, GPI, GPC4, GRHPR, BNIP3L, PLIN2, ETS1, VEGFA, DCN, CSRP2, SDC4, HK1, FOS, ALDOA, GAPDHS, MXI1, PFKFB3, LXN, SCARB1, FOXO3, IDS, PRDX5, GAA, LARGE1, ANGPTL4, ACKR3, ENO2, CAVIN1"
"3","HALLMARK_CHOLESTEROL_HOMEOSTASIS",0.810669253152279,0.927591582948182,-0.220830552732052,-0.832722618086909,4178,68,"TP53INP1, SCD, CYP51A1, GUSB, ACTG1"
"4","HALLMARK_MITOTIC_SPINDLE",0.633096218644702,0.876318151517219,-0.214215087478683,-0.935493764843632,3381,176,"RAB3GAP1, EPB41L2, DOCK4, TUBA4A, CDC42EP4, OPHN1, ARHGAP29, KATNA1, SHROOM2, BCL2L11, ACTN4, RABGAP1, GSN, FARP1, NCK2, MAP1S, PALLD, NUMA1, ATG4B, NF1, WASF1, ROCK1, BRCA2, PCM1, FSCN1, PLEKHG2, ARHGAP5, RASA1, MARK4, PKD2, TAOK2, KIF3B, CNTRL, TLK1, PDLIM5, FGD4, BIN1, SSH2, STAU1, ARHGDIA, ARFIP2, SOS1, HDAC6, CDC42EP2, CLIP1, CYTH2, FGD6"
"5","HALLMARK_WNT_BETA_CATENIN_SIGNALING",0.342471358428805,0.705493115360288,0.314767860730659,1.06852195517487,1673,38,"WNT5B, CTNNB1, LEF1, ADAM17, PPARD, AXIN2, FZD8, WNT6, NUMB, NKD1, SKP2, DVL2, PTCH1, CSNK1E"
"6","HALLMARK_TGF_BETA_SIGNALING",0.776424442609414,0.927591582948182,0.231267206858437,0.837558472981224,3760,53,"BMPR1A, ID2, CTNNB1, XIAP, WWTR1, SKIL, CDK9, SMAD6, SLC20A1, KLF10, APC, SPTBN1, SMAD7, TGFBR1, CDKN1C, HIPK2, PPP1R15A, HDAC1"
"7","HALLMARK_IL6_JAK_STAT3_SIGNALING",0.847179289026275,0.927591582948182,-0.216452219473012,-0.804224050257172,4384,62,"LEPR, PTPN2, CSF1, OSMR, TNFRSF21, TGFB1, IFNGR1, CRLF2, CD38, A2M, STAT1, CNTFR, CBL, MAP3K8, ACVR1B, TNFRSF1B, PDGFC, IL15RA, IFNGR2, HMOX1, HAX1, IL2RA, TYK2, CD9"
"8","HALLMARK_DNA_REPAIR",0.0508701472556894,0.448611642641493,-0.301539954772565,-1.27602581033932,265,141,"MPC2, DDB1, POLR2J, POLR2D, ITPA, AK3, DAD1, POLR2E, SRSF6, POLR2F, ERCC5, ELL, RAD52, SNAPC4, TP53, NUDT9, SNAPC5, RFC5, POM121, PCNA, POLB, DCTN4, ADCY6, SUPT4H1, CMPK2, TSG101, ERCC2, AAAS, DDB2, TAF13, SURF1"
"9","HALLMARK_G2M_CHECKPOINT",0.992804393107366,0.992804393107366,-0.166314663861524,-0.717989722096679,5242,164,"PTTG1, ARID4A, SRSF10, KATNA1, NUP50, HSPA8, SMAD3, SLC7A5, SRSF1, STAG1, NSD2, TLE3, BCL3, ORC5, NUMA1, TGFB1, BRCA2, DBF4, NCL, MEIS1, HIF1A, CDKN3, TFDP1, CUL5, MNAT1, RBL1, E2F4, HUS1, YTHDC1, EFNA5, CUL1, SMC1A, TRA2B, ORC6, SLC12A2, PURA"
"10","HALLMARK_APOPTOSIS",0.0807500956754688,0.448611642641493,-0.293179840298012,-1.23443583379526,421,136,"PPP2R5B, BAX, BCL10, ANKH, AIFM3, DPYD, PLPPR4, MGMT, BCL2L11, DFFA, BNIP3L, GSN, SOD2, DCN, RARA, PEA15, SATB1, CASP3, TIMP3, BIRC3, CREBBP, SQSTM1, ROCK1, IGFBP6, IFNGR1, GSR, FEZ1, ETF1, MMP2, SAT1, ENO2, GSTM1, PSEN1, HSPB1, CD38, BMF, APP, GADD45A"
"11","HALLMARK_NOTCH_SIGNALING",0.447095638568355,0.727441663530297,-0.310196901335037,-1.00322243043854,2285,32,"TCF7L2, WNT5A, DTX4, FZD5, PSENEN, FZD1, FBXW11, HES1, SKP1, MAML2, CUL1, KAT2A"
"12","HALLMARK_ADIPOGENESIS",0.0663908218920444,0.448611642641493,-0.28163657099673,-1.2378458576152,352,187,"CHCHD10, ENPP2, DRAM2, ITIH5, COX8A, NMT1, ATP1B3, ARL4A, ABCA1, BAZ2A, CHUK, APOE, COX6A1, UBC, SSPN, ANGPT1, BCL6, SPARCL1, COL15A1, PLIN2, ACADL, SDHB, MGST3, ACLY, IDH3A, ADCY6, ALDOA, CYC1, IDH1, MRPL15, PFKFB3, RMDN3, NDUFA5, REEP5, SCARB1, EPHX2, NKIRAS1, IFNGR1, ANGPTL4, CAVIN1, MGLL, SOWAHC, IMMT, GADD45A, ACO2, GPD2, DNAJC15, G3BP2, COQ3, PGM1"
"13","HALLMARK_ESTROGEN_RESPONSE_EARLY",0.20596617898537,0.611046959199384,-0.259122060520874,-1.11627483678112,1083,162,"ABAT, RASGRP1, SLC24A3, NPY1R, SYNGR1, SVIL, AKAP1, IGF1R, LRIG1, DHRS3, SLC7A5, ADD3, NAV2, NADSYN1, ABLIM1, NRIP1, FARP1, RARA, SLC39A6, SYBU, DEPTOR, FOS, MYBBP1A, NCOR2, ABCA3, ASB13, FHL2, RHOD, MAPT, ELF1, RAPGEFL1, SCARB1, ABHD2, RBBP8"
