"","pathway","pval","padj","ES","NES","nMoreExtreme","size","leadingEdge"
"1","A tetrasaccharide linker sequence is required for GAG synthesis",0.636100943941437,0.867852494848457,-0.287569570728774,-0.884168439557528,3301,25,"HSPG2, NCAN, GPC4, CSPG5, DCN, SDC4, B3GALT6, B4GALT7, AGRN, XYLT2, B3GAT3"
"2","ABC transporter disorders",0.713577185368878,0.897116346028338,0.22951651653682,0.879618059740937,3452,70,"PSMA1, VCP, PSMB2, PSMD12, PSMA3, PSME1, CFTR, DERL2, PSMD7, PSMC2, DERL1, OS9, ERLIN1, PSMB7, PSMB10, ABCC6, PSMB9, PSMA7, PSME4, ABCD1, UBB, RNF5, PSMD9, PSME3, PSMD14"
"3","ABC transporters in lipid homeostasis",0.441683778234086,0.829910277273776,0.371503777062728,1.00345559783649,2150,15,"ABCA7, ABCG1, ABCA9, PEX3, ABCD1, PEX19"
"4","ABC-family proteins mediated transport",0.412911339341857,0.80371652667306,0.253267099912936,1.01985795086798,1969,93,"PSMA1, VCP, PSMB2, PSMD12, PSMA3, PSME1, ABCA7, ABCG1, CFTR, ABCA9, ABCA4, DERL2, PSMD7, PSMC2, DERL1, OS9, ERLIN1, PSMB7, PSMB10, ABCF1, ABCC6, PSMB9, PEX3, PSMA7, PSME4, ABCD1, PEX19, UBB, RNF5, PSMD9, PSME3, ABCC5, PSMD14"
"5","ADP signalling through P2Y purinoceptor 1",0.00701891206862936,0.456565238390947,-0.602933628917436,-1.72262620046739,35,19,"PLA2G4A, GNB4, P2RY1, GNA11, GNG3, GNG12, GNG7"
"6","ADP signalling through P2Y purinoceptor 12",0.0985970381917381,0.663460226842145,-0.492286528144864,-1.36651212512163,505,17,"GNB4, P2RY12, GNG3, GNG12, GNG7"
"7","APC-Cdc20 mediated degradation of Nek2A",0.740406320541761,0.902675011151512,0.281643644980613,0.811612827794434,3607,19,"CDC26, ANAPC16, ANAPC5, CDC16, UBB, BUB3, ANAPC1, ANAPC7"
"8","APC/C-mediated degradation of cell cycle proteins",0.890543415200155,0.946737884661589,-0.205752231703282,-0.781678761565216,4604,71,"PTTG1, PSMD8, PSMC4, UBC, UBE2E1, ANAPC10, PSMD1, PSMC1"
"9","APC/C:Cdc20 mediated degradation of Cyclin B",0.727720739219712,0.89912536360351,0.292489435092005,0.818739497800208,3543,17,"CDC26, ANAPC16, ANAPC5"
"10","APC/C:Cdc20 mediated degradation of Securin",0.760899050571595,0.906543588373232,-0.228985524526899,-0.847966211925799,3926,61,"PTTG1, PSMD8, PSMC4, UBC, UBE2E1, ANAPC10, PSMD1, PSMC1"
"11","APC/C:Cdc20 mediated degradation of mitotic proteins",0.771688613477924,0.906543588373232,-0.225919052945526,-0.842011688854021,3984,63,"PTTG1, PSMD8, PSMC4, UBC, UBE2E1, ANAPC10, PSMD1, PSMC1"
"12","APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1",0.826684740511232,0.932871629764815,-0.218786960667393,-0.815430021722024,4268,63,"PTTG1, PSMD8, PSMC4, UBC, UBE2E1, ANAPC10, PSMD1, PSMC1"
"13","APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint",0.649159227735105,0.872977666888159,0.241139302500143,0.903158455334867,3126,62,"PSMA1, CDC26, PSMB2, ANAPC16, PSMD12, ANAPC5, PSMA3, PSME1, PSMD7, PSMC2, PSMB7, CDC16, PSMB10, PSMB9, PSMA7, PSME4, UBB, BUB3, PSMD9, PSME3, PSMD14, PSMA4, ANAPC1, ANAPC7"
"14","ATF4 activates genes in response to endoplasmic reticulum  stress",0.262745098039216,0.767765177046455,0.373502290229542,1.14044496535288,1272,24,"CEBPG, NFYC, EXOSC2, EXOSC1, ASNS, CEBPB, DCP2, EXOSC7, NFYA, DIS3, PARN, ATF4, NFYB"
"15","AUF1 (hnRNP D0) binds and destabilizes mRNA",0.770780363778604,0.906543588373232,-0.233777811960067,-0.836634854083532,3940,51,"PSMD8, PSMC4, UBC, HSPA8, PSMD1, PSMC1, PSMB3, PSMC6, PSMB1, HSPB1, PSMA5, RPS27A"
"16","AURKA Activation by TPX2",0.389210417527904,0.80371652667306,0.274977350330132,1.03362838212356,1882,63,"TUBB4B, SDCCAG8, CEP63, ALMS1, CKAP5, CCP110, CEP192, CEP250, PCNT, FGFR1OP, ODF2, HAUS6, HAUS2, YWHAG, CETN2, NDE1, TUBG1"
"17","Abortive elongation of HIV-1 transcript in the absence of Tat",0.105119719680748,0.666292660121552,-0.445160615906074,-1.33861743529214,539,23,"POLR2J, POLR2D, POLR2E, POLR2F, NELFA, GTF2F2, SUPT4H1"
"18","Acetylcholine Neurotransmitter Release Cycle",0.616523772408418,0.865562288809787,-0.332259227473565,-0.893330912635636,3163,15,"RAB3A, SNAP25, PPFIA3, PPFIA2, RIMS1, SYT1"
"19","Activated NOTCH1 Transmits Signal to the Nucleus",0.510365853658537,0.845405069590382,0.301628468459025,0.959239712586314,2510,28,"MIB1, ADAM17, DTX2, CNTN1, NUMB, MIB2, ITCH, APH1A, DNER, UBB, DTX1"
"20","Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins",0.771688613477924,0.906543588373232,-0.225919052945526,-0.842011688854021,3984,63,"PTTG1, PSMD8, PSMC4, UBC, UBE2E1, ANAPC10, PSMD1, PSMC1"
"21","Activation of ATR in response to replication stress",0.79626386456509,0.916151425058269,-0.243785459050557,-0.801990337079696,4091,34,"ORC4, RFC5, ORC5, RAD1, RAD9A, DBF4, ATRIP, HUS1, RPA3, ORC6"
"22","Activation of BH3-only proteins",0.211728275595123,0.750857421015124,-0.384962622698154,-1.1931291473857,1093,26,"YWHAH, YWHAB, BCL2L11, DYNLL1, TP53, YWHAQ, BAD, TFDP1, BMF, AKT1"
"23","Activation of G protein gated Potassium channels",0.255012653299591,0.767765177046455,-0.411314781690478,-1.15960317802401,1309,18,"GNG3, GABBR1, GNG12, GNG7"
"24","Activation of GABAB receptors",0.574936659520561,0.850408133204411,-0.287782846908857,-0.925840001898266,2949,31,"GNG3, GABBR1, GNG12, GNG7, ADCY6, GNAL, ADCY9, GNAI1, KCNJ12"
