"","pathway","pval","padj","ES","NES","nMoreExtreme","size","leadingEdge"
"1","A tetrasaccharide linker sequence is required for GAG synthesis",0.990695871292886,0.995231320969096,0.173419286183721,0.525886472561768,5110,25,"GPC5, DCN, SDC2, BGN, HSPG2, GPC3, NCAN"
"2","ABC transporter disorders",0.406725888324873,0.676988917228144,-0.266428124745334,-1.02359647856764,1922,70,"PSMD4, SEL1L, PSMC3, PSMD8, UBB, PSMC4, PSMB4, PSMD9, PSMA6, PSMD5, PSMC6, ABCA3, PSMB1, PSMC5, PSMA5, RPS27A, PSMB6, PSMD12, ABCD1, PSME3, PSMD6, PSMC1, ABCC8"
"3","ABC transporters in lipid homeostasis",0.706541675157938,0.864684577178848,-0.308182841022924,-0.828564762928771,3466,15,"ABCA6, PEX19, ABCA3, ABCD1, ABCD3"
"4","ABC-family proteins mediated transport",0.130675762097634,0.467948063567935,-0.297619595157405,-1.20419115311689,612,94,"PSMD4, SEL1L, PSMC3, PSMD8, ABCB7, UBB, ABCA6, ABCA4, PSMC4, PSMB4, PSMD9, PSMA6, PSMD5, ABCA8, PEX19, PSMC6, ABCA3, PSMB1, PSMC5, ABCF1, PSMA5, RPS27A, PSMB6, ABCB9, PSMD12, ABCC5, ABCD1, PSME3, PSMD6, PSMC1, ABCD3"
"5","ADP signalling through P2Y purinoceptor 1",0.27558277360727,0.601106954338134,0.411330854944988,1.15029988901652,1394,18,"GNG2, GNB5, MAPK14, GNB1, SRC"
"6","ADP signalling through P2Y purinoceptor 12",0.690754306078004,0.85461937868775,0.311428401053842,0.843273447875732,3488,16,"GNG2, GNB5, GNAI1, GNB1, GNAI2, GNAI3, GNG4"
"7","APC-Cdc20 mediated degradation of Nek2A",0.471717377986522,0.73692253980383,-0.340072714913801,-0.986332492546947,2309,20,"UBE2E1, UBB, UBE2D1, CDC16, ANAPC1, CDC23, RPS27A, ANAPC10, ANAPC2, MAD2L1"
"8","APC/C-mediated degradation of cell cycle proteins",0.0252897787144362,0.300793133420252,-0.37126163390155,-1.43590062190722,119,72,"PTTG1, CUL1, PSMD4, PSMC3, UBE2E1, PSMD8, UBB, UBE2D1, PSMC4, CDK2, CDC16, PSMB4, PSMD9, PSMA6, PSMD5, SKP1, PSMC6, ANAPC1, PSMB1, PSMC5, PSMA5, CDC23, RPS27A, PSMB6, ANAPC10, CDC14A, ANAPC2, PSMD12, MAD2L1, PSME3, PSMD6, PSMC1"
"9","APC/C:Cdc20 mediated degradation of Cyclin B",0.224696356275304,0.582553323569066,-0.422775081236885,-1.1937420442566,1109,18,"UBE2E1, UBB, UBE2D1, CDC16, ANAPC1, CDC23, RPS27A, ANAPC10, ANAPC2"
"10","APC/C:Cdc20 mediated degradation of Securin",0.0116476069462092,0.300793133420252,-0.410914706222404,-1.54498582576189,54,62,"PTTG1, PSMD4, PSMC3, UBE2E1, PSMD8, UBB, UBE2D1, PSMC4, CDC16, PSMB4, PSMD9, PSMA6, PSMD5, PSMC6, ANAPC1, PSMB1, PSMC5, PSMA5, CDC23, RPS27A, PSMB6, ANAPC10, ANAPC2, PSMD12, PSME3, PSMD6, PSMC1"
"11","APC/C:Cdc20 mediated degradation of mitotic proteins",0.0245798319327731,0.300793133420252,-0.382812032265154,-1.44848590477154,116,64,"PTTG1, PSMD4, PSMC3, UBE2E1, PSMD8, UBB, UBE2D1, PSMC4, CDC16, PSMB4, PSMD9, PSMA6, PSMD5, PSMC6, ANAPC1, PSMB1, PSMC5, PSMA5, CDC23, RPS27A, PSMB6, ANAPC10, ANAPC2, PSMD12, MAD2L1, PSME3, PSMD6, PSMC1"
"12","APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1",0.0172268907563025,0.300793133420252,-0.392660524483103,-1.48575067431533,81,64,"PTTG1, PSMD4, PSMC3, UBE2E1, PSMD8, UBB, UBE2D1, PSMC4, CDC16, PSMB4, PSMD9, PSMA6, PSMD5, PSMC6, ANAPC1, PSMB1, PSMC5, PSMA5, CDC23, RPS27A, PSMB6, ANAPC10, ANAPC2, PSMD12, PSME3, PSMD6, PSMC1"
"13","APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint",0.0540426430230103,0.342336852017266,-0.36050665202686,-1.3593387462214,255,63,"PSMD4, PSMC3, UBE2E1, PSMD8, UBB, UBE2D1, PSMC4, CDC16, PSMB4, PSMD9, PSMA6, PSMD5, PSMC6, ANAPC1, PSMB1, PSMC5, PSMA5, CDC23, RPS27A, PSMB6, ANAPC10, ANAPC2, PSMD12, MAD2L1, PSME3, PSMD6, PSMC1"
"14","ATF4 activates genes in response to endoplasmic reticulum  stress",0.053554040895813,0.342336852017266,0.478512401610876,1.4363552512945,274,24,"CEBPB, CEBPG, NFYA, EXOSC8, ATF4, PARN, HERPUD1, EXOSC9, NFYC, CCL2"
"15","AUF1 (hnRNP D0) binds and destabilizes mRNA",0.0461441213653603,0.342336852017266,-0.382731962051218,-1.39492322245113,218,52,"HSPA8, PSMD4, PSMC3, PSMD8, UBB, PSMC4, PSMB4, PSMD9, PSMA6, PSMD5, PSMC6, PSMB1, PSMC5, PSMA5, RPS27A, PSMB6, HSPB1, PSMD12, PSME3, PSMD6, PSMC1"
"16","AURKA Activation by TPX2",0.597348484848485,0.809310682567774,0.251644382655058,0.929149488740848,3153,62,"SFI1, CEP250, FGFR1OP, ALMS1, AKAP9, CEP41, ACTR1A, CLASP1, CENPJ, ODF2, CKAP5, SSNA1, CEP57, CNTRL, CEP192, HAUS6, NEDD1, PCM1, CCP110, PLK4, CSNK1E, CEP164"
"17","Abortive elongation of HIV-1 transcript in the absence of Tat",0.191555097837281,0.539480109238727,-0.404623629220015,-1.21975513207117,929,23,"POLR2C, POLR2F, SUPT5H, GTF2F1, SUPT4H1, POLR2L, POLR2J"
"18","Acetylcholine Neurotransmitter Release Cycle",0.201777418703292,0.553120309491235,-0.447686548950924,-1.2262672062924,998,16,"SNAP25, RAB3A, PPFIA3, CPLX1, RIMS1"
"19","Activated NOTCH1 Transmits Signal to the Nucleus",0.19593417231365,0.543824448663191,0.384482319345509,1.20592216792519,1011,29,"MIB1, NCSTN, DTX4, APH1A, APH1B, UBC, ADAM17, PSEN1"
"20","Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins",0.0245798319327731,0.300793133420252,-0.382812032265154,-1.44848590477154,116,64,"PTTG1, PSMD4, PSMC3, UBE2E1, PSMD8, UBB, UBE2D1, PSMC4, CDC16, PSMB4, PSMD9, PSMA6, PSMD5, PSMC6, ANAPC1, PSMB1, PSMC5, PSMA5, CDC23, RPS27A, PSMB6, ANAPC10, ANAPC2, PSMD12, MAD2L1, PSME3, PSMD6, PSMC1"
"21","Activation of ATR in response to replication stress",0.984378254530306,0.995231320969096,-0.17741258267032,-0.589760571568908,4725,34,"CDK2, ORC2, ORC6, RFC5, MCM2, RPA3, RAD1, RAD9A"
"22","Activation of BH3-only proteins",0.526848409748038,0.776528743063413,-0.306912456257101,-0.953615813818973,2550,26,"PPP3CC, YWHAE, TP53, DYNLL2, AKT2, AKT3, BMF, YWHAB"
"23","Activation of G protein gated Potassium channels",0.985074626865672,0.995231320969096,0.189510129216489,0.52088241161236,4949,17,"GNG2, GNB1, KCNJ10, KCNJ16, GNG4"
"24","Activation of GABAB receptors",0.648794599807136,0.831322799594171,0.27709306484008,0.882731358594483,3363,31,"ADCY1, ADCY9, GNG2, ADCY2, GNAI1, GNB1, GNAI2, GNAI3, KCNJ10, KCNJ16, GNG4"
"25","Activation of HOX genes during differentiation",0.515533165407221,0.76989314129096,-0.269897952777085,-0.964568699554601,2455,47,"POLR2C, POLR2F, KDM6A, H3-3A, RARA, PCGF2, POLR2L, POLR2J, MEIS1, CTCF, RARG, SUZ12, PBX1"
"26","Activation of IRF3/IRF7 mediated by TBK1/IKK epsilon",0.0835478123143932,0.394671836147101,0.517221198883886,1.40051100741396,421,16,"TANK, PTPN11, LY96, UBC, TLR4, CD14"
"27","Activation of Matrix Metalloproteinases",0.786064769381747,0.910680468738876,0.289741366284924,0.772939022993773,4004,15,"TIMP2, MMP16, FURIN, MMP24, MMP15, COL18A1"
"28","Activation of NF-kappaB in B cells",0.00714285714285714,0.300045333851435,-0.418463431569901,-1.58338383123625,33,64,"CUL1, CHUK, PSMD4, PSMC3, BCL10, IKBKB, PSMD8, UBB, IKBKG, PSMC4, RELA, PSMB4, PSMD9, PSMA6, PSMD5, NFKB1, SKP1, PSMC6, PSMB1, PSMC5, PSMA5"
"29","Activation of NMDA receptors and postsynaptic events",0.0420896785109983,0.331928761411132,-0.358955727205205,-1.37908045060985,198,70,"RPS6KA2, APBA1, GRIN2D, ERBB4, GRIA1, CAMK1, PRKAR1A, GRIN2B, CREB1, GRIA2, PRKAB2, GRIN1, HRAS, MAPT, PRKAA2, RPS6KA3, ADCY8, LRRC7, PRKACA, PRKAG1"
"30","Activation of anterior HOX genes in hindbrain development during early embryogenesis",0.515533165407221,0.76989314129096,-0.269897952777085,-0.964568699554601,2455,47,"POLR2C, POLR2F, KDM6A, H3-3A, RARA, PCGF2, POLR2L, POLR2J, MEIS1, CTCF, RARG, SUZ12, PBX1"
"31","Activation of gene expression by SREBF (SREBP)",0.0369372835706041,0.314871634314339,0.42709593885147,1.44529723408387,191,41,"GGPS1, SC5D, HMGCS1, NFYA, SREBF2, NCOA6, TBL1X, NCOA2, SP1, CREBBP, SREBF1, PPARA, NFYC, FASN, DHCR7"
"32","Activation of kainate receptors upon glutamate binding",0.755209347614411,0.891006852115842,0.270296201681586,0.811350693071522,3877,24,"GNG2, GNB5, GRIK2, NCALD, GNB1, GRIK5, CALM1, PLCB1, PLCB3, GNG4, GRIK4"
"33","Activation of the mRNA upon binding of the cap-binding complex and eIFs, and subsequent binding to 43S",0.0577246011754828,0.352571625334673,-0.38353383652605,-1.37068373482131,274,47,"RPS8, EIF3J, RPS5, RPS24, EIF3E, RPS11, RPS14, EIF3H, EIF3F, RPS28, EIF4A1, EIF3C, RPS4X, FAU, EIF3G, RPS27A, EIF3B, RPSA, RPS18, EIF3D"
"34","Activation of the pre-replicative complex",0.523464957618359,0.773779876158424,-0.298452604080612,-0.955167148679727,2531,29,"POLE2, CDK2, POLE4, ORC2, ORC6, MCM2, RPA3, POLE, PRIM2"
"35","Acyl chain remodelling of PC",0.147478400642958,0.486966017707428,-0.467473801131787,-1.30232385604485,733,17,"MBOAT2, PLAAT3, LPCAT1, PLA2G2D, PLA2G12A, PLA2G4E, LPCAT4, PLBD1, PLA2G6"
"36","Acyl chain remodelling of PE",0.31163351416516,0.623880480129857,-0.399489810437452,-1.11292891520323,1550,17,"MBOAT2, PLAAT3, PLA2G2D, PLA2G12A, PLA2G4E, LPCAT4, PLBD1, PLA2G6"
"37","Adherens junctions interactions",0.375051802735184,0.654897433777767,-0.334145673987778,-1.04922566014607,1809,27,"CDH18, CDH11, AFDN, NECTIN2, CTNND1, CDH24, NECTIN1"
"38","Adrenaline,noradrenaline inhibits insulin secretion",0.33411214953271,0.633381772887689,0.369150618800087,1.08701560869369,1715,22,"CACNA1C, GNG2, GNB5, CACNB2, GNAI1, GNB1, GNAI2"
"39","Aggrephagy",0.263426587706759,0.592974728669888,-0.39622047775866,-1.14918108477153,1289,20,"DYNC1I1, ARL13B, UBB, HSF1, DYNLL2, HDAC6, PCNT, RPS27A"
"40","Amine ligand-binding receptors",0.543163981825692,0.787391638318885,-0.303008220098133,-0.941484858342353,2629,26,"CHRM3, HTR2C, HTR1F, HTR1B"
"41","Amino acid transport across the plasma membrane",0.143465634075508,0.486966017707428,0.403842602774334,1.2666453632177,740,29,"SLC7A2, SLC6A20, SLC38A3, SLC1A5, SLC3A2"
"42","Amino acids regulate mTORC1",0.468170320404722,0.732506485925541,-0.274348510661003,-0.988628690842938,2220,49,"ATP6V1F, NPRL3, LAMTOR3, TCIRG1, SESN1, LAMTOR1, ATP6V1G1, RRAGA, SEC13, MTOR, RHEB, ATP6V0E1, WDR59"
"43","Amplification  of signal from unattached  kinetochores via a MAD2  inhibitory signal",0.790971168437026,0.910680468738876,0.220106475484531,0.838218717623384,4169,73,"BUB3, NUP37, PPP2CA, NUP107, PPP1CC, DYNC1LI1, MIS12, RANBP2, CLASP1, NUP160, CLIP1, DYNC1LI2, CKAP5, RANGAP1, CENPO, CLASP2, SKA2, NUP85, SPC24"
"44","Amplification of signal from the kinetochores",0.790971168437026,0.910680468738876,0.220106475484531,0.838218717623384,4169,73,"BUB3, NUP37, PPP2CA, NUP107, PPP1CC, DYNC1LI1, MIS12, RANBP2, CLASP1, NUP160, CLIP1, DYNC1LI2, CKAP5, RANGAP1, CENPO, CLASP2, SKA2, NUP85, SPC24"
"45","Amyloid fiber formation",0.219470046082949,0.57674686528775,0.341693611260818,1.16874604001699,1142,43,"USP9X, NCSTN, SNCA, MFGE8, CST3, GGA1, APH1A, APH1B, APP, UBC"
"46","Anchoring of the basal body to the plasma membrane",0.621930646672915,0.816133506666264,0.234188305169332,0.919484287903718,3317,87,"SFI1, CEP250, SCLT1, FGFR1OP, TCTN1, ALMS1, AKAP9, RAB8A, CEP41, CEP89, ACTR1A, CLASP1, CENPJ, ODF2, CKAP5, SSNA1, CEP57, CNTRL, CEP192, CEP162, HAUS6, NEDD1, PCM1, CCP110, PLK4, CEP83, C2CD3, CSNK1E, CEP164"
"47","Antigen Presentation: Folding, assembly and peptide loading of class I MHC",0.0791759240557463,0.389771323936465,-0.519141837779287,-1.42199182123047,391,16,"CANX, HSPA5, TAPBP, SEC24B, SEC13, CALR, SEC24D, SAR1B, ERAP1"
"48","Antigen activates B Cell Receptor (BCR) leading to generation of second messengers",0.153294573643411,0.487338876346098,0.414295785404364,1.26660174741036,790,26,"STIM1, PIK3R1, ITPR1, ORAI1"
"49","Antigen processing-Cross presentation",0.302734789060844,0.618954287332509,-0.271682276713472,-1.07579686092871,1427,83,"CHUK, PSMD4, PSMC3, IKBKB, PSMD8, UBB, TAPBP, IKBKG, PSMC4, PSMB4, PSMD9, PSMA6, PSMD5, PSMC6, ITGB5, PSMB1, CALR, PSMC5, PSMA5, SEC61A1, RPS27A, PSMB6, NCF2, PSMD12, CD36, CYBA, PSME3, PSMD6, PSMC1"
"50","Antigen processing: Ubiquitination & Proteasome degradation",0.0297372060857538,0.300793133420252,-0.269377581480409,-1.25953120193585,128,278,"FBXO9, CUL1, FBXW8, PSMD4, ELOC, UBAC1, RNF34, UBA1, LRRC41, ASB8, MGRN1, UBE2B, PSMC3, WWP1, UBA5, UBE2E1, PSMD8, RNF19A, UBB, RBBP6, UBE2R2, KLHL42, FBXO4, RBCK1, RNF213, FBXL5, KLHL20, KLHL13, FBXL18, UBE2D1, GAN, PSMC4, LRSAM1, NEDD4L, CDC16, PSMB4, HERC6, PSMD9, UBR4, PSMA6, PSMD5, FBXW4, NEDD4, UBE2A, SKP1, SMURF2, PSMC6, ANAPC1, RNF114, KLHL2, UBOX5, PJA1, UBR2, GLMN, HERC2, TRIM9, CUL3, BLMH, PSMB1"
"51","Antiviral mechanism by IFN-stimulated genes",0.777306468716861,0.908644458258675,-0.218012806405344,-0.846326820288011,3664,74,"JAK1, NUP35, UBE2E1, UBB, TRIM25, PLCG1, NUP214, NUP153, STAT1, NEDD4, SEC13, EIF4A1"
"52","Apoptosis",0.135265700483092,0.477657004830918,-0.266191364219206,-1.16070271024447,615,155,"PPP3CC, NMT1, BCAP31, PSMD4, CASP7, PSMC3, PSMD8, UBB, DAPK1, OMA1, YWHAE, UACA, PSMC4, TP53, PSMB4, PSMD9, PSMA6, PSMD5, DIABLO, UNC5B, MAPT, DYNLL2, AKT2, APAF1, PSMC6, AKT3, APIP, PSMB1, PSMC5, STAT3, PSMA5, GAS2, BMF, OCLN, FNTA, SATB1, TJP2, DSG1, YWHAB"
"53","Apoptotic cleavage of cellular proteins",0.600124766063631,0.809310682567774,-0.270094359058554,-0.915779139881789,2885,37,"BCAP31, CASP7, MAPT, GAS2, OCLN, FNTA, SATB1, TJP2, DSG1"
"54","Apoptotic execution phase",0.815054211843203,0.914157726498907,-0.22989057813939,-0.810826517422743,3908,44,"BCAP31, CASP7, MAPT, GAS2, OCLN, FNTA, SATB1, TJP2, DSG1"
"55","Aquaporin-mediated transport",0.587466359092657,0.808373452873866,0.282020113031123,0.923204964889922,3055,35,"ADCY1, ADCY9, GNG2, GNB5, RAB11FIP2, ADCY2, GNB1"
"56","Arachidonic acid metabolism",0.851851851851852,0.935565154787617,0.230041265374011,0.77047300618341,4438,39,"PRXL2B, CBR1, HPGDS, PTGR2, CYP4F8, PTGDS, PTGS1, MAPKAPK2, CYP2J2, ALOXE3, CYP2U1, PTGES2"
"57","Asparagine N-linked glycosylation",0.182602770838065,0.524596095882237,-0.237474816653029,-1.10361860068808,803,261,"DYNC1I1, COPB2, CNIH2, MGAT3, TRAPPC4, DAD1, CANX, SEC23IP, TUSC3, MAGT1, COG3, GRIA1, TFG, SEL1L, COPZ2, SCFD1, CAPZA2, UBB, COPE, FUT8, AMFR, SEC22A, ACTR10, UGGT1, ST8SIA1, SEC24B, DCTN1, DDOST, LMAN2L, MGAT4B, UGGT2, FCSK, ANK1, COG2, DCTN3, DYNLL2, SEC13, RPN1, PPP6C, ST8SIA3, LMAN2, ARF4, RNF103, ALG2, MPDU1, EDEM3, TRAPPC5"
"58","Assembly Of The HIV Virion",0.0719046657240961,0.377920672450062,-0.524947239255904,-1.43789351286453,355,16,"MVB12B, UBB, MVB12A, TSG101, UBAP1, VPS37B, VPS28, RPS27A, VPS37A"
"59","Assembly and cell surface presentation of NMDA receptors",0.2129763130793,0.569300821713866,-0.396633691622439,-1.1956691255066,1033,23,"APBA1, GRIN2D, GRIN2B, GRIN1, LRRC7"
"60","Assembly of collagen fibrils and other multimeric structures",0.00748991741885923,0.300045333851435,0.481867177085767,1.64092705847476,38,42,"PCOLCE, DST, COL1A2, COL3A1, COL4A2, CTSB, COL4A1, LOXL3, CTSS, COL4A3, COL27A1, COL8A1"
"61","Assembly of the pre-replicative complex",0.0716386554621849,0.377920672450062,-0.348059321754503,-1.31698844104392,340,64,"PSMD4, PSMC3, PSMD8, UBB, PSMC4, PSMB4, PSMD9, PSMA6, PSMD5, PSMC6, ORC2, PSMB1, PSMC5, ORC6, PSMA5, RPS27A, PSMB6, MCM2, PSMD12, PSME3, PSMD6, PSMC1"
"62","Association of TriC/CCT with target proteins during biosynthesis",0.0221248173658944,0.300793133420252,-0.440592475276302,-1.51066185679353,105,39,"KIF13A, DCAF7, USP11, FBXO4, FBXL5, TP53, FBXW4, GAPDHS, CCT3, STAT3, WRAP53, CCT8"
"63","Asymmetric localization of PCP proteins",0.337568826768319,0.635754623747,-0.280934665538926,-1.05627778624179,1593,62,"PSMD4, PSMC3, PSMD8, UBB, PSMC4, PRICKLE1, PSMB4, PSMD9, PSMA6, PSMD5, SMURF2, PSMC6, PSMB1, PSMC5, PSMA5, RPS27A, PSMB6, FZD7, PSMD12, PSME3, PSMD6, PSMC1"
"64","Attenuation phase",0.222493887530562,0.582553323569066,-0.403131458938615,-1.18548047215945,1091,21,"HSP90AB1, HSPA8, HSPH1, UBB, HSPA2, HSF1"
"65","Autodegradation of Cdh1 by Cdh1:APC/C",0.0325306294888044,0.308179408176671,-0.383623208218384,-1.43241496688525,153,59,"PSMD4, PSMC3, UBE2E1, PSMD8, UBB, UBE2D1, PSMC4, CDC16, PSMB4, PSMD9, PSMA6, PSMD5, PSMC6, ANAPC1, PSMB1, PSMC5, PSMA5, CDC23, RPS27A, PSMB6, ANAPC10, ANAPC2, PSMD12, PSME3, PSMD6, PSMC1"
"66","Autodegradation of the E3 ubiquitin ligase COP1",0.0444772344013491,0.340100356287008,-0.388204748940707,-1.39891538612539,210,49,"PSMD4, PSMC3, PSMD8, UBB, PSMC4, TP53, PSMB4, PSMD9, PSMA6, PSMD5, PSMC6, PSMB1, PSMC5, PSMA5, RPS27A, PSMB6, PSMD12, PSME3, PSMD6, PSMC1"
"67","Autophagy",0.0165289256198347,0.300793133420252,-0.338716728196378,-1.41248320945819,77,112,"DYNC1I1, HSP90AB1, MAP1LC3A, TOMM40, HSPA8, ATG101, ATG16L1, ATG4C, MVB12B, LAMTOR3, ARL13B, UBB, TSC1, LAMP2, MVB12A, GABARAP, PRKAB2, LAMTOR1, HSF1, UVRAG, TSG101, PLIN2, ATG5, RRAGA, DYNLL2, PRKAA2, MTOR, UBAP1, RHEB, TOMM22, PRKAG1, GABARAPL1, VPS37B, VPS28, HDAC6, WDR45B, ATG13, PCNT"
"68","Axon guidance",0.522292993630573,0.773176091007704,-0.200013493724024,-0.983054131486732,2213,460,"SEMA3A, RPS8, HSP90AB1, ARPC5, RPS6KA2, DNM3, SEMA6A, HSPA8, PSMD4, SRGAP3, ELOC, PSMC3, KALRN, RPL19, L1CAM, PSMD8, PRKCA, UBB, SH3GL2, SCN1B, PAK5, PSENEN, COL9A2, CAP1, LDB1, RPS5, RPLP1, PFN1, ARPC4, RPS24, RPS11, PLCG1, GRIN2B, TRPC1, PDLIM7, DNM1, SRGAP1, CLTA, RPS14, RPL32, KCNQ2, CREB1, SLIT2, SEMA5A, ZSWIM8, SCN8A, PSMC4, SOS1, PSMB4, USP33, RPL22L1, PSMD9, DNM2, PSMA6, PSMD5, MYH10, GRIN1, ANK1, WASL, HRAS, RPL30, UNC5B, AP2B1, MAP2K1, RPS28, MYO10, RDX, RPS6KA3, PIK3R3, PLXND1, RPL8, EPHA5, PSMC6, PRKACA, KCNQ3, PLXNA1, SCN1A, PLXNB3, CACNA1G, LYN, RPS4X, EPHA10, PSMB1, ETF1, FAU, NTN4, PSMC5, AP2M1, MSN, ABLIM3, CACNA1D, VAV2, PSMA5"
"69","B-WICH complex positively regulates rRNA expression",0.46748645268862,0.732506485925541,-0.301428797706138,-0.986638316825225,2242,32,"POLR1C, TAF1B, POLR2F, SF3B1, H3-3A"
"70","BBSome-mediated cargo-targeting to cilium",0.602080879466038,0.809310682567774,0.312452446890603,0.906501078081941,3066,21,"LZTFL1, BBS4, BBS2"
"71","BMAL1:CLOCK,NPAS2 activates circadian gene expression",0.357821283194418,0.646696676181579,0.352355765644421,1.06850359472267,1845,25,"NPAS2, BHLHE41, NCOA6, TBL1X, NCOA2, CREBBP, PPARA, CLOCK, NOCT"
"72","Base Excision Repair",0.322836287799791,0.627771519488313,-0.307825941591659,-1.07490288750677,1547,42,"POLB, TERF2IP, POLE2, POT1, POLE4, TINF2, NTHL1, MPG, RFC5, RPA3, LIG3, POLE"
"73","Base-Excision Repair, AP Site Formation",0.251868309432438,0.591570602061869,-0.427686787470243,-1.17148545844918,1246,16,"TERF2IP, POT1, TINF2, NTHL1"
"74","Basigin interactions",0.809494451294698,0.914157726498907,-0.260610317729357,-0.774725271019313,3938,22,"ATP1B3, L1CAM, ATP1B2, MAG"
"75","Beta-catenin independent WNT signaling",0.838138925294889,0.929606777938923,-0.199047434519021,-0.852970526449139,3836,136,"WNT4, PSMD4, ROR2, PSMC3, PSMD8, PRKCA, UBB, PFN1, CLTA, PSMC4, DVL1, PRICKLE1, GNG12, PSMB4, PSMD9, PRKCG, PSMA6, PSMD5, LEF1, AP2B1, SMURF2, PSMC6, GNG11, PSMB1, PSMC5, AP2M1, PSMA5, PRKG2, GNG7"
"76","Beta-catenin phosphorylation cascade",0.0620855937311634,0.360805993283389,-0.520806919115379,-1.45090328808816,308,17,"AMER1, PPP2R1A, AXIN1, PPP2R5E, PPP2R5A, CSNK1A1"
"77","Bile acid and bile salt metabolism",0.417716611746463,0.689639276211286,0.337410246827685,1.02318195637379,2154,25,"OSBPL9, NCOA2, OSBPL2, OSBPL6, ACOT8, NR1H4, CYP27A1, CYP7B1, HSD17B4, SLC10A1, ACOX2, CYP39A1, OSBPL3, OSBP, CYP46A1, AMACR, ABCC3"
"78","Binding and Uptake of Ligands by Scavenger Receptors",0.234405269275475,0.58853906453795,0.376503446219847,1.17167286751423,1209,28,"COL1A2, COL3A1, COL4A2, COL4A1, HBA1, COLEC12, SCARA5"
"79","Biological oxidations",0.0299569369032016,0.300793133420252,0.329025590896235,1.35370261509774,159,122,"CYP26B1, TPST1, ABHD10, AKR1A1, ESD, NQO2, SULT1A4, SULT1A1, SULT1A2, SULT1A3, FMO1, HPGDS, NCOA2, CHAC2, SMOX, SLC35B3, BPHL, GSTT2, GSTT2B, GSTM3, PAPSS1, CYP4F8, UGDH, MAOA, MAOB, ADH1A, ADH1C, ADH1B, ACSS2, TPMT, ARNT2, GCLC, SLC26A2, CMBL, PTGS1, ARNT, NR1H4, CYP27A1, GSTA5, CYP2J2, CYP2R1, AS3MT, AKR7L, CYB5B"
