"","pathway","pval","padj","ES","NES","nMoreExtreme","size","leadingEdge"
"1","HALLMARK_TNFA_SIGNALING_VIA_NFKB",0.146489104116223,0.406914178100619,-0.339393593661113,-1.16949972215628,1209,177,"PDE4B, VEGFA, B4GALT5, LDLR, PTPRE, NFAT5, NR4A1, GFPT2, ATP2B1, TUBB2A, ACKR3, TNFAIP6, RELA, TSC22D1, REL, TANK, BIRC2, RELB, LITAF, NR4A3, IER2, PPP1R15A, SNN, HES1, SMAD3, MCL1, PFKFB3, TNIP1, PDLIM5, PLK2, SIK1, NINJ1, SLC16A6, IL18, CFLAR, NFKB1, IL6ST, BHLHE40, IL15RA, KLF6, NFE2L2"
"2","HALLMARK_HYPOXIA",0.855354993983153,0.950394437759059,-0.241644830179581,-0.83805875093991,7107,190,"VEGFA, PPFIA4, HK1, GPI, EGFR, ENO2, P4HA1, KLHL24, ETS1, GAA, PFKP, VLDLR, RORA, FOXO3, WSB1, NEDD4L, FAM162A, P4HA2, PDK3, ACKR3, SIAH2, EXT1, GPC1, NDST1, PPP1R15A, NDRG1, BCAN, PFKFB3, GPC4, PFKL, NOCT, RBPJ, SCARB1, AK4, PPARGC1A, CCNG2"
"3","HALLMARK_CHOLESTEROL_HOMEOSTASIS",0.00013607293509321,0.0068036467546605,-0.621376970806755,-1.91593236242851,0,72,"PCYT2, CYP51A1, HMGCR, GNAI1, SREBF2, LDLR, ACSS2, CPEB2, SCD, FDFT1, SC5D, CD9, ATF5, ABCA2, CTNNB1, IDI1, PDK3, ATXN2, HMGCS1, SQLE, TM7SF2, GUSB, DHCR7, ACTG1"
"4","HALLMARK_MITOTIC_SPINDLE",0.315707434052758,0.56376327509421,-0.306409011827856,-1.06499389415741,2632,194,"KIF5B, KIF3C, BCAR1, ARFGEF1, EPB41L2, BCR, TIAM1, ANLN, BIN1, ARHGEF7, KIF1B, CLIP1, STK38L, DST, MYO9B, PCM1, SPTBN1, RASAL2, ABL1, STAU1, DYNC1H1, CTTN, TUBA4A, LRPPRC, CEP57, PCGF5, TLK1, RHOF, NEDD9, KLC1, HDAC6, APC, NF1, VCL, ITSN1, ATG4B, SMC3, HOOK3, ARHGAP5, PDLIM5, SHROOM2, CD2AP, RASA2, RANBP9, RAB3GAP1, CLASP1, SSH2, NCK1, WASL, FLNB, ARHGAP4, TSC1, SAC3D1"
"5","HALLMARK_WNT_BETA_CATENIN_SIGNALING",0.00569675723049956,0.0474729769208297,-0.581839355400477,-1.62942484901458,38,39,"GNAI1, NCOR2, HDAC5, WNT5B, TP53, CTNNB1, JAG2, DVL2, MAML1, KAT2A, HDAC11, AXIN1, PPARD, CUL1, RBPJ"
"6","HALLMARK_TGF_BETA_SIGNALING",0.08248730964467,0.260511054729975,-0.446063048627264,-1.31968011495395,584,54,"NCOR2, SMURF2, SPTBN1, ACVR1, CTNNB1, FKBP1A, RHOA, BMPR2, SMURF1, SMAD7, APC, PPP1R15A, MAP3K7, SKI, SMAD3, ID3, TRIM33, CDK9, FURIN, SKIL, SLC20A1, WWTR1"
"7","HALLMARK_IL6_JAK_STAT3_SIGNALING",0.296515631455722,0.552860939213172,-0.360683155381419,-1.0992997477208,2152,66,"STAT3, PTPN1, PTPN11, CD9, TNFRSF21, STAM2"
"8","HALLMARK_DNA_REPAIR",0.399874921826141,0.648349563932957,-0.30580666450394,-1.03064939598717,3196,145,"PDE4B, DCTN4, SEC61A1, GTF2B, TP53, UPF3B, RAE1, NFX1, GTF2H1, LIG1, EIF1B, VPS37D, NELFB, TAF6, TSG101, ERCC5, DDB1, REV3L, ZNRD1, RNMT, SNAPC4, POLR2F, POLB, RBX1, ERCC2, TMED2, ELL, SUPT4H1, NUDT9, XPC, DUT, COX17, ADRM1, VPS37B, NT5C, SSRP1, POLR2J, SAC3D1, ERCC8, ADCY6, GMPR2, GTF2H3, RRM2B, CSTF3, DGCR8, NUDT21"
"9","HALLMARK_G2M_CHECKPOINT",0.0833635375135919,0.260511054729975,-0.353257145807312,-1.22278819623839,689,188,"PTTG1, XPO1, KIF5B, NUP98, PRPF4B, ATRX, MAPK14, GSPT1, SLC12A2, KPNB1, SYNCRIP, RASAL2, TOP1, HNRNPU, CHMP1A, ATF5, HSPA8, EWSR1, ABL1, UCK2, FOXN3, SLC38A1, PDS5B, RPS6KA5, SQLE, NCL, HNRNPD, PRIM2, TRA2B, SLC7A1, SMAD3, TFDP1, PLK4, CCNT1, CUL1, BUB3, ORC5, E2F3, G3BP1, ORC6, HIRA"
"10","HALLMARK_APOPTOSIS",0.401976729638434,0.648349563932957,-0.306223124282122,-1.03101406383988,3212,143,"MADD, APP, ENO2, SC5D, TIMP2, CTNNB1, VDAC2, CREBBP, RELA, NEDD9, DNAJC3, PTK2, SMAD7, BCL10, IGF2R, MCL1, CYLD, ANKH, TGFBR3, GSR, CASP3, RNASEL, DPYD, IL18, CFLAR, CCNA1, SLC20A1, TIMP3, BID, CDC25B, BNIP3L"
"11","HALLMARK_NOTCH_SIGNALING",0.508048743794193,0.670336516909424,-0.362037821813964,-0.973899933464297,3376,32,"KAT2A, PSENEN, APH1A, ST3GAL6, HES1, PPARD, RBX1, CUL1, DTX2, WNT5A, DTX4, SKP1, NOTCH3"
"12","HALLMARK_ADIPOGENESIS",0.241002879078695,0.502089331413948,-0.318177802470468,-1.1053004571184,2008,193,"ADIPOR2, YWHAG, SPARCL1, CHUK, REEP5, POR, NKIRAS1, MGLL, MAP4K3, G3BP2, GPAT4, APLP2, ATP1B3, PREB, TKT, ELOVL6, MIGA2, PPM1B, TOB1, RTN3, RAB34, COQ5, CS, TANK, ATL2, PTGER3, NDUFAB1, COX6A1, FAH, ITSN1, DHCR7, QDPR, PFKFB3, AIFM1, VEGFB, DGAT1, PFKL, ACADL, SLC5A6, IDH3A, MDH2, RMDN3, SCARB1, GHITM, SAMM50, DNAJC15, CCNG2, AGPAT3, MTCH2, LPCAT3, GBE1, ACO2, SDHB, JAGN1"
"13","HALLMARK_ESTROGEN_RESPONSE_EARLY",0.615087507543754,0.747529087951958,-0.272157360050833,-0.939783805687271,5095,181,"NCOR2, TIAM1, ARL3, ADCY9, FDFT1, NRIP1, JAK2, ABCA3, DEPTOR, TOB1, TBC1D30, ABLIM1, MED13L, SH3BP5, ADCY1, SIAH2, ENDOD1, RRP12, ELOVL5, ABHD2, RETREG1, UNC119, OLFM1, HES1, DHCR7, KAZN, INPP5F, SLC1A1, IGF1R, SCARB1, ITPK1, SLC39A6, DHRS3, SYT12, REEP1, UGCG, FLNB, TPD52L1, IL6ST, FKBP4, ABAT, BHLHE40, SLC19A2"
"14","HALLMARK_ESTROGEN_RESPONSE_LATE",0.265715667311412,0.531431334622824,-0.316218339433371,-1.09275378597453,2197,184,"NCOR2, LTF, TIAM1, ARL3, FDFT1, RABEP1, NRIP1, JAK2, MEST, CACNA2D2, ABCA3, CD9, TOB1, ASS1, JAK1, SIAH2, CA2, HSPA4L, ALDH3A2, ELOVL5, PTGER3, ABHD2, IDH2, PRLR, OLFM1, DHCR7, PLK4, TSPAN13, MDK, SCARB1, ITPK1, TSTA3, GALE, FLNB, TPD52L1, IL6ST, CCNA1, FKBP4"
"15","HALLMARK_ANDROGEN_RESPONSE",0.00397298371076679,0.0474729769208297,-0.478525010198435,-1.5264345635662,29,91,"HMGCR, ARID5B, SLC38A2, UBE2J1, SCD, VAPA, MAF, ZMIZ1, CAMKK2, ACSL3, IDI1, TSC22D1, ACTN1, XRCC6, HMGCS1, DHCR24, RRP12, ELOVL5, UAP1, ELL2, ABHD2, APPBP2, PIAS1, FADS1, NDRG1, SPCS3, GNAI3, ANKH, GSR, SPDEF, PDLIM5, SEC24D, ADRM1, AKT1, AKAP12"
"16","HALLMARK_MYOGENESIS",0.074212622179317,0.260511054729975,-0.358063029150824,-1.23687620766865,614,182,"GNAO1, COL4A2, PPFIA4, RB1, ADCY9, AGRN, SCD, BIN1, APP, HDAC5, MEF2D, KLF5, GAA, CAMK2B, ABLIM1, PVALB, FLII, NOS1, MEF2C, IFRD1, CDH13, RIT1, KCNH1, CACNA1H, EIF4A2, NCAM1, MYO1C, TSC2, SPDEF"
"17","HALLMARK_PROTEIN_SECRETION",0.079582948396463,0.260511054729975,-0.399801115551021,-1.27885881931758,602,93,"AP2B1, ARFGEF1, EGFR, KIF1B, ARFGEF2, SGMS1, GNAS, SCAMP1, DST, RAB2A, NAPA, SEC31A, ICA1, RAB14, DOP1A, AP1G1, CLCN3, VPS45, TSG101, COPB1, RER1, ARF1, RAB22A, GOLGA4, IGF2R, ZW10, TMX1, COG2, TMED2, CLTC, MAPK1, SEC24D, NAPG, BNIP3, SH3GL2, AP2M1, ARCN1, GALC"
"18","HALLMARK_INTERFERON_ALPHA_RESPONSE",0.201042641358107,0.46408971605822,-0.368632373911645,-1.1588797690998,1503,82,"TRAFD1, CD47, PSMA3, SLC25A28, TRIM26, ADAR, TDRD7, TENT5A"
"19","HALLMARK_INTERFERON_GAMMA_RESPONSE",0.00220913107511046,0.0474729769208297,-0.435210502883777,-1.48673512694627,17,164,"PDE4B, STAT3, ARID5B, TRAFD1, AUTS2, PELI1, JAK2, PSMA3, PTPN1, SLC25A28, TRIM26, MTHFD2, ADAR, TDRD7, PFKP, SPPL2A, NCOA3"
