"","pathway","pval","padj","ES","NES","nMoreExtreme","size","leadingEdge"
"1","A tetrasaccharide linker sequence is required for GAG synthesis",0.357307249712313,0.630938149628521,0.377203848029516,1.06077232777147,1241,25,"B3GAT2, XYLT1, GPC5, SDC2, GPC3, DCN, B3GAT3, NCAN"
"2","ABC transporter disorders",0.158017894012388,0.45739774185748,-0.388101525300391,-1.20538509029294,1147,73,"PSMB1, PSMA3, ABCA3, PSMA1, PSME4, PSMB4, PSMC6, PSMF1, PSMD14, PSMD4, PSMD12, PSMD2, ABCB4, PSMA7, OS9, ABCC8, PSMD7, RNF185, PSME3, SEL1L, CFTR, DERL2, PSMC4, PSMB6, ABCD4, PSMA4, PSMD9, PSMA6"
"3","ABC transporters in lipid homeostasis",0.479199745951096,0.732889283508813,-0.420829748007417,-0.992577086576337,3017,17,"ABCA3, ABCA2, ABCA7, ABCG4, PEX3, ABCD3, ABCA6"
"4","ABC-family proteins mediated transport",0.220598006644518,0.519509431994678,-0.354579338376058,-1.14326960073171,1659,97,"PSMB1, PSMA3, ABCA3, PSMA1, ABCA2, PSME4, PSMB4, ABCA7, PSMC6, PSMF1, PSMD14, ABCB5, PSMD4, PSMD12, ABCG4, PEX3, ABCA8, PSMD2, ABCB4, PSMA7, OS9, ABCD3, PSMD7, ABCC5, RNF185, PSME3, SEL1L, CFTR, DERL2, ABCA6, PSMC4, PSMB6, ABCC4, PSMA4"
"5","ADP signalling through P2Y purinoceptor 1",0.265360501567398,0.548650766754215,-0.470040988217339,-1.15996386833956,1692,21,"MAPK14, GNB1, GNG2, GNG7, GNG3, GNA14, GNG11"
"6","ADP signalling through P2Y purinoceptor 12",0.291850220264317,0.579910177927799,-0.470478049926494,-1.13677682964888,1854,19,"GNAI1, GNB1, GNG2, GNG7, GNAI3, GNG3, GNG11"
"7","APC-Cdc20 mediated degradation of Nek2A",0.829207920792079,0.924967115859551,-0.298555883578684,-0.754483038381456,5359,23,"ANAPC10, UBE2D1, ANAPC5, ANAPC2, BUB3"
"8","APC/C-mediated degradation of cell cycle proteins",0.155379574003277,0.455403566185466,-0.385099696698808,-1.20599213031892,1137,78,"PTTG1, PSMB1, ANAPC10, PSMA3, PSMA1, PSME4, UBE2D1, PSMB4, PSMC6, PSMF1, ANAPC5, PSMD14, PSMD4, PSMD12, ANAPC2, PSMD2, PSMA7, CUL1, BUB3, PSMD7, PSME3, CCNA1, PSMC4, PSMB6, FZR1, PSMA4, SKP1, PSMD9, PSMA6"
"9","APC/C:Cdc20 mediated degradation of Cyclin B",0.684980673660961,0.836883037993324,0.314614190155161,0.848361694309801,2480,21,"ANAPC4, UBB, UBC, UBE2E1, CDC27, CDC23"
"10","APC/C:Cdc20 mediated degradation of Securin",0.107713884992987,0.406938746798571,-0.418927086703321,-1.26759334875329,767,62,"PTTG1, PSMB1, ANAPC10, PSMA3, PSMA1, PSME4, UBE2D1, PSMB4, PSMC6, PSMF1, ANAPC5, PSMD14, PSMD4, PSMD12, ANAPC2, PSMD2, PSMA7"
"11","APC/C:Cdc20 mediated degradation of mitotic proteins",0.106751698322473,0.406938746798571,-0.410928860461298,-1.26233905372788,769,68,"PTTG1, PSMB1, ANAPC10, PSMA3, PSMA1, PSME4, UBE2D1, PSMB4, PSMC6, PSMF1, ANAPC5, PSMD14, PSMD4, PSMD12, ANAPC2, PSMD2, PSMA7, BUB3, PSMD7, PSME3"
"12","APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1",0.166296193387052,0.471186980928264,-0.392748285631521,-1.20215912456996,1196,66,"PTTG1, PSMB1, ANAPC10, PSMA3, PSMA1, PSME4, UBE2D1, PSMB4, PSMC6, PSMF1, ANAPC5, PSMD14, PSMD4, PSMD12, ANAPC2, PSMD2, PSMA7"
"13","APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint",0.222561822728536,0.519509431994678,-0.377072827295033,-1.15417827790445,1601,66,"PSMB1, ANAPC10, PSMA3, PSMA1, PSME4, UBE2D1, PSMB4, PSMC6, PSMF1, ANAPC5, PSMD14, PSMD4, PSMD12, ANAPC2, PSMD2, PSMA7, BUB3, PSMD7, PSME3, CCNA1, PSMC4, PSMB6"
