"","pathway","pval","padj","ES","NES","nMoreExtreme","size","leadingEdge"
"1","HALLMARK_TNFA_SIGNALING_VIA_NFKB",0.31476846057572,0.536223036223036,0.9636083570707,2.16255649264067,1005,177,"IL12B, ABCA1"
"2","HALLMARK_HYPOXIA",0.246368390470657,0.536223036223036,-0.997814488654625,-1.30069662111973,1695,190,"VEGFA"
"3","HALLMARK_CHOLESTEROL_HOMEOSTASIS",0.269602032176122,0.536223036223036,-0.997065390749601,-1.92216156252345,1591,72,"HMGCR, PCYT2, CYP51A1"
"4","HALLMARK_MITOTIC_SPINDLE",0.0294972391746585,0.222015575961874,-0.999678518613772,-1.29280234020722,202,194,"KIF1B"
"5","HALLMARK_WNT_BETA_CATENIN_SIGNALING",0.277828054298643,0.536223036223036,-0.995607333842628,-2.54782359252763,1534,39,"NCOR2"
"6","HALLMARK_TGF_BETA_SIGNALING",0.353168334210988,0.540853853533738,-0.995603135155802,-2.2015339154449,2011,54,"NCOR2"
"7","HALLMARK_IL6_JAK_STAT3_SIGNALING",0.0564322469982847,0.313512483323804,-0.999298514125375,-2.01210476288421,328,66,"STAT3"
"8","HALLMARK_DNA_REPAIR",0.30478933010003,0.536223036223036,-0.997372131777977,-1.41242648406548,2010,145,"PDE4B"
"9","HALLMARK_G2M_CHECKPOINT",0.0065302568567697,0.090982071180091,-0.999935728517257,-1.30779933253794,44,188,"PTTG1"
"10","HALLMARK_APOPTOSIS",0.375661375661376,0.540853853533738,0.199216894359166,0.50267330451848,1277,143,"ADD1, AIFM3, ANKH, ANXA1, APP, ATF3, AVPR1A, BAX, BCAP31, BCL10, BCL2L1, BCL2L11, BGN, BID, BIRC3, BMF, BMP2, BNIP3L, BRCA1, BTG2, BTG3, CASP1, CASP2, CASP3, CASP6, CASP7, CASP8, CASP9, CAV1, CCNA1, CCND1, CCND2, CD14, CD38, CD44, CDC25B, CDK2, CDKN1A, CDKN1B, CFLAR, CLU, CREBBP, CTH, CTNNB1, CYLD, DAP3, DCN, DDIT3, DFFA, DIABLO, DNAJC3, DNM1L, DPYD, EBP, EGR3, EMP1, ENO2, ERBB3, EREG, ETF1, F2, F2R, FAS, FASLG, FEZ1, GADD45A, GADD45B, GCH1, GNA15, GPX1, GPX3, GPX4, GSN, GSR, GUCY2D, HGF, HMGB2, HMOX1, HSPB1, IER3, IFITM3, IFNGR1, IGF2R, IGFBP6, IL18, IL1A, IRF1, ISG20, JUN"
"11","HALLMARK_NOTCH_SIGNALING",0.832038475767666,0.832038475767666,-0.112104279350939,-0.307219672874521,4497,32,"WNT5A, WNT2, TCF7L2, ST3GAL6, SKP1, SAP30, RBX1, PSENEN, PSEN2, PRKCA, PPARD, NOTCH3, NOTCH2, NOTCH1, MAML2, LFNG, KAT2A, JAG1, HEYL, HES1, FZD7, FZD5, FZD1, FBXW11, DTX4, DTX2, DTX1, DLL1, CUL1"
"12","HALLMARK_ADIPOGENESIS",0.312439729990357,0.536223036223036,0.986128498444175,2.094455947142,971,193,"GPHN, APOE, ABCA1"
"13","HALLMARK_ESTROGEN_RESPONSE_EARLY",0.395590551181102,0.540853853533738,0.665443562767067,1.47590211505428,1255,181,"SYBU, ABAT"
"14","HALLMARK_ESTROGEN_RESPONSE_LATE",0.626222806249087,0.682058490195706,-0.99556640750498,-1.30698378477684,4288,184,"NCOR2"
"15","HALLMARK_ANDROGEN_RESPONSE",0.17169563791407,0.536223036223036,-0.998275421563618,-1.70870716192486,1046,91,"HMGCR"
"16","HALLMARK_MYOGENESIS",0.735645584377732,0.766297483726805,-0.677181770637845,-0.894922372099923,5047,182,"ABLIM1"
"17","HALLMARK_PROTEIN_SECRETION",0.0310821806346623,0.222015575961874,-0.999680592819727,-1.70012637451864,190,93,"KIF1B"
"18","HALLMARK_INTERFERON_ALPHA_RESPONSE",0.586739780658026,0.666749750747757,-0.125709014191961,-0.226045419252895,3530,82,"USP18, UBE2L6, TXNIP, TRIM5, TRIM26, TRIM25, TRIM14, TRAFD1, TMEM140, TENT5A, TDRD7, TAP1, STAT2, SP110, SLC25A28, SAMD9L, RTP4, RSAD2, RNF31, RIPK2, PSME2, PSME1, PSMB8, PSMA3, PROCR, PNPT1, PLSCR1, PARP9, PARP14, PARP12, OGFR, OASL, NUB1, NMI, NCOA7, MX1, MVB12A, MOV10, LY6E, LPAR6, LGALS3BP, LAP3, ISG20, ISG15, IRF9, IRF7, IRF2, IRF1, IL7, IL4R, IL15, IFITM2, IFITM3, IFITM1, IFIT3, IFIT2, IFIH1, IFI44, IFI35, HERC6, HELZ2"
"19","HALLMARK_INTERFERON_GAMMA_RESPONSE",0.299850968703428,0.536223036223036,-0.997433100173266,-1.35674311746075,2011,164,"STAT3, PDE4B"
"20","HALLMARK_APICAL_JUNCTION",0.62749381098005,0.682058490195706,-0.995565837671101,-1.30231546534751,4308,186,"CADM2, NFASC, TIAL1"
"21","HALLMARK_APICAL_SURFACE",0.286868686868687,0.536223036223036,0.166836442350544,0.758523949950686,1277,40,"ADAM10, ADIPOR2, AFAP1L2, AKAP7, APP, ATP6V0A4, ATP8B1, B4GALT1, BRCA1, CD160, CROCC, CRYBG1, CX3CL1, DCBLD2, EFNA5, EPHB4, FLOT2, GAS1, GATA3, GHRL"
"22","HALLMARK_HEDGEHOG_SIGNALING",0.12750321513871,0.536223036223036,-0.997836048879837,-2.65523504145475,693,35,"VEGFA"
"23","HALLMARK_COMPLEMENT",0.417396556931441,0.540853853533738,0.143894863442506,0.339181807922568,1381,161,"ACTN2, ADAM9, AKAP10, ANXA5, ATOX1, BRPF3, C1QA, C1QC, C1R, C1S, C2, C9, CALM1, CALM3, CA2, CASP1, CASP3, CASP7, CASP9, CBLB, CCL5, CD36, CD46, CD55, CD59, CDA, CDH13, CDK5R1, CEBPB, CLU, COL4A2, CP, CPM, CPQ, CR1, CR2, CSRP1, CTSB, CTSC, CTSD, CTSH, CTSO, CTSS, DGKG, DGKH, DOCK10, DOCK4, DOCK9, DPP4, DUSP5, DUSP6, DYRK2, EHD1, F2, F3, F5, F8, FCER1G, FCN1, FDX1, FN1, FYN, GATA3, GCA, GMFB, GNAI2, GNAI3, GNB4, GNG2, GNGT2, GPD2, GRB2, GZMA, GZMK, HNF4A, HPCAL4, HSPA1A, HSPA5, IRF1, IRF2, IRF7, JAK2, KCNIP2, KCNIP3, KIF2A, KLKB1, KYNU, L3MBTL4, LAMP2, LAP3, LCK, LCP2, LGALS3, LGMN, LIPA, LRP1, LTA4H, LTF, LYN, MAFF"
"24","HALLMARK_UNFOLDED_PROTEIN_RESPONSE",0.229798786330246,0.536223036223036,-0.997826364914973,-1.60254495137861,1438,105,"VEGFA"
"25","HALLMARK_PI3K_AKT_MTOR_SIGNALING",0.52324973876698,0.608429928798814,0.093059149575107,0.310822656784028,2002,96,"ACACA, ACTR2, ACTR3, ADCY2, AKT1, AKT1S1, AP2M1, ARF1, ARHGDIA, ARPC3, ATF1, CAB39, CAB39L, CALR, CAMK4, CDK2, CDK4, CDKN1A, CDKN1B, CFL1, CLTC, CSNK2B, CXCR4, DAPP1, DDIT3, E2F1, ECSIT, EGFR, EIF4E, FASLG, FGF17, FGF22, GNA14, GRB2, GRK2, GSK3B, HRAS, HSP90B1, IL4, ITPR2, LCK, MAP2K3, MAP2K6, MAP3K7, MAPK1, MAPK10, MAPK8, MAPK9, MAPKAP1, MKNK1, MKNK2, NCK1, NFKBIB, NGF, NOD1, PDK1, PFN1, PIK3R3, PIKFYVE, PIN1, PLA2G12A, PLCB1, PLCG1, PPP1CA, PPP2R1B, PRKAA2, PRKAG1, PRKAR2A, PRKCB, PTEN, PTPN11, RAC1, RAF1, RALB, RIPK1, RIT1, RPS6KA1, RPS6KA3, RPTOR"
"26","HALLMARK_MTORC1_SIGNALING",0.463248111563045,0.564936721418347,-0.996400334254676,-1.29885320646634,3188,190,"HMGCR, CYP51A1, HSPA4"
"27","HALLMARK_E2F_TARGETS",0.00642429551759381,0.090982071180091,-0.999935745036304,-1.31271986954287,43,184,"PTTG1"
"28","HALLMARK_MYC_TARGETS_V1",0.793706807822379,0.809904905941203,-0.091326141002601,-0.120611535434186,5397,179,"YWHAQ, YWHAE, XRCC6, XPOT, XPO1, VDAC3, VDAC1, VBP1, USP1, UBE2E1, UBA2, U2AF1, TYMS, TXNL4A, TUFM, TRIM28, TRA2B, TOMM70, TFDP1, TCP1, TARDBP, SYNCRIP, STARD7, SSBP1, SSB, SRSF7, SRSF3, SRSF2, SRSF1, SRPK1, SRM, SNRPG, SNRPD3, SNRPD2, SNRPD1, SNRPB2, SNRPA1, SNRPA, SMARCC1, SLC25A3, SF3B3, SF3A1, SET, SERBP1, RUVBL2, RSL1D1, RRP9, RRM1, RPS5, RPL34, RPL18, RPL14, RNPS1, RFC4, RANBP1, RAD23B, RACK1, PWP1, PTGES3, PSMD8, PSMD7, PSMD3, PSMD14, PSMD1, PSMC6, PSMC4, PSMB3, PSMB2, PSMA7, PSMA6, PSMA4, PSMA1, PRPS2, PRPF31, PRDX4, PRDX3, PPM1G, PPIA, POLE3, POLD2"
"29","HALLMARK_MYC_TARGETS_V2",0.407934000351062,0.540853853533738,-0.188459822850953,-0.416733010428078,2323,54,"WDR74, WDR43, UTP20, UNG, TMEM97, TFB2M, TCOF1, TBRG4, SUPV3L1, SRM, SORD, SLC29A2, SLC19A1, RRP9, RRP12, RCL1, RABEPK, PUS1, PRMT3, PPRC1, PPAN, PLK4, PLK1, PHB, PES1, PA2G4, NOP56, NOLC1, NOC4L, NIP7, NDUFAF4, MYC, MYBBP1A, MRTO4, MPHOSPH10, MCM5, MCM4, MAP3K6, LAS1L, IPO4, IMP4, HSPD1, HK2, GRWD1, GNL3"
"30","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",0.432683082826991,0.540853853533738,0.578308149796048,1.25781209619103,1352,187,"MGP, ABI3BP"
"31","HALLMARK_INFLAMMATORY_RESPONSE",0.321733821733822,0.536223036223036,0.911843819188257,2.11094373194756,1053,169,"IL12B, ABCA1"
"32","HALLMARK_XENOBIOTIC_METABOLISM",0.278810408921933,0.536223036223036,0.998715643462625,2.26389329762202,899,175,"APOE, ABCC2"
