"","pathway","pval","padj","ES","NES","nMoreExtreme","size","leadingEdge"
"1","HALLMARK_TNFA_SIGNALING_VIA_NFKB",0.409412404787813,0.818824809575626,0.263098975622193,1.01336787425809,1504,176,"IL12B, SQSTM1, PNRC1, LDLR, INHBA, BTG1, IFNGR2, TNIP2, YRDC, NAMPT, EIF1, PHLDA1, MARCKS, CSF1, CCNL1, FOSL1, PTPRE, ID2, PANX1, IER3, IL6ST, PTGER4, G0S2, CEBPB, LAMB3, KLF10, SAT1"
"2","HALLMARK_HYPOXIA",0.287679799874922,0.732126131751483,-0.29231258002511,-1.06983434933719,1839,188,"EGFR, KIF5A, P4HA1, ENO2, PPARGC1A, HSPA5, PPFIA4, HK1, BCL2, BCAN, PFKP, ANKZF1, NEDD4L, PFKFB3, AKAP12, TIPARP, ERO1A, AK4, AMPD3, NDRG1, NAGK, CP, EXT1, HS3ST1, GAA, XPNPEP1, VEGFA, NDST1, NOCT, NR3C1, ACKR3, GBE1, PDK3, DDIT3"
"3","HALLMARK_CHOLESTEROL_HOMEOSTASIS",0.19166255550074,0.684509126788357,0.341832880346563,1.1485684400232,776,71,"CPEB2, ALCAM, ERRFI1, PNRC1, SC5D, SCD, LDLR, SREBF2, CHKA, ALDOC, LSS, HMGCS1, LPL"
"4","HALLMARK_MITOTIC_SPINDLE",0.00405363267851575,0.101340816962894,-0.392214514487512,-1.43978602882033,25,194,"PCM1, PDLIM5, BCAR1, EPB41L2, MYO1E, ANLN, SMC3, WASL, KIF5B, TLK1, MYO9B, CTTN, RHOF, BCR, DST, TSC1, TIAM1, DOCK4, RASA1, KIF1B, TAOK2, EPB41, CNTROB, ARHGAP5, SOS1, NCK2, ABI1, STK38L, NUMA1, HDAC6, ARFGEF1, STAU1, ARHGAP29, TRIO, RASAL2, RFC1, NCK1, RANBP9, DYNC1H1, RALBP1, WASF1, BIN1, ACTN4, LATS1, ARHGEF12, TUBA4A, PCGF5, MYH10, TUBGCP3, RASA2, FGD4, ARHGAP4, KATNA1, KIFAP3, SPTAN1, RAPGEF6, SSH2, ARHGAP27, ATG4B, FLNA, ROCK1, KLC1, TUBGCP5, FGD6, ARHGEF2, CCNB2, TBCD, LLGL1, LRPPRC, CD2AP, CLIP1, AKAP13, SHROOM2, VCL, ARHGAP10, SUN2, CDC42EP1, MAP1S"
"5","HALLMARK_WNT_BETA_CATENIN_SIGNALING",0.350743687305431,0.75866475003993,-0.371250585182582,-1.07059887073619,2027,39,"NCOR2, GNAI1, JAG2, DVL2, PTCH1, CTNNB1, CSNK1E, NUMB, CUL1, HDAC5, TP53, MAML1, PPARD"
"6","HALLMARK_TGF_BETA_SIGNALING",0.564780088646437,0.998773908778813,-0.307382138423933,-0.939797889345103,3312,53,"TJP1, NCOR2, SMAD7, RHOA, MAP3K7, TRIM33, CDK9, SMAD3, SMURF1, CTNNB1, PPP1CA, PMEPA1, SKI, FURIN, WWTR1, SLC20A1"
"7","HALLMARK_IL6_JAK_STAT3_SIGNALING",0.998773908778813,0.998773908778813,0.174182916529532,0.579486197982957,4072,67,"CBL, IFNGR2, CSF1, CSF2RA, PDGFC, IL6ST, CSF3R, CD9, GRB2, IFNAR1, ACVR1B, CRLF2, REG1A, CD36, BAK1, ITGA4, MAP3K8, CD44, IL15RA, STAT1, CD14, SOCS3, EBI3"
"8","HALLMARK_DNA_REPAIR",0.673615531508593,0.998773908778813,-0.257111213578924,-0.914744009552893,4232,145,"PDE4B, RAE1, DCTN4, TAF6, NFX1, TMED2, RNMT, SEC61A1, GTF2H1, SF3A3, NELFB, POLB, LIG1, ERCC1, GSDME, SUPT5H, ADCY6, POLR2F, NUDT21, GTF2F1, MPG, DUT, ADRM1, GTF3C5, RALA, TP53, POLR2J, ZNRD1, AGO4, SUPT4H1, SRSF6, RFC5, POLR2G, ELL, RPA2, GTF2A2, ERCC5"
"9","HALLMARK_G2M_CHECKPOINT",0.950374272248406,0.998773908778813,0.213055759784727,0.825122197804742,3427,187,"SRSF2, PURA, SRSF1, DMD, SRSF10, STAG1, WRN, MARCKS, CUL4A, SNRPD1, EFNA5, RAD23B, SMARCC1, RAD54L, HMGN2, E2F3, MNAT1, PML, EGF, MAP3K20, PDS5B, TENT4A, NOLC1, TNPO2, SMC1A, CUL3, HNRNPD, DR1, SUV39H1, CDK4, SAP30, HIF1A, PBK, FBXO5"
"10","HALLMARK_APOPTOSIS",0.780507257935875,0.998773908778813,-0.245865854621695,-0.873702684857836,4892,144,"CREBBP, ENO2, MADD, DNAJC3, SATB1, SMAD7, TIMP3, ADD1, TGFBR3, GSR, RELA, VDAC2, CDC25B, CLU, BTG3, CTNNB1, CYLD, TGFB2, BID, DNM1L, DDIT3, SPTAN1, PLPPR4, PAK1, SLC20A1, GPX1, ROCK1, SOD2, DFFA"
"11","HALLMARK_NOTCH_SIGNALING",0.966876603685561,0.998773908778813,0.222264287821177,0.639348587049473,4144,32,"PRKCA, MAML2, APH1A, SAP30, SKP1, WNT5A, PSEN2, DLL1, TCF7L2, RBX1"
