"","pathway","pval","padj","ES","NES","nMoreExtreme","size","leadingEdge"
"1","HALLMARK_TNFA_SIGNALING_VIA_NFKB",0.00414997137950773,0.0487067517635203,0.420953904218317,1.47378046255156,28,177,"LDLR, PTPRE, PDE4B, PNRC1, NFAT5, VEGFA, TUBB2A, CCNL1, SQSTM1, ATP2B1, MARCKS, GFPT2, IL6ST, BIRC2, SNN, MCL1, B4GALT5, NR4A1, RELB, IER3, BTG1, IFNGR2, TNIP2, PLK2, PPP1R15A, HES1, CFLAR, CEBPB, ID2, IER2, SLC16A6, NR4A3, NAMPT, TNIP1, YRDC, FOS, IL15RA, G0S2, PANX1"
"2","HALLMARK_HYPOXIA",0.44527787248551,0.713904964971063,-0.261951904991359,-1.00088585874582,1305,190,"HSPA5, KIF5A, PGK1, NAGK, MXI1, BCL2, EGFR, NR3C1, DPYSL4, PPARGC1A, ALDOA, HS3ST1, HAS1, PRDX5, TIPARP, HDLBP, SDC2, KDM3A, ATP7A, ANKZF1, IRS2, XPNPEP1, DCN, AMPD3, P4HA1, ERO1A, TPD52, TPI1, DDIT3, CP, BCAN, PHKG1, AKAP12, PDK1, MIF, GALK1, GCNT2, ALDOC, IDS, MAP3K1"
"3","HALLMARK_CHOLESTEROL_HOMEOSTASIS",0.000158202816010125,0.00423728813559322,0.617689374474026,1.92521826150865,0,72,"CPEB2, LDLR, SREBF2, SC5D, SCD, HMGCR, ALCAM, PCYT2, CYP51A1, PNRC1, CD9, ERRFI1, HMGCS1, FDFT1, LSS, SQLE, GNAI1, ABCA2, ACTG1, IDI1, DHCR7"
"4","HALLMARK_MITOTIC_SPINDLE",0.117767887709688,0.327133021415801,-0.302113233723682,-1.15747720040615,343,193,"DOCK4, KIFAP3, FGD4, ABR, RASA1, EPB41, MYO1E, RAPGEF5, PDLIM5, FARP1, LATS1, ALS2, NUMA1, NCK2, RALBP1, MYH10, WASL, ARHGAP29, ARFIP2, PCM1, RABGAP1, TAOK2, SOS1, DLG1, SMC3, RFC1, CNTROB, TSC1, CDK5RAP2, CKAP5, KPTN, TBCD, SPTAN1, ARHGEF2, KATNA1, RAPGEF6, FGD6, CCDC88A, ABI1, CEP250, FLNA, TUBGCP3, ARHGAP27, WASF1, UXT, CDC42EP2, TRIO, TLK1, NET1, MAP1S, ACTN4, ARHGEF12, RHOF, CYTH2, WASF2"
"5","HALLMARK_WNT_BETA_CATENIN_SIGNALING",0.0512435319646136,0.170811773215379,0.502177321987956,1.40271476833183,306,38,"WNT5B, AXIN1, GNAI1, HDAC11, CCND2, HDAC5, RBPJ, TP53, KAT2A, NCOR2, MAML1"
"6","HALLMARK_TGF_BETA_SIGNALING",0.126776485788114,0.333622331021352,0.422106558808367,1.25672763446158,784,54,"ACVR1, SMURF2, BMPR2, APC, SPTBN1, SKIL, HIPK2, PPM1A, FKBP1A, IFNGR2, PPP1R15A, NCOR2, ID2, BMPR1A, ID3, ARID4B, CTNNB1, UBE2D3"
"7","HALLMARK_IL6_JAK_STAT3_SIGNALING",0.197431018078021,0.483209156678544,0.378128764907923,1.16631445020305,1244,67,"STAT3, CD9, PTPN11, IL6ST, STAM2, PTPN1, CSF2RA, PDGFC, IFNGR2, ACVR1B, IL15RA, CRLF2, CBL, HAX1, STAT1, CD14, TGFB1, CSF1, IL7, IL17RA"
"8","HALLMARK_DNA_REPAIR",0.573533745947539,0.735299674291717,0.277367793868714,0.950145159838353,3891,145,"PDE4B, GTF2B, TSG101, NT5C, VPS37D, GTF2H5, ERCC8, EIF1B, XPC, USP11, SSRP1, ZWINT, RBX1, DDB1, UPF3B, DCTN4, TARBP2, TP53, NUDT9, STX3, RRM2B, VPS37B, POLD4, REV3L, AK1, GUK1, ERCC2, POLR2H, NELFE, RAD52, BOLA2, CDA, GTF2H3, SEC61A1, SNAPC4, ELOA, TAF13, COX17, POLR1C, POM121, POLR2C, ERCC5, CMPK2"
"9","HALLMARK_G2M_CHECKPOINT",0.0313031161473088,0.130429650613787,0.37236827020995,1.31337520103578,220,187,"SRSF2, XPO1, PURA, ATRX, MAPK14, SRSF1, HNRNPU, PDS5B, SRSF10, HNRNPD, E2F3, DMD, MARCKS, SQLE, NUP98, SYNCRIP, SNRPD1, KPNB1, KIF5B, MNAT1, ABL1, TOP1, EGF, RAD23B, MAP3K20, TENT4A, TRA2B, SLC12A2, PBK, GSPT1, PRIM2, TNPO2, RPS6KA5, ORC5, INCENP, SFPQ, NOLC1, PTTG1, WRN, RASAL2, ORC6, EWSR1, CDK4, CHMP1A"
"10","HALLMARK_APOPTOSIS",0.625847332743884,0.763228454565713,0.27097495805644,0.928874113868326,4246,146,"SC5D, APP, ANKH, TIMP2, NEDD9, SQSTM1, BAX, PTK2, BCL2L11, CCND2, MCL1, PSEN1, IER3, CFLAR, DPYD, CASP3, BCL10, IGF2R, NEFH, SAT1, PDCD4, CASP9, TSPO, CTNNB1"
