"","pathway","pval","padj","ES","NES","nMoreExtreme","size","leadingEdge"
"1","HALLMARK_TNFA_SIGNALING_VIA_NFKB",0.245369406867846,0.600624298540965,0.231720039257127,1.09840470531398,1178,136,"CEBPD, PLPP3, ETS2, JUN, PFKFB3, BIRC3, PMEPA1, LDLR, SLC16A6, EGR1, FJX1, ATP2B1, SMAD3, RNF19B, IER2, IFNGR2, PLK2, PTGER4, GPR183, RCAN1, RELA, NAMPT, CFLAR, SAT1, JAG1, BTG1, BIRC2, MARCKS, TAP1, IRF1, TNF, PHLDA1, MCL1, CD44, KYNU, PPP1R15A, FOSL2, IFIH1"
"2","HALLMARK_HYPOXIA",0.288299663299663,0.600624298540965,0.226915142755103,1.07652291246332,1369,138,"RORA, TPI1, NEDD4L, ALDOA, JUN, PFKFB3, B3GALT6, SCARB1, GBE1, LDHA, CCNG2, GALK1, PRKCA, ANKZF1, CITED2, PDGFB, KLF7, HK2, PIM1, PRDX5, SDC2, PDK1, DTNA, BTG1, PPFIA4, PGM1, CSRP2, NDRG1, EGFR, PPP1R15A, FOSL2, SELENBP1, DDIT3, PHKG1, LARGE1, KIF5A, CXCR4, ATF3, GLRX, MIF, DUSP1, PGM2, SLC2A5, ACKR3, TPST2"
"3","HALLMARK_CHOLESTEROL_HOMEOSTASIS",0.616310160427808,0.880716373472759,-0.226126630650921,-0.91350088062641,3226,59,"ERRFI1, CLU, ETHE1, ATXN2, CPEB2"
"4","HALLMARK_MITOTIC_SPINDLE",0.00537840952746831,0.181922635005745,-0.298078937904744,-1.44824730389672,27,181,"RAPGEF5, SMC1A, LRPPRC, ALS2, ARL8A, TUBGCP5, LATS1, BRCA2, RASA1, SASS6, DST, CENPF, CYTH2, CNTROB, RALBP1, RAB3GAP1, MID1IP1, DOCK2, TUBGCP2, STAU1, DYNC1H1, KLC1, TBCD, WASL, PCM1, CDC42EP4, KIF5B, CEP250, VCL, FGD6, BIN1, PREX1, ARHGAP10, APC, TIAM1, TUBGCP3, CDC42BPA, CKAP5, EPB41, ESPL1, PCNT, RICTOR, PKD2, FLNB, SORBS2, KIF11, ARHGEF2, SMC3, STK38L, CNTRL, ARAP3, CDC27"
"5","HALLMARK_WNT_BETA_CATENIN_SIGNALING",0.710895583986793,0.880716373472759,0.241498267315572,0.841811880985736,3444,29,"CCND2, NCOR2, ADAM17, NCSTN, JAG1"
"6","HALLMARK_TGF_BETA_SIGNALING",0.790263613623244,0.898026833662778,-0.212192471252882,-0.813400501060553,4106,46,"ID2, SKIL, SMURF1, TGFBR1, FKBP1A, BMP2, APC, ENG, CTNNB1, BCAR3, SMAD6, WWTR1, SMAD7, FNTA, TRIM33"
"7","HALLMARK_IL6_JAK_STAT3_SIGNALING",0.0805883571576549,0.447713095320305,0.328210355931112,1.32547675711265,388,56,"CBL, CSF2RA, CD36, IL17RA, JUN, STAM2, IFNGR2, TNFRSF21, IL10RB, PIM1, TGFB1, IRF1, TNF, TYK2, CD38, CD44, PTPN1, STAT1, BAK1, PDGFC, IL17RB, SOCS1, HAX1"
"8","HALLMARK_DNA_REPAIR",0.990040222179659,0.990040222179659,-0.147120009937412,-0.68277048720207,5168,128,"REV3L, PDE4B, SSRP1, DAD1, ARL6IP1, POLE4, NUDT21, GTF2B, NELFCD, AGO4, POLR2G, NT5C, NCBP2, NT5C3A, ADA, GTF2H5, VPS37B, SNAPC4, POLR2A, VPS28, TAF10, MPC2, EDF1, DGUOK, ERCC4, DDB1, POLR2D, POLD4, UPF3B, TAF13, GMPR2, SF3A3, SDCBP, MRPL40, GTF2F1, POLL, ALYREF, RALA, SAC3D1, RPA2"
"9","HALLMARK_G2M_CHECKPOINT",0.855356799384497,0.950396443760552,-0.175786366396595,-0.836234691868468,4446,154,"SMC1A, TRAIP, PTTG1, BRCA2, CENPA, PRIM2, SLC12A2, TNPO2, CENPF, RAD23B, ODF2, TOP1, CUL5, PML, G3BP1, KPNB1, PDS5B, KIF5B, CDKN1B, SAP30, LBR"
"10","HALLMARK_APOPTOSIS",0.492787074437392,0.821311790728986,-0.216071944009357,-0.981206787524306,2561,113,"MGMT, CLU, SOD2, SQSTM1, TXNIP, PSEN1, HMGB2, BCL2L1, CASP7, MADD, ADD1, PEA15, CASP8, BMP2, BTG2, CDKN1B, DCN"
