"","pathway","pval","padj","ES","NES","nMoreExtreme","size","leadingEdge"
"1","A tetrasaccharide linker sequence is required for GAG synthesis",0.183541666666667,0.844484338437112,0.401887123862149,1.24774534168694,880,19,"CSPG5, GPC5, B3GALT6, SDC2"
"2","ABC transporter disorders",0.663282895996935,0.92858248185406,-0.219335511383845,-0.891580684221716,3462,63,"RNF185, PSMD14, PSMA5, PSMD12, PSMD2, PSME4, PSMB5, PSMD9, KCNJ11"
"3","ABC-family proteins mediated transport",0.341860465116279,0.904252421755743,0.241761295005721,1.05745129129082,1616,85,"ABCD2, UBB, RNF5, PSMB7, ABCC3, ERLIN2, PSMD3, PSMD11, PEX19, PSMD1, PSMA8, EIF2S1, PSMD4, ABCC1, ABCB9, ABCA6, ABCB8, ABCA3"
"4","APC-Cdc20 mediated degradation of Nek2A",0.707420222991157,0.92858248185406,-0.270658836835077,-0.829347976434139,3679,19,"ANAPC10, UBE2E1, CDC16, ANAPC1, CDC27"
"5","APC/C-mediated degradation of cell cycle proteins",0.394042876114589,0.904252421755743,-0.247017240023935,-1.03071916691335,2076,72,"ANAPC10, PTTG1, PSMD14, PSMA5, PSMD12, PSMD2, PSME4, PSMB5, PSMD9, SKP2, UBE2E1"
"6","APC/C:Cdc20 mediated degradation of Cyclin B",0.657325086973328,0.92858248185406,-0.285738694056973,-0.860467697034527,3400,18,"ANAPC10, UBE2E1, CDC16, ANAPC1, CDC27"
"7","APC/C:Cdc20 mediated degradation of Securin",0.275213675213675,0.904252421755743,-0.275991039306863,-1.10921516570765,1448,59,"ANAPC10, PTTG1, PSMD14, PSMA5, PSMD12, PSMD2, PSME4, PSMB5, PSMD9, UBE2E1, CDC16, PSMC6, ANAPC1, PSMD13, CDC27, PSMA6"
"8","APC/C:Cdc20 mediated degradation of mitotic proteins",0.353955180999808,0.904252421755743,-0.259132792325687,-1.05335333447987,1847,63,"ANAPC10, PTTG1, PSMD14, PSMA5, PSMD12, PSMD2, PSME4, PSMB5, PSMD9, UBE2E1, CDC16, PSMC6, ANAPC1, PSMD13, CDC27, PSMA6"
"9","APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1",0.269847328244275,0.904252421755743,-0.275004379114294,-1.11503360183349,1413,62,"ANAPC10, PTTG1, PSMD14, PSMA5, PSMD12, PSMD2, PSME4, PSMB5, PSMD9, SKP2, UBE2E1, CDC16, PSMC6, ANAPC1, PSMD13, CDC27, PSMA6"
"10","APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint",0.550763358778626,0.904252421755743,-0.233817443250122,-0.948036924933208,2885,62,"ANAPC10, PSMD14, PSMA5, PSMD12, PSMD2, PSME4, PSMB5, PSMD9, UBE2E1, CDC16, PSMC6, ANAPC1, PSMD13, CDC27, PSMA6"
"11","ATF4 activates genes in response to endoplasmic reticulum  stress",0.696806464024625,0.92858248185406,-0.259183033988582,-0.84696545238804,3621,24,"EXOSC9, DCP2, CEBPB, EXOSC5"
"12","AUF1 (hnRNP D0) binds and destabilizes mRNA",0.698739495798319,0.92858248185406,0.223360204341438,0.866937686730709,3325,48,"UBB, EIF4G1, PSMB7, PSMD3, PSMD11, PSMD1, PSMA8, PSMD4"
"13","AURKA Activation by TPX2",0.4737505249895,0.904252421755743,0.239622048261405,0.984978371424887,2255,62,"SDCCAG8, CEP63, PAFAH1B1, CEP192, TUBB4B, HAUS6, PPP2R1A, NDE1, TUBB, DCTN3, CEP78"
"14","Abortive elongation of HIV-1 transcript in the absence of Tat",0.412321359598301,0.904252421755743,-0.325118201322045,-1.03611543655029,2134,22,"GTF2F2, NELFCD, POLR2G, NCBP2, POLR2A, CTDP1, POLR2D"
"15","Activated NOTCH1 Transmits Signal to the Nucleus",0.67701744297489,0.92858248185406,-0.259229163360368,-0.86276419935682,3531,26,"ADAM10, PSEN1, ARRB1, ARRB2, NOTCH1, DTX1, PSENEN, MIB1"
"16","Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins",0.353955180999808,0.904252421755743,-0.259132792325687,-1.05335333447987,1847,63,"ANAPC10, PTTG1, PSMD14, PSMA5, PSMD12, PSMD2, PSME4, PSMB5, PSMD9, UBE2E1, CDC16, PSMC6, ANAPC1, PSMD13, CDC27, PSMA6"
