"","pathway","pval","padj","ES","NES","nMoreExtreme","size","leadingEdge"
"1","A tetrasaccharide linker sequence is required for GAG synthesis",0.0935209035070339,0.62110779363637,0.43552849172575,1.37298046411793,471,22,"CSPG5, GPC5, B3GALT6, SDC2, GPC6"
"2","ABC transporter disorders",0.591070023603462,0.8436891634534,-0.232789259457908,-0.929550312335382,3004,62,"PSMD5, PSMD9, ABCA1, PSMA4, PSMA1, PSMA5, PSMD14, PSME1, PSMD7, ERLEC1, PSMA7, RNF185, UBA52, PSMB5, PSMC6, PSMD12, PSMD13"
"3","ABC-family proteins mediated transport",0.223494570582428,0.716414841365106,-0.268310278793402,-1.13500558076076,1131,86,"PSMD5, PSMD9, EIF2S1, ABCA7, EIF2S2, PSMA4, ABCG1, PSMA1, ABCA9, PSMA5, PSMD14, PSME1, PSMD7, ABCA2, ABCA5, ERLEC1, ABCC4, PSMA7, RNF185, ABCC5, UBA52, PSMB5, ABCB1, PSMC6, PSMD12, PSMD13, EIF2S3, ABCC3"
"4","ADP signalling through P2Y purinoceptor 1",0.69726754472184,0.887793043601129,0.294456159377266,0.834984502389695,3546,15,"PLA2G4A, MAPK14"
"5","APC-Cdc20 mediated degradation of Nek2A",0.475435816164818,0.823619747503298,0.325554722969148,0.98593888762445,2399,19,"ANAPC1, CDC23, UBE2D1, UBB, ANAPC4"
"6","APC/C-mediated degradation of cell cycle proteins",0.719163212946517,0.888521031207598,-0.211367648260663,-0.87077864656058,3643,73,"PSMD5, PSMD9, ANAPC10, SKP1, PSMA4, CUL1, PSMA1, CDC16, PSMA5, PSMD14, PSME1, PSMD7, PSMA7, UBA52, PSMB5, PSMC6, PSMD12, BTRC, PSMD13"
"7","APC/C:Cdc20 mediated degradation of Cyclin B",0.425089179548157,0.792598788539368,0.334212559674376,1.02852190391771,2144,20,"ANAPC1, CDC23, UBE2D1, UBB, ANAPC4"
"8","APC/C:Cdc20 mediated degradation of Securin",0.809280377506882,0.929996424271035,-0.205397897345524,-0.813955499425326,4115,60,"PSMD5, PSMD9, ANAPC10, PSMA4, PSMA1, CDC16, PSMA5, PSMD14, PSME1, PSMD7, PSMA7, UBA52, PSMB5, PSMC6, PSMD12, PSMD13"
"9","APC/C:Cdc20 mediated degradation of mitotic proteins",0.880228887134964,0.956278428105066,-0.192663266997376,-0.773621804853633,4460,64,"PSMD5, PSMD9, ANAPC10, PSMA4, PSMA1, CDC16, PSMA5, PSMD14, PSME1, PSMD7, PSMA7, UBA52, PSMB5, PSMC6, PSMD12, PSMD13"
"10","APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1",0.882895253040408,0.956278428105066,-0.192656274132491,-0.772192008139892,4500,63,"PSMD5, PSMD9, ANAPC10, PSMA4, PSMA1, CDC16, PSMA5, PSMD14, PSME1, PSMD7, PSMA7, UBA52, PSMB5, PSMC6, PSMD12, PSMD13"
"11","APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint",0.849527930763179,0.942506218116291,-0.198487672950563,-0.792580717923029,4318,62,"PSMD5, PSMD9, ANAPC10, PSMA4, PSMA1, CDC16, PSMA5, PSMD14, PSME1, PSMD7, PSMA7, UBA52, PSMB5, PSMC6, PSMD12, PSMD13"
"12","ATF4 activates genes in response to endoplasmic reticulum  stress",0.371749408983452,0.774044023213719,0.326527256514793,1.0559565726674,1886,24,"PARN, DDIT3, EXOSC3, ATF4, EXOSC4, KHSRP, HERPUD1, ATF3, EXOSC7"
"13","AUF1 (hnRNP D0) binds and destabilizes mRNA",0.678774788925977,0.883095662626465,-0.230149557380215,-0.879218578253436,3456,49,"PSMD5, PSMD9, PSMA4, PSMA1, PSMA5, PSMD14, PSME1, PSMD7, PSMA7, UBA52, PSMB5, PSMC6, PSMD12, PSMD13"
"14","AURKA Activation by TPX2",0.0749409913453973,0.570191020140464,-0.330295920004685,-1.31890395767582,380,62,"DYNC1I2, CEP57, TUBB4A, CLASP1, DYNLL1, ODF2, SFI1, ACTR1A, CSNK1D, DCTN2, TUBG1, CEP41, CEP152, CSNK1E, CEP164, PCNT, CEP135, FGFR1OP"
"15","Abortive elongation of HIV-1 transcript in the absence of Tat",0.843316144387148,0.938859476352397,0.232486472425701,0.742337534183411,4251,23,"NCBP1, POLR2J, SUPT4H1, NELFA, NELFCD, NELFE, SUPT5H, POLR2H, POLR2I"
"16","Activated NOTCH1 Transmits Signal to the Nucleus",0.65751530713016,0.870520704548739,0.265397576489966,0.86809623182477,3328,25,"ARRB2, NCSTN, NUMB, APH1B, JAG1"
"17","Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins",0.880228887134964,0.956278428105066,-0.192663266997376,-0.773621804853633,4460,64,"PSMD5, PSMD9, ANAPC10, PSMA4, PSMA1, CDC16, PSMA5, PSMD14, PSME1, PSMD7, PSMA7, UBA52, PSMB5, PSMC6, PSMD12, PSMD13"
"18","Activation of ATR in response to replication stress",0.247691690084304,0.716414841365106,-0.352773515611107,-1.16171492945382,1233,26,"ORC1, ATR, ORC2, ORC6, RAD9B, RFC2, ORC4, RFC3, MCM7, RAD1, ORC5, CDC7, MCM4, CDK2"
"19","Activation of BH3-only proteins",0.723879123049575,0.890288116854075,0.253352126005697,0.828696436565445,3664,25,"YWHAB, YWHAH, YWHAG, YWHAZ, E2F1, YWHAE"
"20","Activation of G protein gated Potassium channels",0.130824008138352,0.667930802842591,-0.468002632576856,-1.33491432468993,642,15,"KCNJ3, GNG12, KCNJ6, KCNJ2, GNB1, GNG3, GNG4"
"21","Activation of GABAB receptors",0.0447611401043758,0.55423272064134,-0.44999097384577,-1.48186076704347,222,26,"KCNJ3, GNG12, ADCY1, ADCY9, KCNJ6, KCNJ2, ADCY5, GNB1, GNG3, GNG4"
"22","Activation of HOX genes during differentiation",0.00939886430389661,0.407596682917653,-0.430890789451306,-1.62217268405935,47,46,"CTCF, KDM6A, SUZ12, NCOA6, RXRA, POLR2A, KMT2C, CNOT6, YY1, POLR2G, POLR2D"
"23","Activation of NF-kappaB in B cells",0.226755590427619,0.716414841365106,-0.286593261395018,-1.14870396530033,1155,63,"BCL10, PSMD5, PSMD9, NFKB1, MAP3K7, SKP1, PSMA4, CUL1, PSMA1, PSMA5, PSMD14, PSME1, PSMD7, NFKBIE, PSMA7, UBA52, PSMB5, PSMC6, PSMD12, BTRC, PSMD13"
"24","Activation of NMDA receptors and postsynaptic events",0.340900195694716,0.75468250219313,-0.264195683610605,-1.06541631946594,1741,65,"PRKAG2, MAPT, PPM1E, NRAS, CAMK1, APBA1, ADCY1, PRKAA1, DLG1, PRKAR1A, PRKX, CASK, DLG2, RASGRF1"
"25","Activation of anterior HOX genes in hindbrain development during early embryogenesis",0.00939886430389661,0.407596682917653,-0.430890789451306,-1.62217268405935,47,46,"CTCF, KDM6A, SUZ12, NCOA6, RXRA, POLR2A, KMT2C, CNOT6, YY1, POLR2G, POLR2D"
