"","pathway","pval","padj","ES","NES","nMoreExtreme","size","leadingEdge"
"1","HALLMARK_TNFA_SIGNALING_VIA_NFKB",0.00130958617077004,0.00740641988475611,0.456272597713412,1.5845482043877,9,184,"CCL4, CSF1, PLEK, CD83, PLAUR, KYNU, NFE2L2, IL6ST, LDLR, SAT1, PFKFB3, IL12B, LITAF, SGK1, ATF3, DDX58, MCL1, IFIT2, RIPK2, TGIF1, IL15RA, CCNL1, SERPINE1, TNIP2, BHLHE40, NAMPT, TIPARP, BCL6, TANK, KLF6, GCH1, ZFP36, MAP2K3, PLAU, PTPRE, ETS2, TLR2, GPR183, BTG1, RELA, TAP1, IL6, TNF, SQSTM1, BTG2, SOD2"
"2","HALLMARK_HYPOXIA",0.00131302521008403,0.00740641988475611,0.46290042808345,1.606247442623,9,183,"BCL2, GCNT2, PLAUR, TPD52, KLHL24, MAP3K1, SCARB1, PFKFB3, NAGK, SLC2A1, PDK1, PLIN2, ZNF292, TPI1, ATF3, PGM1, CITED2, XPNPEP1, PFKL, ANXA2, GYS1, KDM3A, LARGE1, SLC6A6, RRAGD, SERPINE1, BHLHE40, PPFIA4, ERO1A, NDST2, LDHA, TIPARP, ANKZF1, WSB1, DCN, KLF6, GAA, ZFP36, JMJD6, HEXA, NOCT, SDC3, PRDX5, RBPJ, CHST3, BTG1, CDKN1B, GPI"
"3","HALLMARK_CHOLESTEROL_HOMEOSTASIS",0.000908815510451378,0.00740641988475611,0.610841044074682,1.86335449564284,5,68,"CD9, CPEB2, LPL, PLAUR, ALCAM, LDLR, GUSB, ATF3, PCYT2, FABP5, ANXA5, SREBF2, ANTXR2, FASN, TP53INP1, PMVK, LGALS3"
"4","HALLMARK_MITOTIC_SPINDLE",0.396291504959034,0.620568844420885,-0.253159186065485,-1.01681790575805,918,193,"RAPGEF5, DOCK4, OPHN1, FSCN1, BIN1, PXN, ARHGAP4, PREX1, MYH9, ARHGAP27, CNTRL, MAPRE1, ARAP3, APC, ABL1, FARP1, TRIO, WASF2, YWHAE, RASA2, CLASP1, DST, CDC42, LRPPRC, CEP131, KIF3C, AKAP13, MAP1S, BCR, TAOK2"
"5","HALLMARK_WNT_BETA_CATENIN_SIGNALING",0.59394250513347,0.761464750171116,-0.297791299787849,-0.919353124739776,2313,38,"NUMB, MAML1, NCOR2, GNAI1, HDAC2"
"6","HALLMARK_TGF_BETA_SIGNALING",0.104051054384018,0.211324570273003,-0.383765889818729,-1.26946418131409,374,53,"TJP1, ENG, SMAD3, APC, PMEPA1, RAB31, SMAD7, NCOR2, RHOA, TGFB1, FKBP1A, ID2, BMPR1A, SMAD1, SMURF2, PPP1CA, XIAP, JUNB, TRIM33"
"7","HALLMARK_IL6_JAK_STAT3_SIGNALING",0.0560521133161642,0.140130283290411,0.459509882804903,1.39873873397284,369,67,"CD9, CSF1, IL6ST, CSF2RA, IL13RA1, PDGFC, STAT2, IL1R1, IL15RA, IRF9, CSF3R, ITGB3, CD14, IL10RB, TLR2, TNFRSF1A, IL6, TNF, GRB2"
"8","HALLMARK_DNA_REPAIR",0.992163221186326,0.998550934647153,0.19409226456641,0.658252812488631,7342,145,"REV3L, STX3, GTF2H1, SDCBP, POLA1, POLR2A, HCLS1, NFX1, DDB1, RFC2, AGO4, MRPL40, POLA2, SMAD5, TAF13, POLR2D, CLP1, GTF2A2, APRT, SF3A3, SAC3D1, POLE4, LIG1, ERCC4, CSTF3, ARL6IP1, RAD51, TK2, TYMS, TAF9, RNMT, VPS28, POLR2K"
"9","HALLMARK_G2M_CHECKPOINT",0.732853403141361,0.852155119931815,0.252802093707196,0.878284608212072,5598,185,"HIF1A, EFNA5, MAP3K20, SLC38A1, NUP50, STAG1, PDS5B, RASAL2, KIF15, RBL1, HNRNPD, ODF2, SLC12A2, MNAT1, POLA2, NUP98, CUL3, SRSF1, PML, CHMP1A, KMT5A, SRSF10, PRMT5, CDKN1B, UCK2, ATRX, TOP2A, SFPQ, SMC4, PAFAH1B1, RPS6KA5, SQLE, RAD23B, EZH2, MCM6, ILF3, CUL5, UBE2S, KIF22, MTF2, CDK1, BRCA2, SUV39H1, NUSAP1, CDC25A, LMNB1"
"10","HALLMARK_APOPTOSIS",0.0370220240508039,0.115693825158762,0.406075076205829,1.37718039197056,273,145,"ANKH, SAT1, BCL2L1, MGMT, ATF3, MCL1, DNAJC3, TIMP2, CASP2, CD14, CYLD, PEA15, FEZ1, DCN, GCH1, SPTAN1, TSPO, LGALS3, BAX, CASP9, GPX1, PSEN1, TGFB2, RELA, CDKN1B, CLU, TAP1, BMF, IL6, TOP2A, SATB1, TNF, SQSTM1, BTG2, SOD2, CASP1, SC5D, RHOB, ROCK1, PLCB2"
"11","HALLMARK_NOTCH_SIGNALING",0.0593538692712246,0.141318736360059,-0.478328548812194,-1.41376341445901,236,31,"PRKCA, ARRB1, TCF7L2, ST3GAL6, PSENEN, RBX1, LFNG, PSEN2"
"12","HALLMARK_ADIPOGENESIS",0.689962046852506,0.821383389110126,0.25835574418937,0.898504993711515,5271,188,"APOE, LPL, APLP2, SCARB1, PFKFB3, PLIN2, PGM1, SOWAHC, GPD2, PFKL, MAP4K3, VEGFB, NDUFA5, ACOX1, ENPP2, SDHC, ALDH2, SLC1A5, ECHS1, BCL6, TANK, ARL4A, NDUFS3, SORBS1, ADIPOR2, DRAM2, CS"
"13","HALLMARK_ESTROGEN_RESPONSE_EARLY",0.792425442069148,0.900483456896759,0.244850253494211,0.845074656575301,6004,173,"BCL2, IL6ST, IGF1R, GAB2, SCARB1, SLC2A1, MAST4, DHRS3, ABLIM1, JAK2, FKBP5, BHLHE40, KDM4B, TIPARP, CHPT1, FASN, SNX24, TPD52L1, CBFA2T3, AKAP1, FLNB, DYNLT3, RASGRP1, SLC37A1, UNC119"
"14","HALLMARK_ESTROGEN_RESPONSE_LATE",0.397164060429367,0.620568844420885,0.29914984807636,1.02994364733159,2996,169,"CD9, BCL2, IL6ST, ST14, SCARB1, SGK1, PTPN6, LARGE1, JAK2, FABP5, FKBP5, DNAJC1, CHPT1, ZFP36, NAB2, SNX10, TPD52L1, RABEP1, EMP2, MOCS2, FLNB, DYNLT3"
"15","HALLMARK_ANDROGEN_RESPONSE",0.0471711976487877,0.131031104579966,0.441665920386136,1.39708320205279,320,85,"ANKH, ARID5B, TPD52, PLPP1, B2M, SAT1, SGK1, CDK6, ELL2, FKBP5"
