"","pathway","pval","padj","ES","NES","nMoreExtreme","size","leadingEdge"
"1","A tetrasaccharide linker sequence is required for GAG synthesis",0.0875399361022364,0.777294260218134,0.565750829150329,1.4253603434191,547,24,"XYLT1, SDC3"
"2","ABC transporter disorders",0.948046371833405,0.991852441892132,0.226122392410645,0.684105833779592,6623,69,"RNF185, SEL1L, PSMD14, DERL2, VCP, PSMC2, PSMD5, PSMB6, PSMC1, PSMA6, PSMD12, PSMD1, ABCD4, PSMA7, PSME2, PSME4, RNF5, PSMB10, DERL1, RPS27A, PSMD8, PSMB5, PSMA1, ABCA1, PSMC4, PSMB7"
"3","ABC-family proteins mediated transport",0.669498492737736,0.965301291594753,0.280274263111374,0.883360337798121,4885,92,"ABCD2, ABCB1, RNF185, SEL1L, ABCG1, PSMD14, DERL2, EIF2S2, VCP, PSMC2, PSMD5, PSMB6, ABCB8, ABCC10, PSMC1, PSMA6, PSMD12, PSMD1, ABCB10, EIF2S3, PSMA7, PSME2, PSME4, RNF5"
"4","ADP signalling through P2Y purinoceptor 1",0.54511154855643,0.959635085167,0.385748495643673,0.935894657570678,3322,20,"GNG12, GNA14"
"5","ADP signalling through P2Y purinoceptor 12",0.521509807153453,0.959635085167,0.400758382774655,0.955138254786423,3163,18,"GNG12, GNAI3"
"6","APC-Cdc20 mediated degradation of Nek2A",0.606105125693764,0.959635085167,0.361463690811361,0.887399811231396,3712,21,"ANAPC15, ANAPC10, ANAPC1, UBE2E1"
"7","APC/C-mediated degradation of cell cycle proteins",0.900564971751412,0.9812856496708,0.239876308178969,0.735353578509514,6375,75,"ANAPC15, BTRC, SKP1, PSMD14, ANAPC10, ANAPC1, PSMC2, PSMD5, PSMB6, UBE2E1, PSMC1, PSMA6, PSMD12, PSMD1, PSMA7, PSME2, PSME4, PSMB10, PTTG1"
"8","APC/C:Cdc20 mediated degradation of Cyclin B",0.560235063663075,0.959635085167,0.375654358093023,0.922238152639156,3431,21,"ANAPC15, ANAPC10, ANAPC1, UBE2E1"
"9","APC/C:Cdc20 mediated degradation of Securin",0.941372805108112,0.991852441892132,0.228423576265109,0.679239953965592,6486,62,"ANAPC15, PSMD14, ANAPC10, ANAPC1, PSMC2, PSMD5, PSMB6, UBE2E1, PSMC1, PSMA6, PSMD12, PSMD1, PSMA7, PSME2, PSME4, PSMB10, PTTG1"
"10","APC/C:Cdc20 mediated degradation of mitotic proteins",0.967364620938628,0.991852441892132,0.218544751023088,0.655958928582678,6698,66,"ANAPC15, PSMD14, ANAPC10, ANAPC1, PSMC2, PSMD5, PSMB6, UBE2E1, PSMC1, PSMA6, PSMD12, PSMD1, PSMA7, PSME2, PSME4, PSMB10, PTTG1, BUB3, RPS27A, PSMD8, PSMB5, PSMA1, ANAPC7, PSMC4, PSMB7"
"11","APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1",0.929338977531749,0.985807566279816,-0.21757794968011,-0.75476982594888,2853,65,"ANAPC16, UBB, PSMD4, PSMC6, PSMB2, PSMD13, PSMA3, PSMA5, FZR1, PSMC5, PSMD7, PSMD10, UBC, CDC26, PSMB4, PSMB3, CDC27, CDC16, ANAPC5, CDC23, PSMD6, PSMC3"
"12","APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint",0.964712660233329,0.991852441892132,0.218289239386564,0.652681047525818,6697,64,"ANAPC15, PSMD14, ANAPC10, ANAPC1, PSMC2, PSMD5, PSMB6, UBE2E1, PSMC1, PSMA6, PSMD12, PSMD1, PSMA7, PSME2, PSME4"
"13","ATF4 activates genes in response to endoplasmic reticulum  stress",0.168210862619808,0.856185866057508,0.507644264740854,1.2789658737442,1052,24,"ATF3, CEBPG, NFYB, ATF4, DDIT3, EXOSC8, CEBPB, ATF6, DCP2, ASNS, NFYC"
"14","AUF1 (hnRNP D0) binds and destabilizes mRNA",0.485070079219988,0.953477445795014,-0.294269976891155,-0.977809690902728,1591,51,"UBB, PSMD4, PSMC6, PSMB2, HSPA8, PSMD13, PSMA3, PSMA5, PSMC5, PSMD7, PSMD10, UBC, PSMB4, PSMB3"
"15","AURKA Activation by TPX2",0.351377952755905,0.91134585852769,-0.300328176775198,-1.04842000281795,1070,67,"MAPRE1, SDCCAG8, SFI1, CEP164, PRKACA, DYNLL1, SSNA1, YWHAG, TUBA4A, PCNT, DCTN3, CNTRL, TUBB4B, TUBB, HAUS1, CLASP1, PLK4, CEP131, CEP250"
