"","pathway","pval","padj","ES","NES","nMoreExtreme","size","leadingEdge"
"1","HALLMARK_TNFA_SIGNALING_VIA_NFKB",0.311537918373111,0.826663588322816,0.985693142575234,1.15801402223211,2205,180,"CCL4, PLAUR, CSF1, CD83, PLEK, LDLR, KYNU, ATF3, PFKFB3, NFE2L2, BHLHE40"
"2","HALLMARK_HYPOXIA",0.90975747320925,0.96639854343868,0.587363344539742,0.690432449733988,6451,183,"GCNT2, PLAUR, BCL2, TPD52, ATF3, LARGE1, KLHL24, PFKFB3, PLIN2, BHLHE40"
"3","HALLMARK_CHOLESTEROL_HOMEOSTASIS",0.381365284565663,0.826663588322816,0.989091671911055,1.22915224103162,2418,68,"CPEB2, CD9, PLAUR, LPL, LDLR, ATF3, GUSB, ABCA2"
"4","HALLMARK_MITOTIC_SPINDLE",0.818818258190983,0.890019845859764,0.680263396366297,0.803304934066074,5847,191,"MYO1E, CLIP1, TLK1, MYO9B"
"5","HALLMARK_WNT_BETA_CATENIN_SIGNALING",0.355446756425949,0.826663588322816,-0.957089621677635,-1.90539076542619,1451,38,"NUMB"
"6","HALLMARK_TGF_BETA_SIGNALING",0.676566579634465,0.890019845859764,0.845527116000657,1.12221880707901,4145,52,"BCAR3, TGFBR1, ACVR1"
"7","HALLMARK_IL6_JAK_STAT3_SIGNALING",0.143126177024482,0.826663588322816,0.994824812923981,1.22831564015735,911,70,"CD9, CSF1, A2M"
"8","HALLMARK_DNA_REPAIR",0.939837398373984,0.96639854343868,-0.133795721655483,-0.17612791030928,2889,145,"ZWINT, ZNRD1, XPC, VPS37D, VPS37B, VPS28, USP11, UPF3B, UMPS, TYMS, TSG101, TP53, TMED2, TK2, TARBP2, TAF6, TAF1C, TAF13, TAF12, TAF10, SURF1, SUPT5H, SUPT4H1, STX3, SSRP1, SRSF6, SNAPC5, SNAPC4, SMAD5, SF3A3, SEC61A1, SDCBP, SAC3D1, RRM2B, RPA3, RPA2, RNMT, RFC5, RFC4, RFC3, RFC2, REV3L, RBX1, RALA, RAE1, RAD52, RAD51, PRIM1, POM121, POLR3C, POLR2K, POLR2J, POLR2I, POLR2H, POLR2G, POLR2F, POLR2E, POLR2D, POLR2C, POLR2A, POLR1D, POLR1C, POLL, POLH, POLE4, POLD4, POLD1, POLB, POLA2, POLA1, PNP, PDE4B, PCNA, NUDT9, NUDT21, NT5C3A, NT5C, NPR2, NME4, NME3, NFX1, NELFE, NELFCD, NELFB"
"9","HALLMARK_G2M_CHECKPOINT",0.504942106749506,0.890019845859764,0.91874881153105,1.07905218952686,3575,181,"HIF1A, ABL1"
"10","HALLMARK_APOPTOSIS",0.223378124548476,0.826663588322816,0.989033391915641,1.14996134680189,1545,144,"ANKH, ATF3"
"11","HALLMARK_NOTCH_SIGNALING",0.321841794569067,0.826663588322816,-0.937350383477158,-2.05028849494754,1362,30,"PRKCA"
"12","HALLMARK_ADIPOGENESIS",0.2935792734441,0.826663588322816,0.98582910321489,1.15984434687299,2084,185,"APOE, APLP2, LPL, PFKFB3, PLIN2"
"13","HALLMARK_ESTROGEN_RESPONSE_EARLY",0.755225893459204,0.890019845859764,-0.611826803066178,-0.803530097950835,2239,163,"NAV2, DLC1, NRIP1, SLC24A3"
"14","HALLMARK_ESTROGEN_RESPONSE_LATE",0.55002128565347,0.890019845859764,0.909809713267251,1.06409002490144,3875,167,"CD9, FKBP5, BCL2, ST14, LARGE1, ABCA3"
"15","HALLMARK_ANDROGEN_RESPONSE",0.698784054178852,0.890019845859764,0.885347673907813,1.06000156157736,4539,84,"ANKH, FKBP5, ARID5B, TPD52, B2M"
"16","HALLMARK_MYOGENESIS",0.795196797865243,0.890019845859764,-0.588950300886278,-0.77220982819071,2383,158,"NAV2, MEF2A"
