"","pathway","pval","padj","ES","NES","nMoreExtreme","size","leadingEdge"
"1","A tetrasaccharide linker sequence is required for GAG synthesis",0.0192822710230316,0.81638287261328,0.99916347159289,1.72334830145742,107,24,"XYLT1, AGRN"
"2","ABC transporter disorders",0.687346269472534,0.840562708294033,-0.37811695550826,-0.585120943398279,2514,69,"VCP, UBC, UBB, SEL1L, RPS27A, RNF5, RNF185, PSMF1, PSME4, PSME3, PSME2, PSME1, PSMD9, PSMD8, PSMD7, PSMD6, PSMD5, PSMD4, PSMD3, PSMD2, PSMD14, PSMD13, PSMD12, PSMD11, PSMD10, PSMD1, PSMC6, PSMC5, PSMC4, PSMC3, PSMC2, PSMC1, PSMB9, PSMB8, PSMB7, PSMB6, PSMB5, PSMB4, PSMB3, PSMB2, PSMB10, PSMB1, PSMA8, PSMA7, PSMA6, PSMA5, PSMA4, PSMA3, PSMA1"
"3","ABC-family proteins mediated transport",0.132707165580973,0.816988945411365,0.994256496462842,1.17252714945278,875,92,"ABCD2, ABCB1, ABCA2"
"4","ADP signalling through P2Y purinoceptor 1",0.419544452608376,0.816988945411365,0.97493392543835,1.79550547789637,2283,20,"GNG12, GNA11"
"5","ADP signalling through P2Y purinoceptor 12",0.425144132415845,0.816988945411365,0.556522825773867,1.05113461473886,2285,18,"GNG12, GNAI1"
"6","APC-Cdc20 mediated degradation of Nek2A",0.114041469625318,0.816988945411365,0.9954000557569,1.79916337982751,626,21,"ANAPC15, ANAPC1"
"7","APC/C-mediated degradation of cell cycle proteins",0.119300437226733,0.816988945411365,0.995382678046733,1.21239197399803,763,75,"ANAPC15, ANAPC1"
"8","APC/C:Cdc20 mediated degradation of Cyclin B",0.114041469625318,0.816988945411365,0.9954000557569,1.79916337982751,626,21,"ANAPC15, ANAPC1"
"9","APC/C:Cdc20 mediated degradation of Securin",0.130809774796358,0.816988945411365,0.995386873558398,1.25738444852937,818,62,"ANAPC15, ANAPC1"
"10","APC/C:Cdc20 mediated degradation of mitotic proteins",0.126385809312639,0.816988945411365,0.995385583444033,1.24019120700158,797,66,"ANAPC15, ANAPC1"
"11","APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1",0.127879269261319,0.816988945411365,0.995385906040268,1.24547421220208,804,65,"ANAPC15, ANAPC1"
"12","APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint",0.128021628498728,0.816988945411365,0.995386228591402,1.25223904398141,804,64,"ANAPC15, ANAPC1"
"13","ATF4 activates genes in response to endoplasmic reticulum  stress",0.324227816461346,0.816988945411365,0.989055420006971,1.70591402365715,1815,24,"ATF3, ASNS"
