"","pathway","pval","padj","ES","NES","nMoreExtreme","size","leadingEdge"
"1","HALLMARK_TNFA_SIGNALING_VIA_NFKB",0.653153153153153,0.85941204362257,0.223027385524186,0.935027889393567,1884,171,"IL12B, EHD1, FJX1, CSF1, NFKB1, PLK2, TIPARP, JUNB, CEBPD, CEBPB, RNF19B, G0S2, F3, IER3, REL, RHOB, MARCKS, HES1, DDX58, NFKBIA, PFKFB3, SAT1, INHBA, RCAN1, B4GALT5, KDM6B, PNRC1, IFIT2, CFLAR, ATP2B1, MAP2K3, GPR183, MYC, PLPP3, SQSTM1, MCL1"
"2","HALLMARK_HYPOXIA",0.787629153867635,0.999712684959058,-0.225104608544844,-0.872058719713698,5640,182,"KIF5A, BCL2, AKAP12, BCAN, TPI1, PGK1, ALDOA, NR3C1, MIF, CP, B4GALNT2, NCAN, KDM3A, VLDLR, PRDX5, CAV1, P4HA1, XPNPEP1, GAA, NAGK, NFIL3, ATP7A, MYH9, CSRP2, JUN, PLIN2, BNIP3L, PRKCA, KLHL24"
"3","HALLMARK_CHOLESTEROL_HOMEOSTASIS",0.0399886557005105,0.52215860899067,0.377822767319993,1.3720975654549,140,67,"CLU, ERRFI1, ACTG1, FABP5, GLDC, ALCAM, CD9, HMGCS1, PCYT2, PMVK"
"4","HALLMARK_MITOTIC_SPINDLE",0.16496269687759,0.682588075880759,-0.294422235963511,-1.14846243283253,1193,194,"PKD2, EPB41, RASA1, ARHGEF11, BIN1, CDC42EP1, ARHGEF3, YWHAE, TLK1, NIN, ANLN, RICTOR, KIF3B, ATG4B, MAP1S, ARHGEF7, LMNB1, ROCK1, HOOK3, KLC1, LATS1, TSC1, MID1IP1, CAPZB, ALS2, RALBP1, ARFGEF1, SPTBN1, KPTN, NEDD9, DOCK2, KIFAP3, RAPGEF6, DYNC1H1, CDC27, DLG1, SOS1, CDC42EP4, CLIP2, MYH9, RHOF, RABGAP1, FLNB, BIRC5, CDC42, ABI1, RFC1, CENPJ, ITSN1, KIF15, CEP57, SUN2, SHROOM2"
"5","HALLMARK_WNT_BETA_CATENIN_SIGNALING",0.0605173255246462,0.52215860899067,-0.460005484083789,-1.40088549109053,371,38,"NUMB, NOTCH1, GNAI1, NKD1, MAML1, WNT5B, HDAC2, CUL1, JAG1, TP53"
"6","HALLMARK_TGF_BETA_SIGNALING",0.269971126082772,0.682588075880759,-0.349895956176339,-1.11785155599995,1682,50,"SMAD3, HDAC1, FKBP1A, SKI, SMURF2, RAB31, ID2, SPTBN1, FURIN, TJP1, WWTR1, PPM1A, ACVR1, IFNGR2, PMEPA1, APC, NCOR2, HIPK2"
"7","HALLMARK_IL6_JAK_STAT3_SIGNALING",0.409363091997823,0.731005521424683,0.288751554023451,1.01945921994489,1503,58,"CSF1, CD9, TYK2, IRF9, STAT3, PTPN2, BAK1, CRLF2, SOCS1, ITGB3, TNFRSF1B, IL6ST, CNTFR, A2M, TNFRSF21, PTPN11, IL17RB, STAT2, CD38, REG1A, TNFRSF1A"
"8","HALLMARK_DNA_REPAIR",0.459517657192076,0.748367895545315,-0.265450464527812,-1.00013539967406,3200,143,"SEC61A1, REV3L, PDE4B, RNMT, ARL6IP1, POLB, RALA, DAD1, RAD52, DGUOK, DCTN4, POLE4, STX3, CSTF3, POLR1D, ELL, MRPL40, EDF1, TP53, SF3A3, USP11, VPS28, AK3, ERCC2, DDB2, CANT1, GMPR2, BCAP31, RPA3, POLR2A, SRSF6, COX17, APRT, ERCC5, TYMS, TSG101, RFC4, TAF1C, SAC3D1, NUDT9"
"9","HALLMARK_G2M_CHECKPOINT",0.908148677626876,0.999712684959058,0.200137256062963,0.847149736130366,2540,188,"GSPT1, NCL, HNRNPU, HNRNPD, MTF2, XPO1, FOXN3, MAP3K20, UBE2S, SLC7A1, KPNB1, PDS5B, NUP98, UPF1, SMC2, RPS6KA5, CBX1, NSD2, PRC1, MARCKS, TRAIP, CUL4A, RASAL2, CENPA, E2F3, PURA, AURKA, KIF20B, GINS2, SRSF2, EZH2, KIF5B, LIG3, SUV39H1, INCENP, CENPE, TPX2, MYC, ABL1, CDK1, SYNCRIP, TRA2B, CENPF, KIF22, KNL1, EWSR1, POLQ, BARD1, CDKN1B, TMPO, TENT4A, CKS2, TOP2A"
"10","HALLMARK_APOPTOSIS",0.848996679659304,0.999712684959058,-0.222202049219661,-0.831276361295971,5880,134,"PPT1, VDAC2, CCND1, ANKH, ERBB3, PAK1, MADD, CAV1, ROCK1, RELA, CASP2, NEDD9, MGMT, PEA15, BTG3, JUN, BNIP3L, DFFA, CDC25B, BCL2L1, BCAP31, ETF1"
