"","pathway","pval","padj","ES","NES","nMoreExtreme","size","leadingEdge"
"1","A tetrasaccharide linker sequence is required for GAG synthesis",0.282295680389373,0.729140991858139,0.318076997766774,0.811211999169255,1391,24,"AGRN, B3GALT6, B3GAT1, B3GAT2, B3GAT3, B4GALT7, BCAN, BGN, CSPG4, CSPG5, DCN, GPC1, GPC3, GPC4, GPC5, GPC6, HSPG2"
"2","ABC transporter disorders",0.679963235294118,0.788757352941176,-0.387522776498092,-0.567278798267263,3698,68,"VCP, UBC, UBB, SEL1L, RPS27A, RNF5, RNF185, PSMF1, PSME4, PSME3, PSME2, PSME1, PSMD9, PSMD8, PSMD7, PSMD6, PSMD5, PSMD4, PSMD3, PSMD2, PSMD14, PSMD13, PSMD12, PSMD11, PSMD10, PSMD1, PSMC6, PSMC5, PSMC4, PSMC3, PSMC2, PSMC1, PSMB9, PSMB8, PSMB7, PSMB6, PSMB5, PSMB4, PSMB3, PSMB2, PSMB10, PSMB1, PSMA8, PSMA7, PSMA6, PSMA5, PSMA4, PSMA3, PSMA1"
"3","ABC-family proteins mediated transport",0.730250055321974,0.804037225270102,0.273864677731392,0.390439544223889,3299,92,"ABCA2, ABCA3, ABCA4, ABCA5, ABCA6, ABCA7, ABCA8, ABCA9, ABCB10, ABCB1, ABCB4, ABCB7, ABCB8, ABCB9, ABCC1, ABCC10, ABCC2, ABCC3, ABCC4, ABCC5, ABCC9, ABCD1, ABCD2, ABCD3, ABCF1, ABCG1, ABCG4"
"4","ADP signalling through P2Y purinoceptor 1",0.210196237102974,0.729140991858139,0.483646333770078,1.33531229684583,1038,18,"GNA11, GNA14, GNA15, GNB1, GNB4, GNB5, GNG11, GNG12, GNG13, GNG2, GNG3, GNG4, GNG7, GNG8, GNGT2"
"5","ADP signalling through P2Y purinoceptor 12",0.187776437474869,0.729140991858139,0.587863901018923,1.65788892830283,933,16,"GNAI1, GNAI2, GNAI3, GNB1, GNB4, GNB5, GNG11, GNG12, GNG13, GNG2, GNG3, GNG4, GNG7, GNG8, GNGT2"
"6","APC-Cdc20 mediated degradation of Nek2A",0.253770892784346,0.729140991858139,0.489356209539696,1.27746054803467,1244,22,"ANAPC1, ANAPC10, ANAPC15, ANAPC16, ANAPC2, ANAPC4, ANAPC5, ANAPC7, BUB3, CDC16, CDC20, CDC23, CDC26, CDC27"
"7","APC/C-mediated degradation of cell cycle proteins",0.0053299025914354,0.682098189285048,-0.999853801169591,-1.39434617890958,28,76,"PTTG1"
"8","APC/C:Cdc20 mediated degradation of Cyclin B",0.244530770803517,0.729140991858139,0.516903288435869,1.36265251045764,1195,21,"ANAPC1, ANAPC10, ANAPC15, ANAPC16, ANAPC2, ANAPC4, ANAPC5, ANAPC7, CDC16, CDC20, CDC23, CDC26, CDC27, CDK1"
"9","APC/C:Cdc20 mediated degradation of Securin",0.00628349658103862,0.682098189285048,-0.999853939969327,-1.50829837969038,33,63,"PTTG1"
"10","APC/C:Cdc20 mediated degradation of mitotic proteins",0.00571007552035366,0.682098189285048,-0.999853907962016,-1.47964871703974,30,66,"PTTG1"
"11","APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1",0.00551065393093314,0.682098189285048,-0.999853897289795,-1.47302649426295,29,67,"PTTG1"
